Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.19673E+02, 0.20126E+02
 0.20000E+00, 0.20000E+02, 0.19650E+02, 0.20119E+02
 0.30000E+00, 0.35512E+02, 0.19613E+02, 0.20107E+02
 0.40000E+00, 0.46372E+02, 0.19677E+02, 0.20138E+02
 0.50000E+00, 0.77014E+02, 0.19763E+02, 0.20142E+02
 0.60000E+00, 0.12462E+03, 0.19706E+02, 0.20079E+02
 0.70000E+00, 0.19303E+03, 0.19647E+02, 0.20027E+02
 0.80000E+00, 0.25984E+03, 0.19625E+02, 0.20096E+02
 0.90000E+00, 0.30982E+03, 0.19806E+02, 0.20114E+02
 0.10000E+01, 0.35525E+03, 0.20241E+02, 0.20335E+02
 0.11000E+01, 0.38597E+03, 0.21757E+02, 0.21751E+02
 0.12000E+01, 0.39893E+03, 0.29711E+02, 0.26242E+02
 0.13000E+01, 0.40336E+03, 0.54745E+02, 0.36832E+02
 0.14000E+01, 0.40304E+03, 0.99935E+02, 0.52172E+02
 0.15000E+01, 0.40244E+03, 0.15176E+03, 0.64939E+02
 0.16000E+01, 0.40102E+03, 0.19866E+03, 0.72417E+02
 0.17000E+01, 0.39854E+03, 0.23340E+03, 0.77270E+02
 0.18000E+01, 0.39739E+03, 0.25423E+03, 0.82297E+02
 0.19000E+01, 0.39959E+03, 0.26240E+03, 0.88715E+02
 0.20000E+01, 0.41006E+03, 0.27278E+03, 0.96098E+02
 0.21000E+01, 0.43990E+03, 0.28744E+03, 0.10477E+03
 0.22000E+01, 0.46180E+03, 0.30379E+03, 0.11707E+03
 0.23000E+01, 0.33145E+03, 0.31401E+03, 0.12466E+03
 0.24000E+01, 0.34483E+03, 0.29817E+03, 0.19159E+02
