Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.29450E+02, 0.29076E+02
 0.20000E+00, 0.20000E+02, 0.29899E+02, 0.29646E+02
 0.30000E+00, 0.35045E+02, 0.30637E+02, 0.30491E+02
 0.40000E+00, 0.34479E+02, 0.30997E+02, 0.30834E+02
 0.50000E+00, 0.33321E+02, 0.31115E+02, 0.30980E+02
 0.60000E+00, 0.32217E+02, 0.31169E+02, 0.31137E+02
 0.70000E+00, 0.31403E+02, 0.31174E+02, 0.31329E+02
 0.80000E+00, 0.30772E+02, 0.31238E+02, 0.31569E+02
 0.90000E+00, 0.31427E+02, 0.31429E+02, 0.31851E+02
 0.10000E+01, 0.33101E+02, 0.31617E+02, 0.32108E+02
 0.11000E+01, 0.35208E+02, 0.31662E+02, 0.32363E+02
 0.12000E+01, 0.37294E+02, 0.31601E+02, 0.32820E+02
 0.13000E+01, 0.38476E+02, 0.31321E+02, 0.33316E+02
 0.14000E+01, 0.39588E+02, 0.31576E+02, 0.33742E+02
 0.15000E+01, 0.40449E+02, 0.33490E+02, 0.34039E+02
 0.16000E+01, 0.40922E+02, 0.35861E+02, 0.34133E+02
 0.17000E+01, 0.41177E+02, 0.37036E+02, 0.34154E+02
 0.18000E+01, 0.41395E+02, 0.37537E+02, 0.34123E+02
 0.19000E+01, 0.41777E+02, 0.38094E+02, 0.34089E+02
 0.20000E+01, 0.42229E+02, 0.38459E+02, 0.34085E+02
 0.21000E+01, 0.43276E+02, 0.38623E+02, 0.34195E+02
 0.22000E+01, 0.44081E+02, 0.39207E+02, 0.34731E+02
 0.23000E+01, 0.43231E+02, 0.39708E+02, 0.35160E+02
 0.24000E+01, 0.43694E+02, 0.20000E+02, 0.20001E+02
