Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.57959E+02, 0.53981E+02
 0.20000E+00, 0.20000E+02, 0.61804E+02, 0.58748E+02
 0.30000E+00, 0.56897E+02, 0.67840E+02, 0.65872E+02
 0.40000E+00, 0.60310E+02, 0.70746E+02, 0.69590E+02
 0.50000E+00, 0.64719E+02, 0.72044E+02, 0.71910E+02
 0.60000E+00, 0.66622E+02, 0.73186E+02, 0.73418E+02
 0.70000E+00, 0.68745E+02, 0.73829E+02, 0.75029E+02
 0.80000E+00, 0.71626E+02, 0.74024E+02, 0.77277E+02
 0.90000E+00, 0.75372E+02, 0.73907E+02, 0.79121E+02
 0.10000E+01, 0.78271E+02, 0.73570E+02, 0.80252E+02
 0.11000E+01, 0.80468E+02, 0.73542E+02, 0.80898E+02
 0.12000E+01, 0.83941E+02, 0.74280E+02, 0.81176E+02
 0.13000E+01, 0.87941E+02, 0.75911E+02, 0.81978E+02
 0.14000E+01, 0.91060E+02, 0.78438E+02, 0.83912E+02
 0.15000E+01, 0.93235E+02, 0.80916E+02, 0.85903E+02
 0.16000E+01, 0.95518E+02, 0.82222E+02, 0.86803E+02
 0.17000E+01, 0.98861E+02, 0.83171E+02, 0.86809E+02
 0.18000E+01, 0.10200E+03, 0.84118E+02, 0.86329E+02
 0.19000E+01, 0.10410E+03, 0.84733E+02, 0.85862E+02
 0.20000E+01, 0.10659E+03, 0.85011E+02, 0.86151E+02
 0.21000E+01, 0.11079E+03, 0.85314E+02, 0.87526E+02
 0.22000E+01, 0.11349E+03, 0.85131E+02, 0.87720E+02
 0.23000E+01, 0.87857E+02, 0.84687E+02, 0.86955E+02
 0.24000E+01, 0.89938E+02, 0.20000E+02, 0.20000E+02
