Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20001E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.18101E+03, 0.19281E+03
 0.20000E+00, 0.20000E+02, 0.18960E+03, 0.21121E+03
 0.30000E+00, 0.14322E+03, 0.20214E+03, 0.24020E+03
 0.40000E+00, 0.15081E+03, 0.21266E+03, 0.25866E+03
 0.50000E+00, 0.16581E+03, 0.22237E+03, 0.27387E+03
 0.60000E+00, 0.17956E+03, 0.22923E+03, 0.28951E+03
 0.70000E+00, 0.19022E+03, 0.23903E+03, 0.30453E+03
 0.80000E+00, 0.19913E+03, 0.25495E+03, 0.31736E+03
 0.90000E+00, 0.20684E+03, 0.27026E+03, 0.32910E+03
 0.10000E+01, 0.21102E+03, 0.27746E+03, 0.33929E+03
 0.11000E+01, 0.21317E+03, 0.28029E+03, 0.34617E+03
 0.12000E+01, 0.21564E+03, 0.28182E+03, 0.34997E+03
 0.13000E+01, 0.21320E+03, 0.28296E+03, 0.35302E+03
 0.14000E+01, 0.20426E+03, 0.28336E+03, 0.35532E+03
 0.15000E+01, 0.19707E+03, 0.27914E+03, 0.35657E+03
 0.16000E+01, 0.19299E+03, 0.27297E+03, 0.35805E+03
 0.17000E+01, 0.19039E+03, 0.26863E+03, 0.35960E+03
 0.18000E+01, 0.19028E+03, 0.26569E+03, 0.36056E+03
 0.19000E+01, 0.19144E+03, 0.26468E+03, 0.36232E+03
 0.20000E+01, 0.19250E+03, 0.26371E+03, 0.36570E+03
 0.21000E+01, 0.19362E+03, 0.26339E+03, 0.37137E+03
 0.22000E+01, 0.19439E+03, 0.26339E+03, 0.37425E+03
 0.23000E+01, 0.16210E+03, 0.26284E+03, 0.37343E+03
 0.24000E+01, 0.16034E+03, 0.20000E+02, 0.20009E+02
