Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20004E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20004E+02, 0.39858E+02, 0.33965E+02
 0.20000E+00, 0.20003E+02, 0.37849E+02, 0.33990E+02
 0.30000E+00, 0.39667E+03, 0.36502E+02, 0.34517E+02
 0.40000E+00, 0.41190E+03, 0.37193E+02, 0.35162E+02
 0.50000E+00, 0.45202E+03, 0.38039E+02, 0.37422E+02
 0.60000E+00, 0.49506E+03, 0.40083E+02, 0.42094E+02
 0.70000E+00, 0.52160E+03, 0.42883E+02, 0.44856E+02
 0.80000E+00, 0.53350E+03, 0.45586E+02, 0.45963E+02
 0.90000E+00, 0.53333E+03, 0.47527E+02, 0.48368E+02
 0.10000E+01, 0.53125E+03, 0.49082E+02, 0.51880E+02
 0.11000E+01, 0.53568E+03, 0.56823E+02, 0.62314E+02
 0.12000E+01, 0.53874E+03, 0.93292E+02, 0.94976E+02
 0.13000E+01, 0.54027E+03, 0.17212E+03, 0.14094E+03
 0.14000E+01, 0.54201E+03, 0.29883E+03, 0.17810E+03
 0.15000E+01, 0.54125E+03, 0.44643E+03, 0.20738E+03
 0.16000E+01, 0.54460E+03, 0.52036E+03, 0.23023E+03
 0.17000E+01, 0.55755E+03, 0.52344E+03, 0.24946E+03
 0.18000E+01, 0.57201E+03, 0.52189E+03, 0.27172E+03
 0.19000E+01, 0.58914E+03, 0.52177E+03, 0.30002E+03
 0.20000E+01, 0.61361E+03, 0.53009E+03, 0.34620E+03
 0.21000E+01, 0.63514E+03, 0.53998E+03, 0.40553E+03
 0.22000E+01, 0.64327E+03, 0.55439E+03, 0.45524E+03
 0.23000E+01, 0.47706E+03, 0.56501E+03, 0.47555E+03
 0.24000E+01, 0.48638E+03, 0.55246E+03, 0.20894E+02
