x,N_decane
2702.57,0.00120407
2709,0.238406
2715.42,0.475609
2721.85,0.478619
2727.63,0.71552
2734.06,0.952722
2740.49,0.72154
2746.92,0.72455
2753.34,0.493369
2759.77,0.496379
2766.2,0.499389
2771.98,0.73629
2778.41,0.7393
2784.83,0.976503
2791.26,1.4479
2797.04,1.6848
2803.47,1.922
2809.9,2.39339
2815.68,2.86449
2822.11,3.80427
2827.25,4.74344
2832.39,6.151
2836.89,7.79245
2840.1,9.90169
2842.03,12.2445
2843.96,14.3531
2845.24,16.6957
2845.89,19.0379
2847.17,21.3804
2847.81,23.7226
2848.46,26.0649
2849.1,28.4071
2849.74,30.5151
2850.39,32.8573
2851.03,35.1995
2851.67,37.5418
2852.31,39.884
2852.96,42.2262
2853.6,44.5684
2854.88,46.911
2856.17,49.2535
2858.1,49.4886
2860.03,47.3817
2861.31,45.0404
2862.6,42.6991
2863.24,40.3575
2864.52,38.2504
2865.17,35.9087
2866.45,33.5674
2867.74,31.2261
2868.38,28.8845
2871.59,27.4808
2874.16,29.5898
2876.74,28.8884
2878.66,26.5474
2879.95,24.2061
2881.23,22.0989
2883.8,19.7582
2888.3,19.0578
2891.52,20.9328
2894.09,23.0417
2896.66,25.3849
2899.23,27.4938
2901.8,29.6027
2904.37,31.7116
2906.3,34.0545
2908.23,36.1631
2909.51,38.5056
2910.8,40.8481
2912.08,43.1907
2913.37,45.299
2914.01,47.6412
2915.3,49.9837
2915.94,52.326
2916.58,54.6682
2917.22,57.0104
2917.87,59.3526
2918.51,61.6949
2919.15,64.0371
2920.44,66.3796
2921.08,68.7218
2921.72,71.064
2922.37,73.4063
2923.01,75.7485
2924.29,77.8568
2925.58,80.1993
2928.15,79.9663
2929.43,77.625
2930.72,75.2837
2932.01,72.9424
2932.65,70.6008
2933.93,68.4936
2934.58,66.152
2935.22,63.8104
2935.86,61.4688
2937.15,59.1275
2937.79,56.7858
2938.43,54.4442
2939.07,52.1026
2940.36,49.7613
2941,47.4197
2941.65,45.0781
2942.29,42.7364
2942.93,40.3948
2944.22,38.2877
2945.5,35.9464
2947.43,33.6054
2950.64,34.5436
2951.93,36.8861
2953.21,39.2287
2953.86,41.3367
2955.14,43.6792
2955.78,46.0214
2957.07,48.364
2958.35,50.7065
2961.57,50.708
2963.5,48.367
2964.78,46.0257
2965.42,43.684
2966.07,41.5766
2967.35,39.2353
2967.99,36.8937
2968.64,34.5521
2969.28,32.2104
2970.57,29.8691
2971.21,27.5275
2971.85,25.1859
2972.49,22.8443
2973.78,20.5029
2975.06,18.1616
2975.71,16.0542
2977.63,13.7132
2979.56,11.3722
2982.13,9.26564
2984.7,7.15911
2989.2,5.52187
2994.99,4.35362
3000.77,3.41956
3006.56,2.7197
3012.98,2.25432
3019.41,2.02314
3025.19,1.55747
3031.62,1.32629
3038.05,1.0951
3043.83,0.863621
3050.26,0.866631
3056.68,0.635449
3063.11,0.638459
3069.54,0.641469
3075.32,0.409987
3081.75,0.412997
3088.17,0.416007
3094.6,0.419017
3100.39,0.187534
3106.17,0.190243
3112.6,0.193254
3119.02,0.196264
3125.45,0.199274
3131.88,0.202284
3138.3,0.205294
3144.73,0.208304
3151.16,0.211315
3157.58,0.214325
3164.01,0.217335
3170.44,0.220345
3176.86,0.223355
3183.29,0.226366
3189.72,0.229376
3196.14,0.232386
