 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.60597E+02
 0.10000E+00, 0.59741E+02
 0.20000E+00, 0.58657E+02
 0.30000E+00, 0.58894E+02
 0.40000E+00, 0.60154E+02
 0.50000E+00, 0.63463E+02
 0.60000E+00, 0.69620E+02
 0.70000E+00, 0.77182E+02
 0.80000E+00, 0.87692E+02
 0.90000E+00, 0.10345E+03
 0.10000E+01, 0.12699E+03
 0.11000E+01, 0.15874E+03
 0.12000E+01, 0.20276E+03
 0.13000E+01, 0.27336E+03
 0.14000E+01, 0.36405E+03
 0.15000E+01, 0.45357E+03
 0.16000E+01, 0.53050E+03
 0.17000E+01, 0.59030E+03
 0.18000E+01, 0.62951E+03
 0.19000E+01, 0.65093E+03
 0.20000E+01, 0.66411E+03
 0.21000E+01, 0.67680E+03
 0.22000E+01, 0.68948E+03
 0.23000E+01, 0.69522E+03
 0.24000E+01, 0.69666E+03
 0.25000E+01, 0.70228E+03
 0.26000E+01, 0.72221E+03
 0.27000E+01, 0.77515E+03
 0.28000E+01, 0.81279E+03
