 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.46026E+02
 0.10000E+00, 0.45834E+02
 0.20000E+00, 0.45482E+02
 0.30000E+00, 0.45516E+02
 0.40000E+00, 0.46379E+02
 0.50000E+00, 0.47793E+02
 0.60000E+00, 0.49807E+02
 0.70000E+00, 0.53636E+02
 0.80000E+00, 0.61338E+02
 0.90000E+00, 0.73848E+02
 0.10000E+01, 0.92590E+02
 0.11000E+01, 0.12487E+03
 0.12000E+01, 0.17782E+03
 0.13000E+01, 0.25524E+03
 0.14000E+01, 0.34493E+03
 0.15000E+01, 0.43129E+03
 0.16000E+01, 0.49863E+03
 0.17000E+01, 0.53820E+03
 0.18000E+01, 0.56198E+03
 0.19000E+01, 0.58137E+03
 0.20000E+01, 0.59515E+03
 0.21000E+01, 0.60111E+03
 0.22000E+01, 0.60651E+03
 0.23000E+01, 0.61210E+03
 0.24000E+01, 0.61548E+03
 0.25000E+01, 0.61700E+03
 0.26000E+01, 0.62261E+03
 0.27000E+01, 0.66625E+03
 0.28000E+01, 0.70469E+03
