 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.60340E+02
 0.10000E+00, 0.59332E+02
 0.20000E+00, 0.59197E+02
 0.30000E+00, 0.60234E+02
 0.40000E+00, 0.61030E+02
 0.50000E+00, 0.63690E+02
 0.60000E+00, 0.68305E+02
 0.70000E+00, 0.76080E+02
 0.80000E+00, 0.86855E+02
 0.90000E+00, 0.10023E+03
 0.10000E+01, 0.12244E+03
 0.11000E+01, 0.16046E+03
 0.12000E+01, 0.21008E+03
 0.13000E+01, 0.27576E+03
 0.14000E+01, 0.36705E+03
 0.15000E+01, 0.46766E+03
 0.16000E+01, 0.54893E+03
 0.17000E+01, 0.59655E+03
 0.18000E+01, 0.62085E+03
 0.19000E+01, 0.63878E+03
 0.20000E+01, 0.65413E+03
 0.21000E+01, 0.66418E+03
 0.22000E+01, 0.67084E+03
 0.23000E+01, 0.67511E+03
 0.24000E+01, 0.67735E+03
 0.25000E+01, 0.68270E+03
 0.26000E+01, 0.69962E+03
 0.27000E+01, 0.74821E+03
 0.28000E+01, 0.78425E+03
