 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.56700E+02
 0.10000E+00, 0.56077E+02
 0.20000E+00, 0.56226E+02
 0.30000E+00, 0.57841E+02
 0.40000E+00, 0.59751E+02
 0.50000E+00, 0.61736E+02
 0.60000E+00, 0.64789E+02
 0.70000E+00, 0.71327E+02
 0.80000E+00, 0.82096E+02
 0.90000E+00, 0.95472E+02
 0.10000E+01, 0.11732E+03
 0.11000E+01, 0.15599E+03
 0.12000E+01, 0.21280E+03
 0.13000E+01, 0.29041E+03
 0.14000E+01, 0.38242E+03
 0.15000E+01, 0.46479E+03
 0.16000E+01, 0.52139E+03
 0.17000E+01, 0.55882E+03
 0.18000E+01, 0.58506E+03
 0.19000E+01, 0.61018E+03
 0.20000E+01, 0.63365E+03
 0.21000E+01, 0.64711E+03
 0.22000E+01, 0.65705E+03
 0.23000E+01, 0.66694E+03
 0.24000E+01, 0.67401E+03
 0.25000E+01, 0.67794E+03
 0.26000E+01, 0.68602E+03
 0.27000E+01, 0.72127E+03
 0.28000E+01, 0.75000E+03
