 Y,Z,TEMPERATURE
 m,m,C
 0.25000E+01,-0.10000E+00, 0.20000E+02
 0.26000E+01,-0.10000E+00, 0.20000E+02
 0.27000E+01,-0.10000E+00, 0.20000E+02
 0.28000E+01,-0.10000E+00, 0.20000E+02
 0.29000E+01,-0.10000E+00, 0.20000E+02
 0.30000E+01,-0.10000E+00, 0.20000E+02
 0.31000E+01,-0.10000E+00, 0.20000E+02
 0.32000E+01,-0.10000E+00, 0.20000E+02
 0.33000E+01,-0.10000E+00, 0.20000E+02
 0.34000E+01,-0.10000E+00, 0.20000E+02
 0.35000E+01,-0.10000E+00, 0.20000E+02
 0.36000E+01,-0.10000E+00, 0.20000E+02
 0.37000E+01,-0.10000E+00, 0.20000E+02
 0.38000E+01,-0.10000E+00, 0.20000E+02
 0.39000E+01,-0.10000E+00, 0.20000E+02
-0.21000E+01, 0.00000E+00, 0.20000E+02
-0.20000E+01, 0.00000E+00, 0.20000E+02
-0.19000E+01, 0.00000E+00, 0.20000E+02
-0.18000E+01, 0.00000E+00, 0.20001E+02
-0.17000E+01, 0.00000E+00, 0.20005E+02
-0.16000E+01, 0.00000E+00, 0.20007E+02
-0.15000E+01, 0.00000E+00, 0.20005E+02
-0.14000E+01, 0.00000E+00, 0.20006E+02
-0.13000E+01, 0.00000E+00, 0.20006E+02
-0.12000E+01, 0.00000E+00, 0.20002E+02
-0.11000E+01, 0.00000E+00, 0.20000E+02
-0.10000E+01, 0.00000E+00, 0.19998E+02
-0.90000E+00, 0.00000E+00, 0.19998E+02
-0.80000E+00, 0.00000E+00, 0.19998E+02
-0.70000E+00, 0.00000E+00, 0.19998E+02
-0.60000E+00, 0.00000E+00, 0.19999E+02
-0.50000E+00, 0.00000E+00, 0.19999E+02
-0.40000E+00, 0.00000E+00, 0.19999E+02
-0.30000E+00, 0.00000E+00, 0.20000E+02
-0.20000E+00, 0.00000E+00, 0.20000E+02
-0.10000E+00, 0.00000E+00, 0.20000E+02
 0.00000E+00, 0.00000E+00, 0.54009E+02
 0.10000E+00, 0.00000E+00, 0.53505E+02
 0.20000E+00, 0.00000E+00, 0.53273E+02
 0.30000E+00, 0.00000E+00, 0.53976E+02
 0.40000E+00, 0.00000E+00, 0.54268E+02
 0.50000E+00, 0.00000E+00, 0.53235E+02
 0.60000E+00, 0.00000E+00, 0.51852E+02
 0.70000E+00, 0.00000E+00, 0.50357E+02
 0.80000E+00, 0.00000E+00, 0.50025E+02
 0.90000E+00, 0.00000E+00, 0.50437E+02
 0.10000E+01, 0.00000E+00, 0.50669E+02
 0.11000E+01, 0.00000E+00, 0.51267E+02
 0.12000E+01, 0.00000E+00, 0.51295E+02
 0.13000E+01, 0.00000E+00, 0.51453E+02
 0.14000E+01, 0.00000E+00, 0.52141E+02
 0.15000E+01, 0.00000E+00, 0.53183E+02
 0.16000E+01, 0.00000E+00, 0.54197E+02
 0.17000E+01, 0.00000E+00, 0.55177E+02
 0.18000E+01, 0.00000E+00, 0.56278E+02
 0.19000E+01, 0.00000E+00, 0.57147E+02
 0.20000E+01, 0.00000E+00, 0.57786E+02
 0.21000E+01, 0.00000E+00, 0.58312E+02
 0.22000E+01, 0.00000E+00, 0.59288E+02
 0.23000E+01, 0.00000E+00, 0.60554E+02
 0.24000E+01, 0.00000E+00, 0.62077E+02
 0.25000E+01, 0.00000E+00, 0.63406E+02
 0.26000E+01, 0.00000E+00, 0.64502E+02
 0.27000E+01, 0.00000E+00, 0.64745E+02
 0.28000E+01, 0.00000E+00, 0.64767E+02
 0.29000E+01, 0.00000E+00, 0.63841E+02
 0.30000E+01, 0.00000E+00, 0.65242E+02
 0.31000E+01, 0.00000E+00, 0.68135E+02
 0.32000E+01, 0.00000E+00, 0.20000E+02
 0.33000E+01, 0.00000E+00, 0.39470E+02
 0.34000E+01, 0.00000E+00, 0.39976E+02
 0.35000E+01, 0.00000E+00, 0.39736E+02
 0.36000E+01, 0.00000E+00, 0.39230E+02
 0.37000E+01, 0.00000E+00, 0.39957E+02
 0.38000E+01, 0.00000E+00, 0.40798E+02
 0.39000E+01, 0.00000E+00, 0.41104E+02
-0.21000E+01, 0.10000E+00, 0.20000E+02
-0.20000E+01, 0.10000E+00, 0.19999E+02
-0.19000E+01, 0.10000E+00, 0.20000E+02
-0.18000E+01, 0.10000E+00, 0.20003E+02
-0.17000E+01, 0.10000E+00, 0.20006E+02
-0.16000E+01, 0.10000E+00, 0.20007E+02
-0.15000E+01, 0.10000E+00, 0.20007E+02
-0.14000E+01, 0.10000E+00, 0.20010E+02
-0.13000E+01, 0.10000E+00, 0.20011E+02
-0.12000E+01, 0.10000E+00, 0.20006E+02
-0.11000E+01, 0.10000E+00, 0.20002E+02
-0.10000E+01, 0.10000E+00, 0.20001E+02
-0.90000E+00, 0.10000E+00, 0.20001E+02
-0.80000E+00, 0.10000E+00, 0.19999E+02
-0.70000E+00, 0.10000E+00, 0.19999E+02
-0.60000E+00, 0.10000E+00, 0.19999E+02
-0.50000E+00, 0.10000E+00, 0.19999E+02
-0.40000E+00, 0.10000E+00, 0.19999E+02
-0.30000E+00, 0.10000E+00, 0.20000E+02
-0.20000E+00, 0.10000E+00, 0.20000E+02
-0.10000E+00, 0.10000E+00, 0.20000E+02
 0.00000E+00, 0.10000E+00, 0.54506E+02
 0.10000E+00, 0.10000E+00, 0.54006E+02
 0.20000E+00, 0.10000E+00, 0.53621E+02
 0.30000E+00, 0.10000E+00, 0.54010E+02
 0.40000E+00, 0.10000E+00, 0.54172E+02
 0.50000E+00, 0.10000E+00, 0.53269E+02
 0.60000E+00, 0.10000E+00, 0.52056E+02
 0.70000E+00, 0.10000E+00, 0.50742E+02
 0.80000E+00, 0.10000E+00, 0.50514E+02
 0.90000E+00, 0.10000E+00, 0.50450E+02
 0.10000E+01, 0.10000E+00, 0.50383E+02
 0.11000E+01, 0.10000E+00, 0.51244E+02
 0.12000E+01, 0.10000E+00, 0.51445E+02
 0.13000E+01, 0.10000E+00, 0.51388E+02
 0.14000E+01, 0.10000E+00, 0.51707E+02
 0.15000E+01, 0.10000E+00, 0.52572E+02
 0.16000E+01, 0.10000E+00, 0.53610E+02
 0.17000E+01, 0.10000E+00, 0.54508E+02
 0.18000E+01, 0.10000E+00, 0.55351E+02
 0.19000E+01, 0.10000E+00, 0.56128E+02
 0.20000E+01, 0.10000E+00, 0.56789E+02
 0.21000E+01, 0.10000E+00, 0.57317E+02
 0.22000E+01, 0.10000E+00, 0.58179E+02
 0.23000E+01, 0.10000E+00, 0.59252E+02
 0.24000E+01, 0.10000E+00, 0.60628E+02
 0.25000E+01, 0.10000E+00, 0.61734E+02
 0.26000E+01, 0.10000E+00, 0.62800E+02
