 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.43634E+02
 0.10000E+00, 0.44261E+02
 0.20000E+00, 0.45075E+02
 0.30000E+00, 0.46043E+02
 0.40000E+00, 0.47645E+02
 0.50000E+00, 0.49374E+02
 0.60000E+00, 0.52301E+02
 0.70000E+00, 0.57611E+02
 0.80000E+00, 0.65001E+02
 0.90000E+00, 0.73277E+02
 0.10000E+01, 0.87221E+02
 0.11000E+01, 0.11959E+03
 0.12000E+01, 0.18034E+03
 0.13000E+01, 0.25820E+03
 0.14000E+01, 0.34280E+03
 0.15000E+01, 0.42675E+03
 0.16000E+01, 0.49091E+03
 0.17000E+01, 0.53568E+03
 0.18000E+01, 0.56539E+03
 0.19000E+01, 0.57933E+03
 0.20000E+01, 0.58749E+03
 0.21000E+01, 0.59369E+03
 0.22000E+01, 0.59801E+03
 0.23000E+01, 0.60226E+03
 0.24000E+01, 0.60376E+03
 0.25000E+01, 0.60342E+03
 0.26000E+01, 0.60967E+03
 0.27000E+01, 0.64235E+03
 0.28000E+01, 0.66880E+03
