 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.47633E+02
 0.10000E+00, 0.47619E+02
 0.20000E+00, 0.48104E+02
 0.30000E+00, 0.48719E+02
 0.40000E+00, 0.49353E+02
 0.50000E+00, 0.50642E+02
 0.60000E+00, 0.53722E+02
 0.70000E+00, 0.59198E+02
 0.80000E+00, 0.66758E+02
 0.90000E+00, 0.76737E+02
 0.10000E+01, 0.93578E+02
 0.11000E+01, 0.12660E+03
 0.12000E+01, 0.18818E+03
 0.13000E+01, 0.27323E+03
 0.14000E+01, 0.36189E+03
 0.15000E+01, 0.43815E+03
 0.16000E+01, 0.49492E+03
 0.17000E+01, 0.53753E+03
 0.18000E+01, 0.56138E+03
 0.19000E+01, 0.56853E+03
 0.20000E+01, 0.57194E+03
 0.21000E+01, 0.57541E+03
 0.22000E+01, 0.57804E+03
 0.23000E+01, 0.57961E+03
 0.24000E+01, 0.58195E+03
 0.25000E+01, 0.58607E+03
 0.26000E+01, 0.59402E+03
 0.27000E+01, 0.62032E+03
 0.28000E+01, 0.64139E+03
