 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.33024E+02
 0.10000E+00, 0.33726E+02
 0.20000E+00, 0.34827E+02
 0.30000E+00, 0.35422E+02
 0.40000E+00, 0.36008E+02
 0.50000E+00, 0.37252E+02
 0.60000E+00, 0.39071E+02
 0.70000E+00, 0.41967E+02
 0.80000E+00, 0.47013E+02
 0.90000E+00, 0.54555E+02
 0.10000E+01, 0.65216E+02
 0.11000E+01, 0.85249E+02
 0.12000E+01, 0.14020E+03
 0.13000E+01, 0.23174E+03
 0.14000E+01, 0.32743E+03
 0.15000E+01, 0.39990E+03
 0.16000E+01, 0.43974E+03
 0.17000E+01, 0.46154E+03
 0.18000E+01, 0.47480E+03
 0.19000E+01, 0.48254E+03
 0.20000E+01, 0.48826E+03
 0.21000E+01, 0.49133E+03
 0.22000E+01, 0.49215E+03
 0.23000E+01, 0.49210E+03
 0.24000E+01, 0.49268E+03
 0.25000E+01, 0.49440E+03
 0.26000E+01, 0.49916E+03
 0.27000E+01, 0.52439E+03
 0.28000E+01, 0.54611E+03
