 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.60877E+02
 0.10000E+00, 0.60390E+02
 0.20000E+00, 0.60834E+02
 0.30000E+00, 0.62598E+02
 0.40000E+00, 0.64489E+02
 0.50000E+00, 0.67060E+02
 0.60000E+00, 0.71044E+02
 0.70000E+00, 0.76760E+02
 0.80000E+00, 0.84725E+02
 0.90000E+00, 0.96536E+02
 0.10000E+01, 0.11468E+03
 0.11000E+01, 0.14600E+03
 0.12000E+01, 0.19213E+03
 0.13000E+01, 0.26847E+03
 0.14000E+01, 0.37278E+03
 0.15000E+01, 0.47249E+03
 0.16000E+01, 0.54818E+03
 0.17000E+01, 0.60132E+03
 0.18000E+01, 0.64777E+03
 0.19000E+01, 0.68330E+03
 0.20000E+01, 0.70136E+03
 0.21000E+01, 0.71282E+03
 0.22000E+01, 0.72315E+03
 0.23000E+01, 0.73374E+03
 0.24000E+01, 0.74624E+03
 0.25000E+01, 0.75963E+03
 0.26000E+01, 0.78066E+03
 0.27000E+01, 0.84401E+03
 0.28000E+01, 0.89329E+03
