s,status,status,status
Time,"controller 1","controller 3","controller 4"
 0.0000000E+000,-1,-1,-1
 5.0000001E-002,-1,-1,-1
 1.0000000E-001,-1,-1,-1
 1.5000001E-001,-1,-1,-1
 2.0000000E-001,-1,-1,-1
 2.5000000E-001,-1,-1,-1
 3.0000001E-001,-1,-1,-1
 3.4999999E-001,-1,-1,-1
 4.0000001E-001,-1,-1,-1
 4.4999999E-001,-1,-1,-1
 5.0000000E-001,-1,-1,-1
 5.5000001E-001,-1,-1,-1
 6.0000002E-001,-1,-1,-1
 6.4999998E-001,-1,-1,-1
 6.9999999E-001,-1,-1,-1
 7.5000000E-001,-1,-1,-1
 8.0000001E-001,-1,-1,-1
 8.5000002E-001,-1,-1,-1
 8.9999998E-001,-1,-1,-1
 9.4999999E-001,-1,-1,-1
 1.0000000E+000,-1,-1,-1
 1.0500000E+000,-1,-1,-1
 1.1000000E+000,-1,-1,-1
 1.1500000E+000,-1,-1,-1
 1.2000000E+000,-1,-1,-1
 1.2500000E+000,-1,-1,-1
 1.3000000E+000,-1,-1,-1
 1.3500000E+000,-1,-1,-1
 1.4000000E+000,-1,-1,-1
 1.4500000E+000,-1,-1,-1
 1.5000000E+000,-1,-1,-1
 1.5500000E+000,-1,-1,-1
 1.6000000E+000,-1,-1,-1
 1.6500000E+000,-1,-1,-1
 1.7000000E+000,-1,-1,-1
 1.7500000E+000,-1,-1,-1
 1.8000000E+000,-1,-1,-1
 1.8500000E+000,-1,-1,-1
 1.9000000E+000,-1,-1,-1
 1.9500000E+000,-1,-1,-1
 2.0000000E+000,-1,-1,-1
 2.0500000E+000,-1,-1,-1
 2.0999999E+000,-1,-1,-1
 2.1500001E+000,-1,-1,-1
 2.2000000E+000,-1,-1,-1
 2.2500000E+000,-1,-1,-1
 2.3000000E+000,-1,-1,-1
 2.3499999E+000,-1,-1,-1
 2.4000001E+000,-1,-1,-1
 2.4500000E+000,-1,-1,-1
 2.5000000E+000,-1,-1,-1
 2.5500000E+000,-1,-1,-1
 2.5999999E+000,-1,-1,-1
 2.6500001E+000,-1,-1,-1
 2.7000000E+000,-1,-1,-1
 2.7500000E+000,-1,-1,-1
 2.8000000E+000,-1,-1,-1
 2.8499999E+000,-1,-1,-1
 2.9000001E+000,-1,-1,-1
 2.9500000E+000,-1,-1,-1
 3.0000000E+000, 1,-1,-1
 3.0500000E+000, 1,-1,-1
 3.0999999E+000, 1,-1,-1
 3.1500001E+000, 1,-1,-1
 3.2000000E+000, 1,-1,-1
 3.2500000E+000, 1,-1,-1
 3.3000000E+000, 1,-1,-1
 3.3499999E+000, 1,-1,-1
 3.4000001E+000, 1,-1,-1
 3.4500000E+000, 1,-1,-1
 3.5000000E+000, 1,-1,-1
 3.5500000E+000, 1,-1,-1
 3.5999999E+000, 1,-1,-1
 3.6500001E+000, 1,-1,-1
 3.7000000E+000, 1,-1,-1
 3.7500000E+000, 1,-1,-1
 3.8000000E+000, 1,-1,-1
 3.8499999E+000, 1,-1,-1
 3.9000001E+000, 1,-1,-1
 3.9500000E+000, 1,-1,-1
 4.0000000E+000, 1,-1,-1
 4.0500002E+000, 1,-1,-1
 4.0999999E+000, 1,-1,-1
 4.1500001E+000, 1,-1,-1
 4.1999998E+000, 1,-1,-1
 4.2500000E+000, 1,-1,-1
 4.3000002E+000, 1,-1,-1
 4.3499999E+000, 1,-1,-1
 4.4000001E+000, 1,-1,-1
 4.4499998E+000, 1,-1,-1
 4.5000000E+000, 1,-1,-1
 4.5500002E+000, 1,-1,-1
 4.5999999E+000, 1,-1,-1
 4.6500001E+000, 1,-1,-1
 4.6999998E+000, 1,-1,-1
 4.7500000E+000, 1,-1,-1
 4.8000002E+000, 1,-1,-1
 4.8499999E+000, 1,-1,-1
 4.9000001E+000, 1,-1,-1
 4.9499998E+000, 1,-1,-1
 5.0000000E+000, 1,-1,-1
 5.0500002E+000, 1,-1,-1
 5.0999999E+000, 1,-1,-1
 5.1500001E+000, 1,-1,-1
 5.1999998E+000, 1,-1,-1
 5.2500000E+000, 1,-1,-1
 5.3000002E+000, 1,-1,-1
 5.3499999E+000, 1,-1,-1
 5.4000001E+000, 1,-1,-1
 5.4499998E+000, 1,-1,-1
 5.5000000E+000, 1,-1,-1
 5.5500002E+000, 1,-1,-1
 5.5999999E+000, 1,-1,-1
 5.6500001E+000, 1,-1,-1
 5.6999998E+000, 1,-1,-1
 5.7500000E+000, 1,-1,-1
 5.8000002E+000, 1,-1,-1
 5.8499999E+000, 1,-1,-1
 5.9000001E+000, 1,-1,-1
 5.9499998E+000, 1,-1,-1
 6.0000000E+000,-1,-1,-1
 6.0500002E+000,-1,-1,-1
 6.0999999E+000,-1,-1,-1
 6.1500001E+000,-1,-1,-1
 6.1999998E+000,-1,-1,-1
 6.2500000E+000,-1,-1,-1
 6.3000002E+000,-1,-1,-1
 6.3499999E+000,-1,-1,-1
 6.4000001E+000,-1,-1,-1
 6.4499998E+000,-1,-1,-1
 6.5000000E+000,-1,-1,-1
 6.5500002E+000,-1,-1,-1
 6.5999999E+000,-1,-1,-1
 6.6500001E+000,-1,-1,-1
 6.6999998E+000,-1,-1,-1
 6.7500000E+000,-1,-1,-1
 6.8000002E+000,-1,-1,-1
 6.8499999E+000,-1,-1,-1
 6.9000001E+000,-1,-1,-1
 6.9499998E+000,-1,-1,-1
 7.0000000E+000,-1,-1,-1
 7.0500002E+000,-1,-1,-1
 7.0999999E+000,-1,-1,-1
 7.1500001E+000,-1,-1,-1
 7.1999998E+000,-1,-1,-1
 7.2500000E+000,-1,-1,-1
 7.3000002E+000,-1,-1,-1
 7.3499999E+000,-1,-1,-1
 7.4000001E+000,-1,-1,-1
 7.4499998E+000,-1,-1,-1
 7.5000000E+000,-1,-1,-1
 7.5500002E+000,-1,-1,-1
 7.5999999E+000,-1,-1,-1
 7.6500001E+000,-1,-1,-1
 7.6999998E+000,-1,-1,-1
 7.7500000E+000,-1,-1,-1
 7.8000002E+000,-1,-1,-1
 7.8499999E+000,-1,-1,-1
 7.9000001E+000,-1,-1,-1
 7.9499998E+000,-1,-1,-1
 8.0000000E+000,-1,-1,-1
