s,kW,g/s,Pa,m3/h,m3/h,C,C,C,C,C,%,%,%,%,%,%,%,%
Time,"HRR","MLR","P_L1","DADM_L2","DEXT_L1","TG_L1","TG_L1_SE_105","TG_L1_SE_205","TG_L1_SE_380","TP_L1_WC_350","O2_MEAN","O2_L1_BAS","O2_L1_MILIEU","O2_L1_HAUT","CO2_MEAN","CO2_L1_BAS","CO2_L1_MILIEU","CO2_L1_HAUT"
 6.1000292E+002, 5.6174701E+002, 1.8542686E+001, 4.2360299E+002, 2.8704346E+003, 5.0381667E+003, 1.3453403E+002, 6.0314415E+001, 1.4335469E+002, 2.3000842E+002, 9.1710587E+001, 1.8916414E+001, 2.0479987E+001, 1.7695514E+001, 1.7537153E+001, 1.4401471E+000, 3.6542045E-001, 2.2805109E+000, 2.3894276E+000
 6.2001085E+002, 5.6724258E+002, 1.8769231E+001, 4.3072756E+002, 2.8570058E+003, 5.0581095E+003, 1.3603678E+002, 5.8899456E+001, 1.4899265E+002, 2.2957385E+002, 9.3435585E+001, 1.8885335E+001, 2.0475298E+001, 1.7592063E+001, 1.7550333E+001, 1.4615342E+000, 3.6864531E-001, 2.3516617E+000, 2.3803624E+000
 6.3000885E+002, 5.6752853E+002, 1.8769231E+001, 4.2213709E+002, 2.8729551E+003, 5.0476611E+003, 1.3736018E+002, 5.9309752E+001, 1.5235472E+002, 2.3254515E+002, 9.4945572E+001, 1.8852154E+001, 2.0463533E+001, 1.7586924E+001, 1.7508541E+001, 1.4843445E+000, 3.7673676E-001, 2.3551961E+000, 2.4091059E+000
 6.4000182E+002, 5.7576119E+002, 1.9093602E+001, 4.2711126E+002, 2.8635931E+003, 5.0670850E+003, 1.3858441E+002, 5.9370252E+001, 1.6082220E+002, 2.3399351E+002, 9.6705123E+001, 1.8823733E+001, 2.0448274E+001, 1.7525308E+001, 1.7441207E+001, 1.5038787E+000, 3.8723182E-001, 2.3975740E+000, 2.4554170E+000
 6.5000544E+002, 5.8053409E+002, 1.9261538E+001, 4.3343256E+002, 2.8517291E+003, 5.0779537E+003, 1.3986720E+002, 5.8449491E+001, 1.4924648E+002, 2.3197402E+002, 9.8612785E+001, 1.8793061E+001, 2.0452762E+001, 1.7543289E+001, 1.7466504E+001, 1.5249595E+000, 3.8414509E-001, 2.3852076E+000, 2.4380178E+000
 6.6000906E+002, 5.8011275E+002, 1.9261538E+001, 4.2843169E+002, 2.8607814E+003, 5.0734155E+003, 1.4105744E+002, 6.1285475E+001, 1.5821170E+002, 2.4274006E+002, 1.0038850E+002, 1.8767080E+001, 2.0435290E+001, 1.7551908E+001, 1.7366372E+001, 1.5428295E+000, 3.9616176E-001, 2.3792792E+000, 2.5068862E+000
 6.7000482E+002, 5.8830477E+002, 1.9552282E+001, 4.3422657E+002, 2.8498701E+003, 5.0858287E+003, 1.4203113E+002, 6.0355519E+001, 1.6206844E+002, 2.3750935E+002, 1.0208782E+002, 1.8745275E+001, 2.0399290E+001, 1.7351224E+001, 1.7317071E+001, 1.5577880E+000, 4.2092160E-001, 2.5173048E+000, 2.5407943E+000
 6.8000609E+002, 5.8972586E+002, 1.9630769E+001, 4.3609672E+002, 2.8463090E+003, 5.0937828E+003, 1.4334475E+002, 6.1316465E+001, 1.6178377E+002, 2.4278446E+002, 1.0386322E+002, 1.8715247E+001, 2.0399361E+001, 1.7315374E+001, 1.7307132E+001, 1.5784534E+000, 4.2087314E-001, 2.5419616E+000, 2.5476300E+000
 6.9000570E+002, 5.9389037E+002, 1.9768845E+001, 4.3178372E+002, 2.8541901E+003, 5.0918975E+003, 1.4436147E+002, 6.2158752E+001, 1.6237192E+002, 2.4092998E+002, 1.0564832E+002, 1.8689247E+001, 2.0380556E+001, 1.7373689E+001, 1.7285096E+001, 1.5963169E+000, 4.3380634E-001, 2.5018537E+000, 2.5627860E+000
 7.0000470E+002, 6.0396817E+002, 2.0191039E+001, 4.4644624E+002, 2.8266118E+003, 5.1108056E+003, 1.4583802E+002, 6.4772065E+001, 1.6128729E+002, 2.4879240E+002, 1.0736631E+002, 1.8656344E+001, 2.0367459E+001, 1.7338332E+001, 1.7296475E+001, 1.6189241E+000, 4.4281421E-001, 2.5261714E+000, 2.5549600E+000
 7.1001045E+002, 6.0645188E+002, 2.0246154E+001, 4.4014741E+002, 2.8384222E+003, 5.1170412E+003, 1.4727239E+002, 6.4268716E+001, 1.6342789E+002, 2.5039434E+002, 1.0911269E+002, 1.8622028E+001, 2.0316715E+001, 1.7242976E+001, 1.7224477E+001, 1.6424979E+000, 4.7771468E-001, 2.5917552E+000, 2.6044782E+000
 7.2000238E+002, 6.1111869E+002, 2.0472935E+001, 4.4349255E+002, 2.8319297E+003, 5.1226453E+003, 1.4828049E+002, 6.3290106E+001, 1.6052045E+002, 2.5103726E+002, 1.1079682E+002, 1.8593329E+001, 2.0301749E+001, 1.7295765E+001, 1.7197525E+001, 1.6622386E+000, 4.8800802E-001, 2.5554483E+000, 2.6230148E+000
 7.3000658E+002, 5.6092506E+002, 2.0791203E+001, 3.7246847E+002, 2.9615284E+003, 5.0148920E+003, 1.4819936E+002, 6.2677929E+001, 1.5827756E+002, 2.5247223E+002, 1.1251869E+002, 1.8574268E+001, 2.0309984E+001, 1.7269730E+001, 1.7170104E+001, 1.6753683E+000, 4.8234375E-001, 2.5733540E+000, 2.6418746E+000
 7.4001078E+002, 5.4306917E+002, 2.0861538E+001, 3.3803728E+002, 3.0246938E+003, 4.9691214E+003, 1.4606378E+002, 5.7768287E+001, 1.6642211E+002, 2.5006447E+002, 1.1492651E+002, 1.8583273E+001, 2.0320311E+001, 1.7085285E+001, 1.7102143E+001, 1.6692104E+000, 4.7524137E-001, 2.7002106E+000, 2.6886163E+000
 7.5001042E+002, 5.4894697E+002, 2.1136306E+001, 3.6176542E+002, 2.9824543E+003, 5.0055238E+003, 1.4469438E+002, 5.9012949E+001, 1.5759676E+002, 2.4940552E+002, 1.1679271E+002, 1.8587027E+001, 2.0321735E+001, 1.7319164E+001, 1.7107992E+001, 1.6666195E+000, 4.7426218E-001, 2.5393546E+000, 2.6845934E+000
 7.6000386E+002, 5.5465809E+002, 2.1357774E+001, 3.8359402E+002, 2.9433147E+003, 5.0357028E+003, 1.4454943E+002, 5.6491627E+001, 1.6150733E+002, 2.4336718E+002, 1.1801620E+002, 1.8585866E+001, 2.0325034E+001, 1.7278181E+001, 1.7045528E+001, 1.6673878E+000, 4.7199293E-001, 2.5675418E+000, 2.7275550E+000
 7.7000879E+002, 5.5804019E+002, 2.1476923E+001, 3.9662699E+002, 2.9194020E+003, 5.0569281E+003, 1.4464179E+002, 5.7104004E+001, 1.5783599E+002, 2.4942699E+002, 1.1953343E+002, 1.8586915E+001, 2.0293765E+001, 1.7339022E+001, 1.7068712E+001, 1.6666626E+000, 4.9349898E-001, 2.5256973E+000, 2.7116096E+000
 7.8000199E+002, 5.6547392E+002, 2.1757921E+001, 4.1249760E+002, 2.8902537E+003, 5.0788363E+003, 1.4533497E+002, 5.7086734E+001, 1.6122106E+002, 2.5122040E+002, 1.2091462E+002, 1.8583307E+001, 2.0300809E+001, 1.7107120E+001, 1.7134395E+001, 1.6691380E+000, 4.8865420E-001, 2.6851935E+000, 2.6664344E+000
 7.9000792E+002, 5.7254674E+002, 2.2034038E+001, 4.1868642E+002, 2.8787591E+003, 5.0971686E+003, 1.4621295E+002, 6.0037856E+001, 1.5504561E+002, 2.5379638E+002, 1.2252045E+002, 1.8567919E+001, 2.0287789E+001, 1.7243288E+001, 1.7048228E+001, 1.6797145E+000, 4.9760957E-001, 2.5915403E+000, 2.7256979E+000
 8.0000288E+002, 5.7414674E+002, 2.2092308E+001, 4.1989160E+002, 2.8762781E+003, 5.1000124E+003, 1.4727554E+002, 5.9168737E+001, 1.5880406E+002, 2.5081200E+002, 1.2425102E+002, 1.8549736E+001, 2.0296199E+001, 1.7218003E+001, 1.7086123E+001, 1.6922083E+000, 4.9182492E-001, 2.6089309E+000, 2.6996343E+000
 8.1000882E+002, 5.8018483E+002, 2.2311771E+001, 4.1966263E+002, 2.8767566E+003, 5.1096093E+003, 1.4797719E+002, 6.0587070E+001, 1.5602847E+002, 2.5918376E+002, 1.2655610E+002, 1.8529232E+001, 2.0285259E+001, 1.7210346E+001, 1.7026611E+001, 1.7062689E+000, 4.9934948E-001, 2.6141971E+000, 2.7405657E+000
 8.2000378E+002, 5.8655234E+002, 2.2563299E+001, 4.3587893E+002, 2.8465752E+003, 5.1319268E+003, 1.4879828E+002, 5.7769898E+001, 1.6109261E+002, 2.5743528E+002, 1.2835480E+002, 1.8514741E+001, 2.0275278E+001, 1.7141710E+001, 1.7001371E+001, 1.7162514E+000, 5.0621421E-001, 2.6614029E+000, 2.7579252E+000
 8.3000971E+002, 5.8571454E+002, 2.2584615E+001, 4.3046281E+002, 2.8568447E+003, 5.1302089E+003, 1.4957755E+002, 5.9345159E+001, 1.6187284E+002, 2.6052815E+002, 1.3011412E+002, 1.8498871E+001, 2.0270107E+001, 1.7083771E+001, 1.7009698E+001, 1.7271226E+000, 5.0977031E-001, 2.7012521E+000, 2.7521975E+000
 8.4000575E+002, 5.8815312E+002, 2.2607986E+001, 4.2966930E+002, 2.8581783E+003, 5.1350221E+003, 1.5023930E+002, 5.3514460E+001, 1.5925526E+002, 2.5792629E+002, 1.3224058E+002, 1.8485658E+001, 2.0249338E+001, 1.7117725E+001, 1.6971224E+001, 1.7362034E+000, 5.2405453E-001, 2.6778993E+000, 2.7786593E+000
 8.5000621E+002, 5.9631214E+002, 2.2944774E+001, 4.4182561E+002, 2.8353607E+003, 5.1509188E+003, 1.5103875E+002, 5.8323150E+001, 1.6521594E+002, 2.6529484E+002, 1.3394282E+002, 1.8471893E+001, 2.0252509E+001, 1.6976575E+001, 1.6932256E+001, 1.7456284E+000, 5.2187399E-001, 2.7749792E+000, 2.8054606E+000
 8.6000666E+002, 5.9780035E+002, 2.3012706E+001, 4.4050996E+002, 2.8378782E+003, 5.1578404E+003, 1.5189006E+002, 5.9398489E+001, 1.7280745E+002, 2.6355944E+002, 1.3597189E+002, 1.8456837E+001, 2.0247714E+001, 1.6925922E+001, 1.6916858E+001, 1.7559689E+000, 5.2517175E-001, 2.8098169E+000, 2.8160505E+000
 8.7000712E+002, 6.0459288E+002, 2.3250739E+001, 4.4990558E+002, 2.8200312E+003, 5.1727569E+003, 1.5282542E+002, 5.9072697E+001, 1.6986587E+002, 2.6528420E+002, 1.3770783E+002, 1.8445581E+001, 2.0247579E+001, 1.6884578E+001, 1.6923054E+001, 1.7637288E+000, 5.2526440E-001, 2.8382521E+000, 2.8117890E+000
 8.8000757E+002, 6.1274792E+002, 2.3548019E+001, 4.5840748E+002, 2.8036817E+003, 5.1878653E+003, 1.5372732E+002, 5.9103343E+001, 1.7115733E+002, 2.6642693E+002, 1.3962556E+002, 1.8431959E+001, 2.0249839E+001, 1.6865174E+001, 1.6904357E+001, 1.7730930E+000, 5.2371052E-001, 2.8515980E+000, 2.8246489E+000
 8.9000803E+002, 6.1483830E+002, 2.3681557E+001, 4.5891429E+002, 2.8025552E+003, 5.1929501E+003, 1.5505218E+002, 5.8382764E+001, 1.6591227E+002, 2.6895005E+002, 1.4165471E+002, 1.8408572E+001, 2.0238106E+001, 1.6985927E+001, 1.6857043E+001, 1.7891723E+000, 5.3178017E-001, 2.7685465E+000, 2.8571902E+000
 9.0000848E+002, 6.1999276E+002, 2.3882654E+001, 4.6090741E+002, 2.7987953E+003, 5.1993311E+003, 1.5619180E+002, 5.7714457E+001, 1.6614498E+002, 2.7221023E+002, 1.4372083E+002, 1.8382729E+001, 2.0229127E+001, 1.6858724E+001, 1.6831913E+001, 1.8069372E+000, 5.3795538E-001, 2.8560339E+000, 2.8744741E+000
 9.1000894E+002, 6.2348730E+002, 2.3938462E+001, 4.5615638E+002, 2.8077331E+003, 5.1944268E+003, 1.5714461E+002, 6.0838589E+001, 1.7293106E+002, 2.7319362E+002, 1.4545985E+002, 1.8362295E+001, 2.0223689E+001, 1.6785634E+001, 1.6808649E+001, 1.8209578E+000, 5.4169592E-001, 2.9063030E+000, 2.8904739E+000
 9.2000939E+002, 6.2929319E+002, 2.4241894E+001, 4.6286411E+002, 2.7950970E+003, 5.2055335E+003, 1.5810957E+002, 6.0906916E+001, 1.7919863E+002, 2.6908115E+002, 1.4742831E+002, 1.8343651E+001, 2.0229784E+001, 1.6695916E+001, 1.6787165E+001, 1.8337790E+000, 5.3750366E-001, 2.9680088E+000, 2.9052505E+000
 9.3000985E+002, 6.3670423E+002, 2.4503463E+001, 4.7506580E+002, 2.7711721E+003, 5.2304192E+003, 1.5930622E+002, 6.2857771E+001, 1.7930988E+002, 2.7316169E+002, 1.4909108E+002, 1.8323691E+001, 2.0214586E+001, 1.6734216E+001, 1.6751199E+001, 1.8475099E+000, 5.4795645E-001, 2.9416674E+000, 2.9299871E+000
 9.4001031E+002, 6.3858226E+002, 2.4553846E+001, 4.7396305E+002, 2.7733662E+003, 5.2338152E+003, 1.6043256E+002, 6.2995806E+001, 1.7654384E+002, 2.6792538E+002, 1.5050626E+002, 1.8302334E+001, 2.0189103E+001, 1.6811239E+001, 1.6810221E+001, 1.8621929E+000, 5.6548278E-001, 2.8886927E+000, 2.8893932E+000
 9.5000027E+002, 6.4696247E+002, 2.4917843E+001, 4.7660074E+002, 2.7680139E+003, 5.2422321E+003, 1.6170469E+002, 6.5334342E+001, 1.8100574E+002, 2.8051659E+002, 1.5224041E+002, 1.8277204E+001, 2.0203919E+001, 1.6666937E+001, 1.6698892E+001, 1.8794319E+000, 5.5529315E-001, 2.9879401E+000, 2.9659621E+000
 9.6000072E+002, 6.5270062E+002, 2.5113294E+001, 4.7708859E+002, 2.7667679E+003, 5.2462105E+003, 1.6315496E+002, 6.3405963E+001, 1.8793988E+002, 2.8102214E+002, 1.5448390E+002, 1.8244994E+001, 2.0184789E+001, 1.6655440E+001, 1.6725007E+001, 1.9015416E+000, 5.6844989E-001, 2.9958473E+000, 2.9480010E+000
 9.7000118E+002, 6.5414568E+002, 2.5169231E+001, 4.7272550E+002, 2.7749827E+003, 5.2550873E+003, 1.6424178E+002, 6.7054582E+001, 1.8964774E+002, 2.7842854E+002, 1.5685167E+002, 1.8215882E+001, 2.0184890E+001, 1.6583322E+001, 1.6652125E+001, 1.9215914E+000, 5.6838075E-001, 3.0454486E+000, 2.9981273E+000
 9.8000163E+002, 6.6245541E+002, 2.5552476E+001, 4.8320550E+002, 2.7549453E+003, 5.2655484E+003, 1.6512294E+002, 6.2015758E+001, 1.9173867E+002, 2.8045696E+002, 1.5903944E+002, 1.8196744E+001, 2.0182904E+001, 1.6499445E+001, 1.6657347E+001, 1.9346538E+000, 5.6974669E-001, 3.1031366E+000, 2.9945358E+000
 9.9000209E+002, 6.6841780E+002, 2.5661538E+001, 4.8067730E+002, 2.7597387E+003, 5.2634700E+003, 1.6649111E+002, 6.6321264E+001, 1.9086983E+002, 2.8622811E+002, 1.6135580E+002, 1.8159459E+001, 2.0173821E+001, 1.6558803E+001, 1.6607299E+001, 1.9602999E+000, 5.7599367E-001, 3.0623123E+000, 3.0289578E+000
 1.0000025E+003, 6.6630977E+002, 2.5665946E+001, 4.7795337E+002, 2.7650035E+003, 5.2636436E+003, 1.6750458E+002, 6.6394599E+001, 2.1062071E+002, 2.9127109E+002, 1.6360477E+002, 1.8130083E+001, 2.0152268E+001, 1.6451698E+001, 1.6530116E+001, 1.9804965E+000, 5.9081744E-001, 3.1359761E+000, 3.0820424E+000
 1.0100030E+003, 6.7414063E+002, 2.5905836E+001, 4.8338384E+002, 2.7545772E+003, 5.2886145E+003, 1.6850260E+002, 6.6058075E+001, 1.9904278E+002, 2.8737954E+002, 1.6595739E+002, 1.8104469E+001, 2.0151727E+001, 1.6372280E+001, 1.6492481E+001, 1.9981241E+000, 5.9118901E-001, 3.1905979E+000, 3.1079268E+000
 1.0200017E+003, 6.7372577E+002, 2.5957512E+001, 4.8456852E+002, 2.7520791E+003, 5.2769816E+003, 1.6965311E+002, 6.6592988E+001, 2.0584447E+002, 2.8739764E+002, 1.6781789E+002, 1.8075834E+001, 2.0139253E+001, 1.6341943E+001, 1.6475229E+001, 2.0178241E+000, 5.9976885E-001, 3.2114626E+000, 3.1197921E+000
 1.0300095E+003, 6.7785774E+002, 2.6030769E+001, 4.8355781E+002, 2.7539374E+003, 5.2806319E+003, 1.7049345E+002, 6.8836448E+001, 1.9607054E+002, 2.9323051E+002, 1.6988649E+002, 1.8045757E+001, 2.0125835E+001, 1.6397800E+001, 1.6396281E+001, 2.0384644E+000, 6.0899690E-001, 3.1730460E+000, 3.1740906E+000
 1.0400086E+003, 6.8723923E+002, 2.6466989E+001, 4.9491655E+002, 2.7320048E+003, 5.3078499E+003, 1.7143682E+002, 7.2073517E+001, 2.0230739E+002, 2.8619220E+002, 1.7203918E+002, 1.8025302E+001, 2.0119348E+001, 1.6365577E+001, 1.6366280E+001, 2.0525244E+000, 6.1345837E-001, 3.1952083E+000, 3.1947245E+000
 1.0500055E+003, 6.9079438E+002, 2.6595373E+001, 4.9721805E+002, 2.7275600E+003, 5.3101802E+003, 1.7278478E+002, 7.2279389E+001, 2.0621452E+002, 2.9847097E+002, 1.7427650E+002, 1.7988615E+001, 2.0106784E+001, 1.6374038E+001, 1.6356580E+001, 2.0777334E+000, 6.2210026E-001, 3.1893889E+000, 3.2013956E+000
 1.0600024E+003, 6.9136763E+002, 2.6646960E+001, 4.9293839E+002, 2.7355020E+003, 5.3055779E+003, 1.7401610E+002, 7.3145174E+001, 2.0887099E+002, 2.9317787E+002, 1.7655402E+002, 1.7963289E+001, 2.0101866E+001, 1.6220177E+001, 1.6277368E+001, 2.0951397E+000, 6.2548273E-001, 3.2952107E+000, 3.2558758E+000
 1.0700095E+003, 7.0084381E+002, 2.6886311E+001, 5.0025946E+002, 2.7211485E+003, 5.3181817E+003, 1.7503081E+002, 7.4958069E+001, 2.0109003E+002, 2.8996546E+002, 1.7852901E+002, 1.7941724E+001, 2.0055127E+001, 1.6346674E+001, 1.6356683E+001, 2.1099569E+000, 6.5762805E-001, 3.2082088E+000, 3.2013253E+000
 1.0800064E+003, 7.0140335E+002, 2.7010787E+001, 4.9832927E+002, 2.7248275E+003, 5.3257495E+003, 1.7603736E+002, 7.3280038E+001, 2.1802473E+002, 3.0100786E+002, 1.8092402E+002, 1.7912054E+001, 2.0072984E+001, 1.6236134E+001, 1.6253469E+001, 2.1304028E+000, 6.4534694E-001, 3.2842354E+000, 3.2723129E+000
 1.0900033E+003, 7.0850974E+002, 2.7282939E+001, 5.0022232E+002, 2.7208432E+003, 5.3297297E+003, 1.7702431E+002, 7.2782570E+001, 2.1727272E+002, 3.0371104E+002, 1.8272434E+002, 1.7884607E+001, 2.0033816E+001, 1.6085879E+001, 1.6251465E+001, 2.1492431E+000, 6.7228566E-001, 3.3875776E+000, 3.2736911E+000
 1.1000002E+003, 7.1357673E+002, 2.7507692E+001, 5.0420291E+002, 2.7132811E+003, 5.3320208E+003, 1.7831818E+002, 7.0163349E+001, 2.2080323E+002, 3.0213992E+002, 1.8518327E+002, 1.7851464E+001, 2.0038264E+001, 1.6154028E+001, 1.6213793E+001, 2.1719672E+000, 6.6922627E-001, 3.3407063E+000, 3.2996015E+000
 1.1100072E+003, 7.1935879E+002, 2.7672564E+001, 5.0852340E+002, 2.7044151E+003, 5.3472757E+003, 1.7955841E+002, 7.6812913E+001, 2.1893585E+002, 3.0269502E+002, 1.8796253E+002, 1.7821883E+001, 2.0023981E+001, 1.6067720E+001, 1.6219025E+001, 2.1922968E+000, 6.7904958E-001, 3.4000666E+000, 3.2960027E+000
 1.1200041E+003, 7.2574663E+002, 2.7907061E+001, 5.0676075E+002, 2.7078878E+003, 5.3500454E+003, 1.8082670E+002, 7.5895834E+001, 2.2145296E+002, 3.0349853E+002, 1.9057564E+002, 1.7788532E+001, 2.0013852E+001, 1.5980719E+001, 1.6208283E+001, 2.2152112E+000, 6.8601612E-001, 3.4599035E+000, 3.3033912E+000
 1.1300010E+003, 7.3267898E+002, 2.8123077E+001, 5.1027437E+002, 2.7007953E+003, 5.3571834E+003, 1.8197398E+002, 7.8867748E+001, 2.2277033E+002, 2.9861149E+002, 1.9329562E+002, 1.7748356E+001, 2.0008579E+001, 1.6080159E+001, 1.6099466E+001, 2.2428862E+000, 6.8964257E-001, 3.3915116E+000, 3.3782328E+000
 1.1400080E+003, 7.3322567E+002, 2.8309023E+001, 5.0962559E+002, 2.7018574E+003, 5.3660532E+003, 1.8292847E+002, 7.8140430E+001, 2.2096044E+002, 3.0527969E+002, 1.9535413E+002, 1.7717604E+001, 1.9969575E+001, 1.6001063E+001, 1.6081297E+001, 2.2639727E+000, 7.1646904E-001, 3.4459115E+000, 3.3907289E+000
 1.1500049E+003, 7.4198612E+002, 2.8513824E+001, 5.1780390E+002, 2.6853579E+003, 5.3800826E+003, 1.8433544E+002, 7.6562623E+001, 2.2128832E+002, 3.1089026E+002, 1.9795288E+002, 1.7675226E+001, 1.9960703E+001, 1.5998748E+001, 1.6036058E+001, 2.2930772E+000, 7.2257071E-001, 3.4475038E+000, 3.4218427E+000
 1.1600018E+003, 7.4663916E+002, 2.8738462E+001, 5.1842107E+002, 2.6845346E+003, 5.3816703E+003, 1.8546933E+002, 7.7248354E+001, 2.2590211E+002, 3.0989579E+002, 1.9965510E+002, 1.7638073E+001, 1.9925186E+001, 1.5881277E+001, 1.5972769E+001, 2.3186345E+000, 7.4699870E-001, 3.5282976E+000, 3.4653712E+000
 1.1700088E+003, 7.5033206E+002, 2.8846995E+001, 5.1207583E+002, 2.6970978E+003, 5.3725166E+003, 1.8658583E+002, 7.9507409E+001, 2.2141583E+002, 3.1230704E+002, 2.0229411E+002, 1.7603716E+001, 1.9900512E+001, 1.5869976E+001, 1.5870518E+001, 2.3421666E+000, 7.6396856E-001, 3.5360696E+000, 3.5356968E+000
 1.1800057E+003, 7.5249709E+002, 2.8984615E+001, 5.1612867E+002, 2.6886321E+003, 5.3878786E+003, 1.8774745E+002, 7.8107878E+001, 2.4022741E+002, 3.1052394E+002, 2.0528214E+002, 1.7567936E+001, 1.9894498E+001, 1.5872699E+001, 1.5812657E+001, 2.3667987E+000, 7.6810475E-001, 3.5341972E+000, 3.5754923E+000
 1.1900026E+003, 7.5399677E+002, 2.8984615E+001, 5.1437818E+002, 2.6924708E+003, 5.3883302E+003, 1.8842177E+002, 7.6229012E+001, 2.2525360E+002, 3.1791566E+002, 2.0846069E+002, 1.7538764E+001, 1.9858996E+001, 1.5811838E+001, 1.5816268E+001, 2.3868309E+000, 7.9252208E-001, 3.5760559E+000, 3.5730092E+000
 1.2000097E+003, 7.5805286E+002, 2.9158513E+001, 5.1898487E+002, 2.6831133E+003, 5.3931738E+003, 1.8939660E+002, 7.6492701E+001, 2.3387684E+002, 3.1294655E+002, 2.1130975E+002, 1.7509857E+001, 1.9882775E+001, 1.5797868E+001, 1.5794085E+001, 2.4067263E+000, 7.7616772E-001, 3.5856637E+000, 3.5882661E+000
 1.2100066E+003, 7.6439550E+002, 2.9411945E+001, 5.2467835E+002, 2.6714167E+003, 5.4126001E+003, 1.9041596E+002, 8.4226224E+001, 2.3693180E+002, 3.2527827E+002, 2.1327545E+002, 1.7483151E+001, 1.9866597E+001, 1.5657721E+001, 1.5744075E+001, 2.4251189E+000, 7.8729458E-001, 3.6820534E+000, 3.6226616E+000
 1.2200034E+003, 7.6889988E+002, 2.9600000E+001, 5.2982819E+002, 2.6608130E+003, 5.4172761E+003, 1.9154333E+002, 8.2365542E+001, 2.2910136E+002, 3.2563612E+002, 2.1509172E+002, 1.7456170E+001, 1.9837765E+001, 1.5589065E+001, 1.5780530E+001, 2.4436055E+000, 8.0712431E-001, 3.7292736E+000, 3.5975884E+000
 1.2300007E+003, 7.7179845E+002, 2.9692586E+001, 5.2836116E+002, 2.6641224E+003, 5.4174524E+003, 1.9251508E+002, 8.2359930E+001, 2.3159447E+002, 3.2074817E+002, 2.1766689E+002, 1.7432745E+001, 1.9827598E+001, 1.5624621E+001, 1.5651835E+001, 2.4596899E+000, 8.1411728E-001, 3.7048188E+000, 3.6861019E+000
 1.2400004E+003, 7.7375500E+002, 2.9818485E+001, 5.3090338E+002, 2.6590186E+003, 5.4238184E+003, 1.9381222E+002, 8.1815038E+001, 2.3327323E+002, 3.2794809E+002, 2.1797978E+002, 1.7404534E+001, 1.9793178E+001, 1.5614523E+001, 1.5652678E+001, 2.4791230E+000, 8.3779008E-001, 3.7117638E+000, 3.6855220E+000
 1.2500048E+003, 7.8049955E+002, 3.0028339E+001, 5.2752300E+002, 2.6657425E+003, 5.4268683E+003, 1.9482565E+002, 8.4490559E+001, 2.3809317E+002, 3.3571891E+002, 2.2092635E+002, 1.7376547E+001, 1.9760084E+001, 1.5616043E+001, 1.5534963E+001, 2.4983247E+000, 8.6055131E-001, 3.7107189E+000, 3.7664835E+000
 1.2600092E+003, 7.9006414E+002, 3.0319426E+001, 5.3606532E+002, 2.6485028E+003, 5.4401875E+003, 1.9591349E+002, 8.6161672E+001, 2.3610364E+002, 3.3065508E+002, 2.2348716E+002, 1.7346508E+001, 1.9746048E+001, 1.5492430E+001, 1.5621066E+001, 2.5189523E+000, 8.7020527E-001, 3.7957368E+000, 3.7072639E+000
 1.2700035E+003, 7.9184651E+002, 3.0456637E+001, 5.3429507E+002, 2.6516363E+003, 5.4394553E+003, 1.9691897E+002, 8.4126755E+001, 2.4189914E+002, 3.2703646E+002, 2.2532749E+002, 1.7319737E+001, 1.9732791E+001, 1.5553296E+001, 1.5527054E+001, 2.5373260E+000, 8.7932289E-001, 3.7538742E+000, 3.7719231E+000
 1.2800078E+003, 7.9586866E+002, 3.0679980E+001, 5.3829765E+002, 2.6434620E+003, 5.4523136E+003, 1.9799266E+002, 8.5870690E+001, 2.4080863E+002, 3.2689819E+002, 2.2811813E+002, 1.7291530E+001, 1.9692944E+001, 1.5419851E+001, 1.5621420E+001, 2.5567660E+000, 9.0672852E-001, 3.8456543E+000, 3.7070204E+000
 1.2900028E+003, 8.0334945E+002, 3.0938619E+001, 5.4361414E+002, 2.6324716E+003, 5.4633096E+003, 1.9954682E+002, 8.9475722E+001, 2.3992650E+002, 3.2896304E+002, 2.3121646E+002, 1.7245456E+001, 1.9676045E+001, 1.5441801E+001, 1.5477320E+001, 2.5884436E+000, 9.1835156E-001, 3.8305578E+000, 3.8061288E+000
 1.3000057E+003, 8.0749453E+002, 3.1079379E+001, 5.4398229E+002, 2.6317891E+003, 5.4636703E+003, 2.0080014E+002, 9.1599684E+001, 2.4816349E+002, 3.2731520E+002, 2.3324326E+002, 1.7221505E+001, 1.9632908E+001, 1.5347729E+001, 1.5462244E+001, 2.6048902E+000, 9.4802023E-001, 3.8952582E+000, 3.8164975E+000
 1.3100087E+003, 8.1353360E+002, 3.1317370E+001, 5.3101154E+002, 2.6580376E+003, 5.4529474E+003, 2.0180136E+002, 9.0092321E+001, 2.4951624E+002, 3.3371634E+002, 2.3698198E+002, 1.7183065E+001, 1.9637302E+001, 1.5384190E+001, 1.5526981E+001, 2.6312907E+000, 9.4499817E-001, 3.8701810E+000, 3.7719732E+000
 1.3200018E+003, 8.1992287E+002, 3.1498203E+001, 5.4473701E+002, 2.6302876E+003, 5.4761538E+003, 2.0247293E+002, 8.8877611E+001, 2.5414010E+002, 3.3746699E+002, 2.3977437E+002, 1.7149053E+001, 1.9630796E+001, 1.5281662E+001, 1.5418320E+001, 2.6546345E+000, 9.4947234E-001, 3.9406974E+000, 3.8467076E+000
