s,kW,g/s,Pa,m3/h,m3/h,C,C,C,C,C,%,%,%,%,%,%,%,%
Time,"HRR","MLR","P_L1","DADM_L2","DEXT_L1","TG_L1","TG_L1_SE_105","TG_L1_SE_205","TG_L1_SE_380","TP_L1_WC_350","O2_MEAN","O2_L1_BAS","O2_L1_MILIEU","O2_L1_HAUT","CO2_MEAN","CO2_L1_BAS","CO2_L1_MILIEU","CO2_L1_HAUT"
 6.0008512E+001, 1.0377049E+002, 9.2307692E-001, 8.8823897E+001, 3.4429302E+003, 3.9479487E+003, 3.2919776E+001, 2.3041312E+001, 3.0396436E+001, 4.9597927E+001, 2.1815635E+001, 2.0771901E+001, 2.0934430E+001, 2.0722760E+001, 2.0626118E+001, 1.6457423E-001, 5.2865498E-002, 1.9844739E-001, 2.6491516E-001
 7.0010745E+001, 1.4114899E+002, 2.3807732E+000, 1.3686718E+002, 3.3673287E+003, 4.0303260E+003, 3.5278822E+001, 2.2992693E+001, 3.5367610E+001, 5.3068676E+001, 2.2068025E+001, 2.0737449E+001, 2.0935933E+001, 2.0679859E+001, 2.0567409E+001, 1.8824998E-001, 5.1832354E-002, 2.2795368E-001, 3.0529396E-001
 8.0001109E+001, 1.4401807E+002, 2.4615385E+000, 1.3944198E+002, 3.3631819E+003, 4.0538975E+003, 3.7997165E+001, 2.3151551E+001, 3.8926113E+001, 5.8966433E+001, 2.2701759E+001, 2.0696527E+001, 2.0928517E+001, 2.0614002E+001, 2.0512119E+001, 2.1640045E-001, 5.6932884E-002, 2.7324835E-001, 3.4332065E-001
 9.0004497E+001, 1.4357620E+002, 2.4615385E+000, 1.3203952E+002, 3.3748750E+003, 4.0601045E+003, 4.0214543E+001, 2.4269867E+001, 3.9689214E+001, 5.9500675E+001, 2.3085819E+001, 2.0661917E+001, 2.0923123E+001, 2.0589068E+001, 2.0431082E+001, 2.4020181E-001, 6.0642291E-002, 2.9039734E-001, 3.9905620E-001
 1.0001282E+002, 1.9616929E+002, 4.5027500E+000, 1.9553853E+002, 3.2722723E+003, 4.1784297E+003, 4.3325555E+001, 2.5031705E+001, 4.2491424E+001, 6.5934631E+001, 2.3410241E+001, 2.0615704E+001, 2.0928598E+001, 2.0521547E+001, 2.0391687E+001, 2.7195523E-001, 5.6876673E-002, 3.3683655E-001, 4.2615049E-001
 1.1000594E+002, 1.9969620E+002, 4.6153846E+000, 1.9937565E+002, 3.2661331E+003, 4.2104583E+003, 4.6795585E+001, 2.6056228E+001, 4.9974011E+001, 7.4135777E+001, 2.4399083E+001, 2.0561705E+001, 2.0922773E+001, 2.0377369E+001, 2.0292449E+001, 3.0908923E-001, 6.0882916E-002, 4.3599823E-001, 4.9440402E-001
 1.2001199E+002, 1.9969870E+002, 4.6153846E+000, 1.8974310E+002, 3.2817929E+003, 4.2088502E+003, 4.9649185E+001, 2.9222716E+001, 4.9259869E+001, 7.6779816E+001, 2.4704140E+001, 2.0515623E+001, 2.0915000E+001, 2.0352915E+001, 2.0205819E+001, 3.4078576E-001, 6.6229445E-002, 4.5281708E-001, 5.5398641E-001
 1.3000213E+002, 2.6738904E+002, 7.2405924E+000, 2.7362289E+002, 3.1416500E+003, 4.3618271E+003, 5.3892617E+001, 2.9572578E+001, 5.3850327E+001, 8.7027300E+001, 2.5547104E+001, 2.0452539E+001, 2.0904031E+001, 2.0286970E+001, 2.0137380E+001, 3.8412216E-001, 7.3773418E-002, 4.9817276E-001, 6.0105687E-001
 1.4000391E+002, 2.7153338E+002, 7.3846154E+000, 2.7436613E+002, 3.1403303E+003, 4.4015699E+003, 5.8558839E+001, 2.7955281E+001, 5.9211725E+001, 9.4773627E+001, 2.6518760E+001, 2.0378855E+001, 2.0910091E+001, 2.0039167E+001, 2.0026544E+001, 4.3479424E-001, 6.9605231E-002, 6.6860499E-001, 6.7728669E-001
 1.5000569E+002, 2.7175696E+002, 7.3846154E+000, 2.5621184E+002, 3.1711846E+003, 4.3958326E+003, 6.2080237E+001, 2.9798232E+001, 6.2872158E+001, 1.0229855E+002, 2.7343741E+001, 2.0318400E+001, 2.0899543E+001, 2.0037650E+001, 1.9875818E+001, 4.7637224E-001, 7.6859935E-002, 6.6964869E-001, 7.8095277E-001
 1.6000699E+002, 3.5677839E+002, 1.0708373E+001, 3.6841638E+002, 2.9751327E+003, 4.5964293E+003, 6.7621619E+001, 3.2497421E+001, 6.7275521E+001, 1.2081503E+002, 2.9309319E+001, 2.0237096E+001, 2.0898530E+001, 1.9928792E+001, 1.9777318E+001, 5.3222212E-001, 7.7556920E-002, 7.4451805E-001, 8.4869869E-001
 1.7000983E+002, 3.6469009E+002, 1.0958149E+001, 3.6322534E+002, 2.9850191E+003, 4.6479642E+003, 7.3604368E+001, 3.4871906E+001, 7.4110168E+001, 1.3366690E+002, 3.1523962E+001, 2.0143824E+001, 2.0884263E+001, 1.9825694E+001, 1.9516799E+001, 5.9636375E-001, 8.7369594E-002, 8.1542623E-001, 1.0278770E+000
 1.8000510E+002, 3.6588920E+002, 1.1015385E+001, 3.3921179E+002, 3.0278141E+003, 4.6385354E+003, 7.7690271E+001, 3.3337560E+001, 7.6998918E+001, 1.3839121E+002, 3.3714866E+001, 2.0072348E+001, 2.0866727E+001, 1.9825250E+001, 1.9280585E+001, 6.4551535E-001, 9.9430108E-002, 8.1573186E-001, 1.1903387E+000
 1.9000857E+002, 3.6818423E+002, 1.1092455E+001, 3.1969334E+002, 3.0619913E+003, 4.6385631E+003, 8.0505195E+001, 3.4140196E+001, 8.0851034E+001, 1.4502237E+002, 3.5605064E+001, 2.0015910E+001, 2.0849470E+001, 1.9747020E+001, 1.9198243E+001, 6.8432524E-001, 1.1129908E-001, 8.6953670E-001, 1.2469717E+000
 2.0001040E+002, 3.6943811E+002, 1.1138462E+001, 3.1495871E+002, 3.0699532E+003, 4.6328270E+003, 8.2846265E+001, 3.1842342E+001, 8.6821737E+001, 1.4623859E+002, 3.6932071E+001, 1.9970286E+001, 2.0879997E+001, 1.9538913E+001, 1.9131814E+001, 7.1569402E-001, 9.0303319E-002, 1.0126673E+000, 1.2926597E+000
 2.1000024E+002, 3.6918009E+002, 1.1141119E+001, 3.0397527E+002, 3.0887428E+003, 4.6347997E+003, 8.4736771E+001, 3.3822864E+001, 8.8571703E+001, 1.5380638E+002, 3.8352213E+001, 1.9929535E+001, 2.0870802E+001, 1.9396981E+001, 1.9055948E+001, 7.4371564E-001, 9.6627223E-002, 1.1102847E+000, 1.3448384E+000
 2.2000207E+002, 3.7232736E+002, 1.1261103E+001, 3.0499487E+002, 3.0869459E+003, 4.6397232E+003, 8.6190248E+001, 3.6531947E+001, 9.0533966E+001, 1.5456780E+002, 3.9821981E+001, 1.9897621E+001, 2.0863480E+001, 1.9219323E+001, 1.8959125E+001, 7.6566705E-001, 1.0166337E-001, 1.2324730E+000, 1.4114306E+000
 2.3000401E+002, 3.7240959E+002, 1.1261538E+001, 3.0117132E+002, 3.0933542E+003, 4.6387669E+003, 8.7611756E+001, 3.5798358E+001, 9.1183214E+001, 1.5601847E+002, 4.1021504E+001, 1.9868483E+001, 2.0838227E+001, 1.9346737E+001, 1.8928614E+001, 7.8569683E-001, 1.1903201E-001, 1.1448411E+000, 1.4324158E+000
 2.4001023E+002, 3.7270347E+002, 1.1261538E+001, 2.9920860E+002, 3.0968174E+003, 4.6406329E+003, 8.8670301E+001, 3.6394172E+001, 9.8057339E+001, 1.5819545E+002, 4.2360216E+001, 1.9847657E+001, 2.0860212E+001, 1.9122102E+001, 1.8851793E+001, 8.0002249E-001, 1.0391118E-001, 1.2993393E+000, 1.4852513E+000
 2.5001084E+002, 3.7715657E+002, 1.1443722E+001, 2.9913099E+002, 3.0969025E+003, 4.6505283E+003, 8.9755227E+001, 3.6225672E+001, 9.6676223E+001, 1.6105401E+002, 4.3566262E+001, 1.9823033E+001, 2.0833876E+001, 1.9314991E+001, 1.8795737E+001, 8.1694661E-001, 1.2202407E-001, 1.1666749E+000, 1.5238049E+000
 2.6000663E+002, 3.8179276E+002, 1.1630769E+001, 3.0576581E+002, 3.0854110E+003, 4.6666869E+003, 9.0940101E+001, 3.6248708E+001, 9.3855533E+001, 1.5905206E+002, 4.4861285E+001, 1.9799201E+001, 2.0818632E+001, 1.9226553E+001, 1.8745568E+001, 8.3332993E-001, 1.3250867E-001, 1.2275006E+000, 1.5583102E+000
 2.7000238E+002, 3.8391910E+002, 1.1698762E+001, 3.0214683E+002, 3.0915771E+003, 4.6711888E+003, 9.1929440E+001, 3.7778401E+001, 9.3969039E+001, 1.6153185E+002, 4.6224213E+001, 1.9778764E+001, 2.0801969E+001, 1.9313953E+001, 1.8746129E+001, 8.4738141E-001, 1.4396930E-001, 1.1673889E+000, 1.5579243E+000
 2.8000994E+002, 3.8849447E+002, 1.1876923E+001, 3.0987961E+002, 3.0780032E+003, 4.6828801E+003, 9.2960538E+001, 3.9575424E+001, 9.8803812E+001, 1.6543455E+002, 4.7432899E+001, 1.9759001E+001, 2.0811883E+001, 1.9348354E+001, 1.8706152E+001, 8.6096772E-001, 1.3715089E-001, 1.1437287E+000, 1.5854197E+000
 2.9000664E+002, 3.8801892E+002, 1.1876923E+001, 3.0816499E+002, 3.0810156E+003, 4.6901617E+003, 9.3821777E+001, 3.9858133E+001, 9.7633232E+001, 1.6710863E+002, 4.8542443E+001, 1.9740523E+001, 2.0806490E+001, 1.9042332E+001, 1.8700913E+001, 8.7368153E-001, 1.4085959E-001, 1.3542034E+000, 1.5890226E+000
 3.0000966E+002, 3.9416433E+002, 1.2074840E+001, 3.1303338E+002, 3.0723911E+003, 4.6969430E+003, 9.4792066E+001, 4.2834977E+001, 1.0016850E+002, 1.6621563E+002, 4.9983275E+001, 1.9721420E+001, 2.0784122E+001, 1.9158613E+001, 1.8670047E+001, 8.8680734E-001, 1.5624401E-001, 1.2742279E+000, 1.6102518E+000
 3.1000709E+002, 3.9446416E+002, 1.2123682E+001, 3.1415203E+002, 3.0701658E+003, 4.7051126E+003, 9.5838078E+001, 4.1532159E+001, 1.0106636E+002, 1.6756662E+002, 5.1014796E+001, 1.9701718E+001, 2.0768547E+001, 1.9026113E+001, 1.8621068E+001, 9.0034914E-001, 1.6695579E-001, 1.3653581E+000, 1.6439381E+000
 3.2000356E+002, 3.9826905E+002, 1.2244514E+001, 3.1548427E+002, 3.0676987E+003, 4.7105850E+003, 9.6754167E+001, 3.9879792E+001, 1.0285490E+002, 1.7368591E+002, 5.2169313E+001, 1.9686348E+001, 2.0779006E+001, 1.9034313E+001, 1.8636268E+001, 9.1092125E-001, 1.5976237E-001, 1.3597185E+000, 1.6334841E+000
 3.3000037E+002, 4.0441415E+002, 1.2486743E+001, 3.2520840E+002, 3.0506081E+003, 4.7210570E+003, 9.8000388E+001, 4.5643500E+001, 1.0338601E+002, 1.7450376E+002, 5.3247763E+001, 1.9668570E+001, 2.0750470E+001, 1.8874479E+001, 1.8571473E+001, 9.2314309E-001, 1.7938906E-001, 1.4696485E+000, 1.6780481E+000
 3.4000170E+002, 4.0641872E+002, 1.2569965E+001, 3.2183224E+002, 3.0566466E+003, 4.7275355E+003, 9.9226736E+001, 4.1299883E+001, 1.0771602E+002, 1.7631240E+002, 5.4252698E+001, 1.9646076E+001, 2.0751558E+001, 1.8922398E+001, 1.8561799E+001, 9.3860223E-001, 1.7864035E-001, 1.4366909E+000, 1.6847021E+000
