s,kW,kg/s,Pa,kg/s,kg/s,C,C,C,C,C,%,%,%,%,%,%,%,%
Time,"HRR","MLR","P_L1","Minlet","Moutlet","TG_L1","TG_L1_SE_105","TG_L1_SE_205","TG_L1_SE_390","TP_L1_WC_350","O2","O2_L1_BAS","O2_L1_MILIEU","O2_L1_HAUT","CO2","CO2_L1_BAS","CO2_L1_MILIEU","CO2_L1_HAUT"
 6.5000046E+002, 7.8078253E+002, 6.2600000E-002, 2.0031144E+002, 1.0750861E+000, 1.1957047E+000, 2.2600094E+002, 1.3245317E+002, 2.1554267E+002, 3.6531783E+002, 1.9629081E+002, 1.4755716E+001, 1.6963293E+001, 1.3857369E+001, 1.3453793E+001, 3.4349877E+000, 2.2271360E+000, 3.9298849E+000, 4.1511358E+000
 6.6001221E+002, 7.8423115E+002, 6.2779450E-002, 1.8617662E+002, 1.0826364E+000, 1.1883015E+000, 2.2862334E+002, 1.3963205E+002, 2.1388823E+002, 3.6519634E+002, 1.9977427E+002, 1.4680338E+001, 1.6923845E+001, 1.3793728E+001, 1.3241423E+001, 3.4761337E+000, 2.2487624E+000, 3.9647746E+000, 4.2675626E+000
 6.7000548E+002, 7.9433829E+002, 6.3622415E-002, 1.8218026E+002, 1.0850360E+000, 1.1848162E+000, 2.2962122E+002, 1.3894169E+002, 2.2071744E+002, 3.6615579E+002, 2.0524612E+002, 1.4616855E+001, 1.6881778E+001, 1.3139142E+001, 1.3283618E+001, 3.5108801E+000, 2.2718245E+000, 4.3236359E+000, 4.2444302E+000
 6.8000457E+002, 7.9597105E+002, 6.3800000E-002, 1.9830356E+002, 1.0761845E+000, 1.1876485E+000, 2.3215068E+002, 1.4225720E+002, 2.3016971E+002, 3.7554148E+002, 2.0860306E+002, 1.4552500E+001, 1.6894665E+001, 1.2949668E+001, 1.3308022E+001, 3.5460886E+000, 2.2647595E+000, 4.4275101E+000, 4.2310514E+000
 6.9000162E+002, 8.1116432E+002, 6.4737016E-002, 2.0985088E+002, 1.0699609E+000, 1.1910113E+000, 2.3496872E+002, 1.4471324E+002, 2.2085228E+002, 3.7542592E+002, 2.1205047E+002, 1.4489233E+001, 1.6777028E+001, 1.3342409E+001, 1.3288856E+001, 3.5808384E+000, 2.3292515E+000, 4.2121991E+000, 4.2415583E+000
 7.0000727E+002, 8.1925327E+002, 6.5621601E-002, 1.9334536E+002, 1.0787726E+000, 1.1806281E+000, 2.3702505E+002, 1.5043503E+002, 2.2239723E+002, 3.7445731E+002, 2.1586602E+002, 1.4423755E+001, 1.6584720E+001, 1.3372653E+001, 1.3089588E+001, 3.6165616E+000, 2.4346797E+000, 4.1956188E+000, 4.3508024E+000
 7.1001129E+002, 8.1990360E+002, 6.5800000E-002, 1.7627274E+002, 1.0879967E+000, 1.1707912E+000, 2.3771075E+002, 1.4553331E+002, 2.2702365E+002, 3.8253639E+002, 2.2360890E+002, 1.4368730E+001, 1.6651175E+001, 1.3091869E+001, 1.3011904E+001, 3.6467327E+000, 2.3982475E+000, 4.3495522E+000, 4.3933909E+000
 7.2001432E+002, 8.3639265E+002, 6.6738013E-002, 1.9643462E+002, 1.0771397E+000, 1.1786842E+000, 2.3917743E+002, 1.5156291E+002, 2.1800060E+002, 3.7505619E+002, 2.3046395E+002, 1.4313673E+001, 1.6622610E+001, 1.2762305E+001, 1.3115203E+001, 3.6769119E+000, 2.4139073E+000, 4.5302275E+000, 4.3367598E+000
 7.3001316E+002, 8.4349543E+002, 6.7623303E-002, 2.2147332E+002, 1.0632112E+000, 1.1878272E+000, 2.4179932E+002, 1.5326915E+002, 2.4216244E+002, 3.8370772E+002, 2.3367407E+002, 1.4235549E+001, 1.6472433E+001, 1.2723400E+001, 1.2871406E+001, 3.7197819E+000, 2.4962385E+000, 4.5515565E+000, 4.4704157E+000
 7.4000024E+002, 8.4613744E+002, 6.7800000E-002, 2.0720411E+002, 1.0710502E+000, 1.1772356E+000, 2.4432096E+002, 1.4922634E+002, 2.4197053E+002, 3.9567544E+002, 2.3371603E+002, 1.4167281E+001, 1.6470393E+001, 1.2544296E+001, 1.2793049E+001, 3.7570053E+000, 2.4973564E+000, 4.6497457E+000, 4.5133730E+000
 7.5000989E+002, 8.5851435E+002, 6.8737777E-002, 1.8021830E+002, 1.0857354E+000, 1.1667168E+000, 2.4511092E+002, 1.4687247E+002, 2.3481956E+002, 3.8536233E+002, 2.4776498E+002, 1.4106323E+001, 1.6503477E+001, 1.2845283E+001, 1.2621979E+001, 3.7902800E+000, 2.4792189E+000, 4.4847367E+000, 4.6071581E+000
 7.6001137E+002, 8.3485332E+002, 6.6924088E-002, 1.9797665E+002, 1.0760538E+000, 1.1722487E+000, 2.4696638E+002, 1.5763841E+002, 2.3922747E+002, 3.9108667E+002, 2.5008967E+002, 1.4054506E+001, 1.6368250E+001, 1.3022983E+001, 1.2603405E+001, 3.8188566E+000, 2.5533543E+000, 4.3873172E+000, 4.6173406E+000
 7.7000792E+002, 8.3933516E+002, 6.6800000E-002, 1.8600769E+002, 1.0826971E+000, 1.1654651E+000, 2.4809800E+002, 1.5581118E+002, 2.5074120E+002, 4.0321611E+002, 2.5004064E+002, 1.4029224E+001, 1.6430772E+001, 1.2651913E+001, 1.2673225E+001, 3.8327014E+000, 2.5190780E+000, 4.5907472E+000, 4.5790635E+000
 7.8000664E+002, 8.4097461E+002, 6.7737971E-002, 1.9683222E+002, 1.0766300E+000, 1.1690218E+000, 2.4924768E+002, 1.5399305E+002, 2.4390381E+002, 3.9494733E+002, 2.5419387E+002, 1.4011937E+001, 1.6290525E+001, 1.2561903E+001, 1.2618908E+001, 3.8422134E+000, 2.5959652E+000, 4.6400932E+000, 4.6088417E+000
 7.9001026E+002, 8.0459677E+002, 6.4028252E-002, 1.4306288E+002, 1.1055345E+000, 1.1444161E+000, 2.4847567E+002, 1.5098888E+002, 2.4290574E+002, 3.9827334E+002, 2.5376623E+002, 1.4023728E+001, 1.6385846E+001, 1.2885016E+001, 1.2672837E+001, 3.8357650E+000, 2.5437075E+000, 4.4629544E+000, 4.5792762E+000
 8.0000756E+002, 7.9910929E+002, 6.3800000E-002, 1.5614280E+002, 1.0986814E+000, 1.1491812E+000, 2.4697153E+002, 1.5197507E+002, 2.3770732E+002, 3.9606513E+002, 2.5608567E+002, 1.4080820E+001, 1.6299656E+001, 1.2852046E+001, 1.2594486E+001, 3.8045416E+000, 2.5909591E+000, 4.4810291E+000, 4.6222305E+000
 8.1000486E+002, 8.0241853E+002, 6.4559118E-002, 1.6598746E+002, 1.0933665E+000, 1.1534362E+000, 2.4762643E+002, 1.5115101E+002, 2.4427410E+002, 3.8487691E+002, 2.5867609E+002, 1.4079756E+001, 1.6362334E+001, 1.2759363E+001, 1.2573790E+001, 3.8050953E+000, 2.5565975E+000, 4.5318405E+000, 4.6335766E+000
 8.2000216E+002, 7.4092921E+002, 5.8730629E-002, 1.0842940E+002, 1.1235528E+000, 1.1272865E+000, 2.4560818E+002, 1.5387090E+002, 2.4071796E+002, 3.9582481E+002, 2.6007049E+002, 1.4138761E+001, 1.6350233E+001, 1.2713981E+001, 1.2708864E+001, 3.7731952E+000, 2.5632318E+000, 4.5567201E+000, 4.5595253E+000
 8.3001461E+002, 7.2993369E+002, 5.8400000E-002, 1.0041141E+002, 1.1279876E+000, 1.1247341E+000, 2.4288165E+002, 1.5756597E+002, 2.4270914E+002, 3.9181041E+002, 2.6299641E+002, 1.4235827E+001, 1.6387158E+001, 1.2969770E+001, 1.2914064E+001, 3.7201756E+000, 2.5429882E+000, 4.4164897E+000, 4.4470295E+000
 8.4001191E+002, 7.3243087E+002, 5.8627673E-002, 1.1640751E+002, 1.1195709E+000, 1.1342270E+000, 2.4124033E+002, 1.5323890E+002, 2.4451673E+002, 3.8427984E+002, 2.6179295E+002, 1.4302465E+001, 1.6396085E+001, 1.3234164E+001, 1.2786951E+001, 3.6835851E+000, 2.5380943E+000, 4.2715419E+000, 4.5167161E+000
 8.5001272E+002, 6.3280779E+002, 5.0633754E-002, 3.7460289E+001, 1.1599335E+000, 1.0978754E+000, 2.3625473E+002, 1.4931305E+002, 2.3197618E+002, 3.7815107E+002, 2.5515774E+002, 1.4461368E+001, 1.6599214E+001, 1.3480554E+001, 1.3132545E+001, 3.5966021E+000, 2.4267337E+000, 4.1364645E+000, 4.3272521E+000
 8.6000095E+002, 6.3219856E+002, 5.0704959E-002, 5.7574933E+001, 1.1503982E+000, 1.1102591E+000, 2.3104222E+002, 1.4963249E+002, 2.2449996E+002, 3.7054789E+002, 2.5751519E+002, 1.4649266E+001, 1.6623564E+001, 1.3596596E+001, 1.3220774E+001, 3.4936240E+000, 2.4133845E+000, 4.0728474E+000, 4.2788830E+000
 8.7000726E+002, 6.4288484E+002, 5.1227421E-002, 1.0274491E+002, 1.1269717E+000, 1.1333114E+000, 2.2962171E+002, 1.4755247E+002, 2.3314814E+002, 3.6053042E+002, 2.5317606E+002, 1.4769619E+001, 1.6696410E+001, 1.3475186E+001, 1.3548257E+001, 3.4276908E+000, 2.3734480E+000, 4.1394076E+000, 4.0993480E+000
 8.8001164E+002, 5.2617928E+002, 4.1334052E-002,-1.9957602E+001, 1.1887484E+000, 1.0804875E+000, 2.2300805E+002, 1.4429560E+002, 2.2280890E+002, 3.4201590E+002, 2.4754684E+002, 1.4973331E+001, 1.6705753E+001, 1.4153294E+001, 1.3905892E+001, 3.3169532E+000, 2.3683263E+000, 3.7676510E+000, 3.9032834E+000
 8.9001103E+002, 5.1729994E+002, 4.1304718E-002,-1.0521350E+001, 1.1846367E+000, 1.0866270E+000, 2.1465865E+002, 1.4498247E+002, 2.1476131E+002, 3.3152019E+002, 2.3972642E+002, 1.5238268E+001, 1.6834453E+001, 1.4490186E+001, 1.4280237E+001, 3.1718462E+000, 2.2977697E+000, 3.5829578E+000, 3.6980578E+000
 9.0000679E+002, 5.2151685E+002, 4.1827040E-002, 2.3020834E+001, 1.1680585E+000, 1.1037960E+000, 2.1056360E+002, 1.4202498E+002, 2.1581764E+002, 3.2174753E+002, 2.3483235E+002, 1.5413664E+001, 1.6998079E+001, 1.4622322E+001, 1.4281926E+001, 3.0756495E+000, 2.2080653E+000, 3.5105174E+000, 3.6971314E+000
 9.1000572E+002, 5.2096340E+002, 4.1617090E-002, 3.9164765E+001, 1.1599969E+000, 1.1156093E+000, 2.0761422E+002, 1.3738646E+002, 2.1528505E+002, 3.1919442E+002, 2.3141177E+002, 1.5545293E+001, 1.7179718E+001, 1.4540553E+001, 1.4256442E+001, 3.0036405E+000, 2.1084859E+000, 3.5553454E+000, 3.7111027E+000
 9.2000466E+002, 5.3540137E+002, 4.2899098E-002, 8.6347951E+001, 1.1359918E+000, 1.1397141E+000, 2.0650410E+002, 1.3356376E+002, 2.0931066E+002, 3.1154820E+002, 2.2927305E+002, 1.5658719E+001, 1.7224121E+001, 1.4763447E+001, 1.4506741E+001, 2.9414782E+000, 2.0841434E+000, 3.4331491E+000, 3.5738819E+000
 9.3000359E+002, 5.4213156E+002, 4.3426673E-002, 9.6312389E+001, 1.1308291E+000, 1.1461436E+000, 2.0692182E+002, 1.3595577E+002, 2.2056806E+002, 3.0955977E+002, 2.2643633E+002, 1.5737714E+001, 1.7346253E+001, 1.5009203E+001, 1.4759639E+001, 2.8980010E+000, 2.0171875E+000, 3.2984192E+000, 3.4352369E+000
 9.4000253E+002, 5.4107910E+002, 4.3217001E-002, 1.0089578E+002, 1.1283659E+000, 1.1490997E+000, 2.0713767E+002, 1.3699859E+002, 2.1957272E+002, 3.1302519E+002, 2.2407474E+002, 1.5799647E+001, 1.7296974E+001, 1.4893918E+001, 1.4811877E+001, 2.8641172E+000, 2.0442032E+000, 3.3616216E+000, 3.4065987E+000
 9.5000146E+002, 5.5637280E+002, 4.4494322E-002, 1.1111959E+002, 1.1231177E+000, 1.1529512E+000, 2.0735681E+002, 1.3773848E+002, 2.0866335E+002, 3.1134587E+002, 2.2271383E+002, 1.5843585E+001, 1.7316880E+001, 1.4967784E+001, 1.4764002E+001, 2.8400162E+000, 2.0332902E+000, 3.3211260E+000, 3.4328447E+000
 9.6000396E+002, 5.5288814E+002, 4.4244415E-002, 1.1504815E+002, 1.1209678E+000, 1.1571414E+000, 2.0795114E+002, 1.4159994E+002, 2.0823056E+002, 3.1384451E+002, 2.2117849E+002, 1.5874297E+001, 1.7374534E+001, 1.5137800E+001, 1.4874004E+001, 2.8231106E+000, 2.0016830E+000, 3.2279189E+000, 3.3725387E+000
 9.7001455E+002, 5.5084261E+002, 4.4017652E-002, 1.0145279E+002, 1.1280328E+000, 1.1502931E+000, 2.0800038E+002, 1.3529635E+002, 2.1613449E+002, 3.1718749E+002, 2.2011547E+002, 1.5901873E+001, 1.7441526E+001, 1.5198717E+001, 1.4838109E+001, 2.8080970E+000, 1.9649560E+000, 3.1945227E+000, 3.3922175E+000
 9.8001372E+002, 5.6468040E+002, 4.5295743E-002, 1.2352014E+002, 1.1167401E+000, 1.1595208E+000, 2.0852805E+002, 1.3578705E+002, 2.2513619E+002, 3.1423395E+002, 2.1945147E+002, 1.5919892E+001, 1.7452285E+001, 1.5087647E+001, 1.4935478E+001, 2.7980964E+000, 1.9590577E+000, 3.2554143E+000, 3.3388373E+000
 9.9000046E+002, 5.6113587E+002, 4.4817278E-002, 1.2642460E+002, 1.1151524E+000, 1.1631557E+000, 2.0945095E+002, 1.3770239E+002, 2.1465876E+002, 3.2136469E+002, 2.1995634E+002, 1.5926304E+001, 1.7414422E+001, 1.5068215E+001, 1.4840959E+001, 2.7946889E+000, 1.9798152E+000, 3.2660673E+000, 3.3906549E+000
 1.0000023E+003, 5.5867829E+002, 4.4814986E-002, 1.2066244E+002, 1.1179720E+000, 1.1577432E+000, 2.0953419E+002, 1.3647662E+002, 2.1559778E+002, 3.1401217E+002, 2.1977157E+002, 1.5946117E+001, 1.7445168E+001, 1.5213416E+001, 1.4978918E+001, 2.7838000E+000, 1.9629594E+000, 3.1864645E+000, 3.3150223E+000
 1.0100041E+003, 5.7084984E+002, 4.5589639E-002, 1.3110239E+002, 1.1124946E+000, 1.1622864E+000, 2.1040744E+002, 1.3632211E+002, 2.2276799E+002, 3.1374672E+002, 2.1887431E+002, 1.5951973E+001, 1.7422305E+001, 1.5045607E+001, 1.4761721E+001, 2.7805506E+000, 1.9754937E+000, 3.2784615E+000, 3.4340952E+000
 1.0200060E+003, 5.6166810E+002, 4.5046067E-002, 1.1228858E+002, 1.1222765E+000, 1.1532202E+000, 2.1065968E+002, 1.4203755E+002, 2.1678720E+002, 3.2178310E+002, 2.1801407E+002, 1.5957112E+001, 1.7527776E+001, 1.5081375E+001, 1.4783832E+001, 2.7776367E+000, 1.9176715E+000, 3.2588528E+000, 3.4219735E+000
 1.0300078E+003, 5.6380854E+002, 4.4914758E-002, 1.1240747E+002, 1.1223729E+000, 1.1503689E+000, 2.1017459E+002, 1.3603458E+002, 2.1106975E+002, 3.1667778E+002, 2.1820407E+002, 1.5973581E+001, 1.7560648E+001, 1.5028937E+001, 1.4775570E+001, 2.7688152E+000, 1.8996502E+000, 3.2876004E+000, 3.4265033E+000
 1.0400097E+003, 5.7867769E+002, 4.6389987E-002, 1.4893951E+002, 1.1031593E+000, 1.1662407E+000, 2.1118492E+002, 1.4170633E+002, 2.1950715E+002, 3.1437134E+002, 2.1843107E+002, 1.5973025E+001, 1.7560290E+001, 1.4965987E+001, 1.4892200E+001, 2.7689715E+000, 1.8998465E+000, 3.3221113E+000, 3.3625637E+000
 1.0500115E+003, 5.7299406E+002, 4.5846067E-002, 1.3354939E+002, 1.1112832E+000, 1.1592209E+000, 2.1231666E+002, 1.3884517E+002, 2.2340461E+002, 3.1870696E+002, 2.1833018E+002, 1.5966570E+001, 1.7553170E+001, 1.4956770E+001, 1.4979697E+001, 2.7725557E+000, 1.9037500E+000, 3.3271644E+000, 3.3145952E+000
 1.0600134E+003, 5.6912907E+002, 4.5699760E-002, 1.3073018E+002, 1.1127615E+000, 1.1579650E+000, 2.1225943E+002, 1.3892862E+002, 2.1601278E+002, 3.1389264E+002, 2.1823667E+002, 1.5977938E+001, 1.7544388E+001, 1.5111516E+001, 1.4841051E+001, 2.7662514E+000, 1.9085645E+000, 3.2423288E+000, 3.3906047E+000
 1.0700001E+003, 5.8047886E+002, 4.6395667E-002, 1.4766373E+002, 1.1037157E+000, 1.1639467E+000, 2.1332585E+002, 1.3993082E+002, 2.1804357E+002, 3.1666585E+002, 2.1824979E+002, 1.5961809E+001, 1.7502221E+001, 1.5244792E+001, 1.4880854E+001, 2.7750827E+000, 1.9316814E+000, 3.1692633E+000, 3.3687837E+000
 1.0800020E+003, 5.7100119E+002, 4.5595099E-002, 1.1800209E+002, 1.1194025E+000, 1.1517104E+000, 2.1322177E+002, 1.3838281E+002, 2.2108880E+002, 3.2056399E+002, 2.1726708E+002, 1.5965344E+001, 1.7534738E+001, 1.5202023E+001, 1.4827602E+001, 2.7731442E+000, 1.9138549E+000, 3.1927101E+000, 3.3979776E+000
 1.0900038E+003, 5.7041004E+002, 4.5699075E-002, 1.2576272E+002, 1.1153759E+000, 1.1555060E+000, 2.1322248E+002, 1.4191148E+002, 2.2713385E+002, 3.2304076E+002, 2.1748988E+002, 1.5966991E+001, 1.7383560E+001, 1.5168555E+001, 1.4895575E+001, 2.7723077E+000, 1.9967347E+000, 3.2110582E+000, 3.3607132E+000
 1.1000056E+003, 5.8104417E+002, 4.6400000E-002, 1.3463242E+002, 1.1107581E+000, 1.1574295E+000, 2.1383225E+002, 1.3994610E+002, 2.2325960E+002, 3.1486693E+002, 2.1706469E+002, 1.5957897E+001, 1.7505438E+001, 1.4951263E+001, 1.4844896E+001, 2.7772482E+000, 1.9299178E+000, 3.3301834E+000, 3.3884965E+000
 1.1100075E+003, 5.7983609E+002, 4.6377493E-002, 1.3997452E+002, 1.1079297E+000, 1.1573773E+000, 2.1428552E+002, 1.4173978E+002, 2.2673993E+002, 3.1649215E+002, 2.1707427E+002, 1.5945110E+001, 1.7457737E+001, 1.5082113E+001, 1.4849034E+001, 2.7842262E+000, 1.9560687E+000, 3.2584479E+000, 3.3862281E+000
 1.1200093E+003, 5.7901047E+002, 4.6390980E-002, 1.2388737E+002, 1.1162466E+000, 1.1494547E+000, 2.1468460E+002, 1.3969279E+002, 2.2402256E+002, 3.2321424E+002, 2.1772261E+002, 1.5931623E+001, 1.7502998E+001, 1.5194917E+001, 1.4883835E+001, 2.7917547E+000, 1.9312556E+000, 3.1966063E+000, 3.3671493E+000
 1.1300112E+003, 5.7979621E+002, 4.6400000E-002, 1.3111211E+002, 1.1124865E+000, 1.1542471E+000, 2.1499889E+002, 1.4669950E+002, 2.2764145E+002, 3.1635581E+002, 2.1771662E+002, 1.5929553E+001, 1.7449367E+001, 1.5061505E+001, 1.4834819E+001, 2.7927274E+000, 1.9606576E+000, 3.2697459E+000, 3.3940212E+000
 1.1400130E+003, 5.7935619E+002, 4.6377238E-002, 1.3020359E+002, 1.1129333E+000, 1.1519953E+000, 2.1527545E+002, 1.4496229E+002, 2.2539901E+002, 3.2366220E+002, 2.1795339E+002, 1.5921509E+001, 1.7426993E+001, 1.4998895E+001, 1.4743183E+001, 2.7971675E+000, 1.9729237E+000, 3.3040705E+000, 3.4442581E+000
 1.1500149E+003, 5.7929569E+002, 4.6391328E-002, 1.2864216E+002, 1.1137593E+000, 1.1543261E+000, 2.1564231E+002, 1.4696354E+002, 2.3023925E+002, 3.2161415E+002, 2.1755731E+002, 1.5912295E+001, 1.7365302E+001, 1.4930218E+001, 1.4795964E+001, 2.8022159E+000, 2.0067443E+000, 3.3417210E+000, 3.4153223E+000
 1.1600016E+003, 5.8139651E+002, 4.6400000E-002, 1.4221889E+002, 1.1067341E+000, 1.1586349E+000, 2.1635560E+002, 1.4775841E+002, 2.2857351E+002, 3.2270537E+002, 2.1752178E+002, 1.5899376E+001, 1.7475622E+001, 1.4767614E+001, 1.4789496E+001, 2.8094068E+000, 1.9462641E+000, 3.4308646E+000, 3.4188683E+000
 1.1700034E+003, 5.7484631E+002, 4.6148951E-002, 1.3217805E+002, 1.1117439E+000, 1.1530751E+000, 2.1685276E+002, 1.4793389E+002, 2.2894444E+002, 3.1893067E+002, 2.1757367E+002, 1.5896798E+001, 1.7368280E+001, 1.4986524E+001, 1.4877195E+001, 2.8106782E+000, 2.0051116E+000, 3.3108527E+000, 3.3707897E+000
 1.1800053E+003, 5.7984787E+002, 4.6291905E-002, 1.3607225E+002, 1.1099208E+000, 1.1536056E+000, 2.1725970E+002, 1.4372424E+002, 2.2831657E+002, 3.1813479E+002, 2.1776274E+002, 1.5897970E+001, 1.7411919E+001, 1.4863169E+001, 1.4758078E+001, 2.8100453E+000, 1.9811874E+000, 3.3784787E+000, 3.4360924E+000
 1.1900071E+003, 5.7019071E+002, 4.5600000E-002, 1.2040012E+002, 1.1180614E+000, 1.1480762E+000, 2.1717660E+002, 1.4758648E+002, 2.3702967E+002, 3.1896864E+002, 2.1802726E+002, 1.5901796E+001, 1.7410172E+001, 1.4800107E+001, 1.4708292E+001, 2.8079784E+000, 1.9821452E+000, 3.4130513E+000, 3.4633865E+000
 1.2000090E+003, 5.6786728E+002, 4.5332587E-002, 1.2037726E+002, 1.1182274E+000, 1.1443273E+000, 2.1684525E+002, 1.4244699E+002, 2.2950006E+002, 3.1907144E+002, 2.1849450E+002, 1.5908879E+001, 1.7431945E+001, 1.4851840E+001, 1.4790017E+001, 2.8042041E+000, 1.9702086E+000, 3.3846900E+000, 3.4185827E+000
 1.2100108E+003, 5.6273407E+002, 4.5101031E-002, 1.2988029E+002, 1.1131091E+000, 1.1508261E+000, 2.1661749E+002, 1.4507091E+002, 2.3486193E+002, 3.1955062E+002, 2.1810563E+002, 1.5932514E+001, 1.7494658E+001, 1.4910363E+001, 1.4780409E+001, 2.7912160E+000, 1.9358275E+000, 3.3526061E+000, 3.4238499E+000
 1.2200113E+003, 5.6011198E+002, 4.4800000E-002, 1.2134054E+002, 1.1177491E+000, 1.1472021E+000, 2.1642722E+002, 1.4448108E+002, 2.3706603E+002, 3.2043530E+002, 2.1842133E+002, 1.5941852E+001, 1.7512833E+001, 1.4924030E+001, 1.4756721E+001, 2.7860929E+000, 1.9258636E+000, 3.3451135E+000, 3.4368363E+000
 1.2300127E+003, 5.5864109E+002, 4.4783630E-002, 1.2193928E+002, 1.1173313E+000, 1.1460644E+000, 2.1645859E+002, 1.4645502E+002, 2.3492295E+002, 3.1392291E+002, 2.1787951E+002, 1.5959128E+001, 1.7453428E+001, 1.4938222E+001, 1.4782410E+001, 2.7765863E+000, 1.9584313E+000, 3.3373329E+000, 3.4227533E+000
 1.2400141E+003, 5.4564716E+002, 4.3606705E-002, 1.0177881E+002, 1.1278206E+000, 1.1355601E+000, 2.1551883E+002, 1.3969062E+002, 2.3504446E+002, 3.1690184E+002, 2.1784575E+002, 1.5993734E+001, 1.7525409E+001, 1.5038184E+001, 1.4941383E+001, 2.7576366E+000, 1.9189692E+000, 3.2825314E+000, 3.3356000E+000
 1.2500155E+003, 5.4519762E+002, 4.3605876E-002, 1.2032465E+002, 1.1182114E+000, 1.1475881E+000, 2.1485484E+002, 1.4452616E+002, 2.2941914E+002, 3.1494644E+002, 2.1710837E+002, 1.6032721E+001, 1.7576193E+001, 1.4948939E+001, 1.4893281E+001, 2.7362425E+000, 1.8911283E+000, 3.3314577E+000, 3.3619710E+000
 1.2600103E+003, 5.4966518E+002, 4.3983620E-002, 1.1662830E+002, 1.1199605E+000, 1.1426708E+000, 2.1542756E+002, 1.4446322E+002, 2.3702378E+002, 3.1366152E+002, 2.1679930E+002, 1.6046316E+001, 1.7566524E+001, 1.5055350E+001, 1.5088930E+001, 2.7288044E+000, 1.8964291E+000, 3.2731201E+000, 3.2547109E+000
 1.2700074E+003, 5.3664535E+002, 4.2915833E-002, 1.1105331E+002, 1.1231292E+000, 1.1439148E+000, 2.1436178E+002, 1.4441239E+002, 2.2595304E+002, 3.1495502E+002, 2.1640497E+002, 1.6082306E+001, 1.7585659E+001, 1.5175845E+001, 1.4982260E+001, 2.7091278E+000, 1.8859384E+000, 3.2070620E+000, 3.3131904E+000
 1.2800118E+003, 5.4578721E+002, 4.3605507E-002, 1.2436627E+002, 1.1161716E+000, 1.1479405E+000, 2.1422307E+002, 1.4574493E+002, 2.2750925E+002, 3.1471598E+002, 2.1641634E+002, 1.6099344E+001, 1.7558257E+001, 1.5078155E+001, 1.4886796E+001, 2.6997503E+000, 1.9009613E+000, 3.2606182E+000, 3.3655259E+000
 1.2900001E+003, 5.4917017E+002, 4.3984625E-002, 1.3872813E+002, 1.1084972E+000, 1.1534664E+000, 2.1477212E+002, 1.4131412E+002, 2.3158991E+002, 3.1527335E+002, 2.1613106E+002, 1.6099769E+001, 1.7550317E+001, 1.5191945E+001, 1.5001681E+001, 2.6996065E+000, 1.9053141E+000, 3.1982351E+000, 3.3025432E+000
 1.3000112E+003, 5.3585788E+002, 4.2915672E-002, 1.1743986E+002, 1.1197234E+000, 1.1466501E+000, 2.1450563E+002, 1.3702986E+002, 2.3460650E+002, 3.1404551E+002, 2.1526066E+002, 1.6111167E+001, 1.7577670E+001, 1.5193677E+001, 1.5006481E+001, 2.6932869E+000, 1.8903183E+000, 3.1972860E+000, 3.2999116E+000
 1.3100005E+003, 5.4516611E+002, 4.3605413E-002, 1.3460455E+002, 1.1106899E+000, 1.1531705E+000, 2.1495560E+002, 1.4234200E+002, 2.3500374E+002, 3.1242750E+002, 2.1495947E+002, 1.6125273E+001, 1.7568283E+001, 1.5217330E+001, 1.5068787E+001, 2.6855895E+000, 1.8954649E+000, 3.1843186E+000, 3.2657536E+000
 1.3200101E+003, 5.4794371E+002, 4.3808019E-002, 1.2579644E+002, 1.1152590E+000, 1.1486522E+000, 2.1551122E+002, 1.4297461E+002, 2.3537586E+002, 3.1595936E+002, 2.1481003E+002, 1.6123532E+001, 1.7604479E+001, 1.5111347E+001, 1.5155198E+001, 2.6864638E+000, 1.8756211E+000, 3.2424210E+000, 3.2183811E+000
 1.3300042E+003, 5.2410974E+002, 4.1888921E-002, 1.0063261E+002, 1.1283950E+000, 1.1376441E+000, 2.1433320E+002, 1.4342863E+002, 2.3622800E+002, 3.1104854E+002, 2.1451600E+002, 1.6157403E+001, 1.7670832E+001, 1.5159844E+001, 1.5046268E+001, 2.6680230E+000, 1.8392446E+000, 3.2158341E+000, 3.2780995E+000
 1.3400138E+003, 5.2804115E+002, 4.2205371E-002, 1.0691622E+002, 1.1252489E+000, 1.1409605E+000, 2.1367601E+002, 1.4560630E+002, 2.3434909E+002, 3.0739025E+002, 2.1428152E+002, 1.6180545E+001, 1.7648520E+001, 1.5208531E+001, 1.5103020E+001, 2.6553500E+000, 1.8514766E+000, 3.1891426E+000, 3.2469861E+000
 1.3500079E+003, 5.3176456E+002, 4.2600000E-002, 1.2218498E+002, 1.1172793E+000, 1.1483912E+000, 2.1368781E+002, 1.4517563E+002, 2.2751987E+002, 3.0973661E+002, 2.1379098E+002, 1.6194503E+001, 1.7683688E+001, 1.5276027E+001, 1.5106288E+001, 2.6476174E+000, 1.8321968E+000, 3.1521392E+000, 3.2451948E+000
 1.3600020E+003, 5.1655878E+002, 4.1284063E-002, 9.7601359E+001, 1.1300366E+000, 1.1369151E+000, 2.1299113E+002, 1.4037363E+002, 2.3558538E+002, 3.0888120E+002, 2.1396753E+002, 1.6212389E+001, 1.7611144E+001, 1.5264103E+001, 1.5219777E+001, 2.6379435E+000, 1.8719672E+000, 3.1586763E+000, 3.1829772E+000
