s,kW,kg/s,Pa,kg/s,kg/s,C,C,C,C,C,%,%,%,%,%,%,%,%
Time,"HRR","MLR","P_L1","Minlet","Moutlet","TG_L1","TG_L1_SE_105","TG_L1_SE_205","TG_L1_SE_390","TP_L1_WC_350","O2","O2_L1_BAS","O2_L1_MILIEU","O2_L1_HAUT","CO2","CO2_L1_BAS","CO2_L1_MILIEU","CO2_L1_HAUT"
 6.0011650E+001, 1.1756052E+002, 3.0000000E-003, 1.7856761E+001, 1.1767369E+000, 1.3447617E+000, 2.9369007E+001, 1.9496754E+001, 2.6434175E+001, 4.7714262E+001, 1.4360876E+001, 2.0628802E+001, 2.0861365E+001, 2.0583111E+001, 2.0435357E+001, 2.1751387E-001, 9.0110714E-002, 2.4265701E-001, 3.2365976E-001
 7.0003654E+001, 1.7646492E+002, 7.7474272E-003, 8.5999838E+001, 1.1422411E+000, 1.3788159E+000, 3.3436590E+001, 2.0427258E+001, 2.7527774E+001, 5.6011263E+001, 1.4297778E+001, 2.0544039E+001, 2.0836240E+001, 2.0609987E+001, 2.0284608E+001, 2.6394602E-001, 1.0388515E-001, 2.2792265E-001, 4.0630420E-001
 8.0006260E+001, 1.7953920E+002, 8.0000000E-003, 9.0754608E+001, 1.1394333E+000, 1.3785304E+000, 3.8272260E+001, 2.3290430E+001, 3.3505761E+001, 6.4870674E+001, 1.4839363E+001, 2.0439806E+001, 2.0765007E+001, 2.0461322E+001, 2.0215224E+001, 3.2109067E-001, 1.4293680E-001, 3.0942502E-001, 4.4434229E-001
 9.0009646E+001, 1.7992351E+002, 8.0000000E-003, 7.3288839E+001, 1.1481501E+000, 1.3660188E+000, 4.2378992E+001, 2.7264380E+001, 4.0046682E+001, 7.4172900E+001, 1.5382242E+001, 2.0344300E+001, 2.0686232E+001, 2.0299136E+001, 2.0088999E+001, 3.7342974E-001, 1.8612347E-001, 3.9833978E-001, 5.1354220E-001
 1.0000735E+002, 2.6224731E+002, 1.4642539E-002, 1.7723270E+002, 1.0935460E+000, 1.4159543E+000, 4.8154776E+001, 3.1000655E+001, 4.3814659E+001, 8.4364211E+001, 1.5993927E+001, 2.0221025E+001, 2.0661630E+001, 2.0268784E+001, 1.9996418E+001, 4.4094661E-001, 1.9961060E-001, 4.1497917E-001, 5.6429720E-001
 1.1000551E+002, 2.6712697E+002, 1.5000000E-002, 1.8227715E+002, 1.0904129E+000, 1.4158128E+000, 5.5068932E+001, 3.4211560E+001, 5.2878802E+001, 9.3074252E+001, 1.7252823E+001, 2.0069015E+001, 2.0568695E+001, 2.0078398E+001, 1.9727520E+001, 5.2427038E-001, 2.5056021E-001, 5.1935370E-001, 7.1171464E-001
 1.2001575E+002, 2.6752058E+002, 1.5010106E-002, 1.5358275E+002, 1.1054404E+000, 1.3955416E+000, 6.0715776E+001, 3.9725561E+001, 5.7819336E+001, 9.9006144E+001, 1.8312927E+001, 1.9932178E+001, 2.0498857E+001, 1.9899593E+001, 1.9620499E+001, 5.9926895E-001, 2.8884728E-001, 6.1737942E-001, 7.7038624E-001
 1.3000041E+002, 3.7772735E+002, 2.3943099E-002, 2.8494161E+002, 1.0329752E+000, 1.4539833E+000, 6.8911333E+001, 4.0111020E+001, 6.5229518E+001, 1.1473261E+002, 1.9992506E+001, 1.9750142E+001, 2.0447048E+001, 1.9739879E+001, 1.9415516E+001, 6.9889513E-001, 3.1725022E-001, 7.0493902E-001, 8.8276328E-001
 1.4000654E+002, 3.8522816E+002, 2.4400000E-002, 2.7441974E+002, 1.0386141E+000, 1.4413003E+000, 7.8448874E+001, 4.7450706E+001, 7.4573921E+001, 1.3560442E+002, 2.1572608E+001, 1.9525464E+001, 2.0368602E+001, 1.9489801E+001, 1.9069755E+001, 8.2208176E-001, 3.6025657E-001, 8.4203840E-001, 1.0723185E+000
 1.5000963E+002, 3.5746125E+002, 2.4409875E-002, 2.0171302E+002, 1.0779996E+000, 1.3926610E+000, 8.5680857E+001, 5.3054683E+001, 7.7337516E+001, 1.4010887E+002, 2.3436345E+001, 1.9328040E+001, 2.0256858E+001, 1.9309127E+001, 1.8792562E+001, 9.3033791E-001, 4.2151754E-001, 9.4108831E-001, 1.2242828E+000
 1.6000466E+002, 4.3769676E+002, 3.5238223E-002, 2.7854747E+002, 1.0351331E+000, 1.4167209E+000, 9.3549091E+001, 5.2662579E+001, 8.1792921E+001, 1.5848722E+002, 2.7695065E+001, 1.9127938E+001, 2.0173062E+001, 1.8909148E+001, 1.8525929E+001, 1.0398672E+000, 4.6745670E-001, 1.1603675E+000, 1.3704579E+000
 1.7001117E+002, 4.4794110E+002, 3.5800000E-002, 2.7902321E+002, 1.0348132E+000, 1.4092807E+000, 1.0425939E+002, 5.8918789E+001, 9.1825091E+001, 1.7975438E+002, 3.2186398E+001, 1.8865573E+001, 2.0012258E+001, 1.8886026E+001, 1.8080744E+001, 1.1836792E+000, 5.5561350E-001, 1.1730435E+000, 1.6145200E+000
 1.8000091E+002, 4.4643927E+002, 3.5809706E-002, 2.1560848E+002, 1.0697786E+000, 1.3642786E+000, 1.1181791E+002, 5.7862298E+001, 1.0009856E+002, 2.0119833E+002, 3.6136539E+001, 1.8636481E+001, 1.9875002E+001, 1.8572841E+001, 1.7764923E+001, 1.3092224E+000, 6.3086085E-001, 1.3447398E+000, 1.7876614E+000
