s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5993595E+001, 0.0000000E+000,-7.6271521E+000, 3.1253769E+000, 1.6120634E-028, 1.6120608E-028, 1.6120579E-028, 1.6120550E-028, 1.6120491E-028, 2.8478353E-007, 1.9414349E-015
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6002608E+001, 0.0000000E+000, 3.0873070E+000, 1.2431962E+001, 3.7645723E-024, 3.7645723E-024, 3.7645723E-024, 3.7645723E-024, 3.7645723E-024, 2.6628473E-006, 6.7972255E-014
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 4.9457865E-121, 3.8640237E-004, 2.6000874E+001, 0.0000000E+000, 9.7070065E-001, 2.1813755E+001, 1.7436196E-013, 1.7436196E-013, 1.7436196E-013, 1.7436196E-013, 1.7436196E-013, 8.7016551E-006, 9.3840985E-013
 4.0527953E+000, 2.0755368E-001, 2.0755368E-001, 1.2824646E-110, 3.8640237E-004, 2.6000462E+001, 0.0000000E+000, 3.3082015E-001, 2.3638255E+001, 2.9917031E-018, 2.9917031E-018, 2.9917031E-018, 2.9917031E-018, 2.9917031E-018, 1.6080916E-005, 4.1303828E-012
 5.0391322E+000, 2.0755368E-001, 2.0755368E-001, 4.4194895E-102, 3.8640237E-004, 2.6001286E+001, 0.0000000E+000, 1.0711311E+000, 2.9288074E+001, 3.8018792E-018, 3.8018792E-018, 3.8018792E-018, 3.8018792E-018, 3.8018792E-018, 2.4615642E-005, 7.1173397E-012
 6.0112879E+000, 2.0755368E-001, 2.0755368E-001, 2.6082271E-079, 3.8640237E-004, 2.6001867E+001, 4.0344681E-284, 1.4905380E+000, 3.5744121E+001, 3.3683412E-015, 3.3683412E-015, 3.3683412E-015, 3.3683412E-015, 3.3683412E-015, 3.5210757E-005, 9.8916979E-012
 7.0116517E+000, 2.0755368E-001, 2.0755368E-001, 1.0934580E-058, 3.8640237E-004, 2.6002637E+001, 2.9150029E-269, 2.0601347E+000, 4.2354539E+001, 6.2629756E-015, 6.2629756E-015, 6.2629756E-015, 6.2629756E-015, 6.2629756E-015, 4.8045362E-005, 1.9548231E-011
 8.0226953E+000, 2.0755368E-001, 2.0755368E-001, 1.0261908E-047, 3.8640237E-004, 2.6003515E+001, 3.0434096E-250, 2.6216803E+000, 4.8620208E+001, 2.1997169E-014, 2.1997169E-014, 2.1997169E-014, 2.1997169E-014, 2.1997169E-014, 6.3389394E-005, 1.8507314E-009
 9.0271748E+000, 2.0755368E-001, 2.0755368E-001, 1.0659789E-038, 3.8640237E-004, 2.6004545E+001, 1.0697134E-228, 3.1992593E+000, 5.5414981E+001, 5.8946742E-013, 5.8946742E-013, 5.8946742E-013, 5.8946742E-013, 5.8946742E-013, 8.0927755E-005, 1.2548478E-008
 1.0013068E+001, 2.0755368E-001, 2.0755368E-001, 3.7601702E-027, 3.8640237E-004, 2.6005859E+001, 8.3492106E-211, 3.8355912E+000, 6.1940243E+001, 1.7110733E-012, 1.7110733E-012, 1.7110733E-012, 1.7110733E-012, 1.7110733E-012, 1.0044989E-004, 3.0258402E-008
 1.1004206E+001, 2.0755368E-001, 2.0755368E-001, 4.1814464E-022, 3.8640237E-004, 2.6007552E+001, 2.7026544E-179, 4.5669051E+000, 6.8651969E+001, 2.5811193E-011, 2.5811193E-011, 2.5811193E-011, 2.5811193E-011, 2.5811193E-011, 1.2196679E-004, 5.1468511E-008
