s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5993601E+001, 0.0000000E+000,-7.6210951E+000, 1.1463975E-006, 1.1463975E-006, 2.9046363E-007, 4.5727314E-015
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6002618E+001, 0.0000000E+000, 3.0987241E+000, 4.6764902E-006, 4.6764902E-006, 2.6986497E-006, 1.5584974E-013
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 5.2732338E-121, 3.8640237E-004, 2.6000762E+001, 0.0000000E+000, 8.3613711E-001, 8.1899779E-006, 8.1899779E-006, 8.8347075E-006, 1.9484335E-012
 4.0044771E+000, 2.0755368E-001, 2.0755368E-001, 5.3813535E-111, 3.8640237E-004, 2.6000442E+001, 0.0000000E+000, 3.1177800E-001, 8.5177527E-006, 8.5177527E-006, 1.5966160E-005, 8.1019659E-012
 5.0329658E+000, 2.0755368E-001, 2.0755368E-001, 5.0601405E-102, 3.8640237E-004, 2.6001293E+001, 0.0000000E+000, 1.0916592E+000, 1.0510612E-005, 1.0510612E-005, 2.4443629E-005, 1.4069103E-011
 6.0313312E+000, 2.0755368E-001, 2.0755368E-001, 5.6384007E-078, 3.8640237E-004, 2.6001859E+001, 9.2624007E-284, 1.4913005E+000, 1.2909947E-005, 1.2909947E-005, 3.5380785E-005, 1.9913143E-011
 7.0135492E+000, 2.0755368E-001, 2.0755368E-001, 8.1481777E-059, 3.8640237E-004, 2.6002628E+001, 2.7157338E-269, 2.0624516E+000, 1.5280560E-005, 1.5280560E-005, 4.8278972E-005, 2.7901604E-011
 8.0117824E+000, 2.0755368E-001, 2.0755368E-001, 1.5659841E-048, 3.8640237E-004, 2.6003493E+001, 4.8609490E-252, 2.6203630E+000, 1.7551845E-005, 1.7551845E-005, 6.3394524E-005, 2.2787907E-009
 9.0206418E+000, 2.0755368E-001, 2.0755368E-001, 5.3563627E-037, 3.8640237E-004, 2.6004514E+001, 2.0826441E-229, 3.1839918E+000, 1.9990220E-005, 1.9990220E-005, 8.0855445E-005, 1.3874315E-008
 1.0013001E+001, 2.0755368E-001, 2.0755368E-001, 1.2387881E-026, 3.8640237E-004, 2.6005925E+001, 2.9397065E-206, 3.8709716E+000, 2.2371130E-005, 2.2371130E-005, 1.0048701E-004, 3.0585146E-008
 1.1023613E+001, 2.0755368E-001, 2.0755368E-001, 4.0062349E-018, 3.8640237E-004, 2.6007871E+001, 1.2692345E-173, 4.6121717E+000, 2.4782224E-005, 2.4782224E-005, 1.2232749E-004, 4.8929793E-008
 1.2012336E+001, 2.0755368E-001, 2.0755368E-001, 2.4251591E-013, 3.8640243E-004, 2.6009521E+001, 2.5662466E-144, 5.3490648E+000, 2.7157080E-005, 2.7157080E-005, 1.4628245E-004, 7.5045779E-008
 1.3020725E+001, 2.0755367E-001, 2.0755368E-001, 1.9482596E-012, 3.8640284E-004, 2.6010727E+001, 9.5386555E-121, 6.0717009E+000, 2.9557048E-005, 2.9557048E-005, 1.7239673E-004, 1.1488148E-007
 1.4013321E+001, 2.0755367E-001, 2.0755368E-001, 3.8786637E-012, 3.8640330E-004, 2.6012199E+001, 2.1613577E-101, 6.7722864E+000, 3.1917449E-005, 3.1917449E-005, 2.0068544E-004, 1.6890643E-007
 1.5015145E+001, 2.0755367E-001, 2.0755368E-001, 7.0783769E-012, 3.8640406E-004, 2.6014077E+001, 7.5099285E-085, 7.7306157E+000, 3.4228021E-005, 3.4228021E-005, 2.3098470E-004, 2.3645884E-007
 1.6018695E+001, 2.0755367E-001, 2.0755368E-001, 9.8453347E-012, 3.8640473E-004, 2.6015928E+001, 2.9623277E-071, 8.7065503E+000, 3.6700903E-005, 3.6700903E-005, 2.6360536E-004, 3.0820255E-007
 1.7004188E+001, 2.0755367E-001, 2.0755368E-001, 1.2574096E-011, 3.8640538E-004, 2.6018008E+001, 1.8600134E-059, 9.6909402E+000, 3.9147071E-005, 3.9147071E-005, 2.9807448E-004, 3.9258045E-007
 1.8008739E+001, 2.0755367E-001, 2.0755368E-001, 1.9885697E-011, 3.8640713E-004, 2.6020609E+001, 1.0189183E-048, 1.0742789E+001, 4.1430312E-005, 4.1430312E-005, 3.3468040E-004, 4.8386958E-007
 1.9014278E+001, 2.0755367E-001, 2.0755368E-001, 2.4578578E-011, 3.8640825E-004, 2.6023359E+001, 9.8342464E-039, 1.1730311E+001, 4.3767761E-005, 4.3767761E-005, 3.7375411E-004, 5.9745184E-007
 2.0013984E+001, 2.0755366E-001, 2.0755368E-001, 3.9034932E-011, 3.8641171E-004, 2.6026431E+001, 2.6932495E-029, 1.2842460E+001, 4.6226609E-005, 4.6226609E-005, 4.1485884E-004, 7.2062001E-007
 2.1005145E+001, 2.0755365E-001, 2.0755368E-001, 6.1240448E-011, 3.8641702E-004, 2.6029461E+001, 1.0503337E-020, 1.3679313E+001, 4.8726055E-005, 4.8726055E-005, 4.5783203E-004, 8.6904634E-007
 2.2007139E+001, 2.0755363E-001, 2.0755368E-001, 1.1704870E-010, 3.8643037E-004, 2.6032921E+001, 8.3467455E-014, 1.4597328E+001, 5.0858299E-005, 5.0858299E-005, 5.0278831E-004, 1.0438682E-006
 2.3007109E+001, 2.0755360E-001, 2.0755368E-001, 1.7484409E-010, 3.8644420E-004, 2.6035772E+001, 3.3124369E-006, 1.5730777E+001, 5.3487101E-005, 5.3487101E-005, 5.5019142E-004, 1.2415290E-006
 2.4004605E+001, 2.0755351E-001, 2.0755368E-001, 3.9894656E-010, 3.8649781E-004, 2.6041286E+001, 1.2668119E+000, 1.7151538E+001, 5.5591568E-005, 5.5591568E-005, 5.9939443E-004, 1.4460001E-006
 2.5008346E+001, 2.0755342E-001, 2.0755368E-001, 6.2946787E-010, 3.8655296E-004, 2.6046735E+001, 2.8494211E+000, 1.8456099E+001, 5.8166476E-005, 5.8166476E-005, 6.5091380E-004, 1.6632212E-006
 2.6000688E+001, 2.0755325E-001, 2.0755368E-001, 1.0352264E-009, 3.8665003E-004, 2.6054739E+001, 3.0684704E+000, 1.9741094E+001, 6.0620833E-005, 6.0620833E-005, 7.0431749E-004, 1.8989306E-006
 2.7003107E+001, 2.0755246E-001, 2.0755368E-001, 2.9744378E-009, 3.8711396E-004, 2.6075059E+001, 3.6280328E+000, 2.1316249E+001, 6.3101368E-005, 6.3101368E-005, 7.5963105E-004, 2.1386948E-006
 2.8010810E+001, 2.0738354E-001, 2.0755368E-001, 4.1541551E-007, 4.8578429E-004, 2.7842594E+001, 4.8496876E+000, 2.2629582E+001, 6.4903250E-005, 6.4903250E-005, 8.1765809E-004, 2.3905720E-006
 2.9013227E+001, 2.0687661E-001, 2.0755368E-001, 1.6532818E-006, 7.8192526E-004, 3.3002533E+001, 5.1448099E+000, 2.3328641E+001, 6.7860271E-005, 6.7860271E-005, 8.7767045E-004, 2.6779183E-006
 3.0011592E+001, 2.0697819E-001, 2.0755368E-001, 1.4052442E-006, 7.2258598E-004, 3.1863269E+001, 4.8885810E+000, 2.4478367E+001, 7.0195919E-005, 7.0195919E-005, 9.3927433E-004, 3.0127617E-006
 3.1017371E+001, 2.0699060E-001, 2.0755368E-001, 1.3749404E-006, 7.1533626E-004, 3.1671951E+001, 5.3686204E+000, 2.5643647E+001, 7.2565495E-005, 7.2565495E-005, 1.0033176E-003, 3.3894690E-006
 3.2007705E+001, 2.0666123E-001, 2.0755368E-001, 2.1792058E-006, 9.0774471E-004, 3.4999150E+001, 4.6857391E+000, 2.7027781E+001, 7.4806606E-005, 7.4806606E-005, 1.0686410E-003, 3.7883817E-006
 3.3012400E+001, 2.0638663E-001, 2.0755368E-001, 2.8497502E-006, 1.0681624E-003, 3.7817162E+001, 4.4615703E+000, 2.8817081E+001, 7.7012788E-005, 7.7012788E-005, 1.1363046E-003, 4.1876660E-006
 3.4017095E+001, 2.0647515E-001, 2.0755368E-001, 2.6335797E-006, 1.0164469E-003, 3.6887042E+001, 5.3391800E+000, 2.9857781E+001, 7.9629749E-005, 7.9629749E-005, 1.2062548E-003, 4.6119155E-006
 3.5003293E+001, 2.0650070E-001, 2.0755368E-001, 2.5712064E-006, 1.0015250E-003, 3.6624749E+001, 7.3077335E+000, 3.1627668E+001, 8.2382438E-005, 8.2382438E-005, 1.2776973E-003, 5.0331305E-006
 3.6010112E+001, 2.0661201E-001, 2.0755368E-001, 2.2993882E-006, 9.3649656E-004, 3.5507898E+001, 8.5425744E+000, 3.2099050E+001, 8.4273640E-005, 8.4273640E-005, 1.3512048E-003, 5.5039408E-006
 3.7016072E+001, 2.0657913E-001, 2.0755368E-001, 2.3796765E-006, 9.5570431E-004, 3.5860222E+001, 8.7599338E+000, 3.4059463E+001, 8.6722524E-005, 8.6722524E-005, 1.4277284E-003, 5.9858944E-006
 3.8008736E+001, 2.0652836E-001, 2.0755368E-001, 2.5036581E-006, 9.8536506E-004, 3.6365357E+001, 9.7982363E+000, 3.6484411E+001, 8.9170609E-005, 8.9170609E-005, 1.5055674E-003, 6.4904962E-006
 3.9001064E+001, 2.0649189E-001, 2.0755368E-001, 2.5927190E-006, 1.0066716E-003, 3.6630732E+001, 1.0809678E+001, 3.7963991E+001, 9.1657631E-005, 9.1657631E-005, 1.5846909E-003, 6.9865834E-006
 4.0003870E+001, 2.0648670E-001, 2.0755368E-001, 2.6053690E-006, 1.0096979E-003, 3.6631074E+001, 1.1539466E+001, 3.8084613E+001, 9.4413026E-005, 9.4413026E-005, 1.6662106E-003, 7.5560546E-006
 4.1007194E+001, 2.0654853E-001, 2.0755368E-001, 2.4543756E-006, 9.7357495E-004, 3.6015947E+001, 1.1256743E+001, 4.0640795E+001, 9.5640429E-005, 9.5640429E-005, 1.7504703E-003, 8.1508436E-006
 4.2006937E+001, 2.0670036E-001, 2.0755368E-001, 2.0836300E-006, 8.8487961E-004, 3.4479401E+001, 1.1696049E+001, 4.1647663E+001, 9.9143681E-005, 9.9143681E-005, 1.8361631E-003, 8.7726624E-006
 4.3009779E+001, 2.0677125E-001, 2.0755368E-001, 1.9105264E-006, 8.4346717E-004, 3.3748821E+001, 1.1896434E+001, 4.2999579E+001, 1.0080422E-004, 1.0080422E-004, 1.9239254E-003, 9.4421085E-006
 4.4006207E+001, 2.0666522E-001, 2.0755368E-001, 2.1694287E-006, 9.0540566E-004, 3.4727971E+001, 1.1972940E+001, 4.3554216E+001, 1.0338112E-004, 1.0338112E-004, 2.0137025E-003, 1.0147853E-005
 4.5004631E+001, 2.0661275E-001, 2.0755368E-001, 2.2975655E-006, 9.3606047E-004, 3.5210995E+001, 1.2010276E+001, 4.4932643E+001, 1.0558509E-004, 1.0558509E-004, 2.1051875E-003, 1.0881119E-005
 4.6011262E+001, 2.0643172E-001, 2.0755368E-001, 2.7396243E-006, 1.0418164E-003, 3.6927070E+001, 1.2546041E+001, 4.6686747E+001, 1.0837644E-004, 1.0837644E-004, 2.1992665E-003, 1.1585622E-005
 4.7009348E+001, 2.0615239E-001, 2.0755368E-001, 3.4217238E-006, 1.2049985E-003, 3.9415872E+001, 1.2303061E+001, 4.8626899E+001, 1.1060217E-004, 1.1060217E-004, 2.2955204E-003, 1.2330559E-005
 4.8013355E+001, 2.0579451E-001, 2.0755368E-001, 4.2956160E-006, 1.4140642E-003, 4.2503043E+001, 1.3312454E+001, 5.0370726E+001, 1.1378746E-004, 1.1378746E-004, 2.3933892E-003, 1.3134759E-005
 4.9015981E+001, 2.0583786E-001, 2.0755368E-001, 4.1897920E-006, 1.3887474E-003, 4.1600178E+001, 1.3728429E+001, 5.4183074E+001, 1.1428235E-004, 1.1428235E-004, 2.4933820E-003, 1.3895877E-005
 5.0008695E+001, 2.0589572E-001, 2.0755368E-001, 4.0484866E-006, 1.3549422E-003, 4.1445094E+001, 1.3814399E+001, 5.5461763E+001, 1.1800306E-004, 1.1800306E-004, 2.5946587E-003, 1.4578327E-005
 5.1001010E+001, 2.0585288E-001, 2.0755368E-001, 4.1531086E-006, 1.3799714E-003, 4.1814070E+001, 1.3795085E+001, 5.6788923E+001, 1.2026848E-004, 1.2026848E-004, 2.6978902E-003, 1.5316722E-005
 5.2003356E+001, 2.0566668E-001, 2.0755368E-001, 4.6077956E-006, 1.4887485E-003, 4.3302597E+001, 1.3967584E+001, 5.8238146E+001, 1.2284527E-004, 1.2284527E-004, 2.8037044E-003, 1.6152821E-005
