s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kg
 1.1024369E+001, 2.0755368E-001, 2.0755368E-001, 4.0373290E-018, 3.8640237E-004, 2.6007871E+001, 3.3090536E-174, 4.6122945E+000, 2.4782400E-005, 2.4782400E-005, 1.2238612E-004
 1.2013105E+001, 2.0755368E-001, 2.0755368E-001, 2.4168162E-013, 3.8640243E-004, 2.6009524E+001, 6.5661663E-145, 5.3525400E+000, 2.7166026E-005, 2.7166026E-005, 1.4638158E-004
 1.3020035E+001, 2.0755367E-001, 2.0755368E-001, 1.9383669E-012, 3.8640283E-004, 2.6010726E+001, 1.8378059E-121, 6.0713856E+000, 2.9556727E-005, 2.9556727E-005, 1.7251680E-004
 1.4009536E+001, 2.0755367E-001, 2.0755368E-001, 3.8509050E-012, 3.8640329E-004, 2.6012196E+001, 3.8731883E-102, 6.7716097E+000, 3.1916473E-005, 3.1916473E-005, 2.0079261E-004
 1.5007935E+001, 2.0755367E-001, 2.0755368E-001, 7.0241062E-012, 3.8640405E-004, 2.6014069E+001, 1.1953923E-085, 7.7292373E+000, 3.4223560E-005, 3.4223560E-005, 2.3105808E-004
 1.6006243E+001, 2.0755367E-001, 2.0755368E-001, 9.7770049E-012, 3.8640471E-004, 2.6015908E+001, 4.0048571E-072, 8.6964418E+000, 3.6672930E-005, 3.6672930E-005, 2.6359171E-004
 1.7009872E+001, 2.0755367E-001, 2.0755368E-001, 1.2527697E-011, 3.8640537E-004, 2.6017999E+001, 3.9608304E-060, 9.6872888E+000, 3.9141251E-005, 3.9141251E-005, 2.9835691E-004
 1.8024727E+001, 2.0755367E-001, 2.0755368E-001, 1.9915560E-011, 3.8640713E-004, 2.6020636E+001, 2.6562385E-049, 1.0754586E+001, 4.1449142E-005, 4.1449142E-005, 3.3560267E-004
 1.9008855E+001, 2.0755367E-001, 2.0755368E-001, 2.4465263E-011, 3.8640822E-004, 2.6023377E+001, 1.6748395E-039, 1.1745392E+001, 4.3788761E-005, 4.3788761E-005, 3.7458014E-004
 2.0006269E+001, 2.0755366E-001, 2.0755368E-001, 3.8602217E-011, 3.8641161E-004, 2.6026395E+001, 4.6869861E-030, 1.2832310E+001, 4.6226854E-005, 4.6226854E-005, 4.1531360E-004
 2.1010682E+001, 2.0755365E-001, 2.0755368E-001, 5.9471864E-011, 3.8641660E-004, 2.6029422E+001, 2.4753783E-021, 1.3672632E+001, 4.8710956E-005, 4.8710956E-005, 4.5867528E-004
 2.2020387E+001, 2.0755363E-001, 2.0755368E-001, 1.1383335E-010, 3.8642960E-004, 2.6032925E+001, 2.0951133E-014, 1.4607662E+001, 5.0900910E-005, 5.0900910E-005, 5.0429236E-004
 2.3010547E+001, 2.0755361E-001, 2.0755368E-001, 1.6989364E-010, 3.8644301E-004, 2.6035754E+001, 4.0870389E-006, 1.5755606E+001, 5.3515915E-005, 5.3515915E-005, 5.5186401E-004
 2.4004168E+001, 2.0755353E-001, 2.0755368E-001, 3.6647938E-010, 3.8649004E-004, 2.6041080E+001, 1.2901561E+000, 1.7157970E+001, 5.5614573E-005, 5.5614573E-005, 6.0092903E-004
 2.5009240E+001, 2.0755344E-001, 2.0755368E-001, 5.8294329E-010, 3.8654183E-004, 2.6046383E+001, 2.8797449E+000, 1.8368014E+001, 5.8153811E-005, 5.8153811E-005, 6.5258239E-004
 2.6020057E+001, 2.0755327E-001, 2.0755368E-001, 9.8054735E-010, 3.8663695E-004, 2.6054212E+001, 3.0895848E+000, 1.9667739E+001, 6.0597383E-005, 6.0597383E-005, 7.0676546E-004
 2.7009869E+001, 2.0755242E-001, 2.0755368E-001, 3.0698871E-009, 3.8713679E-004, 2.6075399E+001, 3.6615818E+000, 2.1301182E+001, 6.3041086E-005, 6.3041086E-005, 7.6248421E-004
 2.8010891E+001, 2.0735170E-001, 2.0755368E-001, 4.9318973E-007, 5.0439063E-004, 2.8175722E+001, 4.8805230E+000, 2.2542504E+001, 6.5110508E-005, 6.5110508E-005, 8.2016063E-004
 2.9004974E+001, 2.0687160E-001, 2.0755368E-001, 1.6655373E-006, 7.8485723E-004, 3.3058293E+001, 5.2085871E+000, 2.3104870E+001, 6.7863047E-005, 6.7863047E-005, 8.8000103E-004
 3.0012845E+001, 2.0701658E-001, 2.0755368E-001, 1.3115170E-006, 7.0016317E-004, 3.1475704E+001, 5.1774868E+000, 2.4566391E+001, 7.0055340E-005, 7.0055340E-005, 9.4198079E-004
 3.1012604E+001, 2.0701318E-001, 2.0755368E-001, 1.3198195E-006, 7.0214943E-004, 3.1453253E+001, 5.2642138E+000, 2.5661508E+001, 7.2626766E-005, 7.2626766E-005, 1.0064316E-003
 3.2013364E+001, 2.0691764E-001, 2.0755368E-001, 1.5531080E-006, 7.5796020E-004, 3.2411321E+001, 4.5662421E+000, 2.7094890E+001, 7.4885321E-005, 7.4885321E-005, 1.0724370E-003
 3.3005422E+001, 2.0684801E-001, 2.0755368E-001, 1.7231423E-006, 7.9863837E-004, 3.3092187E+001, 4.3222489E+000, 2.8727210E+001, 7.7158259E-005, 7.7158259E-005, 1.1402476E-003
 3.4009532E+001, 2.0681295E-001, 2.0755368E-001, 1.8087476E-006, 8.1911815E-004, 3.3359507E+001, 4.2135312E+000, 3.0214666E+001, 7.9284490E-005, 7.9284490E-005, 1.2101492E-003
 3.5009983E+001, 2.0677408E-001, 2.0755368E-001, 1.9036797E-006, 8.4182925E-004, 3.3754199E+001, 5.5545608E+000, 3.1178266E+001, 8.2134118E-005, 8.2134118E-005, 1.2825199E-003
 3.6005167E+001, 2.0672899E-001, 2.0755368E-001, 2.0137708E-006, 8.6816690E-004, 3.4235800E+001, 7.3044108E+000, 3.2586045E+001, 8.4526894E-005, 8.4526894E-005, 1.3567411E-003
 3.7010016E+001, 2.0669601E-001, 2.0755368E-001, 2.0943098E-006, 8.8743464E-004, 3.4628252E+001, 8.4776652E+000, 3.4136731E+001, 8.6636738E-005, 8.6636738E-005, 1.4330931E-003
 3.8003936E+001, 2.0665348E-001, 2.0755368E-001, 2.1981537E-006, 9.1227773E-004, 3.5059712E+001, 8.7141469E+000, 3.5987197E+001, 8.9128561E-005, 8.9128561E-005, 1.5114404E-003
 3.9010221E+001, 2.0660773E-001, 2.0755368E-001, 2.3098827E-006, 9.3900722E-004, 3.5517201E+001, 1.0284021E+001, 3.7218682E+001, 9.1773747E-005, 9.1773747E-005, 1.5917023E-003
 4.0010347E+001, 2.0661146E-001, 2.0755368E-001, 2.3007705E-006, 9.3682728E-004, 3.5481523E+001, 1.0765188E+001, 3.8380643E+001, 9.3712155E-005, 9.3712155E-005, 1.6743676E-003
 4.1009928E+001, 2.0658653E-001, 2.0755368E-001, 2.3616464E-006, 9.5139092E-004, 3.5727294E+001, 1.1571249E+001, 3.9581177E+001, 9.6393928E-005, 9.6393928E-005, 1.7589081E-003
 4.2014811E+001, 2.0638274E-001, 2.0755368E-001, 2.8592666E-006, 1.0704391E-003, 3.7607571E+001, 1.1531437E+001, 4.1216182E+001, 9.8845155E-005, 9.8845155E-005, 1.8457172E-003
 4.3004340E+001, 2.0635185E-001, 2.0755368E-001, 2.9346886E-006, 1.0884827E-003, 3.7846333E+001, 1.1516070E+001, 4.2606389E+001, 1.0150991E-004, 1.0150991E-004, 1.9338073E-003
 4.4012382E+001, 2.0637672E-001, 2.0755368E-001, 2.8739798E-006, 1.0739590E-003, 3.7469405E+001, 1.1239947E+001, 4.4341180E+001, 1.0404074E-004, 1.0404074E-004, 2.0241679E-003
 4.5005069E+001, 2.0630626E-001, 2.0755368E-001, 3.0460318E-006, 1.1151199E-003, 3.7956599E+001, 1.1782984E+001, 4.5549617E+001, 1.0522378E-004, 1.0522378E-004, 2.1165421E-003
 4.6004266E+001, 2.0627641E-001, 2.0755368E-001, 3.1189037E-006, 1.1325534E-003, 3.8197623E+001, 1.1781793E+001, 4.7504606E+001, 1.0764412E-004, 1.0764412E-004, 2.2107702E-003
 4.7005680E+001, 2.0614322E-001, 2.0755368E-001, 3.4441440E-006, 1.2103623E-003, 3.9414155E+001, 1.1823711E+001, 4.8343580E+001, 1.1083037E-004, 1.1083037E-004, 2.3070199E-003
 4.8014507E+001, 2.0592707E-001, 2.0755368E-001, 3.9719458E-006, 1.3366310E-003, 4.1347963E+001, 1.0834568E+001, 5.1647746E+001, 1.1311538E-004, 1.1311538E-004, 2.4059696E-003
 4.9009680E+001, 2.0574871E-001, 2.0755368E-001, 4.4074828E-006, 1.4408267E-003, 4.2857848E+001, 1.2588422E+001, 5.3130970E+001, 1.1543537E-004, 1.1543537E-004, 2.5066637E-003
 5.0001859E+001, 2.0599799E-001, 2.0755368E-001, 3.7987752E-006, 1.2952025E-003, 4.0649766E+001, 1.1753673E+001, 5.4961841E+001, 1.1768095E-004, 1.1768095E-004, 2.6087280E-003
 5.1012898E+001, 2.0594148E-001, 2.0755368E-001, 3.9367614E-006, 1.3282136E-003, 4.1023891E+001, 1.0426902E+001, 5.6389686E+001, 1.2020768E-004, 1.2020768E-004, 2.7135154E-003
 5.2010474E+001, 2.0574093E-001, 2.0755368E-001, 4.4264912E-006, 1.4453741E-003, 4.2477533E+001, 1.1723104E+001, 5.7596098E+001, 1.2237766E-004, 1.2237766E-004, 2.8203017E-003
 5.3013262E+001, 2.0581638E-001, 2.0755368E-001, 4.2422534E-006, 1.4012980E-003, 4.1217990E+001, 1.2613147E+001, 5.8109098E+001, 1.2471638E-004, 1.2471638E-004, 2.9286731E-003
 5.4001539E+001, 2.0575324E-001, 2.0755368E-001, 4.3964434E-006, 1.4381856E-003, 4.1501866E+001, 1.2984537E+001, 6.0425922E+001, 1.2790781E-004, 1.2790781E-004, 3.0383681E-003
 5.5013689E+001, 2.0560073E-001, 2.0755368E-001, 4.7688416E-006, 1.5272763E-003, 4.3169422E+001, 1.4001450E+001, 6.3022698E+001, 1.2952624E-004, 1.2952624E-004, 3.1506338E-003
 5.6013061E+001, 2.0555997E-001, 2.0755366E-001, 4.8683748E-006, 1.5510882E-003, 4.3564010E+001, 1.5390197E+001, 6.6092536E+001, 1.3193608E-004, 1.3193608E-004, 3.2658196E-003
 5.7006613E+001, 2.0539335E-001, 2.0755319E-001, 5.2752517E-006, 1.6484274E-003, 4.5020460E+001, 1.4901774E+001, 6.7447277E+001, 1.3460880E-004, 1.3460880E-004, 3.3814274E-003
 5.8009773E+001, 2.0543370E-001, 2.0755168E-001, 5.1767150E-006, 1.6248540E-003, 4.4604900E+001, 1.4521192E+001, 6.8789259E+001, 1.3685018E-004, 1.3685018E-004, 3.4994374E-003
 5.9009074E+001, 2.0545754E-001, 2.0755041E-001, 5.1185116E-006, 1.6109297E-003, 4.4196669E+001, 1.3976956E+001, 6.9789343E+001, 1.3838904E-004, 1.3838904E-004, 3.6197660E-003
 6.0003002E+001, 2.0522989E-001, 2.0755024E-001, 5.6743968E-006, 1.7439169E-003, 4.6036355E+001, 1.5393768E+001, 7.0102792E+001, 1.4182069E-004, 1.4182069E-004, 3.7411702E-003
 6.1007477E+001, 2.0513657E-001, 2.0755034E-001, 5.9022711E-006, 1.7984324E-003, 4.6610433E+001, 1.7509979E+001, 7.2212150E+001, 1.4260313E-004, 1.4260313E-004, 3.8647523E-003
 6.2004984E+001, 2.0496877E-001, 2.0755091E-001, 6.3120235E-006, 1.8964595E-003, 4.7833445E+001, 1.8020203E+001, 7.3376967E+001, 1.4711804E-004, 1.4711804E-004, 3.9905442E-003
 6.3009517E+001, 2.0485800E-001, 2.0755183E-001, 6.5824957E-006, 1.9611659E-003, 4.8644727E+001, 1.8274756E+001, 7.4962357E+001, 1.4953511E-004, 1.4953511E-004, 4.1184988E-003
 6.4011787E+001, 2.0479635E-001, 2.0755254E-001, 6.7330401E-006, 1.9971814E-003, 4.9148943E+001, 1.8203494E+001, 7.6591966E+001, 1.5171777E-004, 1.5171777E-004, 4.2484249E-003
 6.5011541E+001, 2.0471175E-001, 2.0755297E-001, 6.9396224E-006, 2.0466032E-003, 4.9721211E+001, 1.8568153E+001, 7.7460112E+001, 1.5272079E-004, 1.5272079E-004, 4.3807094E-003
 6.6006100E+001, 2.0461403E-001, 2.0755317E-001, 7.1782564E-006, 2.1036928E-003, 5.0386514E+001, 1.9338613E+001, 7.7619244E+001, 1.5581317E-004, 1.5581317E-004, 4.5141610E-003
 6.7001677E+001, 2.0458815E-001, 2.0755322E-001, 7.2414557E-006, 2.1188123E-003, 5.0544768E+001, 1.9429696E+001, 7.7301393E+001, 1.5825159E-004, 1.5825159E-004, 4.6490284E-003
 6.8011294E+001, 2.0452501E-001, 2.0755323E-001, 7.3956233E-006, 2.1556946E-003, 5.1065543E+001, 2.0476661E+001, 7.8344496E+001, 1.6107888E-004, 1.6107888E-004, 4.7863761E-003
 6.9001997E+001, 2.0445048E-001, 2.0755322E-001, 7.5776249E-006, 2.1992357E-003, 5.1671446E+001, 2.0963664E+001, 8.0204112E+001, 1.6365421E-004, 1.6365421E-004, 4.9252397E-003
 7.0004535E+001, 2.0433182E-001, 2.0755314E-001, 7.8673788E-006, 2.2685550E-003, 5.2543868E+001, 2.2169485E+001, 8.3351396E+001, 1.6424259E-004, 1.6424259E-004, 5.0661741E-003
 7.1015218E+001, 2.0434882E-001, 2.0755302E-001, 7.8258574E-006, 2.2586216E-003, 5.2375753E+001, 2.3204590E+001, 8.5779171E+001, 1.6910673E-004, 1.6910673E-004, 5.2102857E-003
 7.2013794E+001, 2.0441936E-001, 2.0755298E-001, 7.6535998E-006, 2.2174116E-003, 5.1828282E+001, 2.2925084E+001, 8.8560869E+001, 1.7027489E-004, 1.7027489E-004, 5.3558585E-003
 7.3006840E+001, 2.0445698E-001, 2.0755303E-001, 7.5617457E-006, 2.1954368E-003, 5.1517302E+001, 2.2562724E+001, 9.0223042E+001, 1.7311364E-004, 1.7311364E-004, 5.5010634E-003
 7.4008105E+001, 2.0443091E-001, 2.0755317E-001, 7.6253968E-006, 2.2106644E-003, 5.1577694E+001, 2.2598265E+001, 9.1560672E+001, 1.7443747E-004, 1.7443747E-004, 5.6483506E-003
 7.5001479E+001, 2.0431207E-001, 2.0755321E-001, 7.9155869E-006, 2.2800881E-003, 5.2374881E+001, 2.2700490E+001, 9.2662587E+001, 1.7608453E-004, 1.7608453E-004, 5.7971626E-003
 7.6000626E+001, 2.0424209E-001, 2.0755312E-001, 8.0864845E-006, 2.3209728E-003, 5.2990392E+001, 2.3805815E+001, 9.5108939E+001, 1.8177525E-004, 1.8177525E-004, 5.9494715E-003
 7.7001000E+001, 2.0391230E-001, 2.0755300E-001, 8.8917935E-006, 2.5136309E-003, 5.5808104E+001, 2.7739561E+001, 9.6259846E+001, 1.8215188E-004, 1.8215188E-004, 6.1038997E-003
 7.8014537E+001, 2.0360002E-001, 2.0755290E-001, 9.6543385E-006, 2.6960583E-003, 5.8213641E+001, 2.7579098E+001, 9.7736921E+001, 1.8465694E-004, 1.8465694E-004, 6.2600787E-003
 7.9011081E+001, 2.0360452E-001, 2.0755271E-001, 9.6433370E-006, 2.6934264E-003, 5.8147457E+001, 2.6315523E+001, 1.0110859E+002, 1.8536829E-004, 1.8536829E-004, 6.4179996E-003
 8.0005394E+001, 2.0369764E-001, 2.0755209E-001, 9.4159579E-006, 2.6390294E-003, 5.7139972E+001, 2.5562467E+001, 1.0482666E+002, 1.8557716E-004, 1.8557716E-004, 6.5752730E-003
 8.1000466E+001, 2.0370141E-001, 2.0754447E-001, 9.4067554E-006, 2.6368278E-003, 5.6904177E+001, 2.8458072E+001, 1.0576281E+002, 1.9237567E-004, 1.9237567E-004, 6.7352986E-003
 8.2002220E+001, 2.0364616E-001, 2.0753310E-001, 9.5416564E-006, 2.6691008E-003, 5.7280103E+001, 2.8461525E+001, 1.0739436E+002, 1.9495149E-004, 1.9495149E-004, 6.8986585E-003
 8.3012562E+001, 2.0368488E-001, 2.0753354E-001, 9.4471178E-006, 2.6464839E-003, 5.7129163E+001, 2.7375489E+001, 1.0838289E+002, 1.9839298E-004, 1.9839298E-004, 7.0641503E-003
 8.4003103E+001, 2.0383017E-001, 2.0754053E-001, 9.0923257E-006, 2.5616052E-003, 5.5999145E+001, 2.7840876E+001, 1.1120111E+002, 2.0071797E-004, 2.0071797E-004, 7.2323671E-003
 8.5012311E+001, 2.0372920E-001, 2.0754405E-001, 9.3388864E-006, 2.6205912E-003, 5.6662680E+001, 2.8173476E+001, 1.1196322E+002, 1.9991174E-004, 1.9991174E-004, 7.4009214E-003
 8.6007724E+001, 2.0366377E-001, 2.0754689E-001, 9.4986759E-006, 2.6588184E-003, 5.7025901E+001, 2.8374033E+001, 1.1343360E+002, 1.9930385E-004, 1.9930385E-004, 7.5713513E-003
 8.7004919E+001, 2.0342097E-001, 2.0754941E-001, 1.0091565E-005, 2.8006583E-003, 5.8414206E+001, 2.9222294E+001, 1.1103091E+002, 2.0480424E-004, 2.0480424E-004, 7.7400638E-003
 8.8008148E+001, 2.0312483E-001, 2.0755061E-001, 1.0814681E-005, 2.9736530E-003, 6.0474320E+001, 3.0855143E+001, 1.1697757E+002, 2.1087893E-004, 2.1087893E-004, 7.9151702E-003
 8.9008419E+001, 2.0283479E-001, 2.0755050E-001, 1.1522926E-005, 3.1430899E-003, 6.2588028E+001, 3.0987970E+001, 1.1823998E+002, 2.1016327E-004, 2.1016327E-004, 8.0908334E-003
 9.0012848E+001, 2.0267734E-001, 2.0754908E-001, 1.1907397E-005, 3.2350689E-003, 6.3801260E+001, 2.9567946E+001, 1.1981743E+002, 2.1287034E-004, 2.1287034E-004, 8.2683071E-003
 9.1004005E+001, 2.0225372E-001, 2.0754059E-001, 1.2941821E-005, 3.4825394E-003, 6.7157319E+001, 2.6889172E+001, 1.2169730E+002, 2.1939384E-004, 2.1939384E-004, 8.4472525E-003
 9.2011627E+001, 2.0179945E-001, 2.0752650E-001, 1.4051118E-005, 3.7479219E-003, 6.9938027E+001, 2.8117440E+001, 1.2319255E+002, 2.1754138E-004, 2.1754138E-004, 8.6282566E-003
 9.3010655E+001, 2.0210695E-001, 2.0752420E-001, 1.3300224E-005, 3.5682819E-003, 6.7320794E+001, 2.9696780E+001, 1.2459926E+002, 2.1834936E-004, 2.1834936E-004, 8.8092941E-003
 9.4000142E+001, 2.0206572E-001, 2.0752947E-001, 1.3400915E-005, 3.5923708E-003, 6.7484514E+001, 3.3446774E+001, 1.2998295E+002, 2.2425991E-004, 2.2425991E-004, 8.9940145E-003
 9.5000294E+001, 2.0206737E-001, 2.0753860E-001, 1.3396887E-005, 3.5914071E-003, 6.7323500E+001, 3.3730529E+001, 1.3090928E+002, 2.2326540E-004, 2.2326540E-004, 9.1787131E-003
 9.6010999E+001, 2.0211699E-001, 2.0754487E-001, 1.3275724E-005, 3.5624207E-003, 6.6711793E+001, 3.5217533E+001, 1.2983880E+002, 2.2770599E-004, 2.2770599E-004, 9.3655641E-003
 9.7011212E+001, 2.0216969E-001, 2.0754641E-001, 1.3147035E-005, 3.5316337E-003, 6.6230878E+001, 3.6013624E+001, 1.3463283E+002, 2.2844666E-004, 2.2844666E-004, 9.5560720E-003
 9.8010086E+001, 2.0215863E-001, 2.0754612E-001, 1.3174057E-005, 3.5380982E-003, 6.6378783E+001, 3.6622532E+001, 1.3805548E+002, 2.3036641E-004, 2.3036641E-004, 9.7445099E-003
 9.9009101E+001, 2.0202803E-001, 2.0754514E-001, 1.3492964E-005, 3.6143922E-003, 6.7237087E+001, 3.6032443E+001, 1.4303400E+002, 2.3905418E-004, 2.3905418E-004, 9.9376200E-003
 1.0000008E+002, 2.0188308E-001, 2.0754258E-001, 1.3846913E-005, 3.6990691E-003, 6.8297634E+001, 3.6254023E+001, 1.4639063E+002, 2.3685135E-004, 2.3685135E-004, 1.0132331E-002
 1.0101290E+002, 2.0170709E-001, 2.0753698E-001, 1.4276654E-005, 3.8018781E-003, 6.9522354E+001, 3.6969071E+001, 1.4679484E+002, 2.3687156E-004, 2.3687156E-004, 1.0326373E-002
 1.0201431E+002, 2.0165505E-001, 2.0752926E-001, 1.4403737E-005, 3.8322808E-003, 6.9152399E+001, 3.5671865E+001, 1.4790779E+002, 2.4329885E-004, 2.4329885E-004, 1.0525636E-002
 1.0300657E+002, 2.0163480E-001, 2.0752292E-001, 1.4453178E-005, 3.8441090E-003, 6.9131018E+001, 3.8011000E+001, 1.4751485E+002, 2.4440250E-004, 2.4440250E-004, 1.0723733E-002
 1.0400884E+002, 2.0145250E-001, 2.0752136E-001, 1.4898332E-005, 3.9506054E-003, 7.1096047E+001, 4.0051781E+001, 1.4802686E+002, 2.4562764E-004, 2.4562764E-004, 1.0924465E-002
 1.0500917E+002, 2.0116322E-001, 2.0752704E-001, 1.5604700E-005, 4.1195932E-003, 7.3965652E+001, 3.9450574E+001, 1.5019535E+002, 2.5081990E-004, 2.5081990E-004, 1.1127561E-002
 1.0600192E+002, 2.0098028E-001, 2.0753067E-001, 1.6051417E-005, 4.2264637E-003, 7.5274401E+001, 4.1105602E+001, 1.5423431E+002, 2.4906368E-004, 2.4906368E-004, 1.1330805E-002
 1.0700282E+002, 2.0096411E-001, 2.0751965E-001, 1.6090900E-005, 4.2359095E-003, 7.5148154E+001, 4.0513802E+001, 1.5353335E+002, 2.5454870E-004, 2.5454870E-004, 1.1533800E-002
 1.0801226E+002, 2.0094572E-001, 2.0748399E-001, 1.6135827E-005, 4.2466575E-003, 7.5048287E+001, 3.9214973E+001, 1.5722945E+002, 2.5745485E-004, 2.5745485E-004, 1.1743335E-002
 1.0900552E+002, 2.0082649E-001, 2.0744225E-001, 1.6426964E-005, 4.3163076E-003, 7.5835100E+001, 3.7470924E+001, 1.5898122E+002, 2.5744721E-004, 2.5744721E-004, 1.1952558E-002
 1.1000524E+002, 2.0063169E-001, 2.0740843E-001, 1.6902646E-005, 4.4301075E-003, 7.7107194E+001, 3.7077009E+001, 1.6175321E+002, 2.6281243E-004, 2.6281243E-004, 1.2161620E-002
 1.1100677E+002, 2.0043550E-001, 2.0738608E-001, 1.7381708E-005, 4.5447159E-003, 7.8287011E+001, 3.9014282E+001, 1.6542172E+002, 2.5952835E-004, 2.5952835E-004, 1.2375278E-002
 1.1200790E+002, 2.0040069E-001, 2.0737352E-001, 1.7466720E-005, 4.5650537E-003, 7.7878699E+001, 4.2492192E+001, 1.6578561E+002, 2.6256005E-004, 2.6256005E-004, 1.2587906E-002
 1.1300206E+002, 2.0041100E-001, 2.0736857E-001, 1.7441565E-005, 4.5590359E-003, 7.4282381E+001, 4.3918101E+001, 1.6518551E+002, 2.6737351E-004, 2.6737351E-004, 1.2800142E-002
 1.1400716E+002, 2.0025419E-001, 2.0736810E-001, 1.7824474E-005, 4.6506410E-003, 7.6133072E+001, 4.3920519E+001, 1.7279239E+002, 2.7673162E-004, 2.7673162E-004, 1.3019560E-002
 1.1500294E+002, 2.0024163E-001, 2.0737061E-001, 1.7855157E-005, 4.6579815E-003, 7.6591010E+001, 4.5291743E+001, 1.7622699E+002, 2.7083857E-004, 2.7083857E-004, 1.3239364E-002
 1.1600789E+002, 2.0018264E-001, 2.0737746E-001, 1.7999188E-005, 4.6924388E-003, 7.7751830E+001, 4.5439566E+001, 1.7595159E+002, 2.7554396E-004, 2.7554396E-004, 1.3458269E-002
 1.1701157E+002, 2.0016990E-001, 2.0738591E-001, 1.8030290E-005, 4.6998795E-003, 7.7525617E+001, 4.6978696E+001, 1.7870123E+002, 2.7114107E-004, 2.7114107E-004, 1.3680657E-002
 1.1801257E+002, 2.0011328E-001, 2.0739778E-001, 1.8168566E-005, 4.7329599E-003, 7.6663853E+001, 4.7492652E+001, 1.7828077E+002, 2.7361480E-004, 2.7361480E-004, 1.3900878E-002
 1.1900930E+002, 1.9991850E-001, 2.0741889E-001, 1.8644193E-005, 4.8467465E-003, 7.8305915E+001, 4.6833292E+001, 1.8336923E+002, 2.8975964E-004, 2.8975964E-004, 1.4124488E-002
 1.2000093E+002, 1.9954149E-001, 2.0745038E-001, 1.9564809E-005, 5.0669902E-003, 8.1357112E+001, 4.6686285E+001, 1.9111252E+002, 2.9059023E-004, 2.9059023E-004, 1.4351988E-002
 1.2100192E+002, 1.9932443E-001, 2.0747996E-001, 2.0094838E-005, 5.1937916E-003, 8.1416926E+001, 4.7248171E+001, 1.9392724E+002, 2.9026122E-004, 2.9026122E-004, 1.4579327E-002
 1.2200479E+002, 1.9906499E-001, 2.0748801E-001, 2.0728347E-005, 5.3453493E-003, 8.5159247E+001, 4.8156033E+001, 1.9399838E+002, 2.8305081E-004, 2.8305081E-004, 1.4807266E-002
 1.2300441E+002, 1.9925650E-001, 2.0745488E-001, 2.0260711E-005, 5.2334742E-003, 8.4538288E+001, 5.1820523E+001, 1.9643705E+002, 2.9473613E-004, 2.9473613E-004, 1.5037644E-002
 1.2400296E+002, 1.9938838E-001, 2.0740234E-001, 1.9938666E-005, 5.1564298E-003, 8.2784173E+001, 5.2561412E+001, 2.0242373E+002, 2.9431887E-004, 2.9431887E-004, 1.5272182E-002
