s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5993595E+001, 0.0000000E+000,-7.6271521E+000, 3.1253769E+000, 1.6120634E-028, 1.6120608E-028, 1.6120579E-028, 1.6120550E-028, 1.6120491E-028, 2.8478353E-007
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6002608E+001, 0.0000000E+000, 3.0873070E+000, 1.2431962E+001, 3.7645723E-024, 3.7645723E-024, 3.7645723E-024, 3.7645723E-024, 3.7645723E-024, 2.6628473E-006
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 4.9457865E-121, 3.8640237E-004, 2.6000874E+001, 0.0000000E+000, 9.7070065E-001, 2.1813755E+001, 1.7436196E-013, 1.7436196E-013, 1.7436196E-013, 1.7436196E-013, 1.7436196E-013, 8.7016561E-006
 4.0527953E+000, 2.0755368E-001, 2.0755368E-001, 1.2824646E-110, 3.8640237E-004, 2.6000462E+001, 0.0000000E+000, 3.3082015E-001, 2.3638255E+001, 2.9917031E-018, 2.9917031E-018, 2.9917031E-018, 2.9917031E-018, 2.9917031E-018, 1.6080920E-005
 5.0391322E+000, 2.0755368E-001, 2.0755368E-001, 4.4194895E-102, 3.8640237E-004, 2.6001286E+001, 0.0000000E+000, 1.0711311E+000, 2.9288074E+001, 3.8018796E-018, 3.8018796E-018, 3.8018796E-018, 3.8018796E-018, 3.8018796E-018, 2.4615649E-005
 6.0112879E+000, 2.0755368E-001, 2.0755368E-001, 2.6082271E-079, 3.8640237E-004, 2.6001867E+001, 4.0344682E-284, 1.4905380E+000, 3.5744121E+001, 3.3683414E-015, 3.3683414E-015, 3.3683414E-015, 3.3683414E-015, 3.3683414E-015, 3.5210767E-005
 7.0116517E+000, 2.0755368E-001, 2.0755368E-001, 1.0934580E-058, 3.8640237E-004, 2.6002637E+001, 2.9150030E-269, 2.0601347E+000, 4.2354539E+001, 6.2629759E-015, 6.2629759E-015, 6.2629759E-015, 6.2629759E-015, 6.2629759E-015, 4.8045382E-005
 8.0226953E+000, 2.0755368E-001, 2.0755368E-001, 1.0261908E-047, 3.8640237E-004, 2.6003515E+001, 3.0434098E-250, 2.6216803E+000, 4.8620208E+001, 2.1997170E-014, 2.1997170E-014, 2.1997170E-014, 2.1997170E-014, 2.1997170E-014, 6.3391243E-005
 9.0271748E+000, 2.0755368E-001, 2.0755368E-001, 1.0659788E-038, 3.8640237E-004, 2.6004545E+001, 1.0697134E-228, 3.1992592E+000, 5.5414981E+001, 5.8946746E-013, 5.8946746E-013, 5.8946746E-013, 5.8946746E-013, 5.8946746E-013, 8.0940290E-005
 1.0013068E+001, 2.0755368E-001, 2.0755368E-001, 3.7601682E-027, 3.8640237E-004, 2.6005859E+001, 8.3492898E-211, 3.8355910E+000, 6.1940243E+001, 1.7110734E-012, 1.7110734E-012, 1.7110734E-012, 1.7110734E-012, 1.7110734E-012, 1.0048009E-004
 1.1004206E+001, 2.0755368E-001, 2.0755368E-001, 4.1814428E-022, 3.8640237E-004, 2.6007552E+001, 2.7057537E-179, 4.5669048E+000, 6.8651969E+001, 2.5811194E-011, 2.5811194E-011, 2.5811194E-011, 2.5811194E-011, 2.5811194E-011, 1.2201814E-004
 1.2004400E+001, 2.0755368E-001, 2.0755368E-001, 4.7736205E-015, 3.8640237E-004, 2.6009210E+001, 1.8948546E-149, 5.3002682E+000, 7.5205676E+001, 2.2113047E-011, 2.2113047E-011, 2.2113047E-011, 2.2113047E-011, 2.2113047E-011, 1.4589634E-004
 1.3011336E+001, 2.0755367E-001, 2.0755368E-001, 2.5036121E-012, 3.8640297E-004, 2.6011018E+001, 1.0195175E-125, 6.0887725E+000, 8.1840352E+001, 5.6375971E-011, 5.6375971E-011, 5.6375971E-011, 5.6375971E-011, 5.6375971E-011, 1.7214544E-004
 1.4016094E+001, 2.0755367E-001, 2.0755368E-001, 1.1881403E-011, 3.8640521E-004, 2.6012736E+001, 2.6900760E-105, 6.9275387E+000, 8.8422743E+001, 1.6077871E-010, 1.6077871E-010, 1.6077871E-010, 1.6077871E-010, 1.6077871E-010, 2.0060219E-004
 1.5006585E+001, 2.0755367E-001, 2.0755368E-001, 1.8311402E-011, 3.8640675E-004, 2.6014094E+001, 8.7060666E-089, 7.6047889E+000, 9.4877880E+001, 8.0683923E-010, 8.0683923E-010, 8.0683923E-010, 8.0683923E-010, 8.0683923E-010, 2.3101290E-004
 1.6004092E+001, 2.0755367E-001, 2.0755368E-001, 2.1070346E-011, 3.8640741E-004, 2.6015792E+001, 1.6497316E-073, 8.5931172E+000, 1.0183298E+002, 6.0360245E-009, 6.0360245E-009, 6.0360245E-009, 6.0360245E-009, 6.0360245E-009, 2.6334392E-004
 1.7008001E+001, 2.0755367E-001, 2.0755368E-001, 2.4260509E-011, 3.8640817E-004, 2.6017863E+001, 8.0583928E-060, 9.5526303E+000, 1.0797850E+002, 2.3656626E-009, 2.3656626E-009, 2.3656626E-009, 2.3656626E-009, 2.3656626E-009, 2.9809893E-004
 1.8007173E+001, 2.0755366E-001, 2.0755368E-001, 2.8622303E-011, 3.8640922E-004, 2.6020006E+001, 1.8457295E-048, 1.0354266E+001, 1.1476557E+002, 1.5947548E-008, 1.5947548E-008, 1.5947548E-008, 1.5947548E-008, 1.5947548E-008, 3.3503610E-004
 1.9012739E+001, 2.0755366E-001, 2.0755368E-001, 2.8297981E-011, 3.8640914E-004, 2.6022289E+001, 3.0906436E-038, 1.1375649E+001, 1.2198274E+002, 7.5049831E-008, 7.5049831E-008, 7.5049831E-008, 7.5049831E-008, 7.5049831E-008, 3.7410861E-004
 2.0018135E+001, 2.0755366E-001, 2.0755368E-001, 3.2662187E-011, 3.8641018E-004, 2.6024968E+001, 8.1786624E-029, 1.2600469E+001, 1.2803793E+002, 3.4925565E-008, 3.4925565E-008, 3.4925565E-008, 3.4925565E-008, 3.4925565E-008, 4.1540228E-004
 2.1009091E+001, 2.0755365E-001, 2.0755368E-001, 7.4224185E-011, 3.8642013E-004, 2.6027685E+001, 7.5293544E-021, 1.3492893E+001, 1.3424613E+002, 4.2094380E-008, 4.2094380E-008, 4.2094380E-008, 4.2094380E-008, 4.2094380E-008, 4.5855739E-004
 2.2013013E+001, 2.0755359E-001, 2.0755368E-001, 2.1316641E-010, 3.8645337E-004, 2.6030778E+001, 1.3081276E-014, 1.4449323E+001, 1.4146861E+002, 1.5573245E-007, 1.5573245E-007, 1.5573245E-007, 1.5573245E-007, 1.5573245E-007, 5.0376801E-004
 2.3008535E+001, 2.0755352E-001, 2.0755368E-001, 3.8907434E-010, 3.8649545E-004, 2.6034892E+001, 9.9878866E-008, 1.5939996E+001, 1.4832227E+002, 2.0123343E-007, 2.0123343E-007, 2.0123343E-007, 2.0123343E-007, 2.0123343E-007, 5.5115009E-004
 2.4008998E+001, 2.0755342E-001, 2.0755368E-001, 6.1415271E-010, 3.8654930E-004, 2.6039012E+001, 1.1202074E+000, 1.7313955E+001, 1.5384726E+002, 2.0768169E-007, 2.0768169E-007, 2.0768169E-007, 2.0768169E-007, 2.0768169E-007, 6.0068262E-004
 2.5012049E+001, 2.0755341E-001, 2.0755368E-001, 6.5615529E-010, 3.8655935E-004, 2.6043045E+001, 3.3836410E+000, 1.8560540E+001, 1.6224121E+002, 6.0717679E-007, 6.0717679E-007, 6.0717679E-007, 6.0717679E-007, 6.0717679E-007, 6.5232199E-004
 2.6006122E+001, 2.0755327E-001, 2.0755368E-001, 9.8818380E-010, 3.8663878E-004, 2.6048352E+001, 3.7325157E+000, 1.9965626E+001, 1.6677283E+002, 7.2553920E-007, 7.2553920E-007, 7.2553920E-007, 7.2553920E-007, 7.2553920E-007, 7.0605488E-004
 2.7010410E+001, 2.0755303E-001, 2.0755368E-001, 1.5868820E-009, 3.8678201E-004, 2.6053124E+001, 4.4383649E+000, 2.0687931E+001, 1.7449199E+002, 1.9173139E-006, 1.9173139E-006, 1.9173139E-006, 1.9173139E-006, 1.9173139E-006, 7.6173983E-004
 2.8013702E+001, 2.0755221E-001, 2.0755368E-001, 3.5872507E-009, 3.8726057E-004, 2.6065287E+001, 5.5294972E+000, 2.2391899E+001, 1.8074640E+002, 2.0616835E-006, 2.0616835E-006, 2.0616835E-006, 2.0616835E-006, 2.0616835E-006, 8.1999067E-004
 2.9010573E+001, 2.0741706E-001, 2.0755368E-001, 3.3359370E-007, 4.6620966E-004, 2.7446652E+001, 5.6786588E+000, 2.3795986E+001, 1.8790278E+002, 3.6042773E-006, 3.6042773E-006, 3.6042773E-006, 3.6042773E-006, 3.6042773E-006, 8.7992322E-004
 3.0017367E+001, 2.0666101E-001, 2.0755368E-001, 2.1797633E-006, 9.0787811E-004, 3.5154015E+001, 6.3348121E+000, 2.4856608E+001, 1.9418652E+002, 4.3551005E-006, 4.3551005E-006, 4.3551005E-006, 4.3551005E-006, 4.3551005E-006, 9.4211724E-004
 3.1005503E+001, 2.0657538E-001, 2.0755368E-001, 2.3888419E-006, 9.5789702E-004, 3.6087047E+001, 5.5002329E+000, 2.5930143E+001, 2.0129148E+002, 9.5822265E-006, 9.5822265E-006, 9.5822265E-006, 9.5822265E-006, 9.5822265E-006, 1.0059100E-003
 3.2008042E+001, 2.0670987E-001, 2.0755368E-001, 2.0604431E-006, 8.7933252E-004, 3.4635475E+001, 5.1441753E+000, 2.7129371E+001, 2.0789268E+002, 1.9304912E-005, 1.9304912E-005, 1.9304912E-005, 1.9304912E-005, 1.9304912E-005, 1.0716857E-003
 3.3016664E+001, 2.0665478E-001, 2.0755368E-001, 2.1949719E-006, 9.1151654E-004, 3.5120094E+001, 4.2995079E+000, 2.8661106E+001, 2.1419370E+002, 1.7686488E-005, 1.7686488E-005, 1.7686488E-005, 1.7686488E-005, 1.7686488E-005, 1.1401731E-003
 3.4016028E+001, 2.0668312E-001, 2.0755368E-001, 2.1257695E-006, 8.9496089E-004, 3.4800898E+001, 4.4965977E+000, 2.9704273E+001, 2.2023171E+002, 1.7557457E-005, 1.7557457E-005, 1.7557457E-005, 1.7557457E-005, 1.7557457E-005, 1.2106951E-003
 3.5015826E+001, 2.0668107E-001, 2.0755368E-001, 2.1307800E-006, 8.9615958E-004, 3.4806603E+001, 5.8871433E+000, 3.1265139E+001, 2.2755840E+002, 2.0455432E-005, 2.0455432E-005, 2.0455432E-005, 2.0455432E-005, 2.0455432E-005, 1.2829444E-003
 3.6011671E+001, 2.0679046E-001, 2.0755368E-001, 1.8636512E-006, 8.3225302E-004, 3.3750167E+001, 9.5356028E+000, 3.2725743E+001, 2.3348787E+002, 2.1194466E-005, 2.1194466E-005, 2.1194466E-005, 2.1194466E-005, 2.1194466E-005, 1.3571560E-003
 3.7012885E+001, 2.0688782E-001, 2.0755368E-001, 1.6259182E-006, 7.7537896E-004, 3.2781569E+001, 1.0510120E+001, 3.3616397E+001, 2.4141744E+002, 3.5863943E-005, 3.5863943E-005, 3.5863943E-005, 3.5863943E-005, 3.5863943E-005, 1.4333627E-003
 3.8014099E+001, 2.0693961E-001, 2.0755368E-001, 1.4994581E-006, 7.4512525E-004, 3.2270320E+001, 1.0114690E+001, 3.5648737E+001, 2.4720935E+002, 4.9830875E-005, 4.9830875E-005, 4.9830875E-005, 4.9830875E-005, 4.9830875E-005, 1.5117415E-003
 3.9015313E+001, 2.0693047E-001, 2.0755368E-001, 1.5217716E-006, 7.5046343E-004, 3.2353297E+001, 1.1769813E+001, 3.7602870E+001, 2.5358337E+002, 5.1499583E-005, 5.1499583E-005, 5.1499583E-005, 5.1499583E-005, 5.1499583E-005, 1.5922965E-003
 4.0010773E+001, 2.0687847E-001, 2.0755368E-001, 1.6487477E-006, 7.8084055E-004, 3.2844049E+001, 1.2045548E+001, 3.8616143E+001, 2.5965741E+002, 6.8175792E-005, 6.8175792E-005, 6.8175792E-005, 6.8175792E-005, 6.8175792E-005, 1.6745760E-003
 4.1005955E+001, 2.0686677E-001, 2.0755368E-001, 1.6772972E-006, 7.8767061E-004, 3.2967502E+001, 1.1677570E+001, 3.8310932E+001, 2.6760159E+002, 1.3023079E-004, 1.3023079E-004, 1.3023079E-004, 1.3023079E-004, 1.3023079E-004, 1.7584048E-003
 4.2004148E+001, 2.0679847E-001, 2.0755368E-001, 1.8440942E-006, 8.2757430E-004, 3.3637317E+001, 1.1039580E+001, 4.0080144E+001, 2.7323804E+002, 1.3331642E-004, 1.3331642E-004, 1.3331642E-004, 1.3331642E-004, 1.3331642E-004, 1.8446317E-003
 4.3007597E+001, 2.0667505E-001, 2.0755368E-001, 2.1454436E-006, 8.9966763E-004, 3.4813479E+001, 1.1525605E+001, 4.3454708E+001, 2.8025089E+002, 1.0753780E-004, 1.0753780E-004, 1.0753780E-004, 1.0753780E-004, 1.0753780E-004, 1.9332748E-003
 4.4005180E+001, 2.0646368E-001, 2.0755368E-001, 2.6615790E-006, 1.0231453E-003, 3.6782673E+001, 1.1389677E+001, 4.5190066E+001, 2.8946197E+002, 1.3863240E-004, 1.3863240E-004, 1.3863240E-004, 1.3863240E-004, 1.3863240E-004, 2.0236310E-003
 4.5009576E+001, 2.0621022E-001, 2.0755368E-001, 3.2805256E-006, 1.1712191E-003, 3.8836329E+001, 1.1796180E+001, 4.6396089E+001, 2.9155761E+002, 1.4049201E-004, 1.4049201E-004, 1.4049201E-004, 1.4049201E-004, 1.4049201E-004, 2.1160622E-003
 4.6015030E+001, 2.0615644E-001, 2.0755368E-001, 3.4118382E-006, 1.2026337E-003, 3.9145871E+001, 1.1532812E+001, 4.7286710E+001, 2.9951928E+002, 1.8586826E-004, 1.8586826E-004, 1.8586826E-004, 1.8586826E-004, 1.8586826E-004, 2.2112370E-003
 4.7000109E+001, 2.0619852E-001, 2.0755368E-001, 3.3090821E-006, 1.1780509E-003, 3.8542924E+001, 1.1329192E+001, 4.9525745E+001, 3.0633129E+002, 1.9945716E-004, 1.9945716E-004, 1.9945716E-004, 1.9945716E-004, 1.9945716E-004, 2.3074330E-003
 4.8011434E+001, 2.0610050E-001, 2.0755368E-001, 3.5484515E-006, 1.2353165E-003, 3.9457828E+001, 1.2862453E+001, 5.1708092E+001, 3.1433980E+002, 2.3722602E-004, 2.3722602E-004, 2.3722602E-004, 2.3722602E-004, 2.3722602E-004, 2.4058870E-003
 4.9007152E+001, 2.0601234E-001, 2.0755368E-001, 3.7637130E-006, 1.2868147E-003, 4.0341562E+001, 1.2989484E+001, 5.3731170E+001, 3.2093609E+002, 2.5603350E-004, 2.5603350E-004, 2.5603350E-004, 2.5603350E-004, 2.5603350E-004, 2.5068096E-003
 5.0004396E+001, 2.0579232E-001, 2.0755368E-001, 4.3009682E-006, 1.4153453E-003, 4.2302661E+001, 1.2032975E+001, 5.5168532E+001, 3.2566742E+002, 2.9579561E-004, 2.9579561E-004, 2.9579561E-004, 2.9579561E-004, 2.9579561E-004, 2.6090282E-003
 5.1005226E+001, 2.0581781E-001, 2.0755368E-001, 4.2387312E-006, 1.4004559E-003, 4.2157889E+001, 1.1699604E+001, 5.5344875E+001, 3.3250860E+002, 3.9797425E-004, 3.9797425E-004, 3.9797425E-004, 3.9797425E-004, 3.9797425E-004, 2.7131748E-003
 5.2015984E+001, 2.0584353E-001, 2.0755368E-001, 4.1759341E-006, 1.3854327E-003, 4.1929380E+001, 1.3034504E+001, 5.8160291E+001, 3.4038947E+002, 3.6331852E-004, 3.6331852E-004, 3.6331852E-004, 3.6331852E-004, 3.6331852E-004, 2.8202753E-003
