s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5993601E+001, 0.0000000E+000,-7.6210951E+000, 1.1463984E-006, 1.1463984E-006, 2.9046362E-007, 6.9477614E-016
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6002618E+001, 0.0000000E+000, 3.0987256E+000, 4.6764899E-006, 4.6764899E-006, 2.6986472E-006, 2.4230144E-014
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 5.2732510E-121, 3.8640237E-004, 2.6000762E+001, 0.0000000E+000, 8.3613882E-001, 8.1899639E-006, 8.1899639E-006, 8.8346842E-006, 3.6055572E-013
 4.0044744E+000, 2.0755368E-001, 2.0755368E-001, 5.3811919E-111, 3.8640237E-004, 2.6000442E+001, 0.0000000E+000, 3.1178010E-001, 8.5177520E-006, 8.5177520E-006, 1.5966116E-005, 1.5504868E-012
 5.0329628E+000, 2.0755368E-001, 2.0755368E-001, 5.0600337E-102, 3.8640237E-004, 2.6001293E+001, 0.0000000E+000, 1.0916629E+000, 1.0510601E-005, 1.0510601E-005, 2.4443519E-005, 2.7044719E-012
 6.0313171E+000, 2.0755368E-001, 2.0755368E-001, 5.6373546E-078, 3.8640237E-004, 2.6001859E+001, 5.9782512E-284, 1.4913054E+000, 1.2909932E-005, 1.2909932E-005, 3.5380599E-005, 3.8396142E-012
 7.0135040E+000, 2.0755368E-001, 2.0755368E-001, 8.1372111E-059, 3.8640237E-004, 2.6002628E+001, 1.6107203E-269, 2.0624438E+000, 1.5280555E-005, 1.5280555E-005, 4.8278490E-005, 6.2153817E-012
 8.0116336E+000, 2.0755368E-001, 2.0755368E-001, 1.5614446E-048, 3.8640237E-004, 2.6003493E+001, 1.3744514E-252, 2.6203834E+000, 1.7551860E-005, 1.7551860E-005, 6.3393206E-005, 2.0168492E-009
 9.0204274E+000, 2.0755368E-001, 2.0755368E-001, 5.2719316E-037, 3.8640237E-004, 2.6004514E+001, 4.1588614E-230, 3.1839927E+000, 1.9990195E-005, 1.9990195E-005, 8.0853916E-005, 1.2350516E-008
 1.0013040E+001, 2.0755368E-001, 2.0755368E-001, 1.2248783E-026, 3.8640237E-004, 2.6005925E+001, 6.5512224E-207, 3.8710067E+000, 2.2371129E-005, 2.2371129E-005, 1.0048943E-004, 2.7135776E-008
 1.1024369E+001, 2.0755368E-001, 2.0755368E-001, 4.0373247E-018, 3.8640237E-004, 2.6007871E+001, 3.3049339E-174, 4.6122948E+000, 2.4782400E-005, 2.4782400E-005, 1.2234293E-004, 4.3292007E-008
 1.2013105E+001, 2.0755368E-001, 2.0755368E-001, 2.4168149E-013, 3.8640243E-004, 2.6009524E+001, 6.5595010E-145, 5.3525404E+000, 2.7166026E-005, 2.7166026E-005, 1.4631538E-004, 6.6410978E-008
 1.3020035E+001, 2.0755367E-001, 2.0755368E-001, 1.9383663E-012, 3.8640283E-004, 2.6010726E+001, 1.8374636E-121, 6.0713864E+000, 2.9556727E-005, 2.9556727E-005, 1.7241536E-004, 1.0182678E-007
 1.4009536E+001, 2.0755367E-001, 2.0755368E-001, 3.8509039E-012, 3.8640329E-004, 2.6012196E+001, 3.8723458E-102, 6.7716108E+000, 3.1916473E-005, 3.1916473E-005, 2.0064335E-004, 1.4994148E-007
 1.5007935E+001, 2.0755367E-001, 2.0755368E-001, 7.0241045E-012, 3.8640405E-004, 2.6014069E+001, 1.1939048E-085, 7.7292393E+000, 3.4223560E-005, 3.4223560E-005, 2.3084900E-004, 2.1021120E-007
 1.6006244E+001, 2.0755367E-001, 2.0755368E-001, 9.7770042E-012, 3.8640471E-004, 2.6015908E+001, 3.9987256E-072, 8.6964442E+000, 3.6672930E-005, 3.6672930E-005, 2.6331948E-004, 2.7400941E-007
 1.7009872E+001, 2.0755367E-001, 2.0755368E-001, 1.2527697E-011, 3.8640537E-004, 2.6017999E+001, 3.9548800E-060, 9.6872919E+000, 3.9141251E-005, 3.9141251E-005, 2.9800942E-004, 3.5010707E-007
 1.8024728E+001, 2.0755367E-001, 2.0755368E-001, 1.9915565E-011, 3.8640713E-004, 2.6020636E+001, 2.6531727E-049, 1.0754590E+001, 4.1449142E-005, 4.1449142E-005, 3.3517300E-004, 4.3337407E-007
 1.9008856E+001, 2.0755367E-001, 2.0755368E-001, 2.4465267E-011, 3.8640822E-004, 2.6023377E+001, 1.6718477E-039, 1.1745397E+001, 4.3788761E-005, 4.3788761E-005, 3.7405004E-004, 5.3510923E-007
 2.0006269E+001, 2.0755366E-001, 2.0755368E-001, 3.8602222E-011, 3.8641161E-004, 2.6026395E+001, 4.7402153E-030, 1.2832317E+001, 4.6226854E-005, 4.6226854E-005, 4.1467549E-004, 6.4471664E-007
 2.1010682E+001, 2.0755365E-001, 2.0755368E-001, 5.9471885E-011, 3.8641660E-004, 2.6029422E+001, 2.4765877E-021, 1.3672641E+001, 4.8710956E-005, 4.8710956E-005, 4.5790414E-004, 7.7968789E-007
 2.2020389E+001, 2.0755363E-001, 2.0755368E-001, 1.1383347E-010, 3.8642960E-004, 2.6032924E+001, 2.0893073E-014, 1.4607677E+001, 5.0900911E-005, 5.0900911E-005, 5.0336368E-004, 9.3962615E-007
 2.3010550E+001, 2.0755361E-001, 2.0755368E-001, 1.6989379E-010, 3.8644301E-004, 2.6035753E+001, 4.0725968E-006, 1.5755627E+001, 5.3515916E-005, 5.3515916E-005, 5.5075962E-004, 1.1182440E-006
 2.4004160E+001, 2.0755353E-001, 2.0755368E-001, 3.6647597E-010, 3.8649004E-004, 2.6041080E+001, 1.2870155E+000, 1.7157993E+001, 5.5614568E-005, 5.5614568E-005, 5.9964346E-004, 1.3025474E-006
 2.5009238E+001, 2.0755344E-001, 2.0755368E-001, 5.8293905E-010, 3.8654183E-004, 2.6046382E+001, 2.8728824E+000, 1.8368044E+001, 5.8153810E-005, 5.8153810E-005, 6.5109974E-004, 1.5034602E-006
 2.6020060E+001, 2.0755327E-001, 2.0755368E-001, 9.8054439E-010, 3.8663695E-004, 2.6054211E+001, 3.0818380E+000, 1.9667774E+001, 6.0597379E-005, 6.0597379E-005, 7.0506599E-004, 1.7251481E-006
 2.7009868E+001, 2.0755242E-001, 2.0755368E-001, 3.0698331E-009, 3.8713678E-004, 2.6075398E+001, 3.6504019E+000, 2.1301205E+001, 6.3041102E-005, 6.3041102E-005, 7.6057269E-004, 1.9424081E-006
 2.8010832E+001, 2.0735172E-001, 2.0755368E-001, 4.9313935E-007, 5.0437858E-004, 2.8175512E+001, 4.8605962E+000, 2.2542516E+001, 6.5110483E-005, 6.5110483E-005, 8.1802373E-004, 2.1717074E-006
 2.9004782E+001, 2.0687160E-001, 2.0755368E-001, 1.6655395E-006, 7.8485777E-004, 3.3058329E+001, 5.1881105E+000, 2.3104817E+001, 6.7863195E-005, 6.7863195E-005, 8.7759690E-004, 2.4395692E-006
 3.0012878E+001, 2.0701654E-001, 2.0755368E-001, 1.3116301E-006, 7.0019025E-004, 3.1476212E+001, 5.1540221E+000, 2.4567962E+001, 7.0057782E-005, 7.0057782E-005, 9.3927557E-004, 2.7476647E-006
 3.1004956E+001, 2.0701350E-001, 2.0755368E-001, 1.3190516E-006, 7.0196573E-004, 3.1450079E+001, 5.2408485E+000, 2.5641205E+001, 7.2633241E-005, 7.2633241E-005, 1.0031524E-003, 3.0841658E-006
 3.2001744E+001, 2.0691845E-001, 2.0755368E-001, 1.5511485E-006, 7.5749143E-004, 3.2403061E+001, 4.5461110E+000, 2.7059006E+001, 7.4836248E-005, 7.4836248E-005, 1.0684203E-003, 3.4358239E-006
 3.3004801E+001, 2.0684855E-001, 2.0755368E-001, 1.7218267E-006, 7.9832365E-004, 3.3086929E+001, 4.3048915E+000, 2.8719978E+001, 7.7134367E-005, 7.7134367E-005, 1.1360984E-003, 3.7961563E-006
 3.4006655E+001, 2.0681297E-001, 2.0755368E-001, 1.8087239E-006, 8.1911250E-004, 3.3359135E+001, 4.1941325E+000, 3.0221212E+001, 7.9282032E-005, 7.9282032E-005, 1.2059079E-003, 4.1928293E-006
 3.5000849E+001, 2.0677498E-001, 2.0755368E-001, 1.9014807E-006, 8.4130317E-004, 3.3746574E+001, 5.5096989E+000, 3.1183596E+001, 8.2127652E-005, 8.2127652E-005, 1.2775589E-003, 4.6122391E-006
 3.6005237E+001, 2.0673290E-001, 2.0755368E-001, 2.0042303E-006, 8.6588447E-004, 3.4199726E+001, 7.2498852E+000, 3.2599185E+001, 8.4522381E-005, 8.4522381E-005, 1.3514707E-003, 5.0376709E-006
 3.7016514E+001, 2.0669737E-001, 2.0755368E-001, 2.0909858E-006, 8.8663943E-004, 3.4623469E+001, 8.4192694E+000, 3.4176072E+001, 8.6645382E-005, 8.6645382E-005, 1.4280086E-003, 5.4695661E-006
 3.8005003E+001, 2.0666094E-001, 2.0755368E-001, 2.1799445E-006, 9.0792146E-004, 3.4993322E+001, 8.6604828E+000, 3.5960373E+001, 8.9148554E-005, 8.9148554E-005, 1.5059622E-003, 5.9249371E-006
 3.9012785E+001, 2.0660168E-001, 2.0755368E-001, 2.3246548E-006, 9.4254125E-004, 3.5579511E+001, 1.0218638E+001, 3.7202179E+001, 9.1760085E-005, 9.1760085E-005, 1.5855846E-003, 6.3986328E-006
 4.0003241E+001, 2.0661981E-001, 2.0755368E-001, 2.2803758E-006, 9.3194816E-004, 3.5402966E+001, 1.0668195E+001, 3.8663948E+001, 9.3675431E-005, 9.3675431E-005, 1.6675158E-003, 6.8704020E-006
 4.1000990E+001, 2.0662018E-001, 2.0755368E-001, 2.2794768E-006, 9.3173307E-004, 3.5414397E+001, 1.1431241E+001, 3.9665484E+001, 9.6382624E-005, 9.6382624E-005, 1.7509500E-003, 7.3785919E-006
 4.2013969E+001, 2.0640966E-001, 2.0755368E-001, 2.7935511E-006, 1.0547177E-003, 3.7417261E+001, 1.1388501E+001, 4.1072394E+001, 9.8710747E-005, 9.8710747E-005, 1.8375148E-003, 7.9285529E-006
 4.3009042E+001, 2.0608682E-001, 2.0755368E-001, 3.5818966E-006, 1.2433175E-003, 4.0466975E+001, 1.1235700E+001, 4.3264413E+001, 1.0129594E-004, 1.0129594E-004, 1.9257462E-003, 8.5137570E-006
 4.4009588E+001, 2.0598805E-001, 2.0755368E-001, 3.8230672E-006, 1.3010140E-003, 4.1292329E+001, 1.0948779E+001, 4.5037029E+001, 1.0388090E-004, 1.0388090E-004, 2.0153825E-003, 9.0954712E-006
 4.5005807E+001, 2.0613693E-001, 2.0755368E-001, 3.4595257E-006, 1.2140421E-003, 3.9770012E+001, 1.2680105E+001, 4.7446870E+001, 1.0538656E-004, 1.0538656E-004, 2.1071463E-003, 9.6585067E-006
 4.6005807E+001, 2.0612435E-001, 2.0755368E-001, 3.4902482E-006, 1.2213920E-003, 3.9652941E+001, 1.2537655E+001, 4.7994120E+001, 1.0855870E-004, 1.0855870E-004, 2.2009234E-003, 1.0276827E-005
 4.7006794E+001, 2.0617288E-001, 2.0755368E-001, 3.3717499E-006, 1.1930431E-003, 3.9102775E+001, 1.2995672E+001, 4.8888087E+001, 1.1062285E-004, 1.1062285E-004, 2.2966422E-003, 1.0909005E-005
 4.8008256E+001, 2.0612811E-001, 2.0755368E-001, 3.4810779E-006, 1.2191982E-003, 3.9491881E+001, 1.0982899E+001, 5.1725194E+001, 1.1301346E-004, 1.1301346E-004, 2.3948917E-003, 1.1531072E-005
 4.9003058E+001, 2.0600179E-001, 2.0755368E-001, 3.7895304E-006, 1.2929908E-003, 4.0605870E+001, 1.0519589E+001, 5.2759985E+001, 1.1539649E-004, 1.1539649E-004, 2.4946116E-003, 1.2210265E-005
 5.0002888E+001, 2.0602587E-001, 2.0755368E-001, 3.7307239E-006, 1.2789222E-003, 4.0457957E+001, 1.1225742E+001, 5.3889151E+001, 1.1776097E-004, 1.1776097E-004, 2.5961803E-003, 1.2949819E-005
 5.1014571E+001, 2.0594851E-001, 2.0755368E-001, 3.9196409E-006, 1.3241178E-003, 4.0892286E+001, 1.2158979E+001, 5.5945958E+001, 1.1990383E-004, 1.1990383E-004, 2.7004279E-003, 1.3732670E-005
 5.2000428E+001, 2.0598494E-001, 2.0755368E-001, 3.8306784E-006, 1.3028349E-003, 4.0292845E+001, 1.3968698E+001, 5.8156095E+001, 1.2215996E-004, 1.2215996E-004, 2.8058153E-003, 1.4520336E-005
