s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0275613E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5990065E+001, 0.0000000E+000,-1.1852790E+001, 2.8382994E+000, 1.0778241E-028, 1.0778214E-028, 1.0778177E-028, 1.0778109E-028, 1.0777988E-028, 2.1877186E-007, 1.1409473E-015
 2.0551225E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6006165E+001, 0.0000000E+000, 7.2680304E+000, 2.0157379E+001, 4.8241105E-015, 4.8241105E-015, 4.8241105E-015, 4.8241105E-015, 4.8241105E-015, 3.2079196E-006, 6.4323397E-014
 3.0539785E+000, 2.0755368E-001, 2.0755368E-001, 6.6193352E-095, 3.8640237E-004, 2.5998812E+001, 0.0000000E+000,-1.5621963E+000, 2.2122518E+001, 1.3672091E-012, 1.3672091E-012, 1.3672091E-012, 1.3672091E-012, 1.3672091E-012, 1.1293080E-005, 8.5650832E-013
 4.0344264E+000, 2.0755368E-001, 2.0755368E-001, 1.2659238E-086, 3.8640237E-004, 2.6001401E+001, 0.0000000E+000, 1.3492711E+000, 2.2790347E+001, 1.2017656E-019, 1.2017656E-019, 1.2017656E-019, 1.2017656E-019, 1.2017656E-019, 1.8215767E-005, 4.3712657E-012
 5.0041934E+000, 2.0755368E-001, 2.0755368E-001, 8.7850953E-068, 3.8640237E-004, 2.6001453E+001, 1.5837346E-226, 1.1753579E+000, 2.8800771E+001, 1.0982586E-019, 1.0982586E-019, 1.0982586E-019, 1.0982586E-019, 1.0982586E-019, 2.6555849E-005, 8.7550383E-012
 6.0224487E+000, 2.0755368E-001, 2.0755368E-001, 5.8471161E-051, 3.8640237E-004, 2.6001944E+001, 2.2771824E-211, 1.5057599E+000, 3.5394770E+001, 4.4783272E-017, 4.4783272E-017, 4.4783272E-017, 4.4783272E-017, 4.4783272E-017, 3.7239204E-005, 2.2199312E-010
 7.0407041E+000, 2.0755368E-001, 2.0755368E-001, 9.3175687E-043, 3.8640237E-004, 2.6002668E+001, 1.1331632E-199, 2.0411275E+000, 4.2083901E+001, 1.0950776E-016, 1.0950776E-016, 1.0950776E-016, 1.0950776E-016, 1.0950776E-016, 5.0423488E-005, 2.4189714E-009
 8.0427286E+000, 2.0755368E-001, 2.0755368E-001, 8.9518061E-035, 3.8640237E-004, 2.6003587E+001, 5.5966162E-178, 2.6976385E+000, 4.8928719E+001, 8.9087927E-017, 8.9087927E-017, 8.9087927E-017, 8.9087927E-017, 8.9087927E-017, 6.5759282E-005, 6.6445683E-009
 9.0434575E+000, 2.0755368E-001, 2.0755368E-001, 1.1465094E-028, 3.8640237E-004, 2.6004551E+001, 4.0336583E-162, 3.2681872E+000, 5.5409836E+001, 1.5384263E-015, 1.5384263E-015, 1.5384263E-015, 1.5384263E-015, 1.5384263E-015, 8.3214798E-005, 1.7451261E-008
 1.0012080E+001, 2.0755368E-001, 2.0755368E-001, 5.3790718E-024, 3.8640237E-004, 2.6005835E+001, 1.6208445E-144, 4.0197827E+000, 6.2180397E+001, 5.4196637E-015, 5.4196637E-015, 5.4196637E-015, 5.4196637E-015, 5.4196637E-015, 1.0249780E-004, 3.3022133E-008
 1.1002553E+001, 2.0755368E-001, 2.0755368E-001, 6.9373910E-016, 3.8640237E-004, 2.6007408E+001, 1.8945826E-126, 4.6973021E+000, 6.8407426E+001, 7.4356586E-014, 7.4356586E-014, 7.4356586E-014, 7.4356586E-014, 7.4356586E-014, 1.2381609E-004, 5.4347764E-008
