s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5993595E+001, 0.0000000E+000,-7.6271521E+000, 3.1253769E+000, 2.2809615E-027, 2.8478352E-007, 6.8265392E-016
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6002608E+001, 0.0000000E+000, 3.0873075E+000, 1.2431962E+001, 3.0589822E-023, 2.6628463E-006, 2.4105705E-014
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 4.9457906E-121, 3.8640237E-004, 2.6000874E+001, 0.0000000E+000, 9.7070024E-001, 2.1813749E+001, 3.1166187E-013, 8.7016221E-006, 3.5583142E-013
 4.0527999E+000, 2.0755368E-001, 2.0755368E-001, 1.2825397E-110, 3.8640237E-004, 2.6000462E+001, 0.0000000E+000, 3.3081935E-001, 2.3638254E+001, 1.0410058E-017, 1.6080657E-005, 1.5821616E-012
 5.0391387E+000, 2.0755368E-001, 2.0755368E-001, 4.4202176E-102, 3.8640237E-004, 2.6001286E+001, 0.0000000E+000, 1.0711300E+000, 2.9288070E+001, 1.2687667E-017, 2.4615301E-005, 2.7254997E-012
 6.0112910E+000, 2.0755368E-001, 2.0755368E-001, 2.6091034E-079, 3.8640237E-004, 2.6001867E+001, 2.5678873E-284, 1.4905336E+000, 3.5744121E+001, 8.3713544E-015, 3.5210390E-005, 3.7893782E-012
 7.0116644E+000, 2.0755368E-001, 2.0755368E-001, 1.0936879E-058, 3.8640237E-004, 2.6002637E+001, 1.7638380E-269, 2.0601147E+000, 4.2354547E+001, 1.5015289E-014, 4.8045007E-005, 1.0531944E-011
 8.0227292E+000, 2.0755368E-001, 2.0755368E-001, 1.0268881E-047, 3.8640237E-004, 2.6003515E+001, 1.3254634E-250, 2.6216822E+000, 4.8620223E+001, 4.9715094E-014, 6.3389489E-005, 1.6221249E-009
 9.0272133E+000, 2.0755368E-001, 2.0755368E-001, 1.0677643E-038, 3.8640237E-004, 2.6004545E+001, 4.2414384E-229, 3.1992701E+000, 5.5415001E+001, 1.0943661E-012, 8.0929343E-005, 1.1000599E-008
 1.0013088E+001, 2.0755368E-001, 2.0755368E-001, 3.7555622E-027, 3.8640237E-004, 2.6005859E+001, 3.0811043E-211, 3.8355902E+000, 6.1940210E+001, 2.9718333E-012, 1.0045354E-004, 2.6423330E-008
 1.1004200E+001, 2.0755368E-001, 2.0755368E-001, 4.1897077E-022, 3.8640237E-004, 2.6007552E+001, 1.0883368E-179, 4.5668772E+000, 6.8651924E+001, 3.7058370E-011, 1.2197267E-004, 4.4817253E-008
 1.2004298E+001, 2.0755368E-001, 2.0755368E-001, 4.7734655E-015, 3.8640237E-004, 2.6009210E+001, 7.0934887E-150, 5.3002250E+000, 7.5205654E+001, 3.3953255E-011, 1.4582449E-004, 6.9737252E-008
 1.3011118E+001, 2.0755367E-001, 2.0755368E-001, 2.5028674E-012, 3.8640297E-004, 2.6011017E+001, 3.7405385E-126, 6.0887390E+000, 8.1840221E+001, 8.1379590E-011, 1.7203762E-004, 1.0294503E-007
 1.4015989E+001, 2.0755367E-001, 2.0755368E-001, 1.1876796E-011, 3.8640521E-004, 2.6012735E+001, 9.4418280E-106, 6.9274165E+000, 8.8422664E+001, 2.1685884E-010, 2.0045205E-004, 1.4546476E-007
 1.5006716E+001, 2.0755367E-001, 2.0755368E-001, 1.8308298E-011, 3.8640675E-004, 2.6014093E+001, 3.0063032E-089, 7.6048318E+000, 9.4877819E+001, 1.0123920E-009, 2.3080670E-004, 2.0705736E-007
 1.6024666E+001, 2.0755367E-001, 2.0755368E-001, 2.1104056E-011, 3.8640742E-004, 2.6015809E+001, 1.1557581E-073, 8.6015966E+000, 1.0191537E+002, 6.6144778E-009, 2.6342382E-004, 2.7142865E-007
 1.7004188E+001, 2.0755367E-001, 2.0755368E-001, 2.4310065E-011, 3.8640819E-004, 2.6017874E+001, 2.4033204E-060, 9.5569410E+000, 1.0804925E+002, 2.8095509E-009, 2.9804392E-004, 3.5128204E-007
 1.8001399E+001, 2.0755366E-001, 2.0755368E-001, 2.8665485E-011, 3.8640923E-004, 2.6019990E+001, 5.1093691E-049, 1.0351224E+001, 1.1467739E+002, 1.6332954E-008, 3.3440875E-004, 4.4830335E-007
 1.9000779E+001, 2.0755366E-001, 2.0755368E-001, 2.8246530E-011, 3.8640913E-004, 2.6022261E+001, 8.4393387E-039, 1.1373671E+001, 1.2189075E+002, 7.1504578E-008, 3.7319459E-004, 5.5644236E-007
 2.0018075E+001, 2.0755366E-001, 2.0755368E-001, 3.2976659E-011, 3.8641026E-004, 2.6024944E+001, 2.5899703E-029, 1.2582653E+001, 1.2795480E+002, 3.4996651E-008, 4.1446022E-004, 6.7742664E-007
 2.1015209E+001, 2.0755364E-001, 2.0755368E-001, 7.7395390E-011, 3.8642089E-004, 2.6027725E+001, 2.5541951E-021, 1.3498017E+001, 1.3425242E+002, 4.4156903E-008, 4.5785911E-004, 8.2008173E-007
 2.2018702E+001, 2.0755356E-001, 2.0755368E-001, 2.7737445E-010, 3.8646873E-004, 2.6031154E+001, 4.6193147E-015, 1.4492446E+001, 1.4165392E+002, 1.4424325E-007, 5.0305609E-004, 9.8700524E-007
 2.3007271E+001, 2.0755347E-001, 2.0755368E-001, 5.1267855E-010, 3.8652502E-004, 2.6035529E+001, 9.1896023E-008, 1.5949640E+001, 1.4831345E+002, 1.8227480E-007, 5.5012390E-004, 1.1633345E-006
 2.4016723E+001, 2.0755337E-001, 2.0755368E-001, 7.5674675E-010, 3.8658341E-004, 2.6039633E+001, 1.1358102E+000, 1.7296413E+001, 1.5390238E+002, 1.8918591E-007, 5.9952773E-004, 1.3496153E-006
 2.5007148E+001, 2.0755334E-001, 2.0755368E-001, 8.1345383E-010, 3.8659698E-004, 2.6043734E+001, 3.3941789E+000, 1.8551905E+001, 1.6238465E+002, 5.5884340E-007, 6.5089329E-004, 1.5409314E-006
 2.6017490E+001, 2.0755320E-001, 2.0755368E-001, 1.1562010E-009, 3.8667897E-004, 2.6049301E+001, 3.7358801E+000, 1.9967771E+001, 1.6673524E+002, 6.2467271E-007, 7.0453567E-004, 1.7558716E-006
 2.7012674E+001, 2.0755298E-001, 2.0755368E-001, 1.6901728E-009, 3.8680672E-004, 2.6053792E+001, 4.4035155E+000, 2.0644561E+001, 1.7456726E+002, 1.7008901E-006, 7.6018291E-004, 1.9926762E-006
 2.8003745E+001, 2.0755211E-001, 2.0755368E-001, 3.8329152E-009, 3.8731934E-004, 2.6065794E+001, 5.4572050E+000, 2.2206672E+001, 1.8063208E+002, 1.7267092E-006, 8.1753850E-004, 2.2370948E-006
 2.9009293E+001, 2.0741936E-001, 2.0755368E-001, 3.2796912E-007, 4.6486407E-004, 2.7427106E+001, 5.6416570E+000, 2.3666743E+001, 1.8814068E+002, 2.8331735E-006, 8.7711095E-004, 2.4987974E-006
 3.0013120E+001, 2.0677797E-001, 2.0755368E-001, 1.8941875E-006, 8.3955839E-004, 3.3923869E+001, 6.3174144E+000, 2.5008068E+001, 1.9397742E+002, 2.8228000E-006, 9.3910793E-004, 2.7981606E-006
 3.1000731E+001, 2.0671164E-001, 2.0755368E-001, 2.0561540E-006, 8.7830644E-004, 3.4611601E+001, 5.7171647E+000, 2.5931125E+001, 2.0104662E+002, 5.5277581E-006, 1.0024495E-003, 3.1184627E-006
 3.2002149E+001, 2.0657360E-001, 2.0755368E-001, 2.3932275E-006, 9.5894623E-004, 3.6051041E+001, 5.0201789E+000, 2.6888717E+001, 2.0763917E+002, 1.1860142E-005, 1.0678883E-003, 3.4511688E-006
 3.3012870E+001, 2.0656554E-001, 2.0755368E-001, 2.4129006E-006, 9.6365274E-004, 3.6015196E+001, 4.0122780E+000, 2.8553838E+001, 2.1453980E+002, 1.1413561E-005, 1.1360684E-003, 3.8185629E-006
 3.4016829E+001, 2.0654790E-001, 2.0755368E-001, 2.4559875E-006, 9.7396063E-004, 3.6157889E+001, 3.9688139E+000, 3.0113211E+001, 2.2094778E+002, 1.7224747E-005, 1.2064483E-003, 4.1704404E-006
 3.5002267E+001, 2.0661391E-001, 2.0755368E-001, 2.2947915E-006, 9.3539690E-004, 3.5485943E+001, 7.0632102E+000, 3.1442418E+001, 2.2673551E+002, 1.9453518E-005, 1.2779185E-003, 4.5509356E-006
 3.6009403E+001, 2.0677826E-001, 2.0755368E-001, 1.8934757E-006, 8.3938809E-004, 3.3798092E+001, 9.5474816E+000, 3.2897181E+001, 2.3358257E+002, 1.4924604E-005, 1.3515612E-003, 4.9785120E-006
 3.7015354E+001, 2.0687508E-001, 2.0755368E-001, 1.6570574E-006, 7.8282855E-004, 3.2848803E+001, 8.7529933E+000, 3.3591215E+001, 2.4003565E+002, 2.7920335E-005, 1.4277817E-003, 5.4376997E-006
 3.8010800E+001, 2.0695575E-001, 2.0755368E-001, 1.4600525E-006, 7.3569809E-004, 3.2058256E+001, 8.6929157E+000, 3.5204291E+001, 2.4728679E+002, 2.9809829E-005, 1.5058265E-003, 5.9205390E-006
 3.9012213E+001, 2.0697670E-001, 2.0755368E-001, 1.4088949E-006, 7.2345938E-004, 3.1875832E+001, 1.0780039E+001, 3.6050158E+001, 2.5405059E+002, 6.0041930E-005, 1.5854591E-003, 6.4310178E-006
 4.0013625E+001, 2.0692001E-001, 2.0755368E-001, 1.5473276E-006, 7.5657735E-004, 3.2408315E+001, 1.0758907E+001, 3.8249312E+001, 2.6168137E+002, 5.0853311E-005, 1.6678459E-003, 6.9573776E-006
 4.1005715E+001, 2.0690805E-001, 2.0755368E-001, 1.5765458E-006, 7.6356736E-004, 3.2535387E+001, 1.1384784E+001, 3.9846043E+001, 2.6676883E+002, 7.3702718E-005, 1.7512428E-003, 7.4938461E-006
 4.2014910E+001, 2.0676580E-001, 2.0755368E-001, 1.9238852E-006, 8.4666310E-004, 3.4024224E+001, 1.1877930E+001, 4.1612063E+001, 2.7331497E+002, 6.1209785E-005, 1.8373147E-003, 8.0408045E-006
 4.3006541E+001, 2.0646277E-001, 2.0755368E-001, 2.6638562E-006, 1.0236901E-003, 3.7038915E+001, 1.1906258E+001, 4.3017420E+001, 2.8122728E+002, 9.0680265E-005, 1.9251280E-003, 8.5881053E-006
 4.4016003E+001, 2.0619932E-001, 2.0755368E-001, 3.3071832E-006, 1.1775965E-003, 3.9536483E+001, 1.1920171E+001, 4.5244969E+001, 2.8604859E+002, 8.3465795E-005, 2.0151665E-003, 9.1466951E-006
 4.5015297E+001, 2.0605380E-001, 2.0755368E-001, 3.6625152E-006, 1.2626044E-003, 4.0654517E+001, 1.2383866E+001, 4.6348445E+001, 2.9381756E+002, 8.6773953E-005, 2.1074835E-003, 9.7644187E-006
 4.6003832E+001, 2.0608268E-001, 2.0755368E-001, 3.5920067E-006, 1.2457363E-003, 4.0092774E+001, 1.2539026E+001, 4.7263713E+001, 2.9887111E+002, 1.3958477E-004, 2.2006648E-003, 1.0447330E-005
 4.7007977E+001, 2.0599389E-001, 2.0755368E-001, 3.8088289E-006, 1.2976078E-003, 4.0829665E+001, 1.2675272E+001, 4.8012892E+001, 3.0567568E+002, 1.1828046E-004, 2.2961755E-003, 1.1134666E-005
 4.8002236E+001, 2.0583322E-001, 2.0755368E-001, 4.2011731E-006, 1.3914703E-003, 4.2153671E+001, 1.3052288E+001, 4.9942352E+001, 3.1475989E+002, 1.7814128E-004, 2.3939899E-003, 1.1844524E-005
 4.9008249E+001, 2.0579860E-001, 2.0755368E-001, 4.2857100E-006, 1.4116945E-003, 4.2317109E+001, 1.2788779E+001, 5.2621952E+001, 3.2099347E+002, 1.5825985E-004, 2.4938379E-003, 1.2571933E-005
 5.0005745E+001, 2.0584854E-001, 2.0755368E-001, 4.1637499E-006, 1.3825174E-003, 4.1779979E+001, 1.3562002E+001, 5.5563452E+001, 3.2481740E+002, 1.7649096E-004, 2.5956051E-003, 1.3315706E-005
 5.1001626E+001, 2.0571411E-001, 2.0755368E-001, 4.4920326E-006, 1.4610542E-003, 4.2645452E+001, 1.3780693E+001, 5.8089105E+001, 3.3362686E+002, 1.9127999E-004, 2.6989475E-003, 1.4022490E-005
 5.2003069E+001, 2.0568548E-001, 2.0755368E-001, 4.5619459E-006, 1.4777799E-003, 4.2700230E+001, 1.3870244E+001, 5.8930586E+001, 3.3923455E+002, 2.0434682E-004, 2.8043274E-003, 1.4786047E-005
