s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0007971E+001, 2.1691201E+001, 5.4407871E+000, 1.1639457E+001, 4.2234477E+000, 8.0409739E-004
 2.0007511E+001, 2.4798524E+001, 6.2321251E+000, 1.7264001E+001, 4.8367346E+000, 9.1918705E-004
 3.0008051E+001, 2.6779907E+001, 6.7317568E+000, 1.8346065E+001, 5.2206219E+000, 9.9311666E-004
 4.0009869E+001, 2.9254482E+001, 7.3566149E+000, 1.9981520E+001, 5.6477243E+000, 1.0849030E-003
 5.0010880E+001, 3.2539270E+001, 8.1856468E+000, 2.2433516E+001, 6.1537992E+000, 1.2057167E-003
 6.0000370E+001, 3.5351952E+001, 8.8875029E+000, 2.4349211E+001, 6.5055078E+000, 1.3113798E-003
 7.0005814E+001, 3.8884919E+001, 9.7778388E+000, 2.6911008E+001, 7.1101700E+000, 1.4401313E-003
 8.0007179E+001, 4.2684961E+001, 1.0734955E+001, 2.9472542E+001, 7.5600969E+000, 1.5825547E-003
 9.0005989E+001, 4.7694437E+001, 1.2022417E+001, 3.2638173E+001, 8.3344827E+000, 1.7696061E-003
 1.0000182E+002, 5.1674003E+001, 1.3036936E+001, 3.5828089E+001, 8.7973989E+000, 1.9176754E-003
 1.1000404E+002, 5.6018051E+001, 1.4173625E+001, 3.8814851E+001, 9.4783851E+000, 2.0793908E-003
 1.2000810E+002, 6.1361690E+001, 1.5523728E+001, 4.2772652E+001, 1.0165265E+001, 2.2794805E-003
 1.3000714E+002, 6.7669598E+001, 1.7177357E+001, 4.6255487E+001, 1.1177271E+001, 2.5137051E-003
 1.4000294E+002, 7.4065065E+001, 1.8897753E+001, 5.1345340E+001, 1.1919441E+001, 2.7524725E-003
 1.5000652E+002, 7.9434926E+001, 2.0316707E+001, 5.4803391E+001, 1.2507323E+001, 2.9546609E-003
 1.6000105E+002, 8.5369013E+001, 2.1907624E+001, 5.8607206E+001, 1.3193369E+001, 3.1751731E-003
 1.7000276E+002, 9.1225427E+001, 2.3382889E+001, 6.3117737E+001, 1.3647993E+001, 3.3942772E-003
 1.8000423E+002, 9.6274446E+001, 2.4810244E+001, 6.6134368E+001, 1.4198497E+001, 3.5855071E-003
 1.9000288E+002, 1.0185522E+002, 2.6341570E+001, 7.0365797E+001, 1.4652612E+001, 3.7939670E-003
 2.0000362E+002, 1.0793105E+002, 2.8061467E+001, 7.3991969E+001, 1.5449269E+001, 4.0209487E-003
 2.1000041E+002, 1.1373865E+002, 2.9568095E+001, 7.8457560E+001, 1.5662531E+001, 4.2344744E-003
 2.2000569E+002, 1.1935412E+002, 3.1314927E+001, 8.1778236E+001, 1.6341312E+001, 4.4504028E-003
 2.3000673E+002, 1.2554417E+002, 3.2938839E+001, 8.5630407E+001, 1.7125613E+001, 4.6804234E-003
 2.4000519E+002, 1.3141605E+002, 3.4653142E+001, 8.9780996E+001, 1.7640518E+001, 4.8992469E-003
 2.5000285E+002, 1.3821353E+002, 3.6762027E+001, 9.3426364E+001, 1.8417132E+001, 5.1539540E-003
 2.6000287E+002, 1.4581907E+002, 3.8983976E+001, 9.8519998E+001, 1.8847339E+001, 5.4374559E-003
 2.7000528E+002, 1.5274141E+002, 4.1148008E+001, 1.0308652E+002, 1.9757623E+001, 5.7054433E-003
 2.8000165E+002, 1.6187255E+002, 4.3719617E+001, 1.0888625E+002, 2.0289491E+001, 6.0351131E-003
 2.9000235E+002, 1.6730938E+002, 4.5231810E+001, 1.1196466E+002, 2.0679064E+001, 6.2378693E-003
 3.0000314E+002, 1.7638770E+002, 4.8146193E+001, 1.1848487E+002, 2.1299115E+001, 6.5785593E-003
 3.1000089E+002, 1.8397355E+002, 5.0450929E+001, 1.2196523E+002, 2.1955891E+001, 6.8772966E-003
 3.2000079E+002, 1.9323361E+002, 5.3228491E+001, 1.2848923E+002, 2.2606755E+001, 7.2061337E-003
 3.3000433E+002, 2.0107302E+002, 5.5441147E+001, 1.3347629E+002, 2.3127019E+001, 7.5034209E-003
