s,C,C,C,C,C,C
FDS Time,"cart_front","cart_back","cyl_front","cyl_back","sph_front","sph_back"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0010000E+001, 1.6790267E+001, 9.3073290E-014, 1.6958966E+001, 1.2610607E-012, 1.7129360E+001, 0.0000000E+000
 2.0000000E+001, 2.9299438E+001, 0.0000000E+000, 2.9786662E+001, 1.1937118E-012, 3.0280772E+001, 0.0000000E+000
 3.0000000E+001, 3.7039451E+001, 0.0000000E+000, 3.7829399E+001, 1.1937118E-012, 3.8633197E+001, 0.0000000E+000
 4.0000000E+001, 4.3075391E+001, 0.0000000E+000, 4.4158189E+001, 7.4811624E-012, 4.5262991E+001, 1.3451427E-012
 5.0009998E+001, 4.8136462E+001, 0.0000000E+000, 4.9504710E+001, 1.0118129E-011, 5.0903985E+001, 1.8189894E-012
 6.0009998E+001, 5.2544575E+001, 0.0000000E+000, 5.4192177E+001, 1.0118129E-011, 5.5880587E+001, 1.8189894E-012
 7.0010002E+001, 5.6476057E+001, 1.4493935E-012, 5.8397783E+001, 9.4574375E-012, 6.0370716E+001, 1.1135057E-012
 8.0000000E+001, 6.0041781E+001, 2.5011104E-012, 6.2233091E+001, 8.9812602E-012, 6.4486576E+001, 7.2940519E-013
 9.0000000E+001, 6.3317317E+001, 2.5011104E-012, 6.5774366E+001, 1.9934816E-011, 6.8305055E+001, 7.5134835E-011
 1.0000000E+002, 6.6356264E+001, 1.7804382E-011, 6.9075766E+001, 2.5067561E-010, 7.1880827E+001, 1.4026650E-009
 1.1000000E+002, 6.9195344E+001, 2.8377298E-010, 7.2174220E+001, 2.5887882E-009, 7.5250980E+001, 1.4713976E-008
 1.2000000E+002, 7.1863873E+001, 2.2427300E-009, 7.5099325E+001, 1.9174679E-008, 7.8445361E+001, 1.0525467E-007
 1.3000000E+002, 7.4384763E+001, 1.2965292E-008, 7.7874229E+001, 1.0637356E-007, 8.1487344E+001, 5.6236034E-007
 1.4000000E+002, 7.6776329E+001, 5.8857895E-008, 8.0517462E+001, 4.6717562E-007, 8.4395622E+001, 2.3836351E-006
 1.5000000E+002, 7.9053478E+001, 2.2015036E-007, 8.3044107E+001, 1.6975510E-006, 8.7185439E+001, 8.3798069E-006
 1.6000999E+002, 8.1229590E+001, 7.0377701E-007, 8.5467809E+001, 5.2834768E-006, 8.9870716E+001, 2.5290969E-005
 1.7000999E+002, 8.3313842E+001, 1.9737112E-006, 8.7797769E+001, 1.4450497E-005, 9.2460627E+001, 6.7213654E-005
 1.8000999E+002, 8.5313973E+001, 4.9584105E-006, 9.0041724E+001, 3.5457460E-005, 9.4962887E+001, 1.6055012E-004
 1.9000999E+002, 8.7238519E+001, 1.1352458E-005, 9.2208432E+001, 7.9398309E-005, 9.7386493E+001, 3.5055410E-004
 2.0000999E+002, 8.9093922E+001, 2.4010409E-005, 9.4304438E+001, 1.6444342E-004, 9.9738064E+001, 7.0899400E-004
 2.1000999E+002, 9.0885791E+001, 4.7430883E-005, 9.6335437E+001, 3.1846916E-004, 1.0202353E+002, 1.3426286E-003
 2.2000999E+002, 9.2619027E+001, 8.8311619E-005, 9.8306419E+001, 5.8192342E-004, 1.0425035E+002, 2.4018396E-003
 2.3000999E+002, 9.4297961E+001, 1.5615062E-004, 1.0022178E+002, 1.0107632E-003, 1.0642331E+002, 4.0888226E-003
 2.4000999E+002, 9.5926432E+001, 2.6386360E-004, 1.0208554E+002, 1.6792912E-003, 1.0854705E+002, 6.6647905E-003
 2.5000999E+002, 9.7507854E+001, 4.2838692E-004, 1.0390281E+002, 2.6827333E-003, 1.1062490E+002, 1.0455762E-002
 2.6001001E+002, 9.9045300E+001, 6.7123724E-004, 1.0567670E+002, 4.1394242E-003, 1.1266043E+002, 1.5856693E-002
 2.7001001E+002, 1.0054152E+002, 1.0190032E-003, 1.0741005E+002, 6.1925067E-003, 1.1465620E+002, 2.3333461E-002
 2.8001001E+002, 1.0199906E+002, 1.5037502E-003, 1.0910585E+002, 9.0110881E-003, 1.1661505E+002, 3.3421764E-002
 2.9001001E+002, 1.0342111E+002, 2.1633251E-003, 1.1076592E+002, 1.2790838E-002, 1.1853905E+002, 4.6729041E-002
 3.0001001E+002, 1.0480982E+002, 3.0415543E-003, 1.1239283E+002, 1.7754083E-002, 1.2043048E+002, 6.3929649E-002
 3.1001001E+002, 1.0616660E+002, 4.1883332E-003, 1.1398811E+002, 2.4148767E-002, 1.2229107E+002, 8.5757056E-002
 3.2001001E+002, 1.0749368E+002, 5.6596109E-003, 1.1555369E+002, 3.2247456E-002, 1.2412267E+002, 1.1300481E-001
 3.3001001E+002, 1.0879260E+002, 7.5172764E-003, 1.1709110E+002, 4.2347522E-002, 1.2592678E+002, 1.4651367E-001
 3.4001001E+002, 1.1006445E+002, 9.8289558E-003, 1.1860168E+002, 5.4768236E-002, 1.2770490E+002, 1.8716871E-001
 3.5001001E+002, 1.1131089E+002, 1.2667734E-002, 1.2008693E+002, 6.9847764E-002, 1.2945832E+002, 2.3589016E-001
 3.6001001E+002, 1.1253312E+002, 1.6111820E-002, 1.2154789E+002, 8.7941465E-002, 1.3118832E+002, 2.9362581E-001
 3.7001001E+002, 1.1373203E+002, 2.0244128E-002, 1.2298584E+002, 1.0942221E-001, 1.3289601E+002, 3.6134369E-001
 3.8001001E+002, 1.1490884E+002, 2.5151252E-002, 1.2440173E+002, 1.3467285E-001, 1.3458245E+002, 4.4002455E-001
 3.9001001E+002, 1.1606456E+002, 3.0924226E-002, 1.2579658E+002, 1.6408854E-001, 1.3624865E+002, 5.3065462E-001
 4.0001001E+002, 1.1719991E+002, 3.7657393E-002, 1.2717130E+002, 1.9807169E-001, 1.3789550E+002, 6.3421879E-001
 4.1001001E+002, 1.1831583E+002, 4.5447791E-002, 1.2852669E+002, 2.3702984E-001, 1.3952387E+002, 7.5169407E-001
 4.2001001E+002, 1.1941318E+002, 5.4394820E-002, 1.2986361E+002, 2.8137398E-001, 1.4113457E+002, 8.8404397E-001
 4.3001001E+002, 1.2049254E+002, 6.4599230E-002, 1.3118274E+002, 3.3151582E-001, 1.4272835E+002, 1.0322127E+000
 4.4001001E+002, 1.2155464E+002, 7.6162366E-002, 1.3248482E+002, 3.8786595E-001, 1.4430591E+002, 1.1971207E+000
 4.5001001E+002, 1.2260021E+002, 8.9188270E-002, 1.3377049E+002, 4.5083203E-001, 1.4586792E+002, 1.3796599E+000
 4.6001001E+002, 1.2362978E+002, 1.0378053E-001, 1.3504034E+002, 5.2081627E-001, 1.4741501E+002, 1.5806898E+000
 4.7001001E+002, 1.2464389E+002, 1.2004098E-001, 1.3629499E+002, 5.9821464E-001, 1.4894776E+002, 1.8010345E+000
 4.8001001E+002, 1.2564318E+002, 1.3807396E-001, 1.3753496E+002, 6.8341491E-001, 1.5046675E+002, 2.0414792E+000
 4.9001001E+002, 1.2662810E+002, 1.5798011E-001, 1.3876079E+002, 7.7679542E-001, 1.5197249E+002, 2.3027683E+000
 5.0001001E+002, 1.2759910E+002, 1.7986107E-001, 1.3997295E+002, 8.7872371E-001, 1.5346548E+002, 2.5856028E+000
 5.1001001E+002, 1.2855669E+002, 2.0381497E-001, 1.4117190E+002, 9.8955581E-001, 1.5494621E+002, 2.8906391E+000
 5.2001001E+002, 1.2950130E+002, 2.2994012E-001, 1.4235811E+002, 1.1096349E+000, 1.5641512E+002, 3.2184873E+000
