s,C,C,C,C,C,C
FDS Time,"Back","8 cm","6 cm","4 cm","2 cm","Front"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 2.1052694E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 8.0372058E+001
 4.4159751E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 9.2894420E+001
 6.4159751E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000003E+001, 9.8175457E+001
 8.4159746E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000052E+001, 1.0089298E+002
 1.0415975E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000457E+001, 1.0278574E+002
 1.2415975E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0002293E+001, 1.0420420E+002
 1.4415975E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0007860E+001, 1.0531932E+002
 1.6415976E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0020660E+001, 1.0622626E+002
 1.8415976E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0044887E+001, 1.0698288E+002
 2.0415976E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0084757E+001, 1.0762672E+002
 2.2415976E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0143969E+001, 1.0818334E+002
 2.4415976E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000001E+001, 2.0225392E+001, 1.0867084E+002
 2.6415976E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000003E+001, 2.0330958E+001, 1.0910248E+002
 2.8415976E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000007E+001, 2.0461707E+001, 1.0948818E+002
 3.0415976E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000018E+001, 2.0617902E+001, 1.0983556E+002
 3.2415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000042E+001, 2.0799177E+001, 1.1015059E+002
 3.4415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000087E+001, 2.1004688E+001, 1.1043799E+002
 3.6415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000170E+001, 2.1233244E+001, 1.1070159E+002
 3.8415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000309E+001, 2.1483426E+001, 1.1094451E+002
 4.0415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000533E+001, 2.1753675E+001, 1.1116931E+002
 4.2415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000877E+001, 2.2042364E+001, 1.1137815E+002
 4.4415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0001382E+001, 2.2347853E+001, 1.1157283E+002
 4.6415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0002100E+001, 2.2668527E+001, 1.1175488E+002
 4.8415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0003088E+001, 2.3002824E+001, 1.1192561E+002
 5.0415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0004412E+001, 2.3349253E+001, 1.1208615E+002
 5.2415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0006142E+001, 2.3706408E+001, 1.1223748E+002
 5.4415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000001E+001, 2.0008355E+001, 2.4072969E+001, 1.1238044E+002
 5.6415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000001E+001, 2.0011132E+001, 2.4447711E+001, 1.1251578E+002
 5.8415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000002E+001, 2.0014556E+001, 2.4829498E+001, 1.1264415E+002
 6.0415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000004E+001, 2.0018714E+001, 2.5217287E+001, 1.1276613E+002
 6.2415974E+001, 2.0000000E+001, 2.0000000E+001, 2.0000006E+001, 2.0023692E+001, 2.5610118E+001, 1.1288223E+002
 6.4415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000009E+001, 2.0029577E+001, 2.6007114E+001, 1.1299292E+002
 6.6415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000015E+001, 2.0036455E+001, 2.6407476E+001, 1.1309859E+002
 6.8415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000022E+001, 2.0044410E+001, 2.6810477E+001, 1.1319962E+002
 7.0415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000032E+001, 2.0053523E+001, 2.7215456E+001, 1.1329634E+002
 7.2415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000046E+001, 2.0063871E+001, 2.7621814E+001, 1.1338905E+002
 7.4415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000066E+001, 2.0075530E+001, 2.8029010E+001, 1.1347801E+002
 7.6415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000091E+001, 2.0088569E+001, 2.8436557E+001, 1.1356348E+002
 7.8415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000125E+001, 2.0103053E+001, 2.8844013E+001, 1.1364566E+002
 8.0415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000168E+001, 2.0119043E+001, 2.9250984E+001, 1.1372478E+002
 8.2415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000224E+001, 2.0136594E+001, 2.9657113E+001, 1.1380102E+002
 8.4415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000293E+001, 2.0155757E+001, 3.0062082E+001, 1.1387454E+002
 8.6415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000381E+001, 2.0176578E+001, 3.0465607E+001, 1.1394550E+002
 8.8415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000488E+001, 2.0199095E+001, 3.0867432E+001, 1.1401405E+002
 9.0415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000619E+001, 2.0223346E+001, 3.1267332E+001, 1.1408033E+002
 9.2415977E+001, 2.0000000E+001, 2.0000000E+001, 2.0000778E+001, 2.0249358E+001, 3.1665106E+001, 1.1414445E+002
 9.4415977E+001, 2.0000000E+001, 2.0000001E+001, 2.0000969E+001, 2.0277159E+001, 3.2060575E+001, 1.1420653E+002
 9.6415977E+001, 2.0000000E+001, 2.0000001E+001, 2.0001196E+001, 2.0306769E+001, 3.2453583E+001, 1.1426668E+002
 9.8415977E+001, 2.0000000E+001, 2.0000001E+001, 2.0001463E+001, 2.0338204E+001, 3.2843991E+001, 1.1432499E+002
 1.0041598E+002, 2.0000000E+001, 2.0000001E+001, 2.0001777E+001, 2.0371477E+001, 3.3231679E+001, 1.1438156E+002
 1.0241598E+002, 2.0000000E+001, 2.0000002E+001, 2.0002143E+001, 2.0406594E+001, 3.3616541E+001, 1.1443647E+002
 1.0441598E+002, 2.0000000E+001, 2.0000003E+001, 2.0002566E+001, 2.0443561E+001, 3.3998487E+001, 1.1448980E+002
 1.0641598E+002, 2.0000000E+001, 2.0000004E+001, 2.0003052E+001, 2.0482379E+001, 3.4377439E+001, 1.1454163E+002
 1.0841598E+002, 2.0000000E+001, 2.0000005E+001, 2.0003608E+001, 2.0523044E+001, 3.4753329E+001, 1.1459202E+002
 1.1041598E+002, 2.0000000E+001, 2.0000006E+001, 2.0004241E+001, 2.0565550E+001, 3.5126103E+001, 1.1464103E+002
 1.1241598E+002, 2.0000000E+001, 2.0000008E+001, 2.0004957E+001, 2.0609889E+001, 3.5495713E+001, 1.1468874E+002
 1.1441598E+002, 2.0000000E+001, 2.0000010E+001, 2.0005764E+001, 2.0656050E+001, 3.5862122E+001, 1.1473520E+002
 1.1641598E+002, 2.0000000E+001, 2.0000013E+001, 2.0006669E+001, 2.0704018E+001, 3.6225300E+001, 1.1478046E+002
 1.1841598E+002, 2.0000000E+001, 2.0000017E+001, 2.0007679E+001, 2.0753777E+001, 3.6585225E+001, 1.1482457E+002
 1.2041598E+002, 2.0000000E+001, 2.0000021E+001, 2.0008803E+001, 2.0805309E+001, 3.6941878E+001, 1.1486758E+002
 1.2241598E+002, 2.0000000E+001, 2.0000027E+001, 2.0010047E+001, 2.0858593E+001, 3.7295250E+001, 1.1490954E+002
