s,C,C,C,C,C,C
FDS Time,"Back","8 cm","6 cm","4 cm","2 cm","Front"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000120E+001, 2.0260477E+001, 5.5960013E+001
 1.0000000E+002, 2.0000000E+001, 2.0000000E+001, 2.0000099E+001, 2.0041717E+001, 2.3470186E+001, 7.3063928E+001
 1.5000000E+002, 2.0000000E+001, 2.0000026E+001, 2.0005835E+001, 2.0411929E+001, 2.8841740E+001, 8.0194066E+001
 2.0004298E+002, 2.0000010E+001, 2.0000869E+001, 2.0054712E+001, 2.1390803E+001, 3.4330294E+001, 8.4810802E+001
 2.5032004E+002, 2.0000184E+001, 2.0006343E+001, 2.0189240E+001, 2.2701099E+001, 3.8710709E+001, 8.7765167E+001
 3.0016998E+002, 2.0001576E+001, 2.0027547E+001, 2.0474156E+001, 2.4429034E+001, 4.2920244E+001, 9.0258166E+001
 3.5015857E+002, 2.0006959E+001, 2.0075545E+001, 2.0889617E+001, 2.6226247E+001, 4.6425255E+001, 9.2151750E+001
 4.0006427E+002, 2.0022087E+001, 2.0165788E+001, 2.1454009E+001, 2.8139986E+001, 4.9611010E+001, 9.3764294E+001
 4.5011511E+002, 2.0053665E+001, 2.0303439E+001, 2.2121347E+001, 3.0015278E+001, 5.2375053E+001, 9.5094909E+001
 5.0023456E+002, 2.0110363E+001, 2.0497291E+001, 2.2890546E+001, 3.1884672E+001, 5.4883619E+001, 9.6256298E+001
 5.5032581E+002, 2.0198267E+001, 2.0744433E+001, 2.3721150E+001, 3.3677875E+001, 5.7112784E+001, 9.7255982E+001
 6.0017847E+002, 2.0323052E+001, 2.1044234E+001, 2.4598597E+001, 3.5397503E+001, 5.9121299E+001, 9.8133656E+001
 6.5011621E+002, 2.0491414E+001, 2.1399543E+001, 2.5521754E+001, 3.7064605E+001, 6.0968887E+001, 9.8923529E+001
 7.0008984E+002, 2.0702415E+001, 2.1799519E+001, 2.6458788E+001, 3.8642379E+001, 6.2641070E+001, 9.9625186E+001
 7.5040991E+002, 2.0959712E+001, 2.2245760E+001, 2.7413947E+001, 4.0156550E+001, 6.4185646E+001, 1.0026289E+002
 8.0006366E+002, 2.1263305E+001, 2.2734034E+001, 2.8377943E+001, 4.1605033E+001, 6.5614259E+001, 1.0084450E+002
 8.5026208E+002, 2.1614950E+001, 2.3264306E+001, 2.9351350E+001, 4.2998993E+001, 6.6948506E+001, 1.0138097E+002
 9.0006207E+002, 2.2007594E+001, 2.3824979E+001, 3.0315789E+001, 4.4321942E+001, 6.8181585E+001, 1.0187127E+002
 9.5005090E+002, 2.2446632E+001, 2.4423112E+001, 3.1285706E+001, 4.5601082E+001, 6.9345462E+001, 1.0232943E+002
 1.0003705E+003, 2.2912960E+001, 2.5033400E+001, 3.2224227E+001, 4.6795332E+001, 7.0408733E+001, 1.0274425E+002
 1.0501039E+003, 2.3423353E+001, 2.5678660E+001, 3.3170195E+001, 4.7960272E+001, 7.1425578E+001, 1.0313776E+002
 1.1001199E+003, 2.3959322E+001, 2.6336098E+001, 3.4092820E+001, 4.9062342E+001, 7.2370038E+001, 1.0350049E+002
 1.1502852E+003, 2.4538116E+001, 2.7027521E+001, 3.5025146E+001, 5.0144729E+001, 7.3281868E+001, 1.0384822E+002
 1.2001821E+003, 2.5132924E+001, 2.7721807E+001, 3.5927893E+001, 5.1165313E+001, 7.4127973E+001, 1.0416879E+002
 1.2501282E+003, 2.5756397E+001, 2.8434963E+001, 3.6825067E+001, 5.2154844E+001, 7.4936150E+001, 1.0447317E+002
 1.3001135E+003, 2.6414436E+001, 2.9174189E+001, 3.7727130E+001, 5.3126753E+001, 7.5718698E+001, 1.0476616E+002
 1.3503413E+003, 2.7073795E+001, 2.9903235E+001, 3.8592490E+001, 5.4038989E+001, 7.6443409E+001, 1.0503597E+002
 1.4001282E+003, 2.7764790E+001, 3.0656620E+001, 3.9464485E+001, 5.4939651E+001, 7.7149905E+001, 1.0529769E+002
 1.4503593E+003, 2.8459173E+001, 3.1404295E+001, 4.0310116E+001, 5.5796474E+001, 7.7813949E+001, 1.0554246E+002
 1.5001753E+003, 2.9171359E+001, 3.2162712E+001, 4.1150108E+001, 5.6632508E+001, 7.8454548E+001, 1.0577745E+002
 1.5501284E+003, 2.9903462E+001, 3.2934597E+001, 4.1988607E+001, 5.7453030E+001, 7.9076412E+001, 1.0600456E+002
 1.6001066E+003, 3.0626789E+001, 3.3690489E+001, 4.2795387E+001, 5.8230141E+001, 7.9659306E+001, 1.0621651E+002
 1.6501075E+003, 3.1372596E+001, 3.4463723E+001, 4.3607533E+001, 5.9000988E+001, 8.0231864E+001, 1.0642387E+002
 1.7003585E+003, 3.2120566E+001, 3.5233660E+001, 4.4404325E+001, 5.9746830E+001, 8.0780674E+001, 1.0662181E+002
 1.7503579E+003, 3.2886118E+001, 3.6016612E+001, 4.5203634E+001, 6.0485336E+001, 8.1319247E+001, 1.0681531E+002
 1.8003032E+003, 3.3631683E+001, 3.6774705E+001, 4.5968021E+001, 6.1183060E+001, 8.1823794E+001, 1.0699595E+002
 1.8500800E+003, 3.4395846E+001, 3.7547686E+001, 4.6738692E+001, 6.1878671E+001, 8.2322839E+001, 1.0717400E+002
 1.9002793E+003, 3.5160940E+001, 3.8317936E+001, 4.7498651E+001, 6.2557373E+001, 8.2806063E+001, 1.0734583E+002
 1.9500187E+003, 3.5937498E+001, 3.9096357E+001, 4.8259315E+001, 6.3229990E+001, 8.3281508E+001, 1.0751437E+002
 2.0003728E+003, 3.6697563E+001, 3.9855269E+001, 4.8994405E+001, 6.3874008E+001, 8.3733645E+001, 1.0767414E+002
 2.0501865E+003, 3.7476703E+001, 4.0630485E+001, 4.9739269E+001, 6.4521021E+001, 8.4184986E+001, 1.0783320E+002
 2.1001594E+003, 3.8229935E+001, 4.1377515E+001, 5.0451756E+001, 6.5134980E+001, 8.4610689E+001, 1.0798279E+002
 2.1501997E+003, 3.8988722E+001, 4.2127894E+001, 5.1162672E+001, 6.5743123E+001, 8.5030008E+001, 1.0812979E+002
 2.2001790E+003, 3.9752900E+001, 4.2881604E+001, 5.1872324E+001, 6.6346024E+001, 8.5443509E+001, 1.0827439E+002
 2.2502937E+003, 4.0520493E+001, 4.3636834E+001, 5.2579316E+001, 6.6942796E+001, 8.5850743E+001, 1.0841645E+002
 2.3003137E+003, 4.1284314E+001, 4.4386683E+001, 5.3277568E+001, 6.7528669E+001, 8.6248653E+001, 1.0855497E+002
 2.3503630E+003, 4.2030597E+001, 4.5117840E+001, 5.3955137E+001, 6.8094058E+001, 8.6630964E+001, 1.0868778E+002
 2.4003494E+003, 4.2783045E+001, 4.5853691E+001, 5.4634061E+001, 6.8657706E+001, 8.7010544E+001, 1.0881939E+002
 2.4500774E+003, 4.3534586E+001, 4.6587415E+001, 5.5308260E+001, 6.9214770E+001, 8.7384245E+001, 1.0894872E+002
 2.5003687E+003, 4.4262792E+001, 4.7297270E+001, 5.5958096E+001, 6.9749357E+001, 8.7741585E+001, 1.0907218E+002
 2.5502998E+003, 4.5009481E+001, 4.8024123E+001, 5.6621219E+001, 7.0292671E+001, 8.8103551E+001, 1.0919707E+002
 2.6001184E+003, 4.5745086E+001, 4.8739259E+001, 5.7271575E+001, 7.0823505E+001, 8.8456092E+001, 1.0931851E+002
 2.6501169E+003, 4.6463802E+001, 4.9437158E+001, 5.7904426E+001, 7.1338264E+001, 8.8796975E+001, 1.0943576E+002
 2.7001643E+003, 4.7194974E+001, 5.0146387E+001, 5.8545832E+001, 7.1858304E+001, 8.9140424E+001, 1.0955374E+002
 2.7503506E+003, 4.7910374E+001, 5.0839627E+001, 5.9171231E+001, 7.2363849E+001, 8.9473458E+001, 1.0966800E+002
 2.8001536E+003, 4.8622746E+001, 5.1529310E+001, 5.9792021E+001, 7.2864292E+001, 8.9802364E+001, 1.0978073E+002
 2.8501694E+003, 4.9336414E+001, 5.2219670E+001, 6.0412121E+001, 7.3362900E+001, 9.0129349E+001, 1.0989267E+002
 2.9000737E+003, 5.0019070E+001, 5.2879531E+001, 6.1003703E+001, 7.3837470E+001, 9.0439950E+001, 1.0999890E+002
 2.9500659E+003, 5.0730808E+001, 5.3567024E+001, 6.1618978E+001, 7.4329980E+001, 9.0761695E+001, 1.1010885E+002
 3.0003486E+003, 5.1415963E+001, 5.4228410E+001, 6.2209922E+001, 7.4802055E+001, 9.1069554E+001, 1.1021395E+002
 3.0503765E+003, 5.2095094E+001, 5.4883598E+001, 6.2794463E+001, 7.5268160E+001, 9.1373034E+001, 1.1031748E+002
