s,C,C,C,C,C,C
FDS Time,"Back","8 cm","6 cm","4 cm","2 cm","Front"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000014E+001, 2.0032766E+001, 2.5098978E+001
 1.0000000E+002, 2.0000000E+001, 2.0000000E+001, 2.0000012E+001, 2.0005459E+001, 2.0494910E+001, 2.9030646E+001
 1.5000000E+002, 2.0000000E+001, 2.0000003E+001, 2.0000780E+001, 2.0058836E+001, 2.1404002E+001, 3.1448854E+001
 2.0000000E+002, 2.0000001E+001, 2.0000107E+001, 2.0007328E+001, 2.0206981E+001, 2.2443394E+001, 3.3329771E+001
 2.5000000E+002, 2.0000026E+001, 2.0000937E+001, 2.0029399E+001, 2.0451686E+001, 2.3492063E+001, 3.4902438E+001
 3.0000000E+002, 2.0000223E+001, 2.0004112E+001, 2.0075769E+001, 2.0773858E+001, 2.4510793E+001, 3.6268597E+001
 3.5000000E+002, 2.0001054E+001, 2.0012027E+001, 2.0151131E+001, 2.1152889E+001, 2.5487333E+001, 3.7484193E+001
 4.0000000E+002, 2.0003428E+001, 2.0027239E+001, 2.0256509E+001, 2.1571928E+001, 2.6419169E+001, 3.8583907E+001
 4.5000000E+002, 2.0008667E+001, 2.0051970E+001, 2.0390617E+001, 2.2018256E+001, 2.7307481E+001, 3.9590994E+001
 5.0000000E+002, 2.0018343E+001, 2.0087908E+001, 2.0550987E+001, 2.2482519E+001, 2.8154806E+001, 4.0521937E+001
 5.5000000E+002, 2.0034095E+001, 2.0136194E+001, 2.0734695E+001, 2.2957890E+001, 2.8964080E+001, 4.1388918E+001
 6.0000000E+002, 2.0057466E+001, 2.0197502E+001, 2.0938781E+001, 2.3439386E+001, 2.9738235E+001, 4.2201239E+001
 6.5000000E+002, 2.0089807E+001, 2.0272135E+001, 2.1160460E+001, 2.3923367E+001, 3.0480031E+001, 4.2966186E+001
 7.0000000E+002, 2.0132222E+001, 2.0360125E+001, 2.1397216E+001, 2.4407170E+001, 3.1192003E+001, 4.3689596E+001
 7.5000000E+002, 2.0185557E+001, 2.0461300E+001, 2.1646840E+001, 2.4888855E+001, 3.1876448E+001, 4.4376224E+001
 8.0000000E+002, 2.0250408E+001, 2.0575352E+001, 2.1907415E+001, 2.5367013E+001, 3.2535437E+001, 4.5030006E+001
 8.5000000E+002, 2.0327146E+001, 2.0701877E+001, 2.2177299E+001, 2.5840634E+001, 3.3170835E+001, 4.5654242E+001
 9.0000000E+002, 2.0415947E+001, 2.0840405E+001, 2.2455093E+001, 2.6309010E+001, 3.3784320E+001, 4.6251732E+001
 9.5000000E+002, 2.0516828E+001, 2.0990429E+001, 2.2739609E+001, 2.6771659E+001, 3.4377411E+001, 4.6824877E+001
 1.0000000E+003, 2.0629669E+001, 2.1151417E+001, 2.3029842E+001, 2.7228271E+001, 3.4951479E+001, 4.7375751E+001
 1.0500000E+003, 2.0754247E+001, 2.1322828E+001, 2.3324938E+001, 2.7678672E+001, 3.5507772E+001, 4.7906166E+001
 1.1000000E+003, 2.0890257E+001, 2.1504121E+001, 2.3624175E+001, 2.8122782E+001, 3.6047426E+001, 4.8417712E+001
 1.1500000E+003, 2.1037334E+001, 2.1694761E+001, 2.3926938E+001, 2.8560602E+001, 3.6571478E+001, 4.8911798E+001
 1.2000000E+003, 2.1195068E+001, 2.1894223E+001, 2.4232705E+001, 2.8992187E+001, 3.7080881E+001, 4.9389678E+001
 1.2500000E+003, 2.1363018E+001, 2.2101996E+001, 2.4541027E+001, 2.9417636E+001, 3.7576511E+001, 4.9852477E+001
 1.3000000E+003, 2.1540725E+001, 2.2317588E+001, 2.4851521E+001, 2.9837078E+001, 3.8059175E+001, 5.0301206E+001
 1.3500000E+003, 2.1727720E+001, 2.2540523E+001, 2.5163856E+001, 3.0250667E+001, 3.8529621E+001, 5.0736782E+001
 1.4000000E+003, 2.1923530E+001, 2.2770344E+001, 2.5477746E+001, 3.0658569E+001, 3.8988541E+001, 5.1160039E+001
 1.4500000E+003, 2.2127687E+001, 2.3006614E+001, 2.5792941E+001, 3.1060961E+001, 3.9436577E+001, 5.1571738E+001
 1.5000000E+003, 2.2339728E+001, 2.3248916E+001, 2.6109224E+001, 3.1458027E+001, 3.9874329E+001, 5.1972577E+001
 1.5500000E+003, 2.2559201E+001, 2.3496854E+001, 2.6426403E+001, 3.1849952E+001, 4.0302355E+001, 5.2363197E+001
 1.6000000E+003, 2.2785668E+001, 2.3750048E+001, 2.6744310E+001, 3.2236921E+001, 4.0721175E+001, 5.2744190E+001
 1.6500000E+003, 2.3018704E+001, 2.4008141E+001, 2.7062794E+001, 3.2619118E+001, 4.1131278E+001, 5.3116105E+001
 1.7000000E+003, 2.3257900E+001, 2.4270791E+001, 2.7381721E+001, 3.2996721E+001, 4.1533118E+001, 5.3479449E+001
 1.7500000E+003, 2.3502864E+001, 2.4537675E+001, 2.7700973E+001, 3.3369906E+001, 4.1927123E+001, 5.3834694E+001
 1.8000000E+003, 2.3753221E+001, 2.4808488E+001, 2.8020440E+001, 3.3738843E+001, 4.2313695E+001, 5.4182280E+001
 1.8500000E+003, 2.4008611E+001, 2.5082941E+001, 2.8340027E+001, 3.4103696E+001, 4.2693209E+001, 5.4522616E+001
 1.9000000E+003, 2.4268693E+001, 2.5360759E+001, 2.8659643E+001, 3.4464622E+001, 4.3066019E+001, 5.4856086E+001
 1.9500000E+003, 2.4533143E+001, 2.5641685E+001, 2.8979209E+001, 3.4821773E+001, 4.3432458E+001, 5.5183047E+001
 2.0000000E+003, 2.4801650E+001, 2.5925474E+001, 2.9298652E+001, 3.5175294E+001, 4.3792838E+001, 5.5503836E+001
 2.0500000E+003, 2.5073922E+001, 2.6211896E+001, 2.9617905E+001, 3.5525323E+001, 4.4147452E+001, 5.5818766E+001
 2.1000000E+003, 2.5349682E+001, 2.6500733E+001, 2.9936904E+001, 3.5871993E+001, 4.4496578E+001, 5.6128132E+001
 2.1500000E+003, 2.5628665E+001, 2.6791779E+001, 3.0255595E+001, 3.6215428E+001, 4.4840477E+001, 5.6432212E+001
 2.2000000E+003, 2.5910624E+001, 2.7084842E+001, 3.0573923E+001, 3.6555749E+001, 4.5179395E+001, 5.6731266E+001
 2.2500000E+003, 2.6195323E+001, 2.7379738E+001, 3.0891842E+001, 3.6893069E+001, 4.5513561E+001, 5.7025539E+001
 2.3000000E+003, 2.6482538E+001, 2.7676296E+001, 3.1209306E+001, 3.7227497E+001, 4.5843196E+001, 5.7315260E+001
 2.3500000E+003, 2.6772061E+001, 2.7974353E+001, 3.1526273E+001, 3.7559135E+001, 4.6168504E+001, 5.7600647E+001
 2.4000000E+003, 2.7063693E+001, 2.8273756E+001, 3.1842705E+001, 3.7888081E+001, 4.6489680E+001, 5.7881904E+001
 2.4500000E+003, 2.7357246E+001, 2.8574361E+001, 3.2158567E+001, 3.8214426E+001, 4.6806906E+001, 5.8159223E+001
 2.5000000E+003, 2.7652544E+001, 2.8876033E+001, 3.2473826E+001, 3.8538258E+001, 4.7120355E+001, 5.8432784E+001
 2.5500000E+003, 2.7949421E+001, 2.9178645E+001, 3.2788450E+001, 3.8859661E+001, 4.7430189E+001, 5.8702760E+001
 2.6000000E+003, 2.8247719E+001, 2.9482075E+001, 3.3102411E+001, 3.9178712E+001, 4.7736564E+001, 5.8969310E+001
 2.6500000E+003, 2.8547290E+001, 2.9786210E+001, 3.3415682E+001, 3.9495486E+001, 4.8039623E+001, 5.9232586E+001
 2.7000000E+003, 2.8847996E+001, 3.0090945E+001, 3.3728238E+001, 3.9810054E+001, 4.8339503E+001, 5.9492732E+001
 2.7500000E+003, 2.9149703E+001, 3.0396178E+001, 3.4040058E+001, 4.0122483E+001, 4.8636335E+001, 5.9749882E+001
 2.8000000E+003, 2.9452290E+001, 3.0701816E+001, 3.4351118E+001, 4.0432835E+001, 4.8930239E+001, 6.0004164E+001
 2.8500000E+003, 2.9755639E+001, 3.1007770E+001, 3.4661400E+001, 4.0741171E+001, 4.9221331E+001, 6.0255698E+001
 2.9000000E+003, 3.0059640E+001, 3.1313956E+001, 3.4970884E+001, 4.1047548E+001, 4.9509720E+001, 6.0504598E+001
 2.9500000E+003, 3.0364191E+001, 3.1620296E+001, 3.5279555E+001, 4.1352020E+001, 4.9795509E+001, 6.0750970E+001
 3.0000000E+003, 3.0669194E+001, 3.1926716E+001, 3.5587395E+001, 4.1654636E+001, 5.0078795E+001, 6.0994916E+001
 3.0500000E+003, 3.0974558E+001, 3.2233148E+001, 3.5894390E+001, 4.1955447E+001, 5.0359670E+001, 6.1236531E+001
