dx,dx,dx^2,rms_error
0.785398,0.785398,0.61685,0.194961
0.392699,0.392699,0.154213,0.0508602
0.19635,0.19635,0.0385531,0.0129235
0.0981748,0.0981748,0.00963829,0.00331371
