Time, u-vel
   0.000,   1.39018
   0.020,   1.42981
   0.043,   1.47294
   0.063,   1.51174
   0.085,   1.55380
   0.106,   1.59145
   0.128,   1.63211
   0.148,   1.66827
   0.171,   1.70715
   0.191,   1.74159
   0.213,   1.77844
   0.234,   1.81093
   0.256,   1.84550
   0.276,   1.87583
   0.299,   1.90789
   0.319,   1.93580
   0.341,   1.96509
   0.362,   1.99036
   0.384,   2.01664
   0.404,   2.03910
   0.427,   2.06220
   0.447,   2.08171
   0.469,   2.10148
   0.489,   2.11790
   0.512,   2.13420
   0.532,   2.14738
   0.555,   2.16007
   0.575,   2.16992
   0.597,   2.17890
   0.617,   2.18537
   0.640,   2.19059
   0.660,   2.19362
   0.682,   2.19504
   0.703,   2.19461
   0.725,   2.19222
   0.745,   2.18833
   0.768,   2.18215
   0.788,   2.17483
   0.810,   2.16492
   0.831,   2.15423
   0.853,   2.14065
   0.873,   2.12665
   0.896,   2.10949
   0.916,   2.09228
   0.938,   2.07164
   0.959,   2.05138
   0.981,   2.02747
   1.001,   2.00429
   1.024,   1.97727
   1.044,   1.95134
   1.066,   1.92138
   1.086,   1.89287
   1.109,   1.86019
   1.129,   1.82932
   1.151,   1.79415
   1.172,   1.76118
   1.194,   1.72384
   1.214,   1.68899
   1.237,   1.64972
   1.257,   1.61323
   1.279,   1.57229
   1.300,   1.53439
   1.322,   1.49206
   1.342,   1.45305
   1.365,   1.40964
   1.385,   1.36983
   1.407,   1.32572
   1.427,   1.28540
   1.450,   1.24087
   1.470,   1.20030
   1.492,   1.15566
   1.513,   1.11511
   1.535,   1.07066
   1.555,   1.03052
   1.578,   0.98667
   1.598,   0.94720
   1.620,   0.90426
   1.640,   0.86572
   1.663,   0.82396
   1.683,   0.78661
   1.705,   0.74630
   1.726,   0.71039
   1.748,   0.67181
   1.768,   0.63766
   1.791,   0.60115
   1.811,   0.56900
   1.833,   0.53483
   1.854,   0.50490
   1.876,   0.47328
   1.896,   0.44577
   1.918,   0.41694
   1.939,   0.39209
   1.961,   0.36630
   1.981,   0.34429
   2.004,   0.32171
   2.024,   0.30269
   2.046,   0.28346
   2.067,   0.26755
   2.089,   0.25180
   2.109,   0.23911
   2.131,   0.22696
   2.152,   0.21759
   2.174,   0.20914
   2.194,   0.20317
   2.217,   0.19850
   2.237,   0.19597
   2.259,   0.19509
   2.280,   0.19603
   2.302,   0.19896
   2.322,   0.20335
   2.345,   0.21006
   2.365,   0.21786
   2.387,   0.22830
   2.408,   0.23945
   2.430,   0.25354
   2.450,   0.26797
   2.472,   0.28560
   2.493,   0.30322
   2.515,   0.32430
   2.535,   0.34499
   2.558,   0.36938
   2.578,   0.39296
   2.600,   0.42043
   2.621,   0.44674
   2.643,   0.47710
   2.663,   0.50595
   2.686,   0.53901
   2.706,   0.57020
   2.728,   0.60571
   2.749,   0.63897
   2.771,   0.67660
   2.791,   0.71170
   2.813,   0.75121
   2.834,   0.78791
   2.856,   0.82904
   2.876,   0.86709
   2.899,   0.90957
   2.919,   0.94874
