Time, u-vel
   2.941,   0.99229
   2.962,   1.03222
   2.984,   1.07645
   3.004,   1.11685
   3.027,   1.16144
   3.047,   1.20204
   3.069,   1.24668
   3.090,   1.28721
   3.112,   1.33162
   3.132,   1.37170
   3.155,   1.41546
   3.175,   1.45483
   3.197,   1.49764
   3.217,   1.53602
   3.240,   1.57759
   3.260,   1.61474
   3.282,   1.65479
   3.303,   1.69045
   3.325,   1.72872
   3.345,   1.76264
   3.368,   1.79885
   3.388,   1.83071
   3.410,   1.86454
   3.430,   1.89413
   3.453,   1.92534
   3.473,   1.95246
   3.495,   1.98085
   3.516,   2.00530
   3.538,   2.03066
   3.558,   2.05223
   3.581,   2.07434
   3.601,   2.09291
   3.623,   2.11163
   3.643,   2.12707
   3.666,   2.14229
   3.686,   2.15450
   3.708,   2.16611
   3.728,   2.17501
   3.751,   2.18293
   3.771,   2.18842
   3.793,   2.19258
   3.814,   2.19463
   3.836,   2.19499
   3.856,   2.19359
   3.879,   2.19015
   3.899,   2.18531
   3.921,   2.17809
   3.941,   2.16984
   3.964,   2.15892
   3.984,   2.14734
   4.006,   2.13279
   4.026,   2.11796
   4.049,   2.09990
   4.069,   2.08192
   4.091,   2.06047
   4.112,   2.03945
   4.134,   2.01473
   4.154,   1.99080
   4.176,   1.96298
   4.197,   1.93637
   4.219,   1.90569
   4.239,   1.87658
   4.262,   1.84327
   4.282,   1.81186
   4.304,   1.77613
   4.324,   1.74265
   4.347,   1.70478
   4.367,   1.66952
   4.389,   1.62984
   4.410,   1.59304
   4.432,   1.55182
   4.452,   1.51374
   4.474,   1.47125
   4.495,   1.43212
   4.517,   1.38864
   4.537,   1.34873
   4.559,   1.30454
   4.580,   1.26412
   4.602,   1.21953
   4.622,   1.17896
   4.645,   1.13437
   4.665,   1.09392
   4.687,   1.04962
   4.708,   1.00957
   4.730,   0.96587
   4.750,   0.92660
   4.772,   0.88392
   4.793,   0.84570
   4.815,   0.80431
   4.835,   0.76738
   4.857,   0.72756
   4.878,   0.69216
   4.900,   0.65417
   4.920,   0.62053
   4.943,   0.58462
   4.963,   0.55298
   4.985,   0.51940
   5.005,   0.49005
   5.028,   0.45910
   5.048,   0.43224
   5.070,   0.40414
   5.091,   0.37994
   5.113,   0.35488
   5.133,   0.33357
   5.156,   0.31177
   5.176,   0.29349
   5.198,   0.27510
   5.219,   0.25998
   5.241,   0.24511
   5.261,   0.23324
   5.283,   0.22200
   5.304,   0.21345
   5.326,   0.20592
   5.346,   0.20078
   5.369,   0.19701
   5.389,   0.19532
   5.411,   0.19536
   5.432,   0.19713
   5.454,   0.20097
   5.474,   0.20618
   5.496,   0.21380
   5.517,   0.22243
   5.539,   0.23378
   5.559,   0.24574
   5.582,   0.26071
   5.602,   0.27592
   5.624,   0.29440
   5.645,   0.31276
   5.667,   0.33463
   5.687,   0.35602
   5.710,   0.38115
   5.730,   0.40542
   5.752,   0.43363
   5.773,   0.46056
   5.795,   0.49159
   5.815,   0.52101
   5.837,   0.55464
   5.858,   0.58634
   5.880,   0.62236
   5.900,   0.65614
   5.923,   0.69431
   5.943,   0.72985
   5.965,   0.76983
   5.986,   0.80688
   6.008,   0.84838
   6.028,   0.88671
   6.051,   0.92945
   6.071,   0.96879
   6.093,   1.01250
   6.114,   1.05260
   6.136,   1.09698
   6.156,   1.13747
   6.179,   1.18211
   6.199,   1.22269
   6.221,   1.26728
   6.241,   1.30769
   6.264,   1.35192
   6.284,   1.39189
