Time, u-vel
   0.000,   1.76537
   0.038,   1.83462
   0.080,   1.90775
   0.118,   1.97157
   0.161,   2.03773
   0.199,   2.09423
   0.242,   2.15143
   0.281,   2.19836
   0.323,   2.24439
   0.361,   2.28072
   0.403,   2.31458
   0.442,   2.33960
   0.484,   2.36064
   0.522,   2.37377
   0.564,   2.38147
   0.603,   2.38229
   0.646,   2.37631
   0.684,   2.36466
   0.727,   2.34509
   0.765,   2.32143
   0.807,   2.28903
   0.845,   2.25407
   0.888,   2.20972
   0.926,   2.16426
   0.968,   2.10897
   1.006,   2.05397
   1.049,   1.98890
   1.088,   1.92550
   1.130,   1.85202
   1.169,   1.78277
   1.211,   1.70389
   1.249,   1.63045
   1.291,   1.54801
   1.330,   1.47206
   1.372,   1.38793
   1.410,   1.31116
   1.452,   1.22722
   1.491,   1.15138
   1.534,   1.06957
   1.572,   0.99743
   1.615,   0.92073
   1.653,   0.85419
   1.695,   0.78460
   1.733,   0.72510
   1.775,   0.66411
   1.814,   0.61298
   1.856,   0.56196
   1.894,   0.52042
   1.937,   0.48065
   1.975,   0.45002
   2.018,   0.42277
   2.056,   0.40410
   2.098,   0.39023
   2.137,   0.38376
   2.179,   0.38340
   2.217,   0.38922
   2.259,   0.40234
   2.298,   0.42039
   2.340,   0.44680
   2.379,   0.47686
   2.421,   0.51620
   2.460,   0.55718
   2.502,   0.60790
   2.540,   0.65859
   2.583,   0.71926
   2.621,   0.77845
   2.663,   0.84764
   2.701,   0.91400
   2.744,   0.99017
   2.782,   1.06228
   2.825,   1.14380
   2.863,   1.21938
   2.906,   1.30362
   2.944,   1.38024
   2.986,   1.46454
   3.024,   1.54049
   3.067,   1.62295
   3.105,   1.69653
   3.147,   1.77532
   3.185,   1.84486
   3.228,   1.91817
   3.267,   1.98192
   3.309,   2.04789
   3.348,   2.10328
   3.390,   2.15928
   3.428,   2.20521
   3.470,   2.25015
   3.509,   2.28566
   3.551,   2.31861
   3.589,   2.34287
   3.631,   2.36301
   3.670,   2.37533
   3.712,   2.38202
   3.751,   2.38185
   3.793,   2.37482
   3.832,   2.36231
   3.874,   2.34192
   3.912,   2.31749
   3.954,   2.28431
   3.993,   2.24853
   4.035,   2.20330
   4.073,   2.15686
   4.116,   2.10047
   4.154,   2.04464
   4.197,   1.97869
   4.235,   1.91541
   4.277,   1.84221
   4.316,   1.77301
   4.358,   1.69427
   4.396,   1.62072
   4.438,   1.53822
   4.476,   1.46194
   4.519,   1.37752
   4.557,   1.30025
   4.600,   1.21584
   4.638,   1.14054
   4.681,   1.05938
   4.719,   0.98790
   4.761,   0.91195
   4.799,   0.84586
   4.841,   0.77680
   4.880,   0.71759
   4.922,   0.65699
   4.961,   0.60609
   5.003,   0.55545
   5.042,   0.51471
   5.084,   0.47584
   5.122,   0.44627
   5.164,   0.42009
   5.202,   0.40222
   5.244,   0.38917
   5.283,   0.38339
   5.325,   0.38377
   5.363,   0.39031
   5.406,   0.40427
   5.444,   0.42307
   5.486,   0.45033
   5.525,   0.48069
   5.567,   0.52018
   5.605,   0.56124
   5.647,   0.61193
   5.685,   0.66274
   5.727,   0.72347
   5.765,   0.78296
   5.807,   0.85245
   5.846,   0.91942
   5.888,   0.99626
   5.927,   1.06808
   5.969,   1.14920
   6.007,   1.22408
   6.049,   1.30751
   6.087,   1.38377
   6.129,   1.46764
   6.168,   1.54360
   6.210,   1.62605
   6.248,   1.69999
   6.291,   1.77913
