Time, u-vel
   0.000,   1.39018
   0.020,   1.42831
   0.043,   1.46944
   0.063,   1.50610
   0.086,   1.54545
   0.106,   1.58048
   0.129,   1.61791
   0.150,   1.65099
   0.172,   1.68615
   0.193,   1.71706
   0.216,   1.74971
   0.237,   1.77824
   0.260,   1.80816
   0.281,   1.83411
   0.304,   1.86108
   0.325,   1.88422
   0.348,   1.90801
   0.369,   1.92816
   0.392,   1.94857
   0.413,   1.96559
   0.437,   1.98250
   0.458,   1.99627
   0.481,   2.00955
   0.503,   2.01997
   0.526,   2.02953
   0.548,   2.03650
   0.572,   2.04225
   0.593,   2.04574
   0.617,   2.04765
   0.639,   2.04764
   0.663,   2.04571
   0.684,   2.04220
   0.708,   2.03645
   0.730,   2.02949
   0.754,   2.01998
   0.776,   2.00965
   0.801,   1.99648
   0.823,   1.98286
   0.847,   1.96616
   0.869,   1.94937
   0.894,   1.92928
   0.916,   1.90947
   0.940,   1.88616
   0.963,   1.86355
   0.988,   1.83727
   1.010,   1.81206
   1.035,   1.78306
   1.057,   1.75546
   1.082,   1.72397
   1.105,   1.69422
   1.130,   1.66051
   1.153,   1.62894
   1.178,   1.59339
   1.201,   1.56028
   1.226,   1.52321
   1.249,   1.48884
   1.274,   1.45057
   1.297,   1.41525
   1.323,   1.37611
   1.346,   1.34021
   1.372,   1.30062
   1.395,   1.26449
   1.421,   1.22483
   1.444,   1.18878
   1.470,   1.14941
   1.493,   1.11376
   1.519,   1.07500
   1.543,   1.04013
   1.569,   1.00242
   1.593,   0.96867
   1.619,   0.93237
   1.643,   0.90004
   1.669,   0.86547
   1.693,   0.83484
   1.719,   0.80231
   1.744,   0.77371
   1.770,   0.74355
   1.794,   0.71727
   1.821,   0.68978
   1.845,   0.66604
   1.872,   0.64148
   1.896,   0.62048
   1.923,   0.59905
   1.948,   0.58103
   1.975,   0.56295
   1.999,   0.54807
   2.027,   0.53351
   2.051,   0.52188
   2.078,   0.51094
   2.103,   0.50265
   2.131,   0.49542
   2.156,   0.49055
   2.183,   0.48709
   2.208,   0.48565
   2.236,   0.48594
   2.261,   0.48792
   2.289,   0.49194
   2.314,   0.49727
   2.342,   0.50494
   2.367,   0.51354
   2.395,   0.52472
   2.421,   0.53645
   2.449,   0.55098
   2.475,   0.56568
   2.503,   0.58337
   2.529,   0.60085
   2.557,   0.62146
   2.583,   0.64147
   2.611,   0.66470
   2.637,   0.68697
   2.666,   0.71253
   2.692,   0.73679
   2.721,   0.76437
   2.747,   0.79029
   2.776,   0.81950
   2.802,   0.84673
   2.831,   0.87719
   2.858,   0.90539
   2.887,   0.93673
   2.914,   0.96556
   2.943,   0.99740
   2.970,   1.02645
   2.999,   1.05832
   3.026,   1.08723
   3.055,   1.11873
   3.082,   1.14715
   3.112,   1.17791
   3.139,   1.20545
   3.169,   1.23506
   3.196,   1.26135
   3.226,   1.28940
   3.253,   1.31414
   3.283,   1.34030
   3.310,   1.36317
   3.341,   1.38713
   3.368,   1.40781
   3.398,   1.42922
   3.426,   1.44747
   3.456,   1.46607
   3.484,   1.48167
   3.515,   1.49724
   3.543,   1.50999
   3.573,   1.52234
   3.601,   1.53208
   3.632,   1.54106
   3.660,   1.54768
   3.691,   1.55321
   3.720,   1.55666
   3.751,   1.55869
   3.779,   1.55893
   3.810,   1.55744
   3.839,   1.55451
   3.870,   1.54958
   3.899,   1.54354
   3.930,   1.53525
   3.959,   1.52622
   3.990,   1.51473
   4.019,   1.50287
   4.051,   1.48839
   4.080,   1.47390
   4.112,   1.45664
   4.141,   1.43975
   4.173,   1.42000
   4.202,   1.40099
   4.234,   1.37909
   4.263,   1.35826
   4.296,   1.33453
   4.325,   1.31220
   4.358,   1.28702
   4.387,   1.26357
   4.420,   1.23735
   4.449,   1.21313
   4.482,   1.18628
   4.512,   1.16165
   4.545,   1.13456
   4.574,   1.10993
   4.607,   1.08305
   4.637,   1.05880
   4.670,   1.03254
   4.701,   1.00902
   4.734,   0.98375
   4.764,   0.96134
   4.797,   0.93748
   4.828,   0.91652
   4.861,   0.89443
   4.892,   0.87521
   4.925,   0.85520
   4.956,   0.83801
   4.990,   0.82037
   5.020,   0.80549
   5.054,   0.79049
   5.085,   0.77809
   5.119,   0.76592
   5.150,   0.75617
   5.184,   0.74699
   5.215,   0.74003
   5.250,   0.73395
   5.281,   0.72983
   5.315,   0.72689
   5.347,   0.72565
   5.381,   0.72585
   5.413,   0.72745
   5.447,   0.73074
   5.479,   0.73510
   5.513,   0.74136
   5.545,   0.74836
   5.580,   0.75744
   5.612,   0.76690
   5.647,   0.77857
   5.679,   0.79029
   5.714,   0.80429
   5.746,   0.81802
   5.781,   0.83408
   5.814,   0.84951
   5.849,   0.86727
   5.881,   0.88410
   5.917,   0.90322
   5.949,   0.92111
   5.985,   0.94120
   6.017,   0.95979
   6.053,   0.98045
   6.086,   0.99938
   6.122,   1.02021
   6.154,   1.03913
   6.190,   1.05974
   6.223,   1.07826
   6.259,   1.09823
   6.292,   1.11601
