time (s),u-velocity (m/s)
0,1.09813535
0.0074690464,1.11288067
0.01485086,1.12739634
0.022970857,1.14329398
0.030363388,1.15770068
0.038495176,1.17347095
0.045903951,1.18776549
0.054053605,1.2034048
0.061478756,1.21757335
0.069646426,1.23306654
0.077085167,1.24708982
0.08526779,1.26241583
0.092722557,1.27628462
0.1009228,1.29143329
0.10839472,1.30513581
0.11661384,1.32009426
0.12409909,1.33360985
0.13233288,1.34835553
0.13983393,1.3616752
0.14808509,1.37619822
0.15560435,1.38931275
0.16387554,1.40360299
0.17140795,1.41649026
0.17969362,1.43052372
0.1872417,1.44317513
0.1955446,1.45694233
0.2031109,1.46934916
0.21143383,1.48284053
0.21901353,1.49498216
0.2273512,1.50817536
0.23494644,1.52004294
0.24330121,1.53292829
0.25091457,1.54451352
0.25928926,1.55708193
0.26691705,1.56836714
0.2753076,1.58059947
0.28295088,1.59157465
0.2913585,1.60346007
0.2990199,1.61411749
0.30744743,1.62564747
0.31512326,1.63597076
0.32356668,1.64712771
0.331258,1.65710763
0.33971843,1.66788146
0.34742787,1.67751084
0.35590827,1.6878938
0.36363307,1.69715888
0.37213033,1.70713611
0.37987065,1.71602736
0.38838503,1.72558866
0.39614359,1.73409967
0.40467799,1.74323796
0.41245165,1.75135608
0.42100266,1.7600579
0.42879191,1.76777509
0.43736011,1.77603183
0.44516772,1.78334248
0.45375609,1.79114796
0.46157959,1.79804169
0.47018543,1.80538493
0.47802469,1.81185426
0.48664787,1.81872729
0.49450567,1.82476741
0.50314927,1.83116504
0.51102245,1.83676682
0.51968294,1.84267943
0.52757204,1.8478373
0.53625011,1.85325904
0.54415804,1.85796916
0.55285674,1.86289582
0.56078064,1.86715115
0.56949693,1.87157549
0.57743704,1.87537159
0.58617115,1.87928898
0.5941304,1.88262295
0.60288548,1.88603028
0.61085999,1.88889669
0.61963183,1.89178856
0.62762284,1.89418491
0.63641292,1.8965588
0.64442331,1.89848317
0.65323478,1.90033707
0.6612609,1.90178633
0.67008954,1.9031173
0.67813259,1.90409025
0.68697989,1.90489721
0.69504273,1.905393
0.7039119,1.90567514
0.71198946,1.90569288
0.72087479,1.90544986
0.72896969,1.9049899
0.73787409,1.90422225
0.74598932,1.90328482
0.75491613,1.90199291
0.76304632,1.90057973
0.77198946,1.89876611
0.78013748,1.89687866
0.78910035,1.89454505
0.79726768,1.89218516
0.8062517,1.88933387
0.81443435,1.88650558
0.82343531,1.88314155
0.83163631,1.87984748
0.84065747,1.87597372
0.84887791,1.87221729
0.85792029,1.86783792
0.86615664,1.86362534
0.87521654,1.85874761
0.88347191,1.85408258
0.89255279,1.84871067
0.9008261,1.84359945
0.90992677,1.83774063
0.91821665,1.83219049
0.92733556,1.82585314
0.93564516,1.81986889
0.94478577,1.81305844
0.95311314,1.8066488
0.9622733,1.79937527
0.97061801,1.79254868
0.97979718,1.78482171
0.98816246,1.77758402
0.99736416,1.7694102
1.0057456,1.76177427
1.0149652,1.75316807
1.0233648,1.74514189
1.0326042,1.73611258
1.041025,1.7277033
1.0502881,1.71825829
1.0587248,1.70948182
1.0680051,1.69963983
1.0764607,1.69050443
1.085762,1.68027415
1.0942374,1.67079046
1.1035604,1.66018414
1.1120524,1.65036796
1.1213936,1.63940334
1.1299055,1.62926363
1.1392685,1.6179507
1.1477995,1.60750146
1.1571836,1.59585568
1.1657323,1.58511225
1.1751356,1.57315124
1.1837051,1.56212376
1.1931316,1.54985801
1.2017183,1.53856553
1.2111636,1.5260169
1.2197689,1.51447254
1.2292347,1.50165542
1.237862,1.48986982
1.2473521,1.4767959
1.2559958,1.46479229
1.2655039,1.45148766
1.2741673,1.43927754
1.283697,1.42575498
1.2923805,1.41335407
1.3019323,1.39963095
1.3106332,1.38705977
1.3202041,1.37315889
1.3289258,1.36042949
1.3385198,1.34636381
1.3472607,1.33349571
1.3568755,1.31928763
1.365635,1.30629921
1.3752705,1.29196824
1.3840522,1.27887185
1.3937122,1.26443188
1.4025105,1.25125377
1.4121888,1.23673387
1.4210072,1.22348693
1.4307073,1.20890185
1.4395471,1.19560239
1.4492708,1.18096955
1.4581283,1.16764154
1.4678715,1.15298741
1.4767505,1.13964364
1.4865173,1.12498245
1.495415,1.11164574
1.5052025,1.09700231
1.5141194,1.08369057
1.523928,1.06908483
1.5328679,1.05581108
1.5427018,1.04125737
1.5516591,1.02804867
1.5615121,1.0135767
1.5704901,1.00044683
1.580366,0.986071509
1.5893646,0.973039286
1.5992632,0.958781376
1.6082804,0.945868242
1.6181993,0.931751511
1.6272391,0.918970205
1.6371828,0.905008508
1.6462414,0.892382782
1.656206,0.878601671
1.665285,0.866147421
1.6752719,0.852564791
1.6843729,0.840297859
1.6943841,0.826930718
1.7035033,0.814874001
1.7135345,0.801747436
1.7226758,0.789913256
1.7327313,0.777040753
1.7418929,0.765448765
1.7519706,0.752851855
1.7611523,0.741519232
1.7712522,0.729216325
1.7804569,0.718156179
1.7905821,0.706161701
1.7998049,0.695396217
1.8099499,0.683734283
1.8191948,0.67327457
1.8293641,0.661957189
1.83863,0.65182005
1.8488225,0.640865287
1.8581084,0.631066815
1.8683228,0.620492267
1.8776327,0.611042888
1.8878734,0.600859907
1.8972012,0.591779938
1.9074618,0.582009996
1.9168118,0.573308632
1.9270968,0.563961948
1.9364684,0.555652857
1.9467771,0.546744144
1.9561689,0.538840977
1.9664999,0.530384721
1.9759159,0.522896037
1.9862735,0.514901588
1.9957079,0.507843288
2.0060856,0.500327555
2.0155425,0.493706967
2.0259449,0.486677773
2.0354235,0.480505476
2.04585,0.473973852
2.0553493,0.468259701
2.0657985,0.462236224
2.0753222,0.456986617
2.0857978,0.451478305
2.0953403,0.446704187
2.1058366,0.441722092
2.1154022,0.437428197
2.1259241,0.432977273
2.1355112,0.429170725
2.1460569,0.425258314
2.1556652,0.421944684
2.1662345,0.418576431
2.1758666,0.415759614
2.1864622,0.412939571
2.1961141,0.410624688
2.2067308,0.408357975
2.2164068,0.406547005
2.2270501,0.404835401
2.236747,0.403531321
2.2474136,0.402377435
2.2571328,0.401581382
2.2678237,0.400986131
2.2775662,0.400698668
2.2882826,0.400662232
2.2980456,0.40088313
2.308785,0.401404643
2.318573,0.402132865
2.3293397,0.403210935
2.339148,0.404444206
2.3499372,0.406075625
2.3597689,0.407811305
2.3705838,0.409992837
2.3804379,0.412227045
2.3912771,0.414953804
2.4011528,0.417681627
2.4120164,0.420947961
2.4219174,0.424164982
2.4328086,0.427965503
2.4427299,0.431663775
2.4536433,0.435989025
2.4635897,0.440163
2.4745307,0.445006702
2.484498,0.44964657
2.4954619,0.454997217
2.5054524,0.460094931
2.5164423,0.465943632
2.5264566,0.471489755
2.5374725,0.477825365
2.5475087,0.483808193
2.5585487,0.490617412
2.5686104,0.497027659
2.5796785,0.504300031
2.5897608,0.511122345
2.6008513,0.518840131
2.6109591,0.526064692
2.6220775,0.53421695
2.6322069,0.54182721
2.6433494,0.550395549
2.6535029,0.558378736
2.6646717,0.567348397
2.6748486,0.575688693
2.6860433,0.585042175
2.6962428,0.593722877
2.7074623,0.603441239
2.7176878,0.612448592
2.728936,0.622516608
2.7391827,0.631829074
2.7504542,0.642222472
2.7607274,0.651826867
2.7720277,0.662530673
2.7823219,0.67240332
2.7936456,0.683391665
2.8039646,0.69351699
2.8153157,0.704772398
2.8256586,0.715129888
2.8370357,0.726629108
2.8474021,0.737198182
2.8588052,0.748918776
2.8691967,0.759680442
2.8806272,0.771600962
2.891041,0.782531258
2.9024963,0.794625611
2.9129374,0.805708345
2.9244225,0.817958085
2.934885,0.829165217
2.9463937,0.841539594
2.9568827,0.852854455
2.9684207,0.865335152
2.9789319,0.876730737
2.9904938,0.889287192
3.0010304,0.900744355
3.0126207,0.91335651
3.0231812,0.924850842
