s,m/s,Pa,kg/m/s
FDS Time,"UVEL","PRES","VISC"
 4.2703805E+000, 1.4139680E+000,-8.8487144E-001, 1.0000000E-001
 4.3186269E+000, 1.3842234E+000,-8.6768181E-001, 1.0000000E-001
 4.3716984E+000, 1.3490634E+000,-8.5069905E-001, 1.0000000E-001
 4.4203529E+000, 1.3149473E+000,-8.4071068E-001, 1.0000000E-001
 4.4738731E+000, 1.2757123E+000,-8.3197345E-001, 1.0000000E-001
 4.5229931E+000, 1.2385605E+000,-8.2890930E-001, 1.0000000E-001
 4.5770245E+000, 1.1967922E+000,-8.2811659E-001, 1.0000000E-001
 4.6265688E+000, 1.1581395E+000,-8.3146407E-001, 1.0000000E-001
 4.6810679E+000, 1.1155713E+000,-8.3791955E-001, 1.0000000E-001
 4.7310920E+000, 1.0769543E+000,-8.4689561E-001, 1.0000000E-001
 4.7861180E+000, 1.0352835E+000,-8.5958120E-001, 1.0000000E-001
 4.8366055E+000, 9.9830244E-001,-8.7323712E-001, 1.0000000E-001
 4.8921413E+000, 9.5925653E-001,-8.9088501E-001, 1.0000000E-001
 4.9430480E+000, 9.2546604E-001,-9.0813668E-001, 1.0000000E-001
 4.9990454E+000, 8.9067730E-001,-9.2932142E-001, 1.0000000E-001
 5.0504665E+000, 8.6140260E-001,-9.4910006E-001, 1.0000000E-001
 5.1070299E+000, 8.3222918E-001,-9.7242180E-001, 1.0000000E-001
 5.1588578E+000, 8.0872375E-001,-9.9357003E-001, 1.0000000E-001
 5.2158694E+000, 7.8638790E-001,-1.0176005E+000, 1.0000000E-001
 5.2682853E+000, 7.6950074E-001,-1.0391538E+000, 1.0000000E-001
 5.3259430E+000, 7.5480003E-001,-1.0627172E+000, 1.0000000E-001
 5.3786802E+000, 7.4524538E-001,-1.0835864E+000, 1.0000000E-001
 5.4366913E+000, 7.3873710E-001,-1.1055078E+000, 1.0000000E-001
 5.4901042E+000, 7.3671621E-001,-1.1249505E+000, 1.0000000E-001
 5.5488582E+000, 7.3849683E-001,-1.1444897E+000, 1.0000000E-001
 5.6025581E+000, 7.4396982E-001,-1.1616426E+000, 1.0000000E-001
 5.6616273E+000, 7.5373506E-001,-1.1780193E+000, 1.0000000E-001
 5.7159023E+000, 7.6624922E-001,-1.1922793E+000, 1.0000000E-001
 5.7756042E+000, 7.8337520E-001,-1.2050925E+000, 1.0000000E-001
 5.8302674E+000, 8.0212048E-001,-1.2159260E+000, 1.0000000E-001
 5.8903971E+000, 8.2552137E-001,-1.2248181E+000, 1.0000000E-001
 5.9455724E+000, 8.4943614E-001,-1.2318120E+000, 1.0000000E-001
 6.0062652E+000, 8.7782455E-001,-1.2366023E+000, 1.0000000E-001
 6.0619645E+000, 9.0558175E-001,-1.2394985E+000, 1.0000000E-001
 6.1232338E+000, 9.3738764E-001,-1.2400995E+000, 1.0000000E-001
 6.1793165E+000, 9.6738140E-001,-1.2388039E+000, 1.0000000E-001
 6.2410078E+000, 1.0007661E+000,-1.2352652E+000, 1.0000000E-001
 6.2977662E+000, 1.0315012E+000,-1.2298647E+000, 1.0000000E-001
 6.3602004E+000, 1.0648027E+000,-1.2223350E+000, 1.0000000E-001
