s,m/s,Pa,kg/m/s
FDS Time,"UVEL","PRES","VISC"
 0.0000000E+000, 1.0981354E+000,-1.9903473E+000, 1.0000000E-001
 7.4690463E-003, 1.1128567E+000,-3.9872060E+000, 1.0000000E-001
 1.4844481E-002, 1.1273365E+000,-3.9753511E+000, 1.0000000E-001
 2.2957459E-002, 1.1431948E+000,-3.9634981E+000, 1.0000000E-001
 3.0346790E-002, 1.1575723E+000,-3.9495590E+000, 1.0000000E-001
 3.8475054E-002, 1.1733105E+000,-3.9369204E+000, 1.0000000E-001
 4.5880575E-002, 1.1875762E+000,-3.9220471E+000, 1.0000000E-001
 5.4026649E-002, 1.2031841E+000,-3.9086320E+000, 1.0000000E-001
 6.1448439E-002, 1.2173241E+000,-3.8928378E+000, 1.0000000E-001
 6.9612408E-002, 1.2327863E+000,-3.8786588E+000, 1.0000000E-001
 7.7047726E-002, 1.2467817E+000,-3.8619604E+000, 1.0000000E-001
 8.5226577E-002, 1.2620773E+000,-3.8470368E+000, 1.0000000E-001
 9.2677860E-002, 1.2759188E+000,-3.8294632E+000, 1.0000000E-001
 1.0087427E-001, 1.2910379E+000,-3.8138051E+000, 1.0000000E-001
 1.0834273E-001, 1.3047141E+000,-3.7953711E+000, 1.0000000E-001
 1.1655804E-001, 1.3196439E+000,-3.7789907E+000, 1.0000000E-001
 1.2403980E-001, 1.3331339E+000,-3.7597120E+000, 1.0000000E-001
 1.3226973E-001, 1.3478520E+000,-3.7426336E+000, 1.0000000E-001
 1.3976726E-001, 1.3611472E+000,-3.7225466E+000, 1.0000000E-001
 1.4801455E-001, 1.3756436E+000,-3.7047818E+000, 1.0000000E-001
 1.5553011E-001, 1.3887343E+000,-3.6839039E+000, 1.0000000E-001
 1.6379722E-001, 1.4029990E+000,-3.6654637E+000, 1.0000000E-001
 1.7132590E-001, 1.4158636E+000,-3.6438084E+000, 1.0000000E-001
 1.7960745E-001, 1.4298728E+000,-3.6247225E+000, 1.0000000E-001
 1.8715175E-001, 1.4425026E+000,-3.6023340E+000, 1.0000000E-001
