dx, dxmod, dx^2, rms1, rms2, rms3
 0.007780000,  0.933600000,  0.272250000,  0.365124041,  0.577945400,  0.622918423
 0.003890000,  0.466800000,  0.067950000,  0.110566920,  0.240779972,  0.359995051
 0.001945000,  0.233400000,  0.017100000,  0.022086029,  0.073150052,  0.139522882
 0.000972500,  0.116700000,  0.004050000,  0.005413915,  0.019739784,  0.040366105
