s,m/s,Pa,kg/m/s
FDS Time,"UVEL","PRES","VISC"
 0.0000000E+000, 1.7653669E+000,-1.3409909E+000, 1.0000000E-010
 6.5632545E-002, 1.8721048E+000,-3.2357860E+000, 1.0000000E-010
 1.2660795E-001, 1.9651785E+000,-3.0694714E+000, 1.0000000E-010
 1.9368091E-001, 2.0596135E+000,-2.9018683E+000, 1.0000000E-010
 2.5441851E-001, 2.1365554E+000,-2.6939788E+000, 1.0000000E-010
 3.2122987E-001, 2.2108893E+000,-2.4943490E+000, 1.0000000E-010
 3.8231212E-001, 2.2682240E+000,-2.2604008E+000, 1.0000000E-010
 4.4950260E-001, 2.3189394E+000,-2.0366886E+000, 1.0000000E-010
 5.1081762E-001, 2.3530529E+000,-1.7867514E+000, 1.0000000E-010
 5.7826413E-001, 2.3768485E+000,-1.5519918E+000, 1.0000000E-010
 6.3906081E-001, 2.3855126E+000,-1.3014717E+000, 1.0000000E-010
 7.0593716E-001, 2.3810737E+000,-1.0734922E+000, 1.0000000E-010
 7.6678552E-001, 2.3643060E+000,-8.3999747E-001, 1.0000000E-010
 8.3371872E-001, 2.3322196E+000,-6.3172072E-001, 1.0000000E-010
 8.9556541E-001, 2.2902644E+000,-4.2716169E-001, 1.0000000E-010
 9.5677737E-001, 2.2376919E+000,-2.5408515E-001, 1.0000000E-010
 1.0241105E+000, 2.1680250E+000,-9.9979006E-002, 1.0000000E-010
 1.0848618E+000, 2.0953345E+000, 3.7758775E-002, 1.0000000E-010
 1.1516882E+000, 2.0058053E+000, 1.4038251E-001, 1.0000000E-010
 1.2125108E+000, 1.9165823E+000, 2.2179726E-001, 1.0000000E-010
 1.2794156E+000, 1.8113893E+000, 2.6817667E-001, 1.0000000E-010
 1.3411263E+000, 1.7089411E+000, 2.8971484E-001, 1.0000000E-010
 1.4090080E+000, 1.5919507E+000, 2.7725402E-001, 1.0000000E-010
 1.4698362E+000, 1.4844428E+000, 2.3817888E-001, 1.0000000E-010
 1.5367471E+000, 1.3650427E+000, 1.6939773E-001, 1.0000000E-010
 1.5974818E+000, 1.2568219E+000, 7.3674768E-002, 1.0000000E-010
 1.6642900E+000, 1.1396838E+000,-4.4816751E-002, 1.0000000E-010
 1.7257362E+000, 1.0349689E+000,-1.9071831E-001, 1.0000000E-010
 1.7933271E+000, 9.2477638E-001,-3.5182437E-001, 1.0000000E-010
 1.8544343E+000, 8.3092010E-001,-5.3986555E-001, 1.0000000E-010
 1.9216522E+000, 7.3543417E-001,-7.3006779E-001, 1.0000000E-010
 1.9824650E+000, 6.5722549E-001,-9.4645494E-001, 1.0000000E-010
 2.0493592E+000, 5.8130866E-001,-1.1532454E+000, 1.0000000E-010
 2.1104029E+000, 5.2227491E-001,-1.3851380E+000, 1.0000000E-010
 2.1775509E+000, 4.6947834E-001,-1.5981777E+000, 1.0000000E-010
 2.2390529E+000, 4.3299347E-001,-1.8346597E+000, 1.0000000E-010
 2.3067052E+000, 4.0652388E-001,-2.0438154E+000, 1.0000000E-010
