s,m/s,Pa,kg/m/s
FDS Time,"UVEL","PRES","VISC"
 0.0000000E+000, 1.1960343E+000,-1.9612057E+000, 1.0000000E-010
 1.5063995E-002, 1.2257779E+000,-3.9491549E+000, 1.0000000E-010
 2.9822769E-002, 1.2548078E+000,-3.9373333E+000, 1.0000000E-010
 4.6057420E-002, 1.2865846E+000,-3.9250491E+000, 1.0000000E-010
 6.0812990E-002, 1.3152964E+000,-3.9077981E+000, 1.0000000E-010
 7.7044118E-002, 1.3466631E+000,-3.8921452E+000, 1.0000000E-010
 9.1806963E-002, 1.3749681E+000,-3.8709388E+000, 1.0000000E-010
 1.0804609E-001, 1.4058275E+000,-3.8519444E+000, 1.0000000E-010
 1.2280764E-001, 1.4336011E+000,-3.8268342E+000, 1.0000000E-010
 1.3904535E-001, 1.4638180E+000,-3.8045568E+000, 1.0000000E-010
 1.5380172E-001, 1.4909480E+000,-3.7756557E+000, 1.0000000E-010
 1.7003373E-001, 1.5203998E+000,-3.7501652E+000, 1.0000000E-010
 1.8479391E-001, 1.5467998E+000,-3.7176096E+000, 1.0000000E-010
 2.0103010E-001, 1.5753930E+000,-3.6889656E+000, 1.0000000E-010
 2.1579406E-001, 1.6009622E+000,-3.6528583E+000, 1.0000000E-010
 2.3203441E-001, 1.6285874E+000,-3.6211445E+000, 1.0000000E-010
 2.4679060E-001, 1.6532091E+000,-3.5816171E+000, 1.0000000E-010
 2.6302240E-001, 1.6797407E+000,-3.5469570E+000, 1.0000000E-010
 2.7777973E-001, 1.7033372E+000,-3.5042222E+000, 1.0000000E-010
 2.9401280E-001, 1.7286915E+000,-3.4667072E+000, 1.0000000E-010
 3.0878036E-001, 1.7511870E+000,-3.4209142E+000, 1.0000000E-010
 3.2502468E-001, 1.7752815E+000,-3.3806407E+000, 1.0000000E-010
 3.3978100E-001, 1.7965579E+000,-3.3319147E+000, 1.0000000E-010
 3.5601295E-001, 1.8192674E+000,-3.2890742E+000, 1.0000000E-010
 3.7076896E-001, 1.8392615E+000,-3.2377169E+000, 1.0000000E-010
 3.8700056E-001, 1.8605181E+000,-3.1924267E+000, 1.0000000E-010
 4.0177134E-001, 1.8791730E+000,-3.1386147E+000, 1.0000000E-010
 4.1801919E-001, 1.8989153E+000,-3.0909812E+000, 1.0000000E-010
 4.3277509E-001, 1.9161222E+000,-3.0348372E+000, 1.0000000E-010
 4.4900657E-001, 1.9342364E+000,-2.9851236E+000, 1.0000000E-010
 4.6376062E-001, 1.9499481E+000,-2.9270260E+000, 1.0000000E-010
