s,m/s,Pa,kg/m/s
FDS Time,"UVEL","PRES","VISC"
 0.0000000E+000, 1.1960343E+000,-1.9612057E+000, 1.0000000E-001
 1.5315715E-002, 1.2255818E+000,-3.9489682E+000, 1.0000000E-001
 3.0111928E-002, 1.2538422E+000,-3.9188783E+000, 1.0000000E-001
 4.6387762E-002, 1.2845773E+000,-3.8893619E+000, 1.0000000E-001
 6.1234354E-002, 1.3122677E+000,-3.8536289E+000, 1.0000000E-001
 7.7565606E-002, 1.3423181E+000,-3.8211915E+000, 1.0000000E-001
 9.2481157E-002, 1.3693650E+000,-3.7821240E+000, 1.0000000E-001
 1.0888826E-001, 1.3986502E+000,-3.7468464E+000, 1.0000000E-001
 1.2387297E-001, 1.4249462E+000,-3.7045624E+000, 1.0000000E-001
 1.4035614E-001, 1.4533491E+000,-3.6665688E+000, 1.0000000E-001
 1.5538851E-001, 1.4787525E+000,-3.6212380E+000, 1.0000000E-001
 1.7192411E-001, 1.5061202E+000,-3.5807226E+000, 1.0000000E-001
 1.8702388E-001, 1.5305637E+000,-3.5326462E+000, 1.0000000E-001
 2.0363363E-001, 1.5568230E+000,-3.4897087E+000, 1.0000000E-001
 2.1880891E-001, 1.5802193E+000,-3.4390328E+000, 1.0000000E-001
 2.3550172E-001, 1.6052754E+000,-3.3938062E+000, 1.0000000E-001
 2.5072302E-001, 1.6274837E+000,-3.3406987E+000, 1.0000000E-001
 2.6746645E-001, 1.6511869E+000,-3.2934408E+000, 1.0000000E-001
 2.8275412E-001, 1.6721482E+000,-3.2382805E+000, 1.0000000E-001
 2.9957056E-001, 1.6944343E+000,-3.1891100E+000, 1.0000000E-001
 3.1493958E-001, 1.7140800E+000,-3.1320662E+000, 1.0000000E-001
 3.3184550E-001, 1.7348747E+000,-3.0811200E+000, 1.0000000E-001
 3.4725976E-001, 1.7530762E+000,-3.0223536E+000, 1.0000000E-001
 3.6421545E-001, 1.7722448E+000,-2.9699488E+000, 1.0000000E-001
 3.7969594E-001, 1.7889534E+000,-2.9098964E+000, 1.0000000E-001
 3.9672448E-001, 1.8064436E+000,-2.8561680E+000, 1.0000000E-001
 4.1228915E-001, 1.8216050E+000,-2.7950096E+000, 1.0000000E-001
 4.2941029E-001, 1.8373582E+000,-2.7401056E+000, 1.0000000E-001
 4.4502005E-001, 1.8508687E+000,-2.6780121E+000, 1.0000000E-001
 4.6219079E-001, 1.8647792E+000,-2.6222911E+000, 1.0000000E-001
 4.7786729E-001, 1.8766030E+000,-2.5597172E+000, 1.0000000E-001
 4.9511145E-001, 1.8886327E+000,-2.5033274E+000, 1.0000000E-001
 5.1087502E-001, 1.8987303E+000,-2.4404540E+000, 1.0000000E-001
 5.2821494E-001, 1.9088373E+000,-2.3835506E+000, 1.0000000E-001
 5.4402437E-001, 1.9171369E+000,-2.3205581E+000, 1.0000000E-001
 5.6141474E-001, 1.9252517E+000,-2.2635267E+000, 1.0000000E-001
 5.7729238E-001, 1.9317322E+000,-2.2008598E+000, 1.0000000E-001
 5.9475779E-001, 1.9378331E+000,-2.1438553E+000, 1.0000000E-001
 6.1072198E-001, 1.9424700E+000,-2.0816863E+000, 1.0000000E-001
 6.2828260E-001, 1.9465321E+000,-2.0248816E+000, 1.0000000E-001
 6.4429421E-001, 1.9492921E+000,-1.9634104E+000, 1.0000000E-001
 6.6190698E-001, 1.9512886E+000,-1.9071873E+000, 1.0000000E-001
 6.7798905E-001, 1.9521672E+000,-1.8468100E+000, 1.0000000E-001
 6.9567933E-001, 1.9520947E+000,-1.7913233E+000, 1.0000000E-001
 7.1184751E-001, 1.9510854E+000,-1.7321970E+000, 1.0000000E-001
 7.2963250E-001, 1.9489400E+000,-1.6776304E+000, 1.0000000E-001
 7.4585064E-001, 1.9460492E+000,-1.6199628E+000, 1.0000000E-001
 7.6369060E-001, 1.9418471E+000,-1.5666741E+000, 1.0000000E-001
 7.7998251E-001, 1.9370871E+000,-1.5107948E+000, 1.0000000E-001
 7.9790361E-001, 1.9308439E+000,-1.4589301E+000, 1.0000000E-001
 8.1427785E-001, 1.9242322E+000,-1.4049783E+000, 1.0000000E-001
 8.3228952E-001, 1.9159709E+000,-1.3547344E+000, 1.0000000E-001
 8.4871718E-001, 1.9075505E+000,-1.3029160E+000, 1.0000000E-001
 8.6678761E-001, 1.8973266E+000,-1.2545966E+000, 1.0000000E-001
 8.8329326E-001, 1.8871272E+000,-1.2051566E+000, 1.0000000E-001
 9.0144948E-001, 1.8749757E+000,-1.1588901E+000, 1.0000000E-001
