Time, u-vel
   0.000,   1.76537
   0.039,   1.82910
   0.081,   1.89494
   0.120,   1.95102
   0.163,   2.00762
   0.203,   2.05489
   0.246,   2.10100
   0.286,   2.13744
   0.329,   2.17117
   0.369,   2.19602
   0.413,   2.21668
   0.453,   2.22943
   0.498,   2.23661
   0.538,   2.23693
   0.583,   2.23042
   0.624,   2.21815
   0.670,   2.19792
   0.711,   2.17350
   0.757,   2.14039
   0.799,   2.10475
   0.844,   2.05996
   0.886,   2.01416
   0.933,   1.95900
   0.975,   1.90429
   1.022,   1.84024
   1.065,   1.77802
   1.113,   1.70676
   1.156,   1.63967
   1.204,   1.56428
   1.247,   1.49455
   1.295,   1.41750
   1.339,   1.34713
   1.387,   1.27065
   1.432,   1.20166
   1.481,   1.12795
   1.526,   1.06257
   1.575,   0.99405
   1.620,   0.93521
   1.670,   0.87491
   1.715,   0.82422
   1.765,   0.77376
   1.811,   0.73262
   1.862,   0.69340
   1.908,   0.66306
   1.960,   0.63630
   2.007,   0.61795
   2.058,   0.60463
   2.105,   0.59872
   2.157,   0.59901
   2.205,   0.60538
   2.257,   0.61889
   2.305,   0.63708
   2.358,   0.66311
   2.407,   0.69229
   2.460,   0.72966
   2.509,   0.76806
   2.563,   0.81449
   2.612,   0.86032
   2.666,   0.91374
   2.716,   0.96504
   2.771,   1.02320
   2.821,   1.07788
   2.877,   1.13835
   2.927,   1.19308
   2.983,   1.25220
   3.034,   1.30469
   3.090,   1.36000
   3.141,   1.40805
   3.198,   1.45723
   3.250,   1.49874
   3.308,   1.53961
   3.360,   1.57211
   3.418,   1.60228
   3.470,   1.62451
   3.528,   1.64285
   3.581,   1.65395
   3.640,   1.65975
   3.694,   1.65920
   3.754,   1.65217
   3.808,   1.64010
   3.867,   1.62088
   3.922,   1.59815
   3.982,   1.56790
   4.037,   1.53569
   4.097,   1.49596
   4.153,   1.45600
   4.214,   1.40892
   4.270,   1.36376
   4.332,   1.31234
   4.388,   1.26430
   4.450,   1.21114
   4.507,   1.16260
   4.570,   1.11036
   4.627,   1.06420
   4.690,   1.01597
   4.748,   0.97480
   4.812,   0.93325
   4.870,   0.89902
   4.934,   0.86610
   4.993,   0.84047
   5.058,   0.81779
   5.117,   0.80230
   5.182,   0.79107
   5.242,   0.78612
   5.307,   0.78646
   5.367,   0.79196
   5.434,   0.80348
   5.494,   0.81875
   5.561,   0.84033
   5.622,   0.86394
   5.689,   0.89367
   5.750,   0.92384
   5.818,   0.95957
   5.880,   0.99417
   5.949,   1.03341
   6.011,   1.06959
   6.080,   1.10913
   6.142,   1.14447
   6.211,   1.18169
   6.275,   1.21383
   6.345,   1.24628
