s,m/s,Pa,kg/m/s
FDS Time,"UVEL","PRES","VISC"
 0.0000000E+000, 1.7653669E+000,-1.3409909E+000, 1.0000000E-001
 6.7436265E-002, 1.8636580E+000,-3.2232575E+000, 1.0000000E-001
 1.2942926E-001, 1.9454650E+000,-2.9983723E+000, 1.0000000E-001
 1.9762156E-001, 2.0250599E+000,-2.7850952E+000, 1.0000000E-001
 2.5986487E-001, 2.0871837E+000,-2.5424528E+000, 1.0000000E-001
 3.2833252E-001, 2.1433427E+000,-2.3169274E+000, 1.0000000E-001
 3.9199580E-001, 2.1834061E+000,-2.0710952E+000, 1.0000000E-001
 4.6202541E-001, 2.2137165E+000,-1.8414733E+000, 1.0000000E-001
 5.2737422E-001, 2.2286856E+000,-1.6015130E+000, 1.0000000E-001
 5.9925791E-001, 2.2304783E+000,-1.3809855E+000, 1.0000000E-001
 6.6470685E-001, 2.2189107E+000,-1.1619117E+000, 1.0000000E-001
 7.3670068E-001, 2.1922529E+000,-9.7008479E-001, 1.0000000E-001
 8.0342022E-001, 2.1551754E+000,-7.8794008E-001, 1.0000000E-001
 8.7681171E-001, 2.1016352E+000,-6.3306171E-001, 1.0000000E-001
 9.4562558E-001, 2.0404110E+000,-4.9478981E-001, 1.0000000E-001
 1.0213208E+000, 1.9621707E+000,-3.8541955E-001, 1.0000000E-001
 1.0901625E+000, 1.8825366E+000,-2.9859370E-001, 1.0000000E-001
 1.1658884E+000, 1.7873062E+000,-2.4288437E-001, 1.0000000E-001
 1.2359648E+000, 1.6936631E+000,-2.1055563E-001, 1.0000000E-001
 1.3130488E+000, 1.5864598E+000,-2.0608912E-001, 1.0000000E-001
 1.3853704E+000, 1.4836371E+000,-2.2493875E-001, 1.0000000E-001
 1.4649243E+000, 1.3701526E+000,-2.6767790E-001, 1.0000000E-001
 1.5373316E+000, 1.2682506E+000,-3.3175853E-001, 1.0000000E-001
 1.6169797E+000, 1.1597195E+000,-4.1137519E-001, 1.0000000E-001
 1.6908783E+000, 1.0640085E+000,-5.0953251E-001, 1.0000000E-001
 1.7721668E+000, 9.6610439E-001,-6.1493808E-001, 1.0000000E-001
 1.8481147E+000, 8.8313097E-001,-7.3611283E-001, 1.0000000E-001
 1.9316574E+000, 8.0285633E-001,-8.5537797E-001, 1.0000000E-001
 2.0078345E+000, 7.4089074E-001,-9.8758870E-001, 1.0000000E-001
 2.0916293E+000, 6.8605411E-001,-1.1056341E+000, 1.0000000E-001
 2.1697909E+000, 6.4818364E-001,-1.2331675E+000, 1.0000000E-001
 2.2557687E+000, 6.2169337E-001,-1.3421450E+000, 1.0000000E-001
 2.3352748E+000, 6.1138779E-001,-1.4573801E+000, 1.0000000E-001
 2.4227314E+000, 6.1549574E-001,-1.5485754E+000, 1.0000000E-001
 2.5030390E+000, 6.3283420E-001,-1.6419730E+000, 1.0000000E-001
 2.5913773E+000, 6.6596687E-001,-1.7099133E+000, 1.0000000E-001
 2.6745816E+000, 7.0926011E-001,-1.7744244E+000, 1.0000000E-001
 2.7661064E+000, 7.6881033E-001,-1.8177837E+000, 1.0000000E-001
 2.8493576E+000, 8.3186477E-001,-1.8519841E+000, 1.0000000E-001
 2.9409340E+000, 9.0901512E-001,-1.8671288E+000, 1.0000000E-001
 3.0260354E+000, 9.8576045E-001,-1.8678867E+000, 1.0000000E-001
 3.1196469E+000, 1.0734839E+000,-1.8554685E+000, 1.0000000E-001
 3.2064640E+000, 1.1555074E+000,-1.8243721E+000, 1.0000000E-001
 3.3019628E+000, 1.2440813E+000,-1.7849648E+000, 1.0000000E-001
 3.3897059E+000, 1.3215971E+000,-1.7251253E+000, 1.0000000E-001
 3.4862234E+000, 1.4004437E+000,-1.6622758E+000, 1.0000000E-001
 3.5767336E+000, 1.4661970E+000,-1.5812752E+000, 1.0000000E-001
 3.6762949E+000, 1.5276134E+000,-1.4995170E+000, 1.0000000E-001
 3.7671032E+000, 1.5721059E+000,-1.4044057E+000, 1.0000000E-001
 3.8669924E+000, 1.6073779E+000,-1.3151971E+000, 1.0000000E-001
 3.9605440E+000, 1.6266614E+000,-1.2198752E+000, 1.0000000E-001
 4.0634508E+000, 1.6323831E+000,-1.1321330E+000, 1.0000000E-001
 4.1576700E+000, 1.6235839E+000,-1.0464652E+000, 1.0000000E-001
 4.2613111E+000, 1.5992390E+000,-9.7386581E-001, 1.0000000E-001
 4.3577684E+000, 1.5639492E+000,-9.0923750E-001, 1.0000000E-001
 4.4638713E+000, 1.5127838E+000,-8.5956454E-001, 1.0000000E-001
 4.5616534E+000, 1.4561648E+000,-8.2176304E-001, 1.0000000E-001
 4.6692136E+000, 1.3857795E+000,-8.0010325E-001, 1.0000000E-001
 4.7688055E+000, 1.3155327E+000,-7.9096955E-001, 1.0000000E-001
