Time, u-vel
   0.000,   1.09814
   0.011,   1.12051
   0.017,   1.13112
   0.023,   1.14275
   0.028,   1.15330
   0.034,   1.16486
   0.039,   1.17535
   0.045,   1.18684
   0.051,   1.19726
   0.057,   1.20867
   0.068,   1.23035
   0.074,   1.24061
   0.080,   1.25185
   0.085,   1.26203
   0.091,   1.27317
   0.096,   1.28326
   0.102,   1.29431
   0.108,   1.30430
   0.114,   1.31524
   0.119,   1.32513
   0.131,   1.34574
   0.137,   1.35645
   0.142,   1.36613
   0.148,   1.37670
   0.154,   1.38627
   0.160,   1.39672
   0.165,   1.40616
   0.171,   1.41647
   0.177,   1.42579
   0.183,   1.43596
   0.194,   1.45518
   0.200,   1.46423
   0.206,   1.47411
   0.212,   1.48302
   0.218,   1.49274
   0.223,   1.50151
   0.229,   1.51106
   0.235,   1.51968
   0.241,   1.52907
   0.246,   1.53754
   0.252,   1.54676
   0.258,   1.55507
   0.264,   1.56411
   0.276,   1.58112
   0.281,   1.58910
   0.287,   1.59777
   0.293,   1.60558
   0.299,   1.61407
   0.305,   1.62170
   0.311,   1.62999
   0.316,   1.63745
   0.322,   1.64554
   0.328,   1.65281
   0.334,   1.66070
   0.340,   1.66779
   0.346,   1.67547
   0.358,   1.68984
   0.363,   1.69654
   0.369,   1.70380
   0.375,   1.71030
   0.381,   1.71734
   0.387,   1.72364
   0.393,   1.73045
   0.398,   1.73655
   0.405,   1.74314
   0.410,   1.74903
   0.416,   1.75539
   0.422,   1.76107
   0.428,   1.76720
   0.434,   1.77267
   0.440,   1.77856
   0.452,   1.78946
   0.458,   1.79449
   0.464,   1.79990
   0.469,   1.80471
   0.476,   1.80988
   0.481,   1.81446
   0.487,   1.81938
   0.493,   1.82374
   0.499,   1.82841
   0.505,   1.83254
   0.511,   1.83695
   0.517,   1.84086
   0.523,   1.84502
   0.529,   1.84868
   0.535,   1.85259
   0.541,   1.85602
   0.547,   1.85967
   0.559,   1.86625
   0.565,   1.86921
   0.571,   1.87234
   0.577,   1.87506
   0.583,   1.87792
   0.589,   1.88040
   0.595,   1.88300
   0.601,   1.88524
   0.607,   1.88756
   0.613,   1.88956
   0.619,   1.89162
   0.625,   1.89338
   0.631,   1.89517
   0.637,   1.89668
   0.643,   1.89821
   0.649,   1.89947
   0.655,   1.90073
   0.661,   1.90175
   0.667,   1.90274
   0.673,   1.90352
   0.679,   1.90423
   0.685,   1.90476
   0.692,   1.90521
   0.704,   1.90567
   0.710,   1.90571
   0.716,   1.90562
   0.722,   1.90541
   0.728,   1.90505
   0.734,   1.90460
   0.740,   1.90397
   0.746,   1.90328
   0.752,   1.90238
   0.758,   1.90144
   0.765,   1.90028
   0.770,   1.89910
   0.777,   1.89767
   0.783,   1.89625
   0.789,   1.89455
   0.795,   1.89289
   0.801,   1.89093
   0.807,   1.88903
   0.814,   1.88681
   0.819,   1.88467
   0.826,   1.88219
   0.832,   1.87982
   0.838,   1.87708
   0.844,   1.87448
   0.850,   1.87148
   0.856,   1.86864
   0.863,   1.86539
   0.869,   1.86232
   0.875,   1.85882
   0.881,   1.85552
   0.887,   1.85178
   0.893,   1.84825
   0.900,   1.84426
   0.906,   1.84051
   0.912,   1.83627
   0.918,   1.83230
   0.925,   1.82782
   0.930,   1.82364
   0.937,   1.81892
   0.943,   1.81452
   0.949,   1.80957
   0.955,   1.80496
   0.962,   1.79977
   0.968,   1.79495
   0.974,   1.78954
   0.987,   1.77888
   0.993,   1.77365
   0.999,   1.76779
   1.005,   1.76237
   1.012,   1.75630
   1.018,   1.75068
   1.024,   1.74439
   1.030,   1.73858
   1.037,   1.73209
   1.043,   1.72609
   1.049,   1.71940
   1.055,   1.71322
   1.062,   1.70632
   1.068,   1.69996
   1.074,   1.69287
   1.080,   1.68634
   1.087,   1.67906
   1.093,   1.67236
   1.099,   1.66489
   1.105,   1.65802
   1.112,   1.65038
   1.118,   1.64335
   1.125,   1.63553
   1.131,   1.62835
   1.137,   1.62036
   1.143,   1.61302
   1.150,   1.60487
   1.156,   1.59739
   1.163,   1.58908
   1.169,   1.58145
   1.175,   1.57299
   1.181,   1.56523
   1.188,   1.55662
   1.194,   1.54873
   1.201,   1.53998
   1.207,   1.53196
   1.213,   1.52307
   1.219,   1.51493
   1.226,   1.50592
   1.232,   1.49766
   1.239,   1.48853
   1.245,   1.48016
   1.252,   1.47091
   1.258,   1.46244
   1.264,   1.45307
   1.270,   1.44450
   1.277,   1.43503
   1.283,   1.42637
   1.290,   1.41680
   1.296,   1.40806
   1.303,   1.39840
   1.309,   1.38957
   1.316,   1.37982
   1.322,   1.37092
   1.328,   1.36110
   1.335,   1.35213
   1.341,   1.34223
   1.347,   1.33320
   1.354,   1.32323
   1.360,   1.31414
   1.367,   1.30412
   1.374,   1.29408
   1.381,   1.28401
   1.387,   1.27393
   1.394,   1.26383
   1.401,   1.25372
   1.408,   1.24359
   1.414,   1.23346
   1.421,   1.22331
   1.428,   1.21316
   1.435,   1.20300
   1.441,   1.19284
   1.448,   1.18268
   1.455,   1.17251
   1.462,   1.16235
   1.468,   1.15220
   1.475,   1.14205
   1.482,   1.13191
   1.489,   1.12178
   1.495,   1.11166
   1.502,   1.10155
   1.509,   1.09146
   1.516,   1.08138
   1.522,   1.07133
   1.529,   1.06129
   1.536,   1.05128
   1.543,   1.04129
   1.549,   1.03133
   1.556,   1.02139
   1.563,   1.01149
   1.570,   1.00161
   1.576,   0.99177
   1.583,   0.98196
   1.590,   0.97219
   1.597,   0.96246
   1.603,   0.95277
   1.610,   0.94311
   1.617,   0.93351
   1.624,   0.92394
   1.630,   0.91442
   1.637,   0.90495
   1.644,   0.89553
   1.651,   0.88616
   1.657,   0.87685
   1.664,   0.86758
   1.671,   0.85838
   1.678,   0.84923
   1.684,   0.84014
   1.691,   0.83111
   1.698,   0.82214
   1.705,   0.81323
   1.712,   0.80439
   1.718,   0.79562
   1.725,   0.78691
   1.732,   0.77827
   1.739,   0.76970
   1.745,   0.76121
   1.752,   0.75279
   1.759,   0.74444
   1.766,   0.73617
   1.772,   0.72797
   1.779,   0.71985
   1.786,   0.71182
   1.793,   0.70386
   1.799,   0.69599
   1.806,   0.68820
   1.813,   0.68049
   1.820,   0.67287
   1.826,   0.66534
