Time, u-vel
   0.000,   1.19603
   0.011,   1.21701
   0.022,   1.24003
   0.033,   1.26089
   0.044,   1.28375
   0.055,   1.30445
   0.066,   1.32711
   0.077,   1.34760
   0.089,   1.37002
   0.099,   1.39026
   0.111,   1.41238
   0.121,   1.43235
   0.133,   1.45414
   0.144,   1.47378
   0.155,   1.49520
   0.166,   1.51448
   0.177,   1.53547
   0.188,   1.55435
   0.199,   1.57488
   0.210,   1.59333
   0.222,   1.61336
   0.232,   1.63133
   0.244,   1.65083
   0.254,   1.66829
   0.266,   1.68721
   0.276,   1.70413
   0.288,   1.72243
   0.299,   1.73878
   0.310,   1.75643
   0.321,   1.77217
   0.332,   1.78913
   0.343,   1.80423
   0.355,   1.82048
   0.365,   1.83491
   0.377,   1.85040
   0.387,   1.86414
   0.399,   1.87885
   0.409,   1.89186
   0.421,   1.90576
   0.432,   1.91802
   0.443,   1.93109
   0.454,   1.94258
   0.465,   1.95478
   0.476,   1.96547
   0.488,   1.97678
   0.498,   1.98666
   0.510,   1.99706
   0.520,   2.00610
   0.532,   2.01558
   0.542,   2.02376
   0.554,   2.03229
   0.565,   2.03961
   0.576,   2.04717
   0.587,   2.05360
   0.598,   2.06018
   0.609,   2.06572
   0.620,   2.07131
   0.631,   2.07594
   0.643,   2.08052
   0.653,   2.08423
   0.665,   2.08781
   0.675,   2.09060
   0.687,   2.09315
   0.698,   2.09501
   0.709,   2.09654
   0.720,   2.09746
   0.731,   2.09797
   0.742,   2.09796
   0.753,   2.09743
   0.764,   2.09649
   0.776,   2.09494
   0.786,   2.09306
   0.798,   2.09048
   0.808,   2.08768
   0.820,   2.08408
   0.830,   2.08035
   0.842,   2.07575
   0.853,   2.07110
   0.864,   2.06549
   0.875,   2.05994
   0.886,   2.05334
   0.897,   2.04690
   0.908,   2.03932
   0.919,   2.03199
   0.931,   2.02346
   0.941,   2.01526
   0.953,   2.00577
   0.963,   1.99672
   0.975,   1.98631
   0.985,   1.97642
   0.997,   1.96510
   1.008,   1.95441
   1.019,   1.94220
   1.030,   1.93071
   1.041,   1.91764
   1.052,   1.90538
   1.063,   1.89147
   1.074,   1.87847
   1.086,   1.86376
   1.096,   1.85004
   1.108,   1.83456
   1.118,   1.82014
   1.130,   1.80391
   1.140,   1.78882
   1.152,   1.77187
   1.163,   1.75615
   1.174,   1.73851
   1.185,   1.72218
   1.196,   1.70390
   1.207,   1.68700
   1.218,   1.66811
   1.229,   1.65066
   1.241,   1.63119
   1.251,   1.61324
   1.263,   1.59324
   1.273,   1.57483
   1.285,   1.55433
   1.295,   1.53548
   1.307,   1.51452
   1.317,   1.49528
   1.329,   1.47391
   1.340,   1.45430
   1.351,   1.43255
   1.362,   1.41262
   1.373,   1.39054
   1.384,   1.37033
   1.395,   1.34796
   1.406,   1.32750
   1.418,   1.30489
   1.428,   1.28423
   1.440,   1.26141
   1.450,   1.24059
   1.462,   1.21762
   1.472,   1.19668
   1.484,   1.17360
   1.494,   1.15258
   1.506,   1.12943
   1.517,   1.10838
   1.528,   1.08521
   1.539,   1.06415
   1.550,   1.04100
   1.561,   1.01999
   1.572,   0.99691
   1.583,   0.97598
   1.594,   0.95302
   1.605,   0.93221
   1.617,   0.90941
   1.627,   0.88877
   1.639,   0.86617
   1.649,   0.84574
   1.661,   0.82338
   1.671,   0.80319
   1.683,   0.78114
   1.693,   0.76123
   1.705,   0.73951
   1.716,   0.71993
   1.727,   0.69858
   1.738,   0.67936
   1.749,   0.65843
   1.760,   0.63961
   1.771,   0.61915
   1.782,   0.60077
   1.794,   0.58080
   1.804,   0.56289
   1.816,   0.54347
   1.826,   0.52607
   1.838,   0.50721
   1.848,   0.49035
   1.860,   0.47211
   1.870,   0.45582
   1.882,   0.43824
   1.893,   0.42255
   1.904,   0.40565
   1.915,   0.39060
   1.926,   0.37441
   1.937,   0.36003
   1.948,   0.34460
   1.959,   0.33092
   1.970,   0.31626
   1.981,   0.30330
   1.993,   0.28945
   2.003,   0.27723
   2.015,   0.26422
   2.025,   0.25277
   2.037,   0.24061
   2.047,   0.22996
   2.059,   0.21869
   2.069,   0.20885
   2.081,   0.19848
   2.092,   0.18948
   2.103,   0.18004
   2.114,   0.17188
   2.125,   0.16339
   2.136,   0.15610
   2.147,   0.14857
   2.158,   0.14217
   2.170,   0.13562
   2.180,   0.13011
   2.192,   0.12454
   2.202,   0.11994
   2.214,   0.11537
   2.224,   0.11168
   2.236,   0.10813
   2.246,   0.10536
   2.258,   0.10282
   2.269,   0.10098
   2.280,   0.09946
   2.291,   0.09855
   2.302,   0.09806
   2.313,   0.09808
   2.324,   0.09862
   2.335,   0.09958
   2.347,   0.10114
   2.357,   0.10302
   2.369,   0.10561
   2.379,   0.10842
   2.391,   0.11203
   2.401,   0.11576
   2.413,   0.12038
   2.424,   0.12503
   2.435,   0.13064
   2.446,   0.13620
   2.457,   0.14281
   2.468,   0.14926
   2.479,   0.15685
   2.490,   0.16419
   2.502,   0.17274
   2.512,   0.18094
   2.524,   0.19044
   2.534,   0.19950
   2.546,   0.20992
   2.556,   0.21981
   2.568,   0.23114
   2.579,   0.24185
   2.590,   0.25407
   2.601,   0.26557
   2.612,   0.27866
   2.623,   0.29093
   2.635,   0.30485
   2.645,   0.31788
   2.657,   0.33261
   2.667,   0.34635
   2.679,   0.36186
   2.689,   0.37631
   2.701,   0.39257
   2.712,   0.40768
   2.723,   0.42466
   2.734,   0.44041
   2.745,   0.45807
   2.756,   0.47442
   2.767,   0.49273
   2.778,   0.50966
   2.790,   0.52859
   2.800,   0.54606
   2.812,   0.56557
   2.822,   0.58355
   2.834,   0.60360
   2.844,   0.62205
   2.856,   0.64259
   2.867,   0.66148
   2.878,   0.68249
   2.889,   0.70178
   2.900,   0.72320
   2.911,   0.74285
   2.923,   0.76465
   2.933,   0.78461
   2.945,   0.80674
   2.955,   0.82699
   2.967,   0.84940
   2.977,   0.86990
   2.989,   0.89256
   3.000,   0.91326
   3.011,   0.93612
   3.022,   0.95698
   3.033,   0.98001
   3.044,   1.00099
   3.056,   1.02412
   3.066,   1.04518
   3.078,   1.06838
   3.088,   1.08948
   3.100,   1.11270
   3.110,   1.13380
   3.122,   1.15698
   3.133,   1.17803
   3.144,   1.20115
   3.155,   1.22211
   3.166,   1.24510
   3.177,   1.26593
   3.188,   1.28876
   3.199,   1.30943
   3.211,   1.33205
   3.221,   1.35251
   3.233,   1.37489
   3.243,   1.39511
   3.255,   1.41719
   3.265,   1.43711
   3.277,   1.45886
   3.288,   1.47846
   3.299,   1.49982
   3.310,   1.51905
   3.321,   1.53998
   3.332,   1.55881
   3.344,   1.57927
   3.354,   1.59765
   3.366,   1.61761
   3.376,   1.63552
   3.388,   1.65494
   3.398,   1.67233
   3.410,   1.69117
   3.421,   1.70802
   3.432,   1.72625
   3.443,   1.74252
   3.454,   1.76009
   3.465,   1.77575
   3.476,   1.79263
   3.487,   1.80765
   3.499,   1.82381
   3.509,   1.83816
   3.521,   1.85357
   3.531,   1.86721
   3.543,   1.88183
   3.553,   1.89475
   3.565,   1.90855
   3.576,   1.92073
   3.587,   1.93369
   3.598,   1.94509
   3.609,   1.95719
   3.620,   1.96780
   3.631,   1.97901
   3.642,   1.98880
   3.654,   1.99910
   3.664,   2.00805
   3.676,   2.01742
   3.686,   2.02551
   3.698,   2.03394
   3.708,   2.04116
   3.720,   2.04862
   3.731,   2.05495
   3.742,   2.06143
   3.753,   2.06687
   3.764,   2.07235
   3.775,   2.07688
