s,m/s,Pa,kg/m/s
FDS Time,"UVEL","PRES","VISC"
 0.0000000E+000, 1.0981353E+000,-1.9903472E+000, 1.0000000E-010
 7.4074264E-003, 1.1132773E+000,-3.9783187E+000, 1.0000000E-010
 1.5555595E-002, 1.1294980E+000,-3.9777681E+000, 1.0000000E-010
 2.2925667E-002, 1.1441622E+000,-3.9737404E+000, 1.0000000E-010
 3.1032747E-002, 1.1602570E+000,-3.9692950E+000, 1.0000000E-010
 3.8402949E-002, 1.1748739E+000,-3.9643334E+000, 1.0000000E-010
 4.6510171E-002, 1.1909094E+000,-3.9589400E+000, 1.0000000E-010
 5.3882077E-002, 1.2054684E+000,-3.9530398E+000, 1.0000000E-010
 6.1991177E-002, 1.2214327E+000,-3.9467031E+000, 1.0000000E-010
 6.9361553E-002, 1.2359133E+000,-3.9398708E+000, 1.0000000E-010
 7.7468969E-002, 1.2517841E+000,-3.9325983E+000, 1.0000000E-010
 8.4839307E-002, 1.2661754E+000,-3.9248418E+000, 1.0000000E-010
 9.2946678E-002, 1.2819406E+000,-3.9166373E+000, 1.0000000E-010
 1.0031881E-001, 1.2962324E+000,-3.9079627E+000, 1.0000000E-010
 1.0842816E-001, 1.3118807E+000,-3.8988298E+000, 1.0000000E-010
 1.1579871E-001, 1.3260526E+000,-3.8892470E+000, 1.0000000E-010
 1.2390633E-001, 1.3415619E+000,-3.8791972E+000, 1.0000000E-010
 1.3127665E-001, 1.3556031E+000,-3.8687175E+000, 1.0000000E-010
 1.3938400E-001, 1.3709614E+000,-3.8577565E+000, 1.0000000E-010
 1.4675565E-001, 1.3848611E+000,-3.8463887E+000, 1.0000000E-010
 1.5486448E-001, 1.4000569E+000,-3.8345226E+000, 1.0000000E-010
 1.6223550E-001, 1.4137983E+000,-3.8222789E+000, 1.0000000E-010
 1.7034361E-001, 1.4288129E+000,-3.8095201E+000, 1.0000000E-010
 1.7771423E-001, 1.4423832E+000,-3.7964148E+000, 1.0000000E-010
 1.8582189E-001, 1.4572028E+000,-3.7827730E+000, 1.0000000E-010
 1.9319342E-001, 1.4705915E+000,-3.7688183E+000, 1.0000000E-010
 2.0130211E-001, 1.4852045E+000,-3.7543018E+000, 1.0000000E-010
 2.0867325E-001, 1.4983963E+000,-3.7395125E+000, 1.0000000E-010
 2.1678151E-001, 1.5127862E+000,-3.7241356E+000, 1.0000000E-010
 2.2415204E-001, 1.5257682E+000,-3.7085286E+000, 1.0000000E-010
 2.3225963E-001, 1.5399210E+000,-3.6923044E+000, 1.0000000E-010
 2.3963064E-001, 1.5526827E+000,-3.6758951E+000, 1.0000000E-010
 2.4773875E-001, 1.5665868E+000,-3.6588342E+000, 1.0000000E-010
 2.5511050E-001, 1.5791165E+000,-3.6416384E+000, 1.0000000E-010
 2.6321945E-001, 1.5927593E+000,-3.6237541E+000, 1.0000000E-010
 2.7059028E-001, 1.6050422E+000,-3.6057917E+000, 1.0000000E-010
 2.7869818E-001, 1.6184076E+000,-3.5871029E+000, 1.0000000E-010
 2.8606921E-001, 1.6304339E+000,-3.5683930E+000, 1.0000000E-010
 2.9417735E-001, 1.6435113E+000,-3.5489123E+000, 1.0000000E-010
 3.0154923E-001, 1.6552706E+000,-3.5294722E+000, 1.0000000E-010
 3.0965826E-001, 1.6680486E+000,-3.5092143E+000, 1.0000000E-010
 3.1702870E-001, 1.6795262E+000,-3.4890674E+000, 1.0000000E-010
 3.2513621E-001, 1.6919888E+000,-3.4680555E+000, 1.0000000E-010
 3.3250672E-001, 1.7031762E+000,-3.4472229E+000, 1.0000000E-010
 3.4061426E-001, 1.7153142E+000,-3.4254709E+000, 1.0000000E-010
 3.4798670E-001, 1.7262034E+000,-3.4039693E+000, 1.0000000E-010
 3.5609639E-001, 1.7380083E+000,-3.3814895E+000, 1.0000000E-010
 3.6346722E-001, 1.7485838E+000,-3.3593460E+000, 1.0000000E-010
 3.7157515E-001, 1.7600387E+000,-3.3361689E+000, 1.0000000E-010
 3.7894583E-001, 1.7702927E+000,-3.3134075E+000, 1.0000000E-010
 3.8705361E-001, 1.7813891E+000,-3.2895486E+000, 1.0000000E-010
 3.9442587E-001, 1.7913142E+000,-3.2661879E+000, 1.0000000E-010
 4.0253532E-001, 1.8020440E+000,-3.2416620E+000, 1.0000000E-010
 4.0990582E-001, 1.8116262E+000,-3.2177317E+000, 1.0000000E-010
 4.1801339E-001, 1.8219745E+000,-3.1925715E+000, 1.0000000E-010
 4.2538354E-001, 1.8312069E+000,-3.1680970E+000, 1.0000000E-010
 4.3349072E-001, 1.8411659E+000,-3.1423198E+000, 1.0000000E-010
 4.4086203E-001, 1.8500414E+000,-3.1173214E+000, 1.0000000E-010
 4.4897044E-001, 1.8596037E+000,-3.0909447E+000, 1.0000000E-010
 4.5634148E-001, 1.8681122E+000,-3.0654502E+000, 1.0000000E-010
 4.6444961E-001, 1.8772669E+000,-3.0385024E+000, 1.0000000E-010
 4.7182015E-001, 1.8853999E+000,-3.0125402E+000, 1.0000000E-010
 4.7992775E-001, 1.8941380E+000,-2.9850461E+000, 1.0000000E-010
 4.8729903E-001, 1.9018894E+000,-2.9586400E+000, 1.0000000E-010
 4.9540740E-001, 1.9102040E+000,-2.9306197E+000, 1.0000000E-010
 5.0277817E-001, 1.9175650E+000,-2.9037990E+000, 1.0000000E-010
 5.1088601E-001, 1.9254468E+000,-2.8752825E+000, 1.0000000E-010
 5.1825613E-001, 1.9324103E+000,-2.8480766E+000, 1.0000000E-010
 5.2636319E-001, 1.9398516E+000,-2.8190906E+000, 1.0000000E-010
 5.3373355E-001, 1.9464120E+000,-2.7915246E+000, 1.0000000E-010
 5.4184097E-001, 1.9534069E+000,-2.7620915E+000, 1.0000000E-010
 5.4921246E-001, 1.9595586E+000,-2.7341902E+000, 1.0000000E-010
 5.5732113E-001, 1.9661010E+000,-2.7043337E+000, 1.0000000E-010
 5.6469148E-001, 1.9718363E+000,-2.6761320E+000, 1.0000000E-010
 5.7279891E-001, 1.9779180E+000,-2.6458885E+000, 1.0000000E-010
 5.8016944E-001, 1.9832324E+000,-2.6174126E+000, 1.0000000E-010
 5.8827704E-001, 1.9888487E+000,-2.5868050E+000, 1.0000000E-010
 5.9564841E-001, 1.9937377E+000,-2.5580807E+000, 1.0000000E-010
 6.0375690E-001, 1.9988836E+000,-2.5271346E+000, 1.0000000E-010
 6.1112672E-001, 2.0033409E+000,-2.4981985E+000, 1.0000000E-010
 6.1923355E-001, 2.0080101E+000,-2.4669528E+000, 1.0000000E-010
 6.2660336E-001, 2.0120326E+000,-2.4378303E+000, 1.0000000E-010
