Time, u-vel
   0.000,   1.19603
   0.011,   1.21662
   0.022,   1.23910
   0.033,   1.25940
   0.044,   1.28153
   0.055,   1.30153
   0.067,   1.32332
   0.077,   1.34297
   0.089,   1.36436
   0.100,   1.38364
   0.112,   1.40460
   0.122,   1.42346
   0.134,   1.44393
   0.145,   1.46234
   0.156,   1.48231
   0.167,   1.50022
   0.179,   1.51962
   0.190,   1.53701
   0.202,   1.55581
   0.212,   1.57264
   0.224,   1.59081
   0.235,   1.60704
   0.247,   1.62454
   0.258,   1.64014
   0.270,   1.65693
   0.281,   1.67188
   0.293,   1.68792
   0.303,   1.70218
   0.315,   1.71745
   0.326,   1.73098
   0.338,   1.74545
   0.349,   1.75824
   0.361,   1.77188
   0.372,   1.78390
   0.384,   1.79667
   0.395,   1.80789
   0.407,   1.81977
   0.418,   1.83018
   0.431,   1.84115
   0.442,   1.85072
   0.454,   1.86076
   0.465,   1.86947
   0.477,   1.87856
   0.488,   1.88639
   0.500,   1.89451
   0.511,   1.90145
   0.524,   1.90858
   0.535,   1.91462
   0.547,   1.92075
   0.558,   1.92587
   0.570,   1.93099
   0.582,   1.93519
   0.594,   1.93929
   0.605,   1.94255
   0.618,   1.94562
   0.629,   1.94795
   0.641,   1.94999
   0.652,   1.95137
   0.665,   1.95238
   0.676,   1.95282
   0.689,   1.95279
   0.700,   1.95229
   0.712,   1.95122
   0.724,   1.94979
   0.736,   1.94770
   0.748,   1.94532
   0.760,   1.94221
   0.771,   1.93892
   0.784,   1.93479
   0.795,   1.93058
   0.808,   1.92545
   0.819,   1.92034
   0.832,   1.91423
   0.844,   1.90822
   0.856,   1.90114
   0.868,   1.89426
   0.880,   1.88623
   0.892,   1.87850
   0.905,   1.86954
   0.916,   1.86097
   0.929,   1.85110
   0.940,   1.84172
   0.953,   1.83097
   0.965,   1.82080
   0.977,   1.80920
   0.989,   1.79826
   1.002,   1.78584
   1.014,   1.77417
   1.026,   1.76095
   1.038,   1.74857
   1.051,   1.73460
   1.063,   1.72155
   1.076,   1.70685
   1.087,   1.69316
   1.100,   1.67778
   1.112,   1.66349
   1.125,   1.64746
   1.137,   1.63260
   1.150,   1.61596
   1.162,   1.60056
   1.175,   1.58337
   1.186,   1.56748
   1.199,   1.54977
   1.211,   1.53342
   1.224,   1.51524
   1.236,   1.49848
   1.249,   1.47987
   1.261,   1.46275
   1.274,   1.44376
