s,m/s,Pa,kg/m/s
FDS Time,"UVEL","PRES","VISC"
 0.0000000E+000, 1.3901806E+000,-1.8421861E+000, 1.0000000E-010
 3.1702849E-002, 1.4503986E+000,-3.7999084E+000, 1.0000000E-010
 6.1415682E-002, 1.5059545E+000,-3.7511897E+000, 1.0000000E-010
 9.4099799E-002, 1.5658635E+000,-3.7032204E+000, 1.0000000E-010
 1.2378541E-001, 1.6189712E+000,-3.6379695E+000, 1.0000000E-010
 1.5643959E-001, 1.6757498E+000,-3.5776596E+000, 1.0000000E-010
 1.8618215E-001, 1.7257653E+000,-3.4991071E+000, 1.0000000E-010
 2.1889897E-001, 1.7787185E+000,-3.4269202E+000, 1.0000000E-010
 2.4863760E-001, 1.8247823E+000,-3.3358414E+000, 1.0000000E-010
 2.8135009E-001, 1.8730013E+000,-3.2527363E+000, 1.0000000E-010
 3.1104665E-001, 1.9143757E+000,-3.1506958E+000, 1.0000000E-010
 3.4371287E-001, 1.9570946E+000,-3.0578580E+000, 1.0000000E-010
 3.7343454E-001, 1.9932657E+000,-2.9466629E+000, 1.0000000E-010
 4.0612836E-001, 2.0299497E+000,-2.8451445E+000, 1.0000000E-010
 4.3588920E-001, 2.0603840E+000,-2.7262278E+000, 1.0000000E-010
 4.6862611E-001, 2.0904887E+000,-2.6173942E+000, 1.0000000E-010
 4.9831318E-001, 2.1146297E+000,-2.4925058E+000, 1.0000000E-010
 5.3096894E-001, 2.1376202E+000,-2.3784015E+000, 1.0000000E-010
 5.6065954E-001, 2.1552064E+000,-2.2500603E+000, 1.0000000E-010
 5.9331920E-001, 2.1708310E+000,-2.1321537E+000, 1.0000000E-010
 6.2312142E-001, 2.1816399E+000,-2.0020125E+000, 1.0000000E-010
 6.5590386E-001, 2.1896799E+000,-1.8817170E+000, 1.0000000E-010
 6.8559993E-001, 2.1934619E+000,-1.7514316E+000, 1.0000000E-010
 7.1826561E-001, 2.1937551E+000,-1.6316090E+000, 1.0000000E-010
 7.4795191E-001, 2.1905143E+000,-1.5040959E+000, 1.0000000E-010
 7.8060684E-001, 2.1830957E+000,-1.3863369E+000, 1.0000000E-010
 8.1039568E-001, 2.1728387E+000,-1.2631094E+000, 1.0000000E-010
 8.4316340E-001, 2.1577425E+000,-1.1489667E+000, 1.0000000E-010
 8.7285969E-001, 2.1406655E+000,-1.0317395E+000, 1.0000000E-010
 9.0552560E-001, 2.1182132E+000,-9.2394179E-001, 1.0000000E-010
 9.3519699E-001, 2.0945656E+000,-8.1507432E-001, 1.0000000E-010
 9.6783552E-001, 2.0650680E+000,-7.1519136E-001, 1.0000000E-010
 9.9757414E-001, 2.0351090E+000,-6.1600798E-001, 1.0000000E-010
 1.0302866E+000, 1.9988834E+000,-5.2546936E-001, 1.0000000E-010
 1.0600045E+000, 1.9631197E+000,-4.3733370E-001, 1.0000000E-010
 1.0926942E+000, 1.9207948E+000,-3.5799372E-001, 1.0000000E-010
 1.1223739E+000, 1.8797923E+000,-2.8239289E-001, 1.0000000E-010
 1.1550215E+000, 1.8320396E+000,-2.1560450E-001, 1.0000000E-010
 1.1847361E+000, 1.7863139E+000,-1.5353337E-001, 1.0000000E-010
 1.2174222E+000, 1.7337298E+000,-1.0022244E-001, 1.0000000E-010
 1.2471624E+000, 1.6839693E+000,-5.2422073E-002, 1.0000000E-010
 1.2798766E+000, 1.6273499E+000,-1.3477182E-002, 1.0000000E-010
 1.3095552E+000, 1.5744544E+000, 1.9396484E-002, 1.0000000E-010
 1.3422017E+000, 1.5148273E+000, 4.3341015E-002, 1.0000000E-010
 1.3718895E+000, 1.4594785E+000, 6.0938545E-002, 1.0000000E-010
 1.4045460E+000, 1.3976038E+000, 6.9720216E-002, 1.0000000E-010
 1.4343204E+000, 1.3404791E+000, 7.1970381E-002, 1.0000000E-010
 1.4670722E+000, 1.2771114E+000, 6.5559790E-002, 1.0000000E-010
 1.4967527E+000, 1.2194029E+000, 5.2569013E-002, 1.0000000E-010
 1.5294012E+000, 1.1558622E+000, 3.1298306E-002, 1.0000000E-010
 1.5590775E+000, 1.0982482E+000, 3.4235627E-003, 1.0000000E-010
 1.5917214E+000, 1.0352722E+000,-3.2159626E-002, 1.0000000E-010
 1.6215148E+000, 9.7835904E-001,-7.4482016E-002, 1.0000000E-010
 1.6542875E+000, 9.1661227E-001,-1.2383012E-001, 1.0000000E-010
 1.6839736E+000, 8.6165130E-001,-1.7990111E-001, 1.0000000E-010
 1.7166283E+000, 8.0248320E-001,-2.4168736E-001, 1.0000000E-010
 1.7462957E+000, 7.5008738E-001,-3.1044564E-001, 1.0000000E-010
 1.7789300E+000, 6.9415706E-001,-3.8362616E-001, 1.0000000E-010
 1.8086808E+000, 6.4490759E-001,-4.6421191E-001, 1.0000000E-010
 1.8414068E+000, 5.9284645E-001,-5.4776675E-001, 1.0000000E-010
 1.8711083E+000, 5.4768634E-001,-6.3912612E-001, 1.0000000E-010
 1.9037800E+000, 5.0048864E-001,-7.3129189E-001, 1.0000000E-010
 1.9334500E+000, 4.6003661E-001,-8.3187366E-001, 1.0000000E-010
 1.9660870E+000, 4.1835335E-001,-9.3115944E-001, 1.0000000E-010
 1.9958089E+000, 3.8310173E-001,-1.0396200E+000, 1.0000000E-010
 2.0285029E+000, 3.4745535E-001,-1.1447265E+000, 1.0000000E-010
 2.0582284E+000, 3.1801516E-001,-1.2597780E+000, 1.0000000E-010
 2.0909265E+000, 2.8902718E-001,-1.3689473E+000, 1.0000000E-010
 2.1206059E+000, 2.6589379E-001,-1.4888403E+000, 1.0000000E-010
 2.1532533E+000, 2.4404852E-001,-1.6002775E+000, 1.0000000E-010
 2.1829505E+000, 2.2752349E-001,-1.7231655E+000, 1.0000000E-010
 2.2156175E+000, 2.1311332E-001,-1.8355111E+000, 1.0000000E-010
 2.2453734E+000, 2.0346050E-001,-1.9599193E+000, 1.0000000E-010
 2.2781048E+000, 1.9672742E-001,-2.0717783E+000, 1.0000000E-010
 2.3077847E+000, 1.9414592E-001,-2.1961985E+000, 1.0000000E-010
 2.3404327E+000, 1.9521114E-001,-2.3055985E+000, 1.0000000E-010
 2.3701161E+000, 1.9970386E-001,-2.4276698E+000, 1.0000000E-010
 2.4027679E+000, 2.0852801E-001,-2.5334990E+000, 1.0000000E-010
 2.4325663E+000, 2.2007430E-001,-2.6517856E+000, 1.0000000E-010
 2.4653445E+000, 2.3660086E-001,-2.7530899E+000, 1.0000000E-010
 2.4950311E+000, 2.5494292E-001,-2.8665876E+000, 1.0000000E-010
 2.5276863E+000, 2.7877063E-001,-2.9613643E+000, 1.0000000E-010
 2.5573610E+000, 3.0363408E-001,-3.0673473E+000, 1.0000000E-010
 2.5900031E+000, 3.3443245E-001,-3.1548121E+000, 1.0000000E-010
 2.6197766E+000, 3.6554730E-001,-3.2521253E+000, 1.0000000E-010
 2.6525275E+000, 4.0299335E-001,-3.3315308E+000, 1.0000000E-010
