s,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"Temp_Col_A_FDS","Temp_Col_B_FDS","Temp_Col_C_FDS","Temp_Col_D_FDS","Temp_Col_E_FDS","Temp_Col_F_FDS","Flux_Col_A_FDS","Flux_Col_B_FDS","Flux_Col_C_FDS","Flux_Col_D_FDS","Flux_Col_E_FDS","Flux_Col_F_FDS"
 0.0000000E+000, 3.6000000E+001, 3.6000000E+001, 3.6000000E+001, 3.6000000E+001, 3.6000000E+001, 3.6000000E+001,-1.5209430E-005,-1.3504981E-005,-1.4006028E-005,-1.3417189E-005,-1.3052028E-005,-2.2400565E-005
 1.5087296E+001, 3.6664507E+001, 3.6949258E+001, 3.6149440E+001, 3.6186894E+001, 3.6013254E+001, 3.6000015E+001, 4.5683339E+000, 6.5532699E+000, 1.0420786E+000, 1.3112382E+000, 8.8044330E-002, 9.9566987E-005
 3.0088948E+001, 3.9964633E+001, 4.0332047E+001, 3.6748912E+001, 3.6770425E+001, 3.6138121E+001, 3.6000092E+001, 1.3836174E+001, 1.2786171E+001, 2.5162091E+000, 2.3996184E+000, 6.6013062E-001, 4.8728059E-004
 4.5042101E+001, 4.4363298E+001, 4.2996275E+001, 3.7856529E+001, 3.7500772E+001, 3.6385609E+001, 3.6000542E+001, 1.7223372E+001, 1.0762916E+001, 2.8551391E+000, 2.8132415E+000, 6.2559405E-001, 2.3674784E-003
 6.0066051E+001, 4.7707513E+001, 4.5692748E+001, 3.9062586E+001, 3.8300803E+001, 3.6643260E+001, 3.6001661E+001, 1.2754689E+001, 1.1055591E+001, 2.9307446E+000, 2.6980586E+000, 7.5743293E-001, 5.3721252E-003
 7.5053957E+001, 5.1018237E+001, 4.8085961E+001, 4.0296858E+001, 3.9195549E+001, 3.6943805E+001, 3.6006036E+001, 1.4309061E+001, 1.0346381E+001, 3.1039160E+000, 3.0058224E+000, 8.1297719E-001, 3.1583906E-002
 9.0072077E+001, 5.5700550E+001, 5.0507510E+001, 4.1432687E+001, 4.0103860E+001, 3.7209102E+001, 3.6021123E+001, 1.9643038E+001, 1.0237657E+001, 2.8855198E+000, 2.9175946E+000, 6.8610462E-001, 5.8420500E-002
 1.0506460E+002, 6.1211596E+001, 5.2682583E+001, 4.2631070E+001, 4.0953167E+001, 3.7440720E+001, 3.6034373E+001, 2.1557675E+001, 8.8831299E+000, 3.1656292E+000, 2.8672501E+000, 6.3443102E-001, 5.2651552E-002
 1.2002412E+002, 6.5294153E+001, 5.4935685E+001, 4.3888655E+001, 4.1885591E+001, 3.7801194E+001, 3.6044395E+001, 1.6365272E+001, 8.9182823E+000, 3.4306250E+000, 3.1305200E+000, 1.0939115E+000, 4.2791571E-002
