s,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 1.3507918E+002, 6.8800525E+001, 5.7062505E+001, 4.5373885E+001, 4.2967891E+001, 3.8296879E+001, 3.6056299E+001, 1.4232405E+001, 8.3826603E+000, 3.8789574E+000, 3.6437318E+000, 1.3759745E+000, 8.8423988E-002
 1.5004612E+002, 7.2364101E+001, 5.9317173E+001, 4.6866093E+001, 4.4065788E+001, 3.8819451E+001, 3.6142817E+001, 1.5665167E+001, 9.4491123E+000, 3.8215439E+000, 3.3818758E+000, 1.4672224E+000, 3.5112248E-001
 1.6500306E+002, 7.6746260E+001, 6.1966976E+001, 4.8367266E+001, 4.5093660E+001, 3.9332154E+001, 3.6262738E+001, 1.8109213E+001, 1.0107284E+001, 3.6184812E+000, 3.3954958E+000, 1.4036718E+000, 3.4471677E-001
 1.8005011E+002, 8.0432070E+001, 6.4023072E+001, 4.9849269E+001, 4.6226093E+001, 3.9805231E+001, 3.6367242E+001, 1.4906759E+001, 7.9963249E+000, 3.9902809E+000, 3.7117727E+000, 1.2141503E+000, 2.9468378E-001
 1.9505506E+002, 8.3745317E+001, 6.6163525E+001, 5.1407972E+001, 4.7509597E+001, 4.0255805E+001, 3.6483301E+001, 1.4210581E+001, 8.7187867E+000, 4.0370773E+000, 3.9718844E+000, 1.3194937E+000, 3.0466399E-001
 2.1004656E+002, 8.7062042E+001, 6.8217490E+001, 5.3089405E+001, 4.8872561E+001, 4.0721137E+001, 3.6597272E+001, 1.4694822E+001, 8.5847896E+000, 4.3764652E+000, 4.0343649E+000, 1.2480777E+000, 2.9267024E-001
 2.2504272E+002, 9.0722116E+001, 7.0537458E+001, 5.4500554E+001, 5.0134592E+001, 4.1201228E+001, 3.6694351E+001, 1.5023426E+001, 9.2241388E+000, 3.9083938E+000, 3.8635764E+000, 1.3919179E+000, 2.3061875E-001
 2.4005108E+002, 9.4652151E+001, 7.2966657E+001, 5.6057155E+001, 5.1340802E+001, 4.1700254E+001, 3.6783057E+001, 1.7541066E+001, 9.4745134E+000, 4.0975322E+000, 3.6568474E+000, 1.4110366E+000, 2.5399341E-001
 2.5502971E+002, 9.9872702E+001, 7.5076226E+001, 5.7605804E+001, 5.2528257E+001, 4.2213704E+001, 3.6880128E+001, 2.1484890E+001, 8.8538835E+000, 3.8826344E+000, 3.7107859E+000, 1.4649865E+000, 2.8540991E-001
 2.7001889E+002, 1.0423866E+002, 7.7509636E+001, 5.9089292E+001, 5.3796913E+001, 4.2764181E+001, 3.6992734E+001, 2.0054724E+001, 1.0040736E+001, 4.1370276E+000, 3.7184967E+000, 1.6069109E+000, 3.5141056E-001
 2.8507426E+002, 1.0936246E+002, 8.0300827E+001, 6.0620217E+001, 5.4961735E+001, 4.3329809E+001, 3.7138654E+001, 2.0799374E+001, 1.1247425E+001, 3.9221113E+000, 3.8031370E+000, 1.5833525E+000, 3.9210842E-001
 3.0007633E+002, 1.1418091E+002, 8.3117330E+001, 6.2007850E+001, 5.6101736E+001, 4.3910155E+001, 3.7301430E+001, 2.0748104E+001, 1.0848768E+001, 3.9369563E+000, 3.5584663E+000, 1.6719331E+000, 4.4463619E-001
 3.1500876E+002, 1.1865334E+002, 8.5581913E+001, 6.3561789E+001, 5.7338177E+001, 4.4448661E+001, 3.7439676E+001, 2.0471543E+001, 1.0100612E+001, 4.3217865E+000, 3.9322054E+000, 1.4387950E+000, 3.7278092E-001
 3.3006485E+002, 1.2412513E+002, 8.8022054E+001, 6.5129730E+001, 5.8505413E+001, 4.4952706E+001, 3.7592623E+001, 2.3152934E+001, 1.0555393E+001, 4.2031658E+000, 3.6296794E+000, 1.4967766E+000, 4.5765797E-001
 3.4505521E+002, 1.2845321E+002, 9.0568426E+001, 6.6686359E+001, 5.9668738E+001, 4.5492786E+001, 3.7757346E+001, 1.9403858E+001, 1.0144696E+001, 4.4871804E+000, 4.0134221E+000, 1.5161446E+000, 4.1619321E-001
 3.6005909E+002, 1.3247906E+002, 9.2877492E+001, 6.8307886E+001, 6.0967684E+001, 4.6036756E+001, 3.7909839E+001, 1.7519081E+001, 9.6417373E+000, 4.3376216E+000, 4.1506181E+000, 1.5494826E+000, 3.7618800E-001
 3.7504032E+002, 1.3599972E+002, 9.5174232E+001, 6.9954050E+001, 6.2385970E+001, 4.6604717E+001, 3.8052047E+001, 1.7560572E+001, 1.0110641E+001, 4.4202428E+000, 4.3366856E+000, 1.6844938E+000, 4.1342283E-001
 3.9006219E+002, 1.4026846E+002, 9.7681612E+001, 7.1578348E+001, 6.3586099E+001, 4.7201898E+001, 3.8213286E+001, 2.0155400E+001, 1.0119431E+001, 4.7135368E+000, 3.8029810E+000, 1.7805038E+000, 3.9903272E-001
 4.0508141E+002, 1.4504415E+002, 9.9674509E+001, 7.3208820E+001, 6.4940209E+001, 4.7775413E+001, 3.8351574E+001, 2.2573938E+001, 9.2058646E+000, 4.3556279E+000, 4.3176744E+000, 1.6684290E+000, 3.4455057E-001
 4.2003227E+002, 1.5036279E+002, 1.0194967E+002, 7.4628364E+001, 6.6191144E+001, 4.8358351E+001, 3.8485436E+001, 2.2854743E+001, 1.0020973E+001, 4.0557702E+000, 4.1367122E+000, 1.8513406E+000, 4.4682976E-001
 4.3502278E+002, 1.5479420E+002, 1.0429582E+002, 7.6143230E+001, 6.7487259E+001, 4.8966800E+001, 3.8667604E+001, 2.2088600E+001, 1.0484677E+001, 4.4823637E+000, 3.8633471E+000, 1.8073305E+000, 5.0202484E-001
 4.5008784E+002, 1.5970853E+002, 1.0679850E+002, 7.7726093E+001, 6.8650510E+001, 4.9565884E+001, 3.8855417E+001, 2.1909724E+001, 1.0298999E+001, 4.7468427E+000, 4.2478290E+000, 1.7110400E+000, 4.6970618E-001
 4.6503475E+002, 1.6378744E+002, 1.0860061E+002, 7.9258694E+001, 7.0120872E+001, 5.0095313E+001, 3.9019111E+001, 1.9869161E+001, 8.2013303E+000, 4.6591459E+000, 4.8066648E+000, 1.6122071E+000, 4.3649924E-001
 4.8007224E+002, 1.6791446E+002, 1.1087921E+002, 8.0731076E+001, 7.1402153E+001, 5.0682032E+001, 3.9195241E+001, 1.9446360E+001, 1.0590468E+001, 4.3471174E+000, 4.0488667E+000, 1.8484943E+000, 4.5654747E-001
 4.9505817E+002, 1.7171856E+002, 1.1315672E+002, 8.2316137E+001, 7.2657287E+001, 5.1265061E+001, 3.9384286E+001, 2.0496340E+001, 1.0002222E+001, 4.6986660E+000, 4.2608769E+000, 1.6720135E+000, 5.3259566E-001
 5.1003652E+002, 1.7662590E+002, 1.1523487E+002, 8.3863289E+001, 7.3935598E+001, 5.1800809E+001, 3.9590519E+001, 2.4694710E+001, 9.5568801E+000, 4.5323380E+000, 4.2934812E+000, 1.5978035E+000, 5.3333795E-001
 5.2506654E+002, 1.8190647E+002, 1.1717181E+002, 8.5386748E+001, 7.5185431E+001, 5.2330933E+001, 3.9763516E+001, 2.3132420E+001, 9.2776248E+000, 4.5191097E+000, 4.3756432E+000, 1.6709329E+000, 4.2607842E-001
 5.4005809E+002, 1.8605636E+002, 1.1955639E+002, 8.6833419E+001, 7.6476296E+001, 5.2889162E+001, 3.9889845E+001, 2.0866036E+001, 1.1251856E+001, 4.5179660E+000, 4.0267074E+000, 1.7609909E+000, 3.4369165E-001
 5.5507890E+002, 1.9068532E+002, 1.2201052E+002, 8.8392182E+001, 7.7669658E+001, 5.3495502E+001, 4.0035964E+001, 2.4192678E+001, 1.1105387E+001, 4.7697610E+000, 4.3017272E+000, 1.9444994E+000, 5.3053153E-001
 5.7006347E+002, 1.9495899E+002, 1.2413465E+002, 8.9948327E+001, 7.8963592E+001, 5.4082464E+001, 4.0235417E+001, 2.3040607E+001, 1.0048719E+001, 5.0175026E+000, 4.4092768E+000, 1.9119055E+000, 5.4685972E-001
 5.8507875E+002, 1.9990417E+002, 1.2639966E+002, 9.1448971E+001, 8.0245466E+001, 5.4625520E+001, 4.0423841E+001, 2.6088431E+001, 1.0748893E+001, 4.7521566E+000, 4.3854829E+000, 1.6175201E+000, 4.7469559E-001
 6.0006967E+002, 2.0445618E+002, 1.2846466E+002, 9.2999424E+001, 8.1599437E+001, 5.5144701E+001, 4.0576051E+001, 2.3034017E+001, 9.6018176E+000, 5.0975258E+000, 4.8492159E+000, 1.7157144E+000, 4.3313933E-001
 6.1505547E+002, 2.0904815E+002, 1.3068002E+002, 9.4433076E+001, 8.2869904E+001, 5.5687659E+001, 4.0738730E+001, 2.2887659E+001, 1.0764125E+001, 4.4791767E+000, 4.1979928E+000, 1.7914272E+000, 4.6816852E-001
 6.3003208E+002, 2.1360011E+002, 1.3287288E+002, 9.5833048E+001, 8.4032478E+001, 5.6255466E+001, 4.0912157E+001, 2.6253388E+001, 1.0471289E+001, 4.6444757E+000, 4.0738239E+000, 1.7248765E+000, 4.7918676E-001
 6.4505044E+002, 2.1881875E+002, 1.3475696E+002, 9.7316170E+001, 8.5233654E+001, 5.6763807E+001, 4.1094518E+001, 2.6816534E+001, 9.2880229E+000, 4.8710052E+000, 4.4004628E+000, 1.5595460E+000, 5.4568901E-001
 6.6004728E+002, 2.2330524E+002, 1.3655431E+002, 9.8812251E+001, 8.6529447E+001, 5.7291514E+001, 4.1261598E+001, 2.4238834E+001, 8.8410622E+000, 4.9095138E+000, 4.8167060E+000, 1.7403681E+000, 4.4908504E-001
 6.7502661E+002, 2.2736677E+002, 1.3838454E+002, 1.0020068E+002, 8.7878520E+001, 5.7818333E+001, 4.1414408E+001, 2.3142289E+001, 9.5617670E+000, 4.6129127E+000, 4.7860276E+000, 1.7784800E+000, 4.4812964E-001
 6.9003410E+002, 2.3122772E+002, 1.4028375E+002, 1.0169188E+002, 8.9202058E+001, 5.8388136E+001, 4.1582085E+001, 2.1644067E+001, 1.0130274E+001, 4.9959150E+000, 4.7095766E+000, 1.9278863E+000, 5.3509434E-001
 7.0505599E+002, 2.3549948E+002, 1.4240235E+002, 1.0319713E+002, 9.0437513E+001, 5.8960001E+001, 4.1769211E+001, 2.6706760E+001, 1.0407795E+001, 4.9568372E+000, 4.3398774E+000, 1.8896845E+000, 5.7434983E-001
 7.2002801E+002, 2.4059530E+002, 1.4447859E+002, 1.0454678E+002, 9.1611861E+001, 5.9512407E+001, 4.1969062E+001, 2.8146630E+001, 1.0465238E+001, 4.7757710E+000, 4.4887742E+000, 1.7317056E+000, 5.5558045E-001
 7.3504933E+002, 2.4499892E+002, 1.4613010E+002, 1.0602492E+002, 9.2924203E+001, 6.0013945E+001, 4.2157453E+001, 2.3999259E+001, 9.4659772E+000, 5.2482762E+000, 4.8507478E+000, 1.6133976E+000, 5.1645845E-001
 7.5003077E+002, 2.4922108E+002, 1.4840975E+002, 1.0742239E+002, 9.4190275E+001, 6.0528393E+001, 4.2320300E+001, 2.5068754E+001, 1.2033810E+001, 4.5157921E+000, 4.6142254E+000, 1.8160721E+000, 4.4875571E-001
 7.6504276E+002, 2.5362109E+002, 1.5055343E+002, 1.0885425E+002, 9.5357493E+001, 6.1080443E+001, 4.2490861E+001, 2.6111043E+001, 1.0224854E+001, 5.0922009E+000, 4.4591127E+000, 1.7998879E+000, 5.2928261E-001
 7.8007334E+002, 2.5727478E+002, 1.5217589E+002, 1.1026925E+002, 9.6559862E+001, 6.1561689E+001, 4.2694703E+001, 2.3929564E+001, 8.9396541E+000, 4.9333401E+000, 4.5054104E+000, 1.6379772E+000, 6.3546439E-001
 7.9501048E+002, 2.6152865E+002, 1.5383504E+002, 1.1168830E+002, 9.7724940E+001, 6.2067268E+001, 4.2888763E+001, 2.7276628E+001, 9.4890033E+000, 5.0916280E+000, 4.5797477E+000, 1.7133235E+000, 5.2245601E-001
 8.1005207E+002, 2.6562081E+002, 1.5560307E+002, 1.1313794E+002, 9.8943893E+001, 6.2577801E+001, 4.3046471E+001, 2.3982328E+001, 1.0119228E+001, 5.3216114E+000, 4.7655762E+000, 1.8503161E+000, 4.5378082E-001
 8.2502242E+002, 2.6830224E+002, 1.5755631E+002, 1.1468479E+002, 1.0019447E+002, 6.3097152E+001, 4.3217692E+001, 2.0477430E+001, 1.0257453E+001, 5.5041259E+000, 4.8697370E+000, 1.8178331E+000, 5.7115266E-001
 8.4008877E+002, 2.7227691E+002, 1.5939570E+002, 1.1622358E+002, 1.0143310E+002, 6.3626267E+001, 4.3408442E+001, 2.7151047E+001, 1.0837400E+001, 5.2344732E+000, 4.6738026E+000, 1.8737738E+000, 5.5473520E-001
 8.5505449E+002, 2.7646830E+002, 1.6112849E+002, 1.1763879E+002, 1.0257405E+002, 6.4149534E+001, 4.3597646E+001, 2.6912685E+001, 9.3580226E+000, 5.5254279E+000, 4.6041382E+000, 1.7605111E+000, 5.9141229E-001
 8.7007220E+002, 2.7983185E+002, 1.6258144E+002, 1.1906210E+002, 1.0383904E+002, 6.4660245E+001, 4.3778064E+001, 2.2881890E+001, 8.8611196E+000, 5.2312744E+000, 5.0100916E+000, 1.8714419E+000, 5.1624138E-001
 8.8503347E+002, 2.8298309E+002, 1.6424799E+002, 1.2062874E+002, 1.0510556E+002, 6.5179962E+001, 4.3936181E+001, 2.2811122E+001, 1.0303998E+001, 5.6585067E+000, 5.0155236E+000, 1.8521830E+000, 5.2544690E-001
 9.0007094E+002, 2.8616495E+002, 1.6607725E+002, 1.2214500E+002, 1.0633006E+002, 6.5670643E+001, 4.4126527E+001, 2.5351387E+001, 1.0396270E+001, 5.5713477E+000, 4.7184630E+000, 1.8438477E+000, 6.0642603E-001
 9.1500372E+002, 2.9005647E+002, 1.6764913E+002, 1.2352142E+002, 1.0742075E+002, 6.6207466E+001, 4.4334723E+001, 2.5818667E+001, 9.2239313E+000, 5.1720009E+000, 4.5989266E+000, 1.9113799E+000, 6.0884497E-001
 9.3008119E+002, 2.9383254E+002, 1.6910473E+002, 1.2491887E+002, 1.0860131E+002, 6.6664816E+001, 4.4537998E+001, 2.6887063E+001, 9.3007546E+000, 5.3523943E+000, 4.8205307E+000, 1.6473335E+000, 5.8554148E-001
 9.4507060E+002, 2.9722337E+002, 1.7068752E+002, 1.2626661E+002, 1.0980719E+002, 6.7140414E+001, 4.4705098E+001, 2.5074883E+001, 9.6584995E+000, 5.2562039E+000, 4.9973855E+000, 1.7853364E+000, 4.7817708E-001
 9.6006090E+002, 3.0034339E+002, 1.7224008E+002, 1.2772072E+002, 1.1105488E+002, 6.7636180E+001, 4.4856291E+001, 2.3608025E+001, 9.8380205E+000, 5.7049532E+000, 5.1537338E+000, 1.8489813E+000, 5.4379930E-001
 9.7500397E+002, 3.0311962E+002, 1.7399576E+002, 1.2910861E+002, 1.1227814E+002, 6.8120459E+001, 4.5050992E+001, 2.4174226E+001, 1.0117209E+001, 5.3162112E+000, 4.8968849E+000, 1.7950954E+000, 6.2821389E-001
 9.9006695E+002, 3.0689966E+002, 1.7562646E+002, 1.3049614E+002, 1.1335483E+002, 6.8580736E+001, 4.5233224E+001, 2.8430258E+001, 1.0695799E+001, 5.3923010E+000, 4.7182763E+000, 1.6303128E+000, 5.4221372E-001
 1.0050201E+003, 3.1093710E+002, 1.7737561E+002, 1.3174889E+002, 1.1453317E+002, 6.9043133E+001, 4.5388667E+001, 2.8448132E+001, 1.0519448E+001, 5.1525169E+000, 5.0154385E+000, 1.8676959E+000, 5.1183931E-001
 1.0200079E+003, 3.1447400E+002, 1.7923801E+002, 1.3294088E+002, 1.1562349E+002, 6.9559463E+001, 4.5555290E+001, 2.8538172E+001, 1.1413892E+001, 5.1531255E+000, 4.3962802E+000, 1.9934777E+000, 5.5364310E-001
 1.0350398E+003, 3.1884659E+002, 1.8094227E+002, 1.3425456E+002, 1.1663732E+002, 7.0095783E+001, 4.5750530E+001, 3.0100391E+001, 1.0555148E+001, 5.3496580E+000, 4.7979234E+000, 1.9559544E+000, 6.8215024E-001
 1.0500446E+003, 3.2174770E+002, 1.8242035E+002, 1.3554415E+002, 1.1778441E+002, 7.0563134E+001, 4.5953623E+001, 2.4427805E+001, 9.6236351E+000, 5.6529842E+000, 4.9950346E+000, 1.7316174E+000, 5.8880326E-001
 1.0650348E+003, 3.2469525E+002, 1.8386163E+002, 1.3691482E+002, 1.1903318E+002, 7.1001410E+001, 4.6111455E+001, 2.6284171E+001, 9.7591479E+000, 5.7315322E+000, 5.4866054E+000, 1.7867475E+000, 4.8954573E-001
 1.0800273E+003, 3.2781392E+002, 1.8553515E+002, 1.3805487E+002, 1.2022617E+002, 7.1495484E+001, 4.6266899E+001, 2.6442145E+001, 1.1494115E+001, 4.8808648E+000, 5.0605072E+000, 1.9379161E+000, 5.3465355E-001
 1.0950589E+003, 3.3077499E+002, 1.8741969E+002, 1.3930867E+002, 1.2131672E+002, 7.2015824E+001, 4.6431512E+001, 2.7965824E+001, 1.1276449E+001, 5.5968677E+000, 4.7858937E+000, 2.0966553E+000, 5.6878362E-001
 1.1100229E+003, 3.3473199E+002, 1.8930176E+002, 1.4050587E+002, 1.2242317E+002, 7.2515401E+001, 4.6631765E+001, 3.0663907E+001, 1.2182107E+001, 5.3276621E+000, 4.8120349E+000, 1.8592729E+000, 7.0460481E-001
 1.1250776E+003, 3.3786318E+002, 1.9077348E+002, 1.4167577E+002, 1.2351191E+002, 7.2987039E+001, 4.6836814E+001, 2.7569029E+001, 9.6013271E+000, 5.5473431E+000, 5.0419861E+000, 1.8885764E+000, 6.0792997E-001
 1.1400416E+003, 3.4041967E+002, 1.9234711E+002, 1.4296548E+002, 1.2465233E+002, 7.3464358E+001, 4.7006692E+001, 2.6333382E+001, 1.1075542E+001, 5.8442752E+000, 5.1295089E+000, 1.8838992E+000, 5.3100746E-001
 1.1550205E+003, 3.4344224E+002, 1.9396892E+002, 1.4415805E+002, 1.2572591E+002, 7.3922957E+001, 4.7167136E+001, 2.6674123E+001, 1.0208501E+001, 5.3112049E+000, 4.8843299E+000, 1.9525467E+000, 5.5194829E-001
 1.1700844E+003, 3.4563072E+002, 1.9542677E+002, 1.4548580E+002, 1.2687188E+002, 7.4381479E+001, 4.7354719E+001, 2.5442597E+001, 1.0653193E+001, 5.8657289E+000, 5.2211512E+000, 1.8102872E+000, 6.5880898E-001
 1.1850195E+003, 3.4808402E+002, 1.9693942E+002, 1.4682427E+002, 1.2792557E+002, 7.4836300E+001, 4.7549377E+001, 2.7202427E+001, 1.1389046E+001, 5.7294868E+000, 5.0305639E+000, 1.8111101E+000, 6.0712949E-001
 1.2000173E+003, 3.5051004E+002, 1.9862423E+002, 1.4801409E+002, 1.2905586E+002, 7.5274088E+001, 4.7725865E+001, 2.5429419E+001, 1.0234925E+001, 5.7202094E+000, 5.5925299E+000, 1.8519800E+000, 5.8157600E-001
 1.2150716E+003, 3.5259863E+002, 2.0012069E+002, 1.4922596E+002, 1.3023724E+002, 7.5738412E+001, 4.7868891E+001, 2.5589750E+001, 1.1226895E+001, 5.4301008E+000, 5.2420286E+000, 1.9777039E+000, 4.9691759E-001
 1.2300805E+003, 3.5507766E+002, 2.0192313E+002, 1.5045255E+002, 1.3122016E+002, 7.6241482E+001, 4.8027748E+001, 2.7960424E+001, 1.2343507E+001, 5.5690387E+000, 4.8420956E+000, 2.0536709E+000, 6.6438366E-001
 1.2450800E+003, 3.5807249E+002, 2.0346936E+002, 1.5150487E+002, 1.3221037E+002, 7.6709203E+001, 4.8243027E+001, 2.8472905E+001, 1.1296001E+001, 5.4778517E+000, 4.6876371E+000, 1.8904057E+000, 7.3864177E-001
 1.2600836E+003, 3.6023426E+002, 2.0505948E+002, 1.5266615E+002, 1.3321705E+002, 7.7163421E+001, 4.8434694E+001, 2.6809794E+001, 1.0749339E+001, 5.8562533E+000, 5.1167754E+000, 1.9189103E+000, 5.9089270E-001
 1.2750067E+003, 3.6228335E+002, 2.0625604E+002, 1.5386448E+002, 1.3422585E+002, 7.7627121E+001, 4.8596068E+001, 2.6051894E+001, 9.8277222E+000, 5.8784312E+000, 5.0195621E+000, 2.0637159E+000, 5.4316895E-001
 1.2900197E+003, 3.6478116E+002, 2.0763770E+002, 1.5505889E+002, 1.3526830E+002, 7.8114635E+001, 4.8754712E+001, 2.8609545E+001, 1.1037366E+001, 5.7460085E+000, 5.1395528E+000, 2.0177701E+000, 5.7709676E-001
 1.3050507E+003, 3.6662615E+002, 2.0903066E+002, 1.5624223E+002, 1.3630162E+002, 7.8576890E+001, 4.8939305E+001, 2.6742323E+001, 1.0624688E+001, 5.8393347E+000, 5.0955777E+000, 1.9085610E+000, 6.4346524E-001
 1.3200293E+003, 3.7001529E+002, 2.1038756E+002, 1.5730412E+002, 1.3727643E+002, 7.9003673E+001, 4.9107359E+001, 3.2080256E+001, 1.1159941E+001, 5.7151601E+000, 5.0678219E+000, 1.8245771E+000, 5.5271001E-001
 1.3350594E+003, 3.7166824E+002, 2.1149229E+002, 1.5853524E+002, 1.3829434E+002, 7.9438439E+001, 4.9266803E+001, 2.4444962E+001, 9.2320057E+000, 6.2272618E+000, 5.2953840E+000, 1.9539511E+000, 5.9630157E-001
 1.3500312E+003, 3.7308607E+002, 2.1270616E+002, 1.5977164E+002, 1.3943217E+002, 7.9919622E+001, 4.9431722E+001, 2.6026331E+001, 1.0970191E+001, 5.9420283E+000, 5.4629399E+000, 2.0876441E+000, 5.7614481E-001
 1.3650434E+003, 3.7505306E+002, 2.1423203E+002, 1.6091994E+002, 1.4043361E+002, 8.0354017E+001, 4.9603459E+001, 2.6329620E+001, 1.1221767E+001, 5.8425001E+000, 5.1906533E+000, 1.8890376E+000, 6.8044437E-001
 1.3800569E+003, 3.7636865E+002, 2.1540304E+002, 1.6201346E+002, 1.4151960E+002, 8.0766141E+001, 4.9803716E+001, 2.5347217E+001, 1.0051577E+001, 5.8212963E+000, 5.6076978E+000, 1.8469771E+000, 7.0643635E-001
 1.3950003E+003, 3.7854501E+002, 2.1633967E+002, 1.6311475E+002, 1.4260995E+002, 8.1185286E+001, 4.9996080E+001, 2.9020505E+001, 9.9967283E+000, 5.8470788E+000, 5.5126377E+000, 1.8794183E+000, 6.4025467E-001
 1.4100552E+003, 3.8039403E+002, 2.1746423E+002, 1.6416139E+002, 1.4359556E+002, 8.1624723E+001, 5.0152500E+001, 2.7211833E+001, 9.7579079E+000, 6.0215001E+000, 5.0797957E+000, 2.0581392E+000, 5.3731604E-001
 1.4250740E+003, 3.8185133E+002, 2.1846205E+002, 1.6532187E+002, 1.4457327E+002, 8.2075281E+001, 5.0303327E+001, 2.5225971E+001, 9.5468408E+000, 6.1212686E+000, 5.3005425E+000, 1.9930865E+000, 6.2014848E-001
 1.4400778E+003, 3.8259406E+002, 2.1946939E+002, 1.6651941E+002, 1.4562009E+002, 8.2475402E+001, 5.0508462E+001, 2.4194860E+001, 9.8718194E+000, 6.1766653E+000, 5.5169492E+000, 1.8087480E+000, 7.3427022E-001
 1.4550832E+003, 3.8467443E+002, 2.2041519E+002, 1.6760140E+002, 1.4660974E+002, 8.2874451E+001, 5.0692131E+001, 2.9698178E+001, 9.7290053E+000, 5.8421501E+000, 5.4321323E+000, 1.8156159E+000, 5.7957164E-001
 1.4700079E+003, 3.8619373E+002, 2.2145427E+002, 1.6865061E+002, 1.4756542E+002, 8.3266616E+001, 5.0845446E+001, 2.5671101E+001, 9.9967659E+000, 6.2418851E+000, 5.4077042E+000, 1.9464459E+000, 5.7215266E-001
 1.4850014E+003, 3.8671692E+002, 2.2252841E+002, 1.6981405E+002, 1.4857737E+002, 8.3712704E+001, 5.1011564E+001, 2.2976423E+001, 1.0560403E+001, 6.3129244E+000, 5.6921891E+000, 2.0510224E+000, 6.3362285E-001
 1.5000517E+003, 3.8745089E+002, 2.2368012E+002, 1.7098379E+002, 1.4960141E+002, 8.4127562E+001, 5.1200061E+001, 2.4594503E+001, 1.0384665E+001, 6.0954778E+000, 5.4701837E+000, 1.9697372E+000, 6.9401514E-001
 1.5150425E+003, 3.8928854E+002, 2.2470568E+002, 1.7201723E+002, 1.5055148E+002, 8.4551274E+001, 5.1381971E+001, 2.9194200E+001, 1.0660372E+001, 5.9827540E+000, 5.3602722E+000, 1.9061872E+000, 6.0347562E-001
 1.5300552E+003, 3.9099118E+002, 2.2563180E+002, 1.7300968E+002, 1.5148741E+002, 8.4929000E+001, 5.1547260E+001, 2.7616386E+001, 9.8111411E+000, 6.2029189E+000, 5.3882144E+000, 1.8941316E+000, 6.3524205E-001
 1.5450841E+003, 3.9191715E+002, 2.2662963E+002, 1.7404384E+002, 1.5250221E+002, 8.5360906E+001, 5.1718818E+001, 2.4853537E+001, 1.0244748E+001, 6.0340263E+000, 5.5562273E+000, 2.1151320E+000, 6.1787243E-001
 1.5600761E+003, 3.9311885E+002, 2.2775574E+002, 1.7510092E+002, 1.5344974E+002, 8.5788571E+001, 5.1875885E+001, 2.7072761E+001, 1.0848470E+001, 6.0874169E+000, 5.4066489E+000, 2.0579543E+000, 6.0363601E-001
