s,C,C,C,kW/m2,kW/m2,kW/m2,null,null,null,null
Time,"Temp_Cable_A_FDS","Temp_Cable_B_FDS","Temp_Cable_C_FDS","Flux_Cable_A_FDS","Flux_Cable_B_FDS","Flux_Cable_C_FDS","Temp_Cabinet_A_FDS","Temp_Cabinet_B_FDS","Flux_Cabinet_A_FDS","Flux_Cabinet_B_FDS"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001,-2.6332443E-004,-2.7935767E-004
 1.5063081E+001, 2.0001911E+001, 1.9999994E+001, 1.9999994E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0000093E+001, 2.0000128E+001, 3.1549147E-004, 3.6604377E-004
 3.0046611E+001, 2.0090781E+001, 1.9999989E+001, 1.9999987E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0001974E+001, 2.0002292E+001, 1.3999735E-003, 1.5822568E-003
 4.5043086E+001, 2.0372423E+001, 2.0000619E+001, 2.0000449E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0007101E+001, 2.0008046E+001, 3.0242394E-003, 3.3391611E-003
 6.0019001E+001, 2.0814488E+001, 2.0007104E+001, 2.0009544E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0016398E+001, 2.0018189E+001, 4.8918409E-003, 5.3684876E-003
 7.5003548E+001, 2.1367943E+001, 2.0018969E+001, 2.0028465E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0030175E+001, 2.0033082E+001, 7.1029124E-003, 7.7757243E-003
 9.0019297E+001, 2.2021711E+001, 2.0038327E+001, 2.0047825E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0052499E+001, 2.0056978E+001, 1.3486579E-002, 1.4558285E-002
 1.0501621E+002, 2.2941564E+001, 2.0078160E+001, 2.0073238E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0094011E+001, 2.0101378E+001, 2.2921194E-002, 2.4797445E-002
 1.2001834E+002, 2.4192016E+001, 2.0136377E+001, 2.0109978E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0160506E+001, 2.0172781E+001, 3.6180694E-002, 3.8793528E-002
 1.3500057E+002, 2.5622518E+001, 2.0205830E+001, 2.0161603E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0257958E+001, 2.0276754E+001, 4.9373950E-002, 5.3582652E-002
 1.5001946E+002, 2.7255026E+001, 2.0272786E+001, 2.0218114E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0385588E+001, 2.0414650E+001, 6.5631704E-002, 7.2263516E-002
 1.6500869E+002, 2.9157268E+001, 2.0359101E+001, 2.0288094E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0555831E+001, 2.0602329E+001, 9.1403266E-002, 1.0272228E-001
 1.8000229E+002, 3.1404929E+001, 2.0459380E+001, 2.0369853E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.0801056E+001, 2.0871897E+001, 1.3508382E-001, 1.4779740E-001
 1.9501294E+002, 3.4421129E+001, 2.0567549E+001, 2.0462068E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.1150923E+001, 2.1246629E+001, 1.8151593E-001, 1.9379128E-001
 2.1002391E+002, 3.8125578E+001, 2.0675112E+001, 2.0545441E+001,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 2.1577854E+001, 2.1702827E+001, 2.2050258E-001, 2.3781086E-001
