s,C,C,C,C
Time,"Max_Temp_ERFBS_FDS","Gas_Temp_FDS","Temp_Wall_FDS","Max_Surf_Temp_ERFBS_FDS"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.5009689E+001, 2.0014465E+001, 2.3750560E+002, 2.6640174E+001, 1.2376664E+002
 3.0021882E+001, 2.0198497E+001, 4.7633517E+002, 4.9461684E+001, 3.2874784E+002
 4.5019945E+001, 2.0469427E+001, 5.1995608E+002, 7.0501768E+001, 4.2629665E+002
 6.0026435E+001, 2.0450372E+001, 4.0313830E+002, 7.7784218E+001, 3.9234133E+002
 7.5024704E+001, 2.0146619E+001, 3.6304961E+002, 7.4661925E+001, 3.5782816E+002
 9.0002944E+001, 2.0004462E+001, 3.2070776E+002, 7.2295883E+001, 3.7288012E+002
 1.0503344E+002, 2.0209757E+001, 3.0502724E+002, 7.1729097E+001, 3.8900673E+002
 1.2003025E+002, 2.1049634E+001, 3.1886799E+002, 7.2452570E+001, 3.6217050E+002
 1.3501201E+002, 2.2274394E+001, 3.1059829E+002, 7.3995361E+001, 3.4482382E+002
 1.5001654E+002, 2.3605772E+001, 2.9493469E+002, 7.5090734E+001, 3.5145105E+002
 1.6500292E+002, 2.4628526E+001, 2.9567383E+002, 7.4914670E+001, 3.1531591E+002
 1.8000247E+002, 2.5288688E+001, 2.8665426E+002, 7.5569599E+001, 3.1642266E+002
 1.9500532E+002, 2.5725018E+001, 2.8517141E+002, 7.6725966E+001, 3.1852187E+002
 2.1003178E+002, 2.6042184E+001, 2.8830849E+002, 7.6875399E+001, 3.2096368E+002
 2.2500653E+002, 2.6253071E+001, 2.6939197E+002, 7.7351645E+001, 3.0089676E+002
 2.4000145E+002, 2.6597585E+001, 2.5832121E+002, 7.7596018E+001, 2.9546676E+002
 2.5500162E+002, 2.7211941E+001, 2.5360300E+002, 7.7366927E+001, 2.7712059E+002
 2.7000764E+002, 2.7782859E+001, 2.3494198E+002, 7.6345903E+001, 2.4513390E+002
 2.8500225E+002, 2.8190905E+001, 2.6358547E+002, 7.6976050E+001, 2.6121120E+002
 3.0000542E+002, 2.8692630E+001, 3.0070443E+002, 8.1411196E+001, 3.1054884E+002
 3.1501344E+002, 2.9566747E+001, 2.9273283E+002, 8.2666966E+001, 3.1708760E+002
 3.3000463E+002, 3.0318354E+001, 2.8456587E+002, 8.3427902E+001, 2.9136620E+002
 3.4500218E+002, 3.0925620E+001, 3.0747592E+002, 8.5413720E+001, 3.0281254E+002
 3.6001259E+002, 3.1845875E+001, 2.7888380E+002, 8.5738288E+001, 2.8332676E+002
 3.7501309E+002, 3.2587459E+001, 3.0692725E+002, 8.6929131E+001, 3.1103847E+002
 3.9000790E+002, 3.3080892E+001, 2.8582072E+002, 8.8795050E+001, 3.1309105E+002
 4.0500281E+002, 3.3559775E+001, 2.7804499E+002, 8.9503795E+001, 2.9549704E+002
 4.2000221E+002, 3.3622939E+001, 3.2900861E+002, 9.2174537E+001, 3.2405468E+002
 4.3500811E+002, 3.3769345E+001, 2.9625283E+002, 9.4255512E+001, 3.2485808E+002
 4.5001653E+002, 3.4057737E+001, 3.0121483E+002, 9.4879170E+001, 3.2487780E+002
 4.6501475E+002, 3.4563836E+001, 2.9543671E+002, 9.5651675E+001, 3.3946976E+002
 4.8000623E+002, 3.5032101E+001, 3.1897598E+002, 9.7137140E+001, 3.4640631E+002
 4.9500810E+002, 3.5535625E+001, 2.8188377E+002, 9.6811312E+001, 3.1931426E+002
 5.1000126E+002, 3.5948454E+001, 2.7088550E+002, 9.6164109E+001, 2.9824958E+002
 5.2500526E+002, 3.6250509E+001, 3.1232443E+002, 9.7385684E+001, 3.1858357E+002
 5.4001364E+002, 3.6496987E+001, 2.7489885E+002, 9.9095726E+001, 3.0612590E+002
 5.5501179E+002, 3.6590953E+001, 2.8236041E+002, 9.8956898E+001, 3.1110137E+002
 5.7000146E+002, 3.6907310E+001, 3.0191428E+002, 1.0064161E+002, 3.2454193E+002
 5.8501467E+002, 3.7360734E+001, 2.8497332E+002, 1.0102638E+002, 3.0569798E+002
 6.0000088E+002, 3.7766150E+001, 3.0008183E+002, 1.0267556E+002, 3.1008010E+002
 6.1500460E+002, 3.7914726E+001, 4.0017566E+002, 1.0875546E+002, 3.9190649E+002
 6.3000096E+002, 3.7881360E+001, 3.9801293E+002, 1.1653159E+002, 4.5269716E+002
 6.4500104E+002, 3.7872790E+001, 3.7933435E+002, 1.1920363E+002, 4.2807670E+002
 6.6000763E+002, 3.7932088E+001, 3.9094749E+002, 1.2340202E+002, 4.6139698E+002
