s,null,C,null,null,m,null,%/m,%/m,%/m,%/m,null,null,null,null,null
Time,"HGL_Temp_RoO_FDS","HGL_Temp_Cor_FDS","HGL_Temp_Cab_FDS","HGL_Height_RoO_FDS","HGL_Height_Cor_FDS","HGL_Height_Cab_FDS","Smoke1_FDS","Smoke2_FDS","Smoke3_FDS","Smoke4_FDS","Smoke5_FDS","Smoke6_FDS","Smoke7_FDS","Smoke8_FDS","Smoke9_FDS"
 0.0000000E+000, 1.9999994E+001, 1.9999994E+001, 1.9999994E+001, 6.0999999E+000, 6.0999999E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5031229E+001, 2.0000540E+001, 1.9999936E+001, 2.0002298E+001, 6.0999999E+000, 6.0999999E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0056947E+001, 2.0002562E+001, 2.0000007E+001, 2.0024423E+001, 6.0999999E+000, 6.0999999E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3822144E+000
 4.5033359E+001, 2.0786755E+001, 2.0000102E+001, 2.0027850E+001, 6.0193874E+000, 6.0999999E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8146583E+000
 6.0036245E+001, 2.7685590E+001, 2.0000040E+001, 2.0033230E+001, 5.5251951E+000, 6.0999999E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3772506E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3981178E+001
 7.5013749E+001, 2.9245778E+001, 2.0000268E+001, 2.0034542E+001, 5.2321495E+000, 6.0999999E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1808764E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9576051E+001
 9.0019271E+001, 3.3180760E+001, 2.0000320E+001, 2.0035580E+001, 5.1452119E+000, 6.0999999E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1084905E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7695247E+001
 1.0502652E+002, 3.6609268E+001, 2.0000029E+001, 2.0036000E+001, 5.0621380E+000, 6.0999999E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9814987E-001, 1.1834200E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3315399E+001
 1.2000376E+002, 3.9706076E+001, 1.9999924E+001, 2.0034707E+001, 4.9866024E+000, 6.0999999E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3492463E+000, 1.7394639E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9567753E+001
 1.3500189E+002, 4.2675141E+001, 2.0000211E+001, 2.0035302E+001, 4.8723509E+000, 6.0999999E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6704594E+001, 2.2227796E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6048289E+001
 1.5002423E+002, 4.5235518E+001, 2.0025212E+001, 2.0033004E+001, 4.8197876E+000, 6.0904939E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 2.5969819E+000, 2.3221487E+001, 2.8699721E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0570900E+001
 1.6501174E+002, 4.8147907E+001, 2.5825192E+001, 2.0034984E+001, 4.7746581E+000, 3.9136018E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 1.9276457E+001, 2.8530389E+001, 3.3176029E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6518394E+001
 1.8000383E+002, 5.1207883E+001, 2.7548623E+001, 2.0035474E+001, 4.7606606E+000, 4.4556325E+000, 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 2.5745296E+001, 3.4281284E+001, 3.6936463E+001, 0.0000000E+000, 4.6420553E-007, 0.0000000E+000, 6.3163290E+001
 1.9500341E+002, 5.3857518E+001, 2.8826033E+001, 2.0036660E+001, 4.7377241E+000, 4.2799848E+000, 6.0999999E+000, 0.0000000E+000, 1.4804786E+001, 3.1873955E+001, 3.8375651E+001, 4.1622527E+001, 0.0000000E+000, 5.2299068E+000, 0.0000000E+000, 6.6934190E+001
 2.1001389E+002, 5.7801051E+001, 3.0563611E+001, 2.0033205E+001, 4.6178223E+000, 4.3995619E+000, 6.0999999E+000, 0.0000000E+000, 2.7219084E+001, 3.5156785E+001, 4.1987350E+001, 4.4394073E+001, 0.0000000E+000, 1.2084071E+001, 0.0000000E+000, 6.9095115E+001
