Temperature (C),HRR (W/g)
99.935,-1.928
99.96,-3.2455
99.901,-4.7963
99.877,-6.1517
99.868,-7.0395
99.801,-7.4831
99.801,-8.0461
99.76,-8.5112
99.766,-8.6313
99.769,-8.7884
99.81,-9.0793
99.805,-8.4392
99.817,-7.8014
99.862,-6.8154
99.925,-5.6478
99.961,-4.7276
99.993,-3.9903
100.06,-3.2737
100.12,-3.01
100.21,-2.515
100.32,-2.1573
100.38,-2.1917
100.49,-2.0131
100.62,-1.9428
100.68,-1.8611
100.79,-1.7955
100.95,-1.5152
101.07,-1.5506
101.2,-1.7725
101.36,-1.57
101.51,-1.3002
101.66,-1.2555
101.82,-1.3681
101.96,-1.3811
102.15,-1.2492
102.35,-1.1155
102.55,-1.2088
102.74,-1.298
102.89,-1.2844
103.11,-1.283
103.31,-1.4124
103.52,-1.17
103.76,-1.1391
103.89,-1.2401
104.2,-1.3029
104.39,-1.4209
104.64,-1.1403
104.87,-1.3233
105.09,-1.1421
105.36,-1.127
105.6,-1.3023
105.85,-0.91468
106.11,-0.87023
106.4,-0.73758
106.64,-0.57987
106.91,-0.63083
107.19,-0.68394
107.5,-0.60464
107.75,-0.63291
108.06,-0.47572
108.35,-0.52596
108.62,-0.31199
108.97,-0.093644
109.27,-0.059084
109.57,0.016346
109.89,-0.017615
110.24,-0.0081645
110.54,-0.17176
110.86,-0.21572
111.21,-0.065245
111.52,-0.39192
111.83,-0.3208
112.24,-0.40174
112.57,-0.26079
112.92,-0.29558
113.3,-0.052648
113.63,0.13398
113.98,0.21947
114.35,0.21834
114.73,0.46718
115.11,0.35795
115.46,0.35819
115.85,0.47781
116.23,0.41944
116.6,0.47445
116.97,0.5734
117.36,0.53683
117.72,0.458
118.17,0.62434
118.54,0.52527
118.93,0.43183
119.35,0.50367
119.75,0.6449
120.15,0.35524
120.54,0.41669
120.99,0.22203
121.4,0.52794
121.82,0.44793
122.26,0.46843
122.69,0.33201
123.09,0.51533
123.54,0.14145
123.95,0.19046
124.39,0.26102
124.8,0.22206
125.24,0.24147
125.68,0.24396
126.13,0.5141
126.55,0.2351
126.98,0.083612
127.44,0.073735
127.88,-0.073859
128.32,0.18253
128.74,0.21237
129.25,0.10916
129.71,0.10435
130.1,0.5098
130.61,0.49762
131.05,0.61402
131.54,0.44232
131.96,0.22525
132.51,0.18044
132.87,0.11452
133.38,0.19051
133.84,0.044328
134.32,0.32284
134.83,0.22288
135.3,0.37754
135.74,0.73306
136.19,0.41823
136.73,0.42846
137.19,0.60045
137.68,0.52783
138.16,0.49341
138.65,0.58486
139.1,0.33385
139.59,0.08928
140.09,0.2274
140.59,0.096612
141.04,0.18882
141.55,0.55166
142.03,0.30631
142.52,0.15758
143,0.18218
143.53,0.25856
144.01,-0.029747
144.5,0.26357
145,0.10956
145.51,0.23351
145.97,0.3634
