s,C,g/g,g/g,g/g,g/g,g/g,1/s,1/s,1/s,1/s,1/s,W/g,W/g,W/g
Time,Temp,Total Mass,dry wood Mass,char Mass,water Mass,ash Mass,Total MLR,dry wood MLR,char MLR,water MLR,ash MLR,MCC,DSC,STA
 9.9999998E-003, 2.0000834E+001, 9.9999970E-001, 8.9999998E-001, 0.0000000E+000, 9.9999696E-002, 0.0000000E+000, 3.0502872E-005, 0.0000000E+000, 0.0000000E+000, 3.0502872E-005, 0.0000000E+000, 0.0000000E+000, 3.3669153E-001, 3.3669165E-001
 1.2000000E+001, 2.1000000E+001, 9.9962682E-001, 8.9999998E-001, 0.0000000E+000, 9.9626839E-002, 0.0000000E+000, 3.1695799E-005, 0.0000000E+000, 0.0000000E+000, 3.1695799E-005, 0.0000000E+000, 0.0000000E+000, 1.9476922E-001, 1.9484192E-001
 2.4000000E+001, 2.2000000E+001, 9.9923915E-001, 8.9999998E-001, 0.0000000E+000, 9.9239163E-002, 0.0000000E+000, 3.2921896E-005, 0.0000000E+000, 0.0000000E+000, 3.2921896E-005, 0.0000000E+000, 0.0000000E+000, 1.9784696E-001, 1.9799760E-001
 3.6000000E+001, 2.3000000E+001, 9.9883658E-001, 8.9999998E-001, 0.0000000E+000, 9.8836571E-002, 0.0000000E+000, 3.4180084E-005, 0.0000000E+000, 0.0000000E+000, 3.4180084E-005, 0.0000000E+000, 0.0000000E+000, 2.0099980E-001, 2.0123391E-001
 4.8000000E+001, 2.4000000E+001, 9.9841869E-001, 8.9999998E-001, 0.0000000E+000, 9.8418698E-002, 0.0000000E+000, 3.5470330E-005, 0.0000000E+000, 0.0000000E+000, 3.5470330E-005, 0.0000000E+000, 0.0000000E+000, 2.0422722E-001, 2.0455068E-001
 6.0000000E+001, 2.5000000E+001, 9.9798512E-001, 8.9999998E-001, 0.0000000E+000, 9.7985148E-002, 0.0000000E+000, 3.6792539E-005, 0.0000000E+000, 0.0000000E+000, 3.6792539E-005, 0.0000000E+000, 0.0000000E+000, 2.0752868E-001, 2.0794766E-001
 7.2000000E+001, 2.6000000E+001, 9.9753553E-001, 8.9999998E-001, 0.0000000E+000, 9.7535536E-002, 0.0000000E+000, 3.8146543E-005, 0.0000000E+000, 0.0000000E+000, 3.8146543E-005, 0.0000000E+000, 0.0000000E+000, 2.1090333E-001, 2.1142438E-001
 8.4000000E+001, 2.7000000E+001, 9.9706948E-001, 8.9999998E-001, 0.0000000E+000, 9.7069487E-002, 0.0000000E+000, 3.9532108E-005, 0.0000000E+000, 0.0000000E+000, 3.9532108E-005, 0.0000000E+000, 0.0000000E+000, 2.1435019E-001, 2.1498020E-001
 9.6000000E+001, 2.8000000E+001, 9.9658662E-001, 8.9999998E-001, 0.0000000E+000, 9.6586630E-002, 0.0000000E+000, 4.0948918E-005, 0.0000000E+000, 0.0000000E+000, 4.0948918E-005, 0.0000000E+000, 0.0000000E+000, 2.1786812E-001, 2.1861434E-001
 1.0800000E+002, 2.9000000E+001, 9.9608660E-001, 8.9999998E-001, 0.0000000E+000, 9.6086577E-002, 0.0000000E+000, 4.2396576E-005, 0.0000000E+000, 0.0000000E+000, 4.2396576E-005, 0.0000000E+000, 0.0000000E+000, 2.2145568E-001, 2.2232573E-001
 1.2000000E+002, 3.0000000E+001, 9.9556899E-001, 8.9999998E-001, 0.0000000E+000, 9.5568970E-002, 0.0000000E+000, 4.3874606E-005, 0.0000000E+000, 0.0000000E+000, 4.3874606E-005, 0.0000000E+000, 0.0000000E+000, 2.2511125E-001, 2.2611316E-001
 1.3200000E+002, 3.1000000E+001, 9.9503344E-001, 8.9999998E-001, 0.0000000E+000, 9.5033452E-002, 0.0000000E+000, 4.5382432E-005, 0.0000000E+000, 0.0000000E+000, 4.5382432E-005, 0.0000000E+000, 0.0000000E+000, 2.2883296E-001, 2.2997515E-001
 1.4400000E+002, 3.2000000E+001, 9.9447966E-001, 8.9999998E-001, 0.0000000E+000, 9.4479665E-002, 0.0000000E+000, 4.6919387E-005, 0.0000000E+000, 0.0000000E+000, 4.6919387E-005, 0.0000000E+000, 0.0000000E+000, 2.3261873E-001, 2.3390999E-001
 1.5600000E+002, 3.3000000E+001, 9.9390727E-001, 8.9999998E-001, 0.0000000E+000, 9.3907259E-002, 0.0000000E+000, 4.8484719E-005, 0.0000000E+000, 0.0000000E+000, 4.8484719E-005, 0.0000000E+000, 0.0000000E+000, 2.3646624E-001, 2.3791580E-001
 1.6800000E+002, 3.4000000E+001, 9.9331588E-001, 8.9999998E-001, 0.0000000E+000, 9.3315907E-002, 0.0000000E+000, 5.0077553E-005, 0.0000000E+000, 0.0000000E+000, 5.0077553E-005, 0.0000000E+000, 0.0000000E+000, 2.4037290E-001, 2.4199037E-001
 1.8000000E+002, 3.5000000E+001, 9.9270529E-001, 8.9999998E-001, 0.0000000E+000, 9.2705272E-002, 0.0000000E+000, 5.1696919E-005, 0.0000000E+000, 0.0000000E+000, 5.1696919E-005, 0.0000000E+000, 0.0000000E+000, 2.4433568E-001, 2.4613114E-001
 1.9200000E+002, 3.6000000E+001, 9.9207509E-001, 8.9999998E-001, 0.0000000E+000, 9.2075057E-002, 0.0000000E+000, 5.3341737E-005, 0.0000000E+000, 0.0000000E+000, 5.3341737E-005, 0.0000000E+000, 0.0000000E+000, 2.4835162E-001, 2.5033551E-001
 2.0400000E+002, 3.7000000E+001, 9.9142498E-001, 8.9999998E-001, 0.0000000E+000, 9.1424957E-002, 0.0000000E+000, 5.5010813E-005, 0.0000000E+000, 0.0000000E+000, 5.5010813E-005, 0.0000000E+000, 0.0000000E+000, 2.5241715E-001, 2.5460038E-001
 2.1600000E+002, 3.8000000E+001, 9.9075466E-001, 8.9999998E-001, 0.0000000E+000, 9.0754688E-002, 0.0000000E+000, 5.6702826E-005, 0.0000000E+000, 0.0000000E+000, 5.6702826E-005, 0.0000000E+000, 0.0000000E+000, 2.5652859E-001, 2.5892240E-001
 2.2800000E+002, 3.9000000E+001, 9.9006397E-001, 8.9999998E-001, 0.0000000E+000, 9.0063989E-002, 0.0000000E+000, 5.8416343E-005, 0.0000000E+000, 0.0000000E+000, 5.8416343E-005, 0.0000000E+000, 0.0000000E+000, 2.6068181E-001, 2.6329795E-001
 2.4000000E+002, 4.0000000E+001, 9.8935258E-001, 8.9999998E-001, 0.0000000E+000, 8.9352600E-002, 0.0000000E+000, 6.0149800E-005, 0.0000000E+000, 0.0000000E+000, 6.0149800E-005, 0.0000000E+000, 0.0000000E+000, 2.6487258E-001, 2.6772314E-001
 2.5200000E+002, 4.1000000E+001, 9.8862028E-001, 8.9999998E-001, 0.0000000E+000, 8.8620305E-002, 0.0000000E+000, 6.1901512E-005, 0.0000000E+000, 0.0000000E+000, 6.1901512E-005, 0.0000000E+000, 0.0000000E+000, 2.6909620E-001, 2.7219367E-001
 2.6400000E+002, 4.2000000E+001, 9.8786688E-001, 8.9999998E-001, 0.0000000E+000, 8.7866880E-002, 0.0000000E+000, 6.3669650E-005, 0.0000000E+000, 0.0000000E+000, 6.3669650E-005, 0.0000000E+000, 0.0000000E+000, 2.7334756E-001, 2.7670485E-001
 2.7600000E+002, 4.3000000E+001, 9.8709214E-001, 8.9999998E-001, 0.0000000E+000, 8.7092154E-002, 0.0000000E+000, 6.5452266E-005, 0.0000000E+000, 0.0000000E+000, 6.5452266E-005, 0.0000000E+000, 0.0000000E+000, 2.7762142E-001, 2.8125179E-001
 2.8800000E+002, 4.4000000E+001, 9.8629594E-001, 8.9999998E-001, 0.0000000E+000, 8.6295962E-002, 0.0000000E+000, 6.7247267E-005, 0.0000000E+000, 0.0000000E+000, 6.7247267E-005, 0.0000000E+000, 0.0000000E+000, 2.8191215E-001, 2.8582916E-001
 3.0000000E+002, 4.5000000E+001, 9.8547816E-001, 8.9999998E-001, 0.0000000E+000, 8.5478164E-002, 0.0000000E+000, 6.9052425E-005, 0.0000000E+000, 0.0000000E+000, 6.9052425E-005, 0.0000000E+000, 0.0000000E+000, 2.8621373E-001, 2.9043132E-001
 3.1200000E+002, 4.6000000E+001, 9.8463863E-001, 8.9999998E-001, 0.0000000E+000, 8.4638655E-002, 0.0000000E+000, 7.0865375E-005, 0.0000000E+000, 0.0000000E+000, 7.0865375E-005, 0.0000000E+000, 0.0000000E+000, 2.9051989E-001, 2.9505229E-001
 3.2400000E+002, 4.7000000E+001, 9.8377734E-001, 8.9999998E-001, 0.0000000E+000, 8.3777353E-002, 0.0000000E+000, 7.2683608E-005, 0.0000000E+000, 0.0000000E+000, 7.2683608E-005, 0.0000000E+000, 0.0000000E+000, 2.9482394E-001, 2.9968563E-001
 3.3600000E+002, 4.8000000E+001, 9.8289424E-001, 8.9999998E-001, 0.0000000E+000, 8.2894221E-002, 0.0000000E+000, 7.4504482E-005, 0.0000000E+000, 0.0000000E+000, 7.4504482E-005, 0.0000000E+000, 0.0000000E+000, 2.9911882E-001, 3.0432454E-001
 3.4800000E+002, 4.9000000E+001, 9.8198920E-001, 8.9999998E-001, 0.0000000E+000, 8.1989229E-002, 0.0000000E+000, 7.6325210E-005, 0.0000000E+000, 0.0000000E+000, 7.6325210E-005, 0.0000000E+000, 0.0000000E+000, 3.0339739E-001, 3.0896205E-001
 3.6000000E+002, 5.0000000E+001, 9.8106241E-001, 8.9999998E-001, 0.0000000E+000, 8.1062406E-002, 0.0000000E+000, 7.8142868E-005, 0.0000000E+000, 0.0000000E+000, 7.8142868E-005, 0.0000000E+000, 0.0000000E+000, 3.0765191E-001, 3.1359056E-001
 3.7200000E+002, 5.1000000E+001, 9.8011380E-001, 8.9999998E-001, 0.0000000E+000, 8.0113806E-002, 0.0000000E+000, 7.9954400E-005, 0.0000000E+000, 0.0000000E+000, 7.9954400E-005, 0.0000000E+000, 0.0000000E+000, 3.1187436E-001, 3.1820220E-001
 3.8400000E+002, 5.2000000E+001, 9.7914350E-001, 8.9999998E-001, 0.0000000E+000, 7.9143517E-002, 0.0000000E+000, 8.1756596E-005, 0.0000000E+000, 0.0000000E+000, 8.1756596E-005, 0.0000000E+000, 0.0000000E+000, 3.1605658E-001, 3.2278883E-001
 3.9600000E+002, 5.3000000E+001, 9.7815168E-001, 8.9999998E-001, 0.0000000E+000, 7.8151681E-002, 0.0000000E+000, 8.3546147E-005, 0.0000000E+000, 0.0000000E+000, 8.3546147E-005, 0.0000000E+000, 0.0000000E+000, 3.2018992E-001, 3.2734179E-001
 4.0800000E+002, 5.4000000E+001, 9.7713846E-001, 8.9999998E-001, 0.0000000E+000, 7.7138461E-002, 0.0000000E+000, 8.5319589E-005, 0.0000000E+000, 0.0000000E+000, 8.5319589E-005, 0.0000000E+000, 0.0000000E+000, 3.2426569E-001, 3.3185235E-001
 4.2000000E+002, 5.5000000E+001, 9.7610408E-001, 8.9999998E-001, 0.0000000E+000, 7.6104075E-002, 0.0000000E+000, 8.7073349E-005, 0.0000000E+000, 0.0000000E+000, 8.7073349E-005, 0.0000000E+000, 0.0000000E+000, 3.2827455E-001, 3.3631098E-001
 4.3200000E+002, 5.6000000E+001, 9.7504878E-001, 8.9999998E-001, 0.0000000E+000, 7.5048774E-002, 0.0000000E+000, 8.8803732E-005, 0.0000000E+000, 0.0000000E+000, 8.8803732E-005, 0.0000000E+000, 0.0000000E+000, 3.3220723E-001, 3.4070832E-001
 4.4400000E+002, 5.7000000E+001, 9.7397286E-001, 8.9999998E-001, 0.0000000E+000, 7.3972873E-002, 0.0000000E+000, 9.0506932E-005, 0.0000000E+000, 0.0000000E+000, 9.0506932E-005, 0.0000000E+000, 0.0000000E+000, 3.3605418E-001, 3.4503445E-001
 4.5600000E+002, 5.8000000E+001, 9.7287673E-001, 8.9999998E-001, 0.0000000E+000, 7.2876714E-002, 0.0000000E+000, 9.2179042E-005, 0.0000000E+000, 0.0000000E+000, 9.2179042E-005, 0.0000000E+000, 0.0000000E+000, 3.3980539E-001, 3.4927899E-001
 4.6800000E+002, 5.9000000E+001, 9.7176069E-001, 8.9999998E-001, 0.0000000E+000, 7.1760699E-002, 0.0000000E+000, 9.3816059E-005, 0.0000000E+000, 0.0000000E+000, 9.3816059E-005, 0.0000000E+000, 0.0000000E+000, 3.4345099E-001, 3.5343164E-001
 4.8000000E+002, 6.0000000E+001, 9.7062528E-001, 8.9999998E-001, 0.0000000E+000, 7.0625268E-002, 0.0000000E+000, 9.5413903E-005, 0.0000000E+000, 0.0000000E+000, 9.5413903E-005, 0.0000000E+000, 0.0000000E+000, 3.4698069E-001, 3.5748160E-001
 4.9200000E+002, 6.1000000E+001, 9.6947092E-001, 8.9999998E-001, 0.0000000E+000, 6.9470927E-002, 0.0000000E+000, 9.6968412E-005, 0.0000000E+000, 0.0000000E+000, 9.6968412E-005, 0.0000000E+000, 0.0000000E+000, 3.5038421E-001, 3.6141795E-001
 5.0400000E+002, 6.2000000E+001, 9.6829820E-001, 8.9999998E-001, 0.0000000E+000, 6.8298206E-002, 0.0000000E+000, 9.8475357E-005, 0.0000000E+000, 0.0000000E+000, 9.8475357E-005, 0.0000000E+000, 0.0000000E+000, 3.5365105E-001, 3.6522949E-001
 5.1600000E+002, 6.3000000E+001, 9.6710771E-001, 8.9999998E-001, 0.0000000E+000, 6.7107707E-002, 0.0000000E+000, 9.9930476E-005, 0.0000000E+000, 0.0000000E+000, 9.9930476E-005, 0.0000000E+000, 0.0000000E+000, 3.5677078E-001, 3.6890492E-001
 5.2800000E+002, 6.4000000E+001, 9.6590006E-001, 8.9999998E-001, 0.0000000E+000, 6.5900080E-002, 0.0000000E+000, 1.0132945E-004, 0.0000000E+000, 0.0000000E+000, 1.0132945E-004, 0.0000000E+000, 0.0000000E+000, 3.5973284E-001, 3.7243274E-001
 5.4000000E+002, 6.5000000E+001, 9.6467602E-001, 8.9999998E-001, 0.0000000E+000, 6.4676031E-002, 0.0000000E+000, 1.0266795E-004, 0.0000000E+000, 0.0000000E+000, 1.0266795E-004, 0.0000000E+000, 0.0000000E+000, 3.6252666E-001, 3.7580144E-001
 5.5200000E+002, 6.6000000E+001, 9.6343631E-001, 8.9999998E-001, 0.0000000E+000, 6.3436300E-002, 0.0000000E+000, 1.0394164E-004, 0.0000000E+000, 0.0000000E+000, 1.0394164E-004, 0.0000000E+000, 0.0000000E+000, 3.6514175E-001, 3.7899938E-001
 5.6400000E+002, 6.7000000E+001, 9.6218169E-001, 8.9999998E-001, 0.0000000E+000, 6.2181696E-002, 0.0000000E+000, 1.0514619E-004, 0.0000000E+000, 0.0000000E+000, 1.0514619E-004, 0.0000000E+000, 0.0000000E+000, 3.6756769E-001, 3.8201484E-001
 5.7600000E+002, 6.8000000E+001, 9.6091306E-001, 8.9999998E-001, 0.0000000E+000, 6.0913071E-002, 0.0000000E+000, 1.0627733E-004, 0.0000000E+000, 0.0000000E+000, 1.0627733E-004, 0.0000000E+000, 0.0000000E+000, 3.6979425E-001, 3.8483632E-001
 5.8800000E+002, 6.9000000E+001, 9.5963132E-001, 8.9999998E-001, 0.0000000E+000, 5.9631336E-002, 0.0000000E+000, 1.0733079E-004, 0.0000000E+000, 0.0000000E+000, 1.0733079E-004, 0.0000000E+000, 0.0000000E+000, 3.7181133E-001, 3.8745224E-001
 6.0000000E+002, 7.0000000E+001, 9.5833743E-001, 8.9999998E-001, 0.0000000E+000, 5.8337450E-002, 0.0000000E+000, 1.0830240E-004, 0.0000000E+000, 0.0000000E+000, 1.0830240E-004, 0.0000000E+000, 0.0000000E+000, 3.7360901E-001, 3.8985121E-001
 6.1200000E+002, 7.1000000E+001, 9.5703244E-001, 8.9999998E-001, 0.0000000E+000, 5.7032414E-002, 0.0000000E+000, 1.0918805E-004, 0.0000000E+000, 0.0000000E+000, 1.0918805E-004, 0.0000000E+000, 0.0000000E+000, 3.7517768E-001, 3.9202192E-001
 6.2400000E+002, 7.2000000E+001, 9.5571727E-001, 8.9999998E-001, 0.0000000E+000, 5.5717289E-002, 0.0000000E+000, 1.0998378E-004, 0.0000000E+000, 0.0000000E+000, 1.0998378E-004, 0.0000000E+000, 0.0000000E+000, 3.7650818E-001, 3.9395350E-001
 6.3600000E+002, 7.3000000E+001, 9.5439315E-001, 8.9999998E-001, 0.0000000E+000, 5.4393172E-002, 0.0000000E+000, 1.1068573E-004, 0.0000000E+000, 0.0000000E+000, 1.1068573E-004, 0.0000000E+000, 0.0000000E+000, 3.7759158E-001, 3.9563525E-001
 6.4800000E+002, 7.4000000E+001, 9.5306122E-001, 8.9999998E-001, 9.0177328E-019, 5.3061213E-002, 0.0000000E+000, 1.1129020E-004, 8.7231159E-019,-3.4892466E-019, 1.1129020E-004, 0.0000000E+000, 7.8447169E-015, 3.7841952E-001, 3.9705688E-001
 6.6000000E+002, 7.5000000E+001, 9.5172262E-001, 8.9999998E-001, 5.6882481E-018, 5.1722605E-002, 0.0000000E+000, 1.1179366E-004, 1.1329281E-018,-4.5317121E-019, 1.1179366E-004, 0.0000000E+000, 1.0188445E-014, 3.7898403E-001, 3.9820850E-001
 6.7200000E+002, 7.6000000E+001, 9.5037860E-001, 8.9999998E-001, 1.1899891E-017, 5.0378580E-002, 0.0000000E+000, 1.1219279E-004, 1.4692059E-018,-5.8768236E-019, 1.1219279E-004, 0.0000000E+000, 1.3212599E-014, 3.7927768E-001, 3.9908063E-001
 6.8400000E+002, 7.7000000E+001, 9.4903040E-001, 8.9999998E-001, 1.9949037E-017, 4.9030405E-002, 0.0000000E+000, 1.1248449E-004, 1.9024720E-018,-7.6098879E-019, 1.1248449E-004, 0.0000000E+000, 1.7108971E-014, 3.7929389E-001, 3.9966464E-001
 6.9600000E+002, 7.8000000E+001, 9.4767940E-001, 8.9999998E-001, 3.0363845E-017, 4.7679391E-002, 0.0000000E+000, 1.1266590E-004, 2.4598842E-018,-9.8395367E-019, 1.1266590E-004, 0.0000000E+000, 2.2121790E-014, 3.7902644E-001, 3.9995217E-001
 7.0800000E+002, 7.9000000E+001, 9.4632685E-001, 8.9999998E-001, 4.3819866E-017, 4.6326876E-002, 0.0000000E+000, 1.1273441E-004, 3.1759763E-018,-1.2703905E-018, 1.1273441E-004, 0.0000000E+000, 2.8561619E-014, 3.7846997E-001, 3.9993575E-001
 7.2000000E+002, 8.0000000E+001, 9.4497424E-001, 8.9999998E-001, 6.1179913E-017, 4.4974227E-002, 0.0000000E+000, 1.1268774E-004, 4.0945995E-018,-1.6378398E-018, 1.1268774E-004, 0.0000000E+000, 3.6822819E-014, 3.7761977E-001, 3.9960855E-001
