Time (s),Dia (mu-m) First-order 500 K,Dia (mu-m) Spherical 500 K
0.0000,5.0000,5.0000
0.1000,4.1063,2.0463
0.2000,3.3723,0.0000
0.3000,2.7696,0.0000
0.4000,2.2745,0.0000
0.5000,1.8680,0.0000
0.6000,1.5341,0.0000
0.7000,1.2599,0.0000
0.8000,1.0347,0.0000
0.9000,0.8498,0.0000
1.0000,0.6979,0.0000
1.1000,0.5731,0.0000
1.2000,0.4707,0.0000
1.3000,0.3866,0.0000
1.4000,0.3175,0.0000
1.5000,0.2607,0.0000
1.6000,0.2141,0.0000
1.7000,0.1758,0.0000
1.8000,0.1444,0.0000
1.9000,0.1186,0.0000
2.0000,0.0974,0.0000
2.1000,0.0800,0.0000
2.2000,0.0657,0.0000
2.3000,0.0540,0.0000
2.4000,0.0443,0.0000
2.5000,0.0364,0.0000
2.6000,0.0299,0.0000
2.7000,0.0245,0.0000
2.8000,0.0202,0.0000
2.9000,0.0166,0.0000
3.0000,0.0136,0.0000
3.1000,0.0112,0.0000
3.2000,0.0092,0.0000
3.3000,0.0075,0.0000
3.4000,0.0062,0.0000
3.5000,0.0051,0.0000
3.6000,0.0042,0.0000
3.7000,0.0034,0.0000
3.8000,0.0028,0.0000
3.9000,0.0023,0.0000
4.0000,0.0019,0.0000
4.1000,0.0016,0.0000
4.2000,0.0013,0.0000
4.3000,0.0011,0.0000
4.4000,0.0009,0.0000
4.5000,0.0007,0.0000
4.6000,0.0006,0.0000
4.7000,0.0005,0.0000
4.8000,0.0004,0.0000
4.9000,0.0003,0.0000
5.0000,0.0003,0.0000
5.1000,0.0002,0.0000
5.2000,0.0002,0.0000
5.3000,0.0001,0.0000
5.4000,0.0001,0.0000
5.5000,0.0001,0.0000
5.6000,0.0001,0.0000
5.7000,0.0001,0.0000
5.8000,0.0001,0.0000
5.9000,0.0000,0.0000
6.0000,0.0000,0.0000
6.1000,0.0000,0.0000
6.2000,0.0000,0.0000
6.3000,0.0000,0.0000
6.4000,0.0000,0.0000
6.5000,0.0000,0.0000
6.6000,0.0000,0.0000
6.7000,0.0000,0.0000
6.8000,0.0000,0.0000
6.9000,0.0000,0.0000
7.0000,0.0000,0.0000
7.1000,0.0000,0.0000
7.2000,0.0000,0.0000
7.3000,0.0000,0.0000
7.4000,0.0000,0.0000
7.5000,0.0000,0.0000
7.6000,0.0000,0.0000
7.7000,0.0000,0.0000
7.8000,0.0000,0.0000
7.9000,0.0000,0.0000
8.0000,0.0000,0.0000
8.1000,0.0000,0.0000
8.2000,0.0000,0.0000
8.3000,0.0000,0.0000
8.4000,0.0000,0.0000
8.5000,0.0000,0.0000
8.6000,0.0000,0.0000
8.7000,0.0000,0.0000
8.8000,0.0000,0.0000
8.9000,0.0000,0.0000
9.0000,0.0000,0.0000
9.1000,0.0000,0.0000
9.2000,0.0000,0.0000
9.3000,0.0000,0.0000
9.4000,0.0000,0.0000
9.5000,0.0000,0.0000
9.6000,0.0000,0.0000
9.7000,0.0000,0.0000
9.8000,0.0000,0.0000
9.9000,0.0000,0.0000
10.0000,0.0000,0.0000
