s,kg/m3,kg/m3,kg/m3
FDS Time,"Ya","Yb","Yc"
 0.0000000E+000, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5000000E-001, 9.5096913E-001, 4.7883962E-002, 1.1469062E-003
 5.0000000E-001, 8.6267839E-001, 1.3014450E-001, 7.1771038E-003
 7.5000000E-001, 7.8258482E-001, 1.9926350E-001, 1.8151678E-002
 1.0000000E+000, 7.0992737E-001, 2.5681047E-001, 3.3262161E-002
 1.2500000E+000, 6.4401565E-001, 3.0418702E-001, 5.1797328E-002
 1.5000000E+000, 5.8422337E-001, 3.4264387E-001, 7.3132759E-002
 1.7500000E+000, 5.2998237E-001, 3.7329617E-001, 9.6721462E-002
 2.0000000E+000, 4.8077727E-001, 3.9713728E-001, 1.2208545E-001
 2.2600000E+000, 4.3530544E-001, 4.1533730E-001, 1.4935727E-001
 2.5100000E+000, 3.9410889E-001, 4.2823844E-001, 1.7765267E-001
 2.7600000E+000, 3.5751867E-001, 4.3640413E-001, 2.0607720E-001
 3.0100000E+000, 3.2432560E-001, 4.4076937E-001, 2.3490504E-001
 3.2600000E+000, 2.9421427E-001, 4.4188013E-001, 2.6390560E-001
 3.5100000E+000, 2.6689856E-001, 4.4021945E-001, 2.9288200E-001
 3.7600000E+000, 2.4211892E-001, 4.3621401E-001, 3.2166707E-001
 4.0100002E+000, 2.1963990E-001, 4.3024016E-001, 3.5011994E-001
 4.2600002E+000, 1.9924789E-001, 4.2262921E-001, 3.7812290E-001
 4.5100002E+000, 1.8074914E-001, 4.1367228E-001, 4.0557858E-001
 4.7600002E+000, 1.6396786E-001, 4.0362465E-001, 4.3240749E-001
 5.0100002E+000, 1.4874461E-001, 3.9270960E-001, 4.5854579E-001
 5.2600002E+000, 1.3493473E-001, 3.8112196E-001, 4.8394332E-001
 5.5100002E+000, 1.2240699E-001, 3.6903119E-001, 5.0856181E-001
 5.7600002E+000, 1.1104237E-001, 3.5658425E-001, 5.3237338E-001
 6.0100002E+000, 1.0073288E-001, 3.4390807E-001, 5.5535905E-001
 6.2600002E+000, 9.1380543E-002, 3.3111185E-001, 5.7750760E-001
 6.5100002E+000, 8.2896508E-002, 3.1828907E-001, 5.9881443E-001
 6.7600002E+000, 7.5200155E-002, 3.0551929E-001, 6.1928056E-001
 7.0100002E+000, 6.8218354E-002, 2.9286980E-001, 6.3891184E-001
 7.2600002E+000, 6.1884764E-002, 2.8039707E-001, 6.5771817E-001
 7.5100002E+000, 5.6139202E-002, 2.6814801E-001, 6.7571279E-001
 7.7600002E+000, 5.0927076E-002, 2.5616117E-001, 6.9291175E-001
 8.0100002E+000, 4.6198858E-002, 2.4446776E-001, 7.0933338E-001
 8.2600002E+000, 4.1909622E-002, 2.3309255E-001, 7.2499783E-001
 8.5100002E+000, 3.8018611E-002, 2.2205471E-001, 7.3992667E-001
 8.7600002E+000, 3.4488852E-002, 2.1136856E-001, 7.5414259E-001
 9.0100002E+000, 3.1286807E-002, 2.0104417E-001, 7.6766902E-001
 9.2600002E+000, 2.8382049E-002, 1.9108796E-001, 7.8052999E-001
 9.5100002E+000, 2.5746977E-002, 1.8150324E-001, 7.9274978E-001
 9.7600002E+000, 2.3356553E-002, 1.7229061E-001, 8.0435284E-001
 1.0010000E+001, 2.1188062E-002, 1.6344840E-001, 8.1536354E-001
 1.0260000E+001, 1.9220901E-002, 1.5497299E-001, 8.2580611E-001
 1.0510000E+001, 1.7436377E-002, 1.4685916E-001, 8.3570447E-001
 1.0760000E+001, 1.5817533E-002, 1.3910034E-001, 8.4508213E-001
 1.1010000E+001, 1.4348987E-002, 1.3168885E-001, 8.5396216E-001
 1.1260000E+001, 1.3016785E-002, 1.2461613E-001, 8.6236708E-001
 1.1510000E+001, 1.1808269E-002, 1.1787290E-001, 8.7031883E-001
 1.1760000E+001, 1.0711955E-002, 1.1144934E-001, 8.7783871E-001
 1.2010000E+001, 9.7174262E-003, 1.0533522E-001, 8.8494736E-001
 1.2260000E+001, 8.8152321E-003, 9.9520019E-002, 8.9166475E-001
 1.2510000E+001, 7.9968003E-003, 9.3993054E-002, 8.9801015E-001
 1.2760000E+001, 7.2543541E-003, 8.8743538E-002, 9.0400211E-001
 1.3010000E+001, 6.5808388E-003, 8.3760672E-002, 9.0965849E-001
 1.3260000E+001, 5.9698546E-003, 7.9033712E-002, 9.1499643E-001
 1.3510000E+001, 5.4155959E-003, 7.4552023E-002, 9.2003238E-001
 1.3760000E+001, 4.9127963E-003, 7.0305121E-002, 9.2478208E-001
 1.4010000E+001, 4.4566780E-003, 6.6282719E-002, 9.2926060E-001
 1.4260000E+001, 4.0429070E-003, 6.2474752E-002, 9.3348234E-001
 1.4510000E+001, 3.6675518E-003, 5.8871406E-002, 9.3746104E-001
 1.4760000E+001, 3.3270456E-003, 5.5463136E-002, 9.4120982E-001
 1.5010000E+001, 3.0181530E-003, 5.2240686E-002, 9.4474116E-001
 1.5260000E+001, 2.7379389E-003, 4.9195094E-002, 9.4806697E-001
 1.5510000E+001, 2.4837407E-003, 4.6317706E-002, 9.5119855E-001
 1.5760000E+001, 2.2531430E-003, 4.3600178E-002, 9.5414668E-001
 1.6010000E+001, 2.0439547E-003, 4.1034479E-002, 9.5692157E-001
 1.6260000E+001, 1.8541880E-003, 3.8612889E-002, 9.5953292E-001
 1.6510000E+001, 1.6820398E-003, 3.6328004E-002, 9.6198996E-001
 1.6760000E+001, 1.5258743E-003, 3.4172726E-002, 9.6430140E-001
 1.7010000E+001, 1.3842077E-003, 3.2140260E-002, 9.6647553E-001
 1.7260000E+001, 1.2556938E-003, 3.0224110E-002, 9.6852020E-001
 1.7510000E+001, 1.1391116E-003, 2.8418073E-002, 9.7044282E-001
 1.7760000E+001, 1.0333531E-003, 2.6716229E-002, 9.7225042E-001
 1.8000000E+001, 9.3921311E-004, 2.5143765E-002, 9.7391702E-001
 1.8250000E+001, 8.5370233E-004, 2.3661494E-002, 9.7548480E-001
 1.8500000E+001, 7.7444212E-004, 2.2236003E-002, 9.7698955E-001
 1.8750000E+001, 7.0254066E-004, 2.0893895E-002, 9.7840356E-001
 1.9000000E+001, 6.3731475E-004, 1.9630537E-002, 9.7973215E-001
 1.9250000E+001, 5.7814459E-004, 1.8441528E-002, 9.8098033E-001
 1.9500000E+001, 5.2446797E-004, 1.7322692E-002, 9.8215284E-001
 1.9750000E+001, 4.7577484E-004, 1.6270066E-002, 9.8325416E-001
 2.0000000E+001, 4.3160252E-004, 1.5279895E-002, 9.8428850E-001
 2.0250000E+001, 3.9153129E-004, 1.4348619E-002, 9.8525985E-001
 2.0500000E+001, 3.5518038E-004, 1.3472867E-002, 9.8617195E-001
 2.0750000E+001, 3.2220440E-004, 1.2649449E-002, 9.8702835E-001
 2.1000000E+001, 2.9229001E-004, 1.1875345E-002, 9.8783237E-001
 2.1250000E+001, 2.6515296E-004, 1.1147699E-002, 9.8858715E-001
 2.1500000E+001, 2.4053538E-004, 1.0463810E-002, 9.8929565E-001
 2.1750000E+001, 2.1820338E-004, 9.8211279E-003, 9.8996067E-001
 2.2000000E+001, 1.9794474E-004, 9.2172408E-003, 9.9058481E-001
 2.2250000E+001, 1.7956698E-004, 8.6498723E-003, 9.9117056E-001
 2.2500000E+001, 1.6289546E-004, 8.1168726E-003, 9.9172023E-001
 2.2750000E+001, 1.4777177E-004, 7.6162132E-003, 9.9223602E-001
 2.3000000E+001, 1.3405221E-004, 7.1459798E-003, 9.9271997E-001
 2.3250000E+001, 1.2160641E-004, 6.7043668E-003, 9.9317403E-001
 2.3500000E+001, 1.1031612E-004, 6.2896717E-003, 9.9360001E-001
 2.3750000E+001, 1.0007405E-004, 5.9002894E-003, 9.9399964E-001
 2.4000000E+001, 9.0782885E-005, 5.5347069E-003, 9.9437451E-001
 2.4250000E+001, 8.2354338E-005, 5.1914987E-003, 9.9472615E-001
 2.4500000E+001, 7.4708322E-005, 4.8693219E-003, 9.9505597E-001
 2.4750000E+001, 6.7772184E-005, 4.5669114E-003, 9.9536532E-001
 2.5000000E+001, 6.1480018E-005, 4.2830763E-003, 9.9565544E-001
 2.5250000E+001, 5.5772034E-005, 4.0166950E-003, 9.9592753E-001
 2.5500000E+001, 5.0593996E-005, 3.7667120E-003, 9.9618269E-001
 2.5750000E+001, 4.5896703E-005, 3.5321339E-003, 9.9642197E-001
 2.6000000E+001, 4.1635519E-005, 3.3120257E-003, 9.9664634E-001
 2.6250000E+001, 3.7769957E-005, 3.1055082E-003, 9.9685672E-001
 2.6500000E+001, 3.4263284E-005, 2.9117539E-003, 9.9705398E-001
 2.6750000E+001, 3.1082181E-005, 2.7299849E-003, 9.9723893E-001
 2.7000000E+001, 2.8196421E-005, 2.5594695E-003, 9.9741233E-001
 2.7250000E+001, 2.5578583E-005, 2.3995198E-003, 9.9757490E-001
 2.7500000E+001, 2.3203793E-005, 2.2494891E-003, 9.9772731E-001
 2.7750000E+001, 2.1049486E-005, 2.1087696E-003, 9.9787018E-001
 2.8000000E+001, 1.9095190E-005, 1.9767900E-003, 9.9800411E-001
 2.8250000E+001, 1.7322337E-005, 1.8530133E-003, 9.9812966E-001
 2.8500000E+001, 1.5714081E-005, 1.7369351E-003, 9.9824735E-001
 2.8750000E+001, 1.4255140E-005, 1.6280814E-003, 9.9835766E-001
 2.9000000E+001, 1.2931652E-005, 1.5260071E-003, 9.9846106E-001
