Time,Ya,Yb,Yc
0.00E+00,1.00E+00,0.00E+00,0.00E+00
1.00E+00,6.78E-01,2.81E-01,4.12E-02
2.00E+00,4.59E-01,4.07E-01,1.34E-01
3.00E+00,3.11E-01,4.42E-01,2.47E-01
4.00E+00,2.11E-01,4.28E-01,3.61E-01
5.00E+00,1.43E-01,3.88E-01,4.69E-01
6.00E+00,9.69E-02,3.39E-01,5.64E-01
7.00E+00,6.57E-02,2.88E-01,6.46E-01
8.00E+00,4.45E-02,2.40E-01,7.15E-01
9.00E+00,3.02E-02,1.97E-01,7.72E-01
1.00E+01,2.04E-02,1.60E-01,8.19E-01
1.10E+01,1.39E-02,1.29E-01,8.57E-01
1.20E+01,9.39E-03,1.03E-01,8.87E-01
1.30E+01,6.36E-03,8.21E-02,9.12E-01
1.40E+01,4.31E-03,6.50E-02,9.31E-01
1.50E+01,2.92E-03,5.12E-02,9.46E-01
1.60E+01,1.98E-03,4.02E-02,9.58E-01
1.70E+01,1.34E-03,3.15E-02,9.67E-01
1.80E+01,9.10E-04,2.46E-02,9.74E-01
1.90E+01,6.17E-04,1.92E-02,9.80E-01
2.00E+01,4.18E-04,1.50E-02,9.85E-01
2.10E+01,2.83E-04,1.16E-02,9.88E-01
2.20E+01,1.92E-04,9.03E-03,9.91E-01
2.30E+01,1.30E-04,7.00E-03,9.93E-01
2.40E+01,8.82E-05,5.42E-03,9.94E-01
2.50E+01,5.98E-05,4.20E-03,9.96E-01
2.60E+01,4.05E-05,3.25E-03,9.97E-01
2.70E+01,2.75E-05,2.51E-03,9.97E-01
2.80E+01,1.86E-05,1.94E-03,9.98E-01
2.90E+01,1.26E-05,1.50E-03,9.98E-01
3.00E+01,8.55E-06,1.16E-03,9.99E-01
3.10E+01,5.79E-06,8.92E-04,9.99E-01
3.20E+01,3.93E-06,6.88E-04,9.99E-01
3.30E+01,2.66E-06,5.30E-04,9.99E-01
3.40E+01,1.80E-06,4.09E-04,1.00E+00
3.50E+01,1.22E-06,3.15E-04,1.00E+00
3.60E+01,8.28E-07,2.43E-04,1.00E+00
3.70E+01,5.61E-07,1.87E-04,1.00E+00
3.80E+01,3.80E-07,1.44E-04,1.00E+00
3.90E+01,2.58E-07,1.11E-04,1.00E+00
4.00E+01,1.75E-07,8.55E-05,1.00E+00
4.10E+01,1.18E-07,6.59E-05,1.00E+00
4.20E+01,8.03E-08,5.07E-05,1.00E+00
4.30E+01,5.44E-08,3.90E-05,1.00E+00
4.40E+01,3.69E-08,3.01E-05,1.00E+00
4.50E+01,2.50E-08,2.31E-05,1.00E+00
4.60E+01,1.69E-08,1.78E-05,1.00E+00
4.70E+01,1.15E-08,1.37E-05,1.00E+00
4.80E+01,7.78E-09,1.06E-05,1.00E+00
4.90E+01,5.27E-09,8.12E-06,1.00E+00
5.00E+01,3.57E-09,6.25E-06,1.00E+00
