Time (s),Dia (mu-m) First-order 420 K,Dia (mu-m) Spherical 420 K
0.0000,5.0000,5.0000
0.1000,4.9912,4.9736
0.2000,4.9825,4.9473
0.3000,4.9737,4.9209
0.4000,4.9650,4.8946
0.5000,4.9563,4.8682
0.6000,4.9476,4.8419
0.7000,4.9389,4.8155
0.8000,4.9302,4.7892
0.9000,4.9216,4.7628
1.0000,4.9129,4.7365
1.1000,4.9043,4.7101
1.2000,4.8957,4.6838
1.3000,4.8871,4.6574
1.4000,4.8785,4.6311
1.5000,4.8700,4.6047
1.6000,4.8614,4.5783
1.7000,4.8529,4.5520
1.8000,4.8444,4.5256
1.9000,4.8359,4.4993
2.0000,4.8274,4.4729
2.1000,4.8189,4.4466
2.2000,4.8104,4.4202
2.3000,4.8020,4.3939
2.4000,4.7936,4.3675
2.5000,4.7851,4.3412
2.6000,4.7767,4.3148
2.7000,4.7684,4.2885
2.8000,4.7600,4.2621
2.9000,4.7516,4.2358
3.0000,4.7433,4.2094
3.1000,4.7350,4.1831
3.2000,4.7267,4.1567
3.3000,4.7184,4.1303
3.4000,4.7101,4.1040
3.5000,4.7018,4.0776
3.6000,4.6936,4.0513
3.7000,4.6853,4.0249
3.8000,4.6771,3.9986
3.9000,4.6689,3.9722
4.0000,4.6607,3.9459
4.1000,4.6525,3.9195
4.2000,4.6443,3.8932
4.3000,4.6362,3.8668
4.4000,4.6280,3.8405
4.5000,4.6199,3.8141
4.6000,4.6118,3.7878
4.7000,4.6037,3.7614
4.8000,4.5956,3.7350
4.9000,4.5876,3.7087
5.0000,4.5795,3.6823
5.1000,4.5715,3.6560
5.2000,4.5635,3.6296
5.3000,4.5554,3.6033
5.4000,4.5474,3.5769
5.5000,4.5395,3.5506
5.6000,4.5315,3.5242
5.7000,4.5235,3.4979
5.8000,4.5156,3.4715
5.9000,4.5077,3.4452
6.0000,4.4998,3.4188
6.1000,4.4919,3.3925
6.2000,4.4840,3.3661
6.3000,4.4761,3.3397
6.4000,4.4683,3.3134
6.5000,4.4604,3.2870
6.6000,4.4526,3.2607
6.7000,4.4448,3.2343
6.8000,4.4370,3.2080
6.9000,4.4292,3.1816
7.0000,4.4214,3.1553
7.1000,4.4136,3.1289
7.2000,4.4059,3.1026
7.3000,4.3982,3.0762
7.4000,4.3904,3.0499
7.5000,4.3827,3.0235
7.6000,4.3750,2.9972
7.7000,4.3674,2.9708
7.8000,4.3597,2.9445
7.9000,4.3520,2.9181
8.0000,4.3444,2.8917
8.1000,4.3368,2.8654
8.2000,4.3292,2.8390
8.3000,4.3216,2.8127
8.4000,4.3140,2.7863
8.5000,4.3064,2.7600
8.6000,4.2988,2.7336
8.7000,4.2913,2.7073
8.8000,4.2838,2.6809
8.9000,4.2762,2.6546
9.0000,4.2687,2.6282
9.1000,4.2612,2.6019
9.2000,4.2538,2.5755
9.3000,4.2463,2.5492
9.4000,4.2388,2.5228
9.5000,4.2314,2.4964
9.6000,4.2240,2.4701
9.7000,4.2166,2.4437
9.8000,4.2092,2.4174
9.9000,4.2018,2.3910
10.0000,4.1944,2.3647
