Time (s),Dia (mu-m) First-order 450 K,Dia (mu-m) Spherical 450 K
0.0000,5.0000,5.0000
0.1000,4.9376,4.8117
0.2000,4.8760,4.6234
0.3000,4.8152,4.4352
0.4000,4.7552,4.2469
0.5000,4.6958,4.0586
0.6000,4.6373,3.8703
0.7000,4.5794,3.6820
0.8000,4.5223,3.4937
0.9000,4.4659,3.3055
1.0000,4.4102,3.1172
1.1000,4.3552,2.9289
1.2000,4.3009,2.7406
1.3000,4.2472,2.5523
1.4000,4.1942,2.3641
1.5000,4.1419,2.1758
1.6000,4.0902,1.9875
1.7000,4.0392,1.7992
1.8000,3.9888,1.6109
1.9000,3.9391,1.4227
2.0000,3.8899,1.2344
2.1000,3.8414,1.0461
2.2000,3.7935,0.8578
2.3000,3.7462,0.6695
2.4000,3.6995,0.4812
2.5000,3.6533,0.2930
2.6000,3.6077,0.1047
2.7000,3.5627,0.0000
2.8000,3.5183,0.0000
2.9000,3.4744,0.0000
3.0000,3.4311,0.0000
3.1000,3.3883,0.0000
3.2000,3.3460,0.0000
3.3000,3.3043,0.0000
3.4000,3.2631,0.0000
3.5000,3.2224,0.0000
3.6000,3.1822,0.0000
3.7000,3.1425,0.0000
3.8000,3.1033,0.0000
3.9000,3.0646,0.0000
4.0000,3.0263,0.0000
4.1000,2.9886,0.0000
4.2000,2.9513,0.0000
4.3000,2.9145,0.0000
4.4000,2.8781,0.0000
4.5000,2.8422,0.0000
4.6000,2.8068,0.0000
4.7000,2.7718,0.0000
4.8000,2.7372,0.0000
4.9000,2.7031,0.0000
5.0000,2.6693,0.0000
5.1000,2.6360,0.0000
5.2000,2.6032,0.0000
5.3000,2.5707,0.0000
5.4000,2.5386,0.0000
5.5000,2.5070,0.0000
5.6000,2.4757,0.0000
5.7000,2.4448,0.0000
5.8000,2.4143,0.0000
5.9000,2.3842,0.0000
6.0000,2.3545,0.0000
6.1000,2.3251,0.0000
6.2000,2.2961,0.0000
6.3000,2.2675,0.0000
6.4000,2.2392,0.0000
6.5000,2.2112,0.0000
6.6000,2.1837,0.0000
6.7000,2.1564,0.0000
6.8000,2.1295,0.0000
6.9000,2.1030,0.0000
7.0000,2.0767,0.0000
7.1000,2.0508,0.0000
7.2000,2.0252,0.0000
7.3000,2.0000,0.0000
7.4000,1.9750,0.0000
7.5000,1.9504,0.0000
7.6000,1.9261,0.0000
7.7000,1.9020,0.0000
7.8000,1.8783,0.0000
7.9000,1.8549,0.0000
8.0000,1.8317,0.0000
8.1000,1.8089,0.0000
8.2000,1.7863,0.0000
8.3000,1.7641,0.0000
8.4000,1.7420,0.0000
8.5000,1.7203,0.0000
8.6000,1.6989,0.0000
8.7000,1.6777,0.0000
8.8000,1.6567,0.0000
8.9000,1.6361,0.0000
9.0000,1.6157,0.0000
9.1000,1.5955,0.0000
9.2000,1.5756,0.0000
9.3000,1.5560,0.0000
9.4000,1.5366,0.0000
9.5000,1.5174,0.0000
9.6000,1.4985,0.0000
9.7000,1.4798,0.0000
9.8000,1.4613,0.0000
9.9000,1.4431,0.0000
10.0000,1.4251,0.0000
