s,mu-m2,mu-m2,mu-m2
Time,d2 420K,d2 450K,d2 500K
       0, 25.0000, 25.0000,25.0000
  0.1000, 24.9123, 24.3802,16.8617
  0.2000, 24.8249, 23.7758,11.3727
  0.3000, 24.7379, 23.1863, 7.6705
  0.4000, 24.6511, 22.6115, 5.1735
  0.5000, 24.5646, 22.0509, 3.4894
  0.6000, 24.4785, 21.5043, 2.3535
  0.7000, 24.3926, 20.9711, 1.5873
  0.8000, 24.3070, 20.4512, 1.0706
  0.9000, 24.2218, 19.9442, 0.7221
  1.0000, 24.1368, 19.4497, 0.4870
  1.1000, 24.0522, 18.9676, 0.3285
  1.2000, 23.9678, 18.4973, 0.2216
  1.3000, 23.8837, 18.0387, 0.1494
  1.4000, 23.7999, 17.5915, 0.1008
  1.5000, 23.7165, 17.1554, 0.0680
  1.6000, 23.6333, 16.7301, 0.0458
  1.7000, 23.5504, 16.3153, 0.0309
  1.8000, 23.4678, 15.9108, 0.0209
  1.9000, 23.3855, 15.5164, 0.0141
  2.0000, 23.3034, 15.1317, 0.0095
  2.1000, 23.2217, 14.7566, 0.0064
  2.2000, 23.1402, 14.3907, 0.0043
  2.3000, 23.0591, 14.0340, 0.0029
  2.4000, 22.9782, 13.6860, 0.0020
  2.5000, 22.8976, 13.3467, 0.0013
  2.6000, 22.8173, 13.0158, 0.0009
  2.7000, 22.7372, 12.6932, 0.0006
  2.8000, 22.6575, 12.3785, 0.0004
  2.9000, 22.5780, 12.0716, 0.0003
  3.0000, 22.4988, 11.7723, 0.0002
  3.1000, 22.4199, 11.4805, 0.0001
  3.2000, 22.3413, 11.1958, 0.0001
  3.3000, 22.2629, 10.9183, 0.0001
  3.4000, 22.1848, 10.6476, 0.0000
  3.5000, 22.1070, 10.3836, 0.0000
  3.6000, 22.0295, 10.1262, 0.0000
  3.7000, 21.9522,  9.8751, 0.0000
  3.8000, 21.8752,  9.6303, 0.0000
  3.9000, 21.7985,  9.3916, 0.0000
  4.0000, 21.7220,  9.1587, 0.0000
  4.1000, 21.6458,  8.9317, 0.0000
  4.2000, 21.5699,  8.7102, 0.0000
  4.3000, 21.4942,  8.4943, 0.0000
  4.4000, 21.4188,  8.2837, 0.0000
  4.5000, 21.3437,  8.0783, 0.0000
  4.6000, 21.2688,  7.8781, 0.0000
  4.7000, 21.1942,  7.6828, 0.0000
  4.8000, 21.1199,  7.4923, 0.0000
  4.9000, 21.0458,  7.3065, 0.0000
  5.0000, 20.9720,  7.1254, 0.0000
  5.1000, 20.8984,  6.9488, 0.0000
  5.2000, 20.8251,  6.7765, 0.0000
  5.3000, 20.7521,  6.6085, 0.0000
  5.4000, 20.6793,  6.4446, 0.0000
  5.5000, 20.6068,  6.2849, 0.0000
  5.6000, 20.5345,  6.1291, 0.0000
  5.7000, 20.4625,  5.9771, 0.0000
  5.8000, 20.3907,  5.8289, 0.0000
  5.9000, 20.3192,  5.6844, 0.0000
  6.0000, 20.2479,  5.5435, 0.0000
  6.1000, 20.1769,  5.4061, 0.0000
  6.2000, 20.1061,  5.2720, 0.0000
  6.3000, 20.0356,  5.1413, 0.0000
  6.4000, 19.9653,  5.0139, 0.0000
  6.5000, 19.8953,  4.8896, 0.0000
  6.6000, 19.8255,  4.7683, 0.0000
  6.7000, 19.7559,  4.6501, 0.0000
  6.8000, 19.6866,  4.5348, 0.0000
  6.9000, 19.6176,  4.4224, 0.0000
  7.0000, 19.5488,  4.3128, 0.0000
  7.1000, 19.4802,  4.2059, 0.0000
  7.2000, 19.4119,  4.1016, 0.0000
  7.3000, 19.3438,  3.9999, 0.0000
  7.4000, 19.2759,  3.9007, 0.0000
  7.5000, 19.2083,  3.8040, 0.0000
  7.6000, 19.1410,  3.7097, 0.0000
  7.7000, 19.0738,  3.6178, 0.0000
  7.8000, 19.0069,  3.5281, 0.0000
  7.9000, 18.9402,  3.4406, 0.0000
  8.0000, 18.8738,  3.3553, 0.0000
  8.1000, 18.8076,  3.2721, 0.0000
  8.2000, 18.7416,  3.1910, 0.0000
  8.3000, 18.6759,  3.1119, 0.0000
  8.4000, 18.6104,  3.0347, 0.0000
  8.5000, 18.5451,  2.9595, 0.0000
  8.6000, 18.4801,  2.8861, 0.0000
  8.7000, 18.4152,  2.8146, 0.0000
  8.8000, 18.3507,  2.7448, 0.0000
  8.9000, 18.2863,  2.6767, 0.0000
  9.0000, 18.2221,  2.6104, 0.0000
  9.1000, 18.1582,  2.5457, 0.0000
  9.2000, 18.0945,  2.4826, 0.0000
  9.3000, 18.0311,  2.4210, 0.0000
  9.4000, 17.9678,  2.3610, 0.0000
  9.5000, 17.9048,  2.3025, 0.0000
  9.6000, 17.8420,  2.2454, 0.0000
  9.7000, 17.7794,  2.1897, 0.0000
  9.8000, 17.7171,  2.1354, 0.0000
  9.9000, 17.6549,  2.0825, 0.0000
 10.0000, 17.5930,  2.0309, 0.0000
